QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
1,11:43.0,S. Brown makes 3-pt jump shot from 25 ft (assist by D. Wilson),,3,0
1,11:23.0,,J. Collins misses 2-pt jump shot from 3 ft,3,0
1,11:18.0,,Offensive rebound by J. Anderson,3,0
1,11:18.0,,J. Anderson makes 2-pt dunk at rim,3,2
1,11:15.0,T. Frazier misses 2-pt jump shot from 13 ft,,3,2
1,11:11.0,Offensive rebound by B. Colson,,3,2
1,11:05.0,D. Wilson makes 2-pt dunk at rim (assist by S. Brown),,5,2
1,10:49.0,,T. Young misses 2-pt jump shot from 12 ft,5,2
1,10:46.0,Defensive rebound by B. Colson,,5,2
1,10:39.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by D. Wilson),,8,2
1,10:24.0,,J. Anderson misses 2-pt layup from 1 ft,8,2
1,10:21.0,Defensive rebound by D. Wilson,,8,2
1,10:15.0,S. Brown makes 3-pt jump shot from 25 ft (assist by D. Wilson),,11,2
1,10:00.0,,A. Len misses 3-pt jump shot from 24 ft,11,2
1,9:57.0,,Offensive rebound by J. Anderson,11,2
1,9:54.0,,J. Anderson makes 2-pt layup from 1 ft,11,4
1,9:46.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by T. Frazier),,14,4
1,9:45.0,,Atlanta full timeout,14,4
1,9:20.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),14,7
1,9:04.0,T. Frazier misses 3-pt jump shot from 25 ft,,14,7
1,9:00.0,,Defensive rebound by A. Len,14,7
1,8:48.0,,Turnover by K. Huerter (bad pass; steal by B. Colson),14,7
1,8:43.0,Shooting foul by J. Collins (drawn by S. Brown),,14,7
1,8:43.0,S. Brown makes free throw 1 of 2,,15,7
1,8:43.0,S. Brown makes free throw 2 of 2,,16,7
1,8:29.0,,Turnover by A. Len (lost ball; steal by S. Brown),16,7
1,8:19.0,D. Wilson makes 3-pt jump shot from 25 ft (assist by B. Lopez),,19,7
1,8:06.0,,T. Young misses 2-pt jump shot from 13 ft,19,7
1,8:00.0,Defensive rebound by B. Colson,,19,7
1,7:54.0,S. Brown makes 3-pt jump shot from 25 ft (assist by D. Wilson),,22,7
1,7:41.0,,K. Huerter misses 3-pt jump shot from 25 ft,22,7
1,7:39.0,,Offensive rebound by J. Collins,22,7
1,7:37.0,,J. Collins makes 2-pt layup from 1 ft,22,9
1,7:29.0,B. Lopez misses 3-pt jump shot from 28 ft,,22,9
1,7:26.0,Offensive rebound by B. Colson,,22,9
1,7:25.0,B. Colson misses 3-pt jump shot from 26 ft,,22,9
1,7:23.0,,Defensive rebound by J. Collins,22,9
1,7:13.0,,J. Anderson misses 3-pt jump shot from 28 ft,22,9
1,7:10.0,Defensive rebound by Team,,22,9
1,7:10.0,P. Connaughton enters the game for S. Brown,,22,9
1,7:10.0,G. Hill enters the game for B. Lopez,,22,9
1,7:10.0,E. İlyasova enters the game for D. Wilson,,22,9
1,7:10.0,,K. Bazemore enters the game for J. Anderson,22,9
1,7:10.0,,V. Carter enters the game for A. Len,22,9
1,6:57.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by T. Frazier),,24,9
1,6:46.0,,T. Young misses 3-pt jump shot from 27 ft,24,9
1,6:43.0,Defensive rebound by B. Colson,,24,9
1,6:34.0,Shooting foul by V. Carter (drawn by B. Colson),,24,9
1,6:34.0,B. Colson makes free throw 1 of 2,,25,9
1,6:34.0,B. Colson makes free throw 2 of 2,,26,9
1,6:34.0,,V. Carter misses 3-pt jump shot from 25 ft,26,9
1,6:22.0,Defensive rebound by E. İlyasova,,26,9
1,6:17.0,P. Connaughton makes 3-pt jump shot from 25 ft (assist by T. Frazier),,29,9
1,6:15.0,,Atlanta full timeout,29,9
1,6:15.0,,D. Bembry enters the game for K. Huerter,29,9
