QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
1,11:41.0,D. Bacon misses 2-pt jump shot from 17 ft,,0,0
1,11:38.0,,Defensive rebound by K. Leonard,0,0
1,11:23.0,,K. Leonard misses 2-pt jump shot from 9 ft (block by M. Bridges),0,0
1,11:22.0,,Offensive rebound by Team,0,0
1,11:20.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Lowry),0,3
1,11:04.0,M. Bridges misses 2-pt hook shot from 8 ft,,0,3
1,11:02.0,Offensive rebound by B. Biyombo,,0,3
1,10:57.0,B. Biyombo misses 2-pt layup from 3 ft,,0,3
1,10:53.0,,Defensive rebound by D. Green,0,3
1,10:43.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),0,6
1,10:23.0,K. Walker misses 3-pt jump shot from 29 ft,,0,6
1,10:20.0,,Defensive rebound by P. Siakam,0,6
1,10:15.0,,Shooting foul by M. Williams (drawn by P. Siakam),0,6
1,10:15.0,,P. Siakam makes free throw 1 of 2,0,7
1,10:15.0,,P. Siakam makes free throw 2 of 2,0,8
1,10:05.0,B. Biyombo makes 2-pt layup from 1 ft (assist by K. Walker),,2,8
1,9:53.0,,Turnover by M. Gasol (lost ball; steal by K. Walker),2,8
1,9:47.0,Personal foul by K. Lowry (drawn by D. Bacon),,2,8
1,9:41.0,M. Williams misses 3-pt jump shot from 26 ft,,2,8
1,9:38.0,,Defensive rebound by M. Gasol,2,8
1,9:22.0,,P. Siakam misses 2-pt jump shot from 17 ft,2,8
1,9:19.0,Defensive rebound by M. Williams,,2,8
1,9:11.0,Personal foul by K. Leonard (drawn by K. Walker),,2,8
1,9:05.0,M. Bridges makes 2-pt dunk at rim (assist by K. Walker),,4,8
1,8:51.0,,M. Gasol makes 2-pt hook shot from 10 ft (assist by P. Siakam),4,10
1,8:30.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),,7,10
1,8:16.0,,P. Siakam makes 2-pt jump shot from 6 ft (assist by M. Gasol),7,12
1,7:56.0,M. Williams makes 2-pt layup from 2 ft (assist by K. Walker),,9,12
1,7:44.0,,P. Siakam makes 2-pt jump shot from 12 ft (assist by K. Leonard),9,14
1,7:23.0,K. Walker misses 2-pt layup from 2 ft (block by M. Gasol),,9,14
1,7:20.0,Offensive rebound by K. Walker,,9,14
1,7:19.0,D. Bacon misses 3-pt jump shot from 25 ft,,9,14
1,7:16.0,,Defensive rebound by M. Gasol,9,14
1,7:08.0,,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),9,16
1,7:06.0,Charlotte full timeout,,9,16
1,7:06.0,J. Lamb enters the game for M. Williams,,9,16
1,6:47.0,M. Bridges misses 2-pt jump shot from 6 ft (block by M. Gasol),,9,16
1,6:47.0,Offensive rebound by Team,,9,16
1,6:42.0,Turnover by Team (shot clock),,9,16
1,6:25.0,,P. Siakam makes 2-pt jump shot from 9 ft (assist by M. Gasol),9,18
1,6:04.0,K. Walker misses 2-pt jump shot from 11 ft,,9,18
1,6:02.0,Offensive rebound by K. Walker,,9,18
1,6:00.0,M. Bridges misses 3-pt jump shot from 24 ft,,9,18
1,6:00.0,,Defensive rebound by P. Siakam,9,18
1,5:50.0,,Shooting foul by J. Lamb (drawn by K. Leonard),9,18
1,5:50.0,,K. Leonard makes free throw 1 of 2,9,19
1,5:50.0,W. Hernangómez enters the game for B. Biyombo,,9,19
1,5:50.0,,K. Leonard makes free throw 2 of 2,9,20
1,5:35.0,Personal foul by M. Gasol (drawn by W. Hernangómez),,9,20
1,5:22.0,K. Walker misses 2-pt jump shot from 15 ft,,9,20
1,5:19.0,Offensive rebound by W. Hernangómez,,9,20
1,5:06.0,M. Bridges makes 2-pt dunk from 1 ft (assist by K. Walker),,11,20
1,4:55.0,,D. Green makes 2-pt jump shot from 15 ft (assist by M. Gasol),11,22
1,4:33.0,W. Hernangómez misses 2-pt hook shot from 9 ft,,11,22
1,4:32.0,Offensive rebound by W. Hernangómez,,11,22
1,4:28.0,D. Bacon makes 2-pt layup at rim,,13,22
1,4:22.0,,Turnover by K. Lowry (bad pass; steal by K. Walker),13,22
1,4:15.0,J. Lamb makes 2-pt jump shot from 6 ft (assist by K. Walker),,15,22
1,4:00.0,,K. Leonard misses 2-pt hook shot from 2 ft (block by J. Lamb),15,22
1,3:58.0,Defensive rebound by M. Bridges,,15,22
1,3:51.0,Turnover by M. Bridges (lost ball; steal by D. Green),,15,22
1,3:47.0,,Personal foul by K. Walker (drawn by D. Green),15,22
1,3:47.0,,O. Anunoby enters the game for K. Lowry,15,22
1,3:47.0,,F. VanVleet enters the game for P. Siakam,15,22
1,3:47.0,,Toronto full timeout,15,22
1,3:47.0,F. Kaminsky enters the game for M. Bridges,,15,22
1,3:38.0,,K. Leonard misses 3-pt jump shot from 23 ft,15,22
1,3:35.0,Defensive rebound by W. Hernangómez,,15,22
1,3:27.0,J. Lamb misses 2-pt jump shot from 19 ft,,15,22
1,3:25.0,,Defensive rebound by K. Leonard,15,22
1,3:18.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by K. Leonard),15,25
1,2:53.0,J. Lamb misses 2-pt jump shot from 14 ft,,15,25
1,2:51.0,,Defensive rebound by M. Gasol,15,25
1,2:36.0,,M. Gasol makes 2-pt hook shot from 4 ft (assist by O. Anunoby),15,27
1,2:22.0,K. Walker makes 3-pt jump shot from 25 ft,,18,27
1,2:11.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by M. Gasol),18,30
1,2:01.0,Shooting foul by F. VanVleet (drawn by K. Walker),,18,30
1,2:01.0,K. Walker makes free throw 1 of 3,,19,30
1,2:01.0,K. Walker makes free throw 2 of 3,,20,30
1,2:01.0,,S. Ibaka enters the game for M. Gasol,20,30
1,2:01.0,,J. Lin enters the game for D. Green,20,30
1,2:01.0,,P. McCaw enters the game for K. Leonard,20,30
1,2:01.0,K. Walker makes free throw 3 of 3,,21,30
1,1:40.0,,F. VanVleet makes 2-pt hook shot from 6 ft,21,32
1,1:21.0,W. Hernangómez makes 2-pt jump shot from 5 ft (assist by K. Walker),,23,32
1,1:09.0,,F. VanVleet misses 2-pt jump shot from 19 ft,23,32
1,1:07.0,Defensive rebound by K. Walker,,23,32
1,1:01.0,Personal foul by O. Anunoby (drawn by K. Walker),,23,32
1,1:01.0,K. Walker makes free throw 1 of 2,,24,32
1,1:01.0,M. Monk enters the game for D. Bacon,,24,32
1,1:01.0,K. Walker makes free throw 2 of 2,,25,32
1,0:38.0,,Turnover by O. Anunoby (bad pass; steal by K. Walker),25,32
1,0:33.0,W. Hernangómez misses 2-pt layup from 1 ft,,25,32
1,0:32.0,Offensive rebound by K. Walker,,25,32
1,0:30.0,K. Walker misses 2-pt layup from 1 ft,,25,32
1,0:29.0,Offensive rebound by W. Hernangómez,,25,32
1,0:29.0,Shooting foul by P. McCaw (drawn by W. Hernangómez),,25,32
1,0:29.0,W. Hernangómez makes free throw 1 of 2,,26,32
1,0:29.0,D. Graham enters the game for K. Walker,,26,32
1,0:29.0,W. Hernangómez makes free throw 2 of 2,,27,32
1,0:09.0,,J. Lin misses 2-pt jump shot from 18 ft,27,32
1,0:07.0,Defensive rebound by Team,,27,32
1,0:02.0,W. Hernangómez misses 2-pt layup from 1 ft (block by J. Lin),,27,32
1,0:02.0,,Defensive rebound by Team,27,32
2,11:49.0,,P. McCaw makes 2-pt layup from 1 ft (assist by K. Lowry),27,34
2,11:33.0,F. Kaminsky makes 2-pt hook shot from 3 ft (assist by W. Hernangómez),,29,34
2,11:18.0,,F. VanVleet makes 2-pt layup from 1 ft,29,36
2,11:09.0,D. Graham makes 2-pt layup from 1 ft,,31,36
2,10:51.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by F. VanVleet),31,39
2,10:29.0,F. Kaminsky makes 2-pt hook shot from 6 ft (assist by D. Graham),,33,39
2,10:05.0,,F. VanVleet makes 2-pt hook shot from 1 ft,33,41
2,10:04.0,Charlotte full timeout,,33,41
2,10:04.0,M. Bridges enters the game for W. Hernangómez,,33,41
2,10:04.0,M. Williams enters the game for J. Lamb,,33,41
2,9:54.0,M. Bridges makes 2-pt dunk at rim (assist by D. Graham),,35,41
2,9:37.0,,K. Lowry misses 3-pt jump shot from 26 ft,35,41
2,9:33.0,Defensive rebound by F. Kaminsky,,35,41
2,9:26.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,35,41
2,9:24.0,Offensive rebound by D. Graham,,35,41
2,9:24.0,Shooting foul by S. Ibaka (drawn by D. Graham),,35,41
2,9:24.0,D. Graham makes free throw 1 of 2,,36,41
2,9:24.0,D. Graham makes free throw 2 of 2,,37,41
2,9:04.0,,Personal foul by D. Graham (drawn by F. VanVleet),37,41
2,8:58.0,,P. McCaw misses 3-pt jump shot from 24 ft,37,41
2,8:54.0,Defensive rebound by M. Monk,,37,41
2,8:37.0,D. Graham makes 2-pt jump shot from 10 ft,,39,41
2,8:19.0,,O. Anunoby misses 3-pt jump shot from 26 ft,39,41
2,8:15.0,Defensive rebound by M. Bridges,,39,41
2,8:12.0,D. Graham misses 3-pt jump shot from 26 ft,,39,41
2,8:10.0,Offensive rebound by D. Graham,,39,41
2,8:08.0,M. Monk misses 3-pt jump shot from 24 ft,,39,41
2,8:08.0,Offensive rebound by Team,,39,41
2,8:05.0,,Loose ball foul by O. Anunoby (drawn by F. Kaminsky),39,41
2,8:05.0,,J. Lin enters the game for O. Anunoby,39,41
2,8:05.0,,P. Siakam enters the game for F. VanVleet,39,41
2,7:53.0,M. Williams makes 2-pt hook shot from 5 ft (assist by D. Graham),,41,41
2,7:33.0,,Turnover by P. Siakam (bad pass; steal by F. Kaminsky),41,41
2,7:28.0,M. Bridges makes 2-pt layup from 1 ft (assist by D. Graham),,43,41
2,7:28.0,,Toronto full timeout,43,41
2,7:28.0,,K. Leonard enters the game for P. McCaw,43,41
2,7:11.0,,Turnover by K. Lowry (bad pass; steal by F. Kaminsky),43,41
2,7:03.0,Turnover by M. Monk (bad pass; steal by K. Lowry),,43,41
2,6:58.0,,Turnover by P. Siakam (bad pass; steal by M. Williams),43,41
2,6:51.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by D. Graham),,46,41
2,6:41.0,,Shooting foul by M. Monk (drawn by S. Ibaka),46,41
2,6:41.0,,S. Ibaka makes free throw 1 of 2,46,42
2,6:41.0,K. Walker enters the game for M. Monk,,46,42
2,6:41.0,,S. Ibaka makes free throw 2 of 2,46,43
2,6:23.0,D. Graham misses 3-pt jump shot from 23 ft (block by K. Leonard),,46,43
2,6:23.0,Offensive rebound by Team,,46,43
2,6:17.0,K. Walker makes 2-pt jump shot from 21 ft (assist by D. Graham),,48,43
2,6:10.0,,Turnover by P. Siakam (bad pass; steal by D. Graham),48,43
2,6:05.0,M. Williams makes 3-pt jump shot from 23 ft (assist by D. Graham),,51,43
