QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
1,11:47.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),,3,0
1,11:31.0,,Turnover by P. Millsap (out of bounds lost ball),3,0
1,11:20.0,D. Russell misses 3-pt jump shot from 24 ft,,3,0
1,11:17.0,,Defensive rebound by P. Millsap,3,0
1,11:05.0,,P. Millsap misses 2-pt jump shot from 11 ft,3,0
1,11:00.0,Defensive rebound by J. Dudley,,3,0
1,10:54.0,C. LeVert makes 3-pt jump shot from 22 ft (assist by D. Russell),,6,0
1,10:42.0,,Turnover by N. Jokić (bad pass; steal by D. Russell),6,0
1,10:34.0,C. LeVert misses 3-pt jump shot from 23 ft,,6,0
1,10:31.0,,Defensive rebound by N. Jokić,6,0
1,10:15.0,,N. Jokić makes 2-pt jump shot from 16 ft (assist by T. Craig),6,2
1,9:51.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Allen),,9,2
1,9:37.0,,T. Craig misses 3-pt jump shot from 22 ft,9,2
1,9:32.0,Defensive rebound by C. LeVert,,9,2
1,9:22.0,J. Dudley misses 3-pt jump shot from 25 ft,,9,2
1,9:19.0,,Defensive rebound by P. Millsap,9,2
1,9:13.0,,G. Harris misses 3-pt jump shot from 24 ft,9,2
1,9:11.0,,Offensive rebound by N. Jokić,9,2
1,9:07.0,,G. Harris misses 3-pt jump shot from 25 ft,9,2
1,9:03.0,Defensive rebound by J. Allen,,9,2
1,8:57.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,12,2
1,8:56.0,,Denver full timeout,12,2
1,8:41.0,,Turnover by N. Jokić (bad pass; steal by J. Harris),12,2
1,8:37.0,Turnover by J. Harris (traveling),,12,2
1,8:29.0,,Personal foul by J. Dudley (drawn by P. Millsap),12,2
1,8:21.0,,T. Craig makes 3-pt jump shot from 22 ft (assist by J. Murray),12,5
1,8:08.0,C. LeVert misses 2-pt jump shot from 9 ft,,12,5
1,8:04.0,,Defensive rebound by N. Jokić,12,5
1,7:58.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),12,8
1,7:39.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,15,8
1,7:25.0,,Turnover by P. Millsap (bad pass),15,8
1,7:02.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Dudley),,18,8
1,6:46.0,,Turnover by N. Jokić (lost ball; steal by D. Russell),18,8
1,6:46.0,Clear path foul by N. Jokić,,18,8
1,6:46.0,,J. Hernangómez enters the game for T. Craig,18,8
1,6:46.0,D. Russell misses clear path free throw 1 of 2,,18,8
1,6:46.0,Offensive rebound by Team,,18,8
1,6:46.0,D. Russell makes clear path free throw 2 of 2,,19,8
1,6:33.0,Turnover by J. Dudley (bad pass; steal by N. Jokić),,19,8
1,6:23.0,,N. Jokić makes 2-pt layup from 1 ft,19,10
1,6:14.0,D. Russell makes 2-pt jump shot from 5 ft,,21,10
1,5:59.0,,G. Harris misses 2-pt jump shot from 8 ft,21,10
1,5:56.0,,Offensive rebound by P. Millsap,21,10
1,5:49.0,,J. Murray makes 2-pt jump shot from 19 ft,21,12
1,5:32.0,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),,23,12
1,5:14.0,,Personal foul by J. Allen (drawn by N. Jokić),23,12
1,5:14.0,A. Crabbe enters the game for J. Dudley,,23,12
1,5:14.0,S. Dinwiddie enters the game for J. Harris,,23,12
1,5:14.0,R. Hollis-Jefferson enters the game for D. Russell,,23,12
1,5:14.0,,T. Lyles enters the game for P. Millsap,23,12
1,5:14.0,,M. Morris enters the game for J. Murray,23,12
1,5:10.0,,T. Lyles misses 2-pt layup from 2 ft,23,12
1,5:05.0,,Offensive rebound by J. Hernangómez,23,12
1,5:05.0,,J. Hernangómez makes 2-pt dunk at rim,23,14
1,4:44.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,23,14
1,4:40.0,Offensive rebound by J. Allen,,23,14
1,4:36.0,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft,,23,14
1,4:36.0,,Defensive rebound by M. Morris,23,14
1,4:28.0,,Turnover by N. Jokić (bad pass; steal by R. Hollis-Jefferson),23,14
1,4:21.0,R. Hollis-Jefferson misses 2-pt jump shot from 4 ft,,23,14
1,4:19.0,,Defensive rebound by N. Jokić,23,14
1,4:12.0,,N. Jokić makes 2-pt layup from 1 ft (assist by T. Lyles),23,16
1,4:12.0,Brooklyn full timeout,,23,16
1,4:12.0,E. Davis enters the game for J. Allen,,23,16
1,3:57.0,A. Crabbe makes 2-pt jump shot from 10 ft (assist by C. LeVert),,25,16
1,3:43.0,,M. Morris makes 2-pt layup from 4 ft,25,18
1,3:34.0,C. LeVert makes 2-pt layup from 3 ft,,27,18
1,3:23.0,,Personal foul by C. LeVert (drawn by N. Jokić),27,18
1,3:23.0,D. Carroll enters the game for C. LeVert,,27,18
1,3:14.0,,Turnover by N. Jokić (traveling),27,18
1,2:52.0,D. Carroll misses 2-pt jump shot from 16 ft,,27,18
1,2:50.0,,Defensive rebound by N. Jokić,27,18
1,2:34.0,,N. Jokić makes 2-pt layup from 1 ft,27,20
1,2:15.0,A. Crabbe misses 2-pt jump shot from 24 ft,,27,20
1,2:11.0,,Defensive rebound by N. Jokić,27,20
1,2:04.0,,Personal foul by E. Davis (drawn by N. Jokić),27,20
1,2:04.0,,M. Plumlee enters the game for N. Jokić,27,20
1,1:49.0,,Turnover by Team (shot clock),27,20
1,1:49.0,,J. Murray enters the game for G. Harris,27,20
1,1:38.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,30,20
1,1:24.0,,T. Lyles makes 2-pt jump shot from 12 ft (assist by J. Murray),30,22
1,0:57.0,D. Carroll misses 3-pt jump shot from 25 ft,,30,22
1,0:54.0,,Defensive rebound by M. Plumlee,30,22
1,0:46.0,,M. Morris makes 2-pt hook shot from 6 ft,30,24
1,0:35.0,E. Davis makes 2-pt jump shot from 5 ft (assist by S. Dinwiddie),,32,24
1,0:33.0,,T. Lyles misses 2-pt jump shot from 24 ft,32,24
1,0:28.0,Defensive rebound by A. Crabbe,,32,24
1,0:15.0,D. Carroll makes 2-pt jump shot from 6 ft (assist by R. Hollis-Jefferson),,34,24
1,0:01.0,,J. Murray misses 2-pt jump shot from 13 ft,34,24
1,0:01.0,,Offensive rebound by Team,34,24
2,11:47.0,,J. Murray makes 2-pt layup from 3 ft (assist by T. Lyles),34,26
2,11:28.0,R. Hollis-Jefferson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,37,26
2,11:10.0,,Turnover by J. Murray (bad pass),37,26
2,10:56.0,E. Davis misses 2-pt layup from 2 ft,,37,26
2,10:54.0,,Defensive rebound by T. Lyles,37,26
2,10:49.0,,Turnover by J. Murray (bad pass; steal by E. Davis),37,26
2,10:40.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft,,37,26
2,10:39.0,Offensive rebound by E. Davis,,37,26
2,10:36.0,A. Crabbe misses 3-pt jump shot from 28 ft,,37,26
2,10:35.0,,Defensive rebound by M. Plumlee,37,26
2,10:35.0,,Denver full timeout,37,26
2,10:35.0,J. Harris enters the game for R. Hollis-Jefferson,,37,26
2,10:26.0,,M. Morris misses 2-pt jump shot from 9 ft,37,26
2,10:22.0,Defensive rebound by A. Crabbe,,37,26
