QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
1,11:38.0,A. Drummond misses 2-pt jump shot from 8 ft,,0,0
1,11:34.0,Offensive rebound by T. Maker,,0,0
1,11:34.0,T. Maker misses 2-pt layup at rim,,0,0
1,11:34.0,Offensive rebound by R. Jackson,,0,0
1,11:28.0,R. Jackson makes 3-pt jump shot from 28 ft,,3,0
1,11:12.0,,Shooting foul by A. Drummond (drawn by M. Turner),3,0
1,11:12.0,,M. Turner makes free throw 1 of 2,3,1
1,11:12.0,,M. Turner makes free throw 2 of 2,3,2
1,10:55.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Brown),,5,2
1,10:42.0,,C. Joseph misses 3-pt jump shot from 25 ft,5,2
1,10:39.0,Defensive rebound by W. Ellington,,5,2
1,10:29.0,A. Drummond misses 2-pt jump shot from 11 ft (block by M. Turner),,5,2
1,10:26.0,,Defensive rebound by M. Turner,5,2
1,10:12.0,,Shooting foul by R. Jackson (drawn by T. Young),5,2
1,10:12.0,,T. Young makes free throw 1 of 2,5,3
1,10:12.0,,T. Young misses free throw 2 of 2,5,3
1,10:11.0,Defensive rebound by A. Drummond,,5,3
1,10:03.0,Personal foul by T. Evans (drawn by R. Jackson),,5,3
1,9:53.0,W. Ellington misses 3-pt jump shot from 28 ft,,5,3
1,9:52.0,,Defensive rebound by T. Young,5,3
1,9:43.0,,T. Young misses 2-pt hook shot from 6 ft,5,3
1,9:39.0,,Offensive rebound by Team,5,3
1,9:26.0,,T. Young makes 2-pt hook shot from 5 ft,5,5
1,9:04.0,Turnover by B. Brown (bad pass; steal by C. Joseph),,5,5
1,8:58.0,,Shooting foul by B. Brown (drawn by T. Young),5,5
1,8:58.0,,T. Young makes free throw 1 of 2,5,6
1,8:58.0,,T. Young makes free throw 2 of 2,5,7
1,8:45.0,A. Drummond misses 2-pt layup from 1 ft (block by M. Turner),,5,7
1,8:41.0,,Defensive rebound by M. Turner,5,7
1,8:34.0,,T. Evans misses 3-pt jump shot from 29 ft,5,7
1,8:31.0,Defensive rebound by A. Drummond,,5,7
1,8:21.0,W. Ellington makes 2-pt jump shot from 20 ft,,7,7
1,8:10.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,7,7
1,8:07.0,Defensive rebound by B. Brown,,7,7
1,8:00.0,R. Jackson makes 2-pt jump shot from 19 ft,,9,7
1,8:00.0,Shooting foul by B. Bogdanović (drawn by R. Jackson),,9,7
1,8:00.0,R. Jackson makes free throw 1 of 1,,10,7
1,7:48.0,,T. Evans misses 2-pt layup from 1 ft,10,7
1,7:46.0,Defensive rebound by T. Maker,,10,7
1,7:40.0,A. Drummond makes 2-pt dunk from 2 ft (assist by R. Jackson),,12,7
1,7:25.0,,Personal foul by W. Ellington (drawn by M. Turner),12,7
1,7:20.0,,Turnover by T. Young (bad pass),12,7
1,7:03.0,R. Jackson misses 2-pt jump shot from 16 ft,,12,7
1,7:01.0,Offensive rebound by R. Jackson,,12,7
1,7:00.0,T. Maker makes 3-pt jump shot from 25 ft (assist by R. Jackson),,15,7
1,6:53.0,,Indiana full timeout,15,7
1,6:45.0,,Turnover by C. Joseph (bad pass; steal by A. Drummond),15,7
1,6:42.0,Shooting foul by C. Joseph (drawn by A. Drummond),,15,7
1,6:42.0,A. Drummond misses free throw 1 of 2,,15,7
1,6:42.0,Offensive rebound by Team,,15,7
1,6:42.0,A. Drummond misses free throw 2 of 2,,15,7
1,6:41.0,,Defensive rebound by C. Joseph,15,7
1,6:18.0,,C. Joseph misses 2-pt jump shot from 14 ft,15,7
1,6:15.0,Defensive rebound by A. Drummond,,15,7
1,6:06.0,A. Drummond misses 2-pt jump shot from 7 ft (block by M. Turner),,15,7
1,6:02.0,,Defensive rebound by T. Young,15,7
1,5:53.0,,B. Bogdanović makes 2-pt jump shot from 13 ft,15,9
1,5:27.0,W. Ellington makes 3-pt jump shot from 27 ft (assist by A. Drummond),,18,9
1,5:00.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by C. Joseph),18,12
1,4:52.0,Personal foul by M. Turner (drawn by A. Drummond),,18,12
1,4:52.0,,D. Sabonis enters the game for T. Young,18,12
1,4:49.0,Personal foul by C. Joseph (drawn by W. Ellington),,18,12
1,4:49.0,W. Ellington makes free throw 1 of 2,,19,12
1,4:49.0,,D. McDermott enters the game for B. Bogdanović,19,12
1,4:49.0,W. Ellington makes free throw 2 of 2,,20,12
1,4:35.0,,C. Joseph misses 2-pt jump shot from 13 ft,20,12
1,4:32.0,Defensive rebound by A. Drummond,,20,12
1,4:26.0,Turnover by R. Jackson (bad pass; steal by T. Evans),,20,12
1,4:19.0,,M. Turner makes 3-pt jump shot from 23 ft (assist by C. Joseph),20,15
1,3:58.0,Offensive foul by A. Drummond (drawn by C. Joseph),,20,15
1,3:58.0,Turnover by A. Drummond (offensive foul),,20,15
1,3:58.0,Z. Pachulia enters the game for A. Drummond,,20,15
1,3:58.0,I. Smith enters the game for R. Jackson,,20,15
1,3:58.0,,A. Holiday enters the game for C. Joseph,20,15
1,3:44.0,,Shooting foul by Z. Pachulia (drawn by M. Turner),20,15
1,3:44.0,,M. Turner misses free throw 1 of 2,20,15
1,3:44.0,,Offensive rebound by Team,20,15
1,3:44.0,,M. Turner makes free throw 2 of 2,20,16
1,3:30.0,W. Ellington misses 3-pt jump shot from 29 ft,,20,16
1,3:28.0,Offensive rebound by W. Ellington,,20,16
1,3:26.0,W. Ellington makes 3-pt jump shot from 23 ft,,23,16
1,3:12.0,,M. Turner makes 2-pt layup from 3 ft (assist by T. Evans),23,18
1,2:51.0,T. Maker makes 3-pt jump shot from 23 ft (assist by I. Smith),,26,18
1,2:35.0,,D. Sabonis makes 2-pt hook shot from 6 ft (assist by T. Evans),26,20
1,2:18.0,W. Ellington makes 2-pt jump shot from 7 ft (assist by T. Maker),,28,20
1,2:04.0,,Turnover by T. Evans (lost ball; steal by B. Brown),28,20
1,1:57.0,Turnover by I. Smith (bad pass; steal by M. Turner),,28,20
1,1:53.0,,D. McDermott misses 3-pt jump shot from 23 ft,28,20
1,1:49.0,Defensive rebound by I. Smith,,28,20
1,1:42.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Brown),,31,20
1,1:22.0,,A. Holiday makes 3-pt jump shot from 25 ft,31,23
1,1:04.0,T. Maker misses 2-pt jump shot from 7 ft (block by A. Holiday),,31,23
1,1:01.0,,Defensive rebound by D. Sabonis,31,23
1,0:52.0,,T. Evans misses 2-pt jump shot from 21 ft,31,23
1,0:49.0,Defensive rebound by Z. Pachulia,,31,23
1,0:33.0,W. Ellington misses 3-pt jump shot from 23 ft,,31,23
1,0:30.0,,Defensive rebound by M. Turner,31,23
1,0:19.0,,Turnover by D. McDermott (lost ball; steal by B. Brown),31,23
1,0:01.0,I. Smith makes 2-pt jump shot from 18 ft,,33,23
2,11:50.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by D. McDermott),33,25
2,11:29.0,Offensive foul by Z. Pachulia (drawn by B. Bogdanović),,33,25
2,11:29.0,Turnover by Z. Pachulia (offensive foul),,33,25
2,11:17.0,,D. McDermott misses 2-pt jump shot from 3 ft,33,25
2,11:12.0,,Offensive rebound by D. McDermott,33,25
2,11:12.0,,D. McDermott makes 2-pt layup from 1 ft,33,27
2,10:58.0,Personal foul by D. McDermott (drawn by Z. Pachulia),,33,27
2,10:50.0,J. Leuer misses 3-pt jump shot from 26 ft,,33,27
2,10:47.0,,Defensive rebound by D. Sabonis,33,27
2,10:41.0,,Turnover by T. Leaf (out of bounds lost ball),33,27
2,10:29.0,I. Smith makes 2-pt jump shot from 17 ft,,35,27
2,10:11.0,,D. Sabonis makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),35,29
2,10:02.0,G. Robinson makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),,38,29
2,9:45.0,,D. Sabonis makes 2-pt layup from 3 ft,38,31
2,9:22.0,J. Leuer misses 2-pt jump shot from 15 ft (block by T. Leaf),,38,31
2,9:20.0,,Defensive rebound by T. Leaf,38,31
2,9:03.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,38,31
2,9:02.0,,Offensive rebound by D. Sabonis,38,31
2,9:02.0,,Shooting foul by G. Robinson (drawn by D. Sabonis),38,31
2,9:02.0,,D. Sabonis makes free throw 1 of 2,38,32
2,9:02.0,,D. Sabonis makes free throw 2 of 2,38,33
2,8:58.0,Detroit full timeout,,38,33
2,8:58.0,A. Drummond enters the game for Z. Pachulia,,38,33
2,8:46.0,Offensive foul by I. Smith (drawn by A. Holiday),,38,33
2,8:46.0,Turnover by I. Smith (offensive foul),,38,33
2,8:36.0,,D. McDermott makes 2-pt jump shot from 5 ft,38,35
2,8:17.0,G. Robinson makes 2-pt jump shot from 17 ft (assist by L. Galloway),,40,35
2,7:57.0,,T. Leaf misses 3-pt jump shot from 26 ft,40,35
2,7:54.0,,Offensive rebound by D. Sabonis,40,35
2,7:54.0,,Personal foul by I. Smith (drawn by D. Sabonis),40,35
2,7:54.0,,T. Young enters the game for T. Leaf,40,35
2,7:41.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,40,37
2,7:33.0,L. Galloway makes 3-pt jump shot from 28 ft (assist by I. Smith),,43,37
2,7:14.0,,B. Bogdanović misses 2-pt layup from 1 ft,43,37
2,7:13.0,,Offensive rebound by Team,43,37
2,7:13.0,Loose ball foul by G. Robinson (drawn by D. Sabonis),,43,37
2,7:13.0,T. Maker enters the game for J. Leuer,,43,37
2,7:02.0,,T. Young makes 2-pt jump shot from 8 ft (assist by A. Holiday),43,39
2,6:38.0,A. Drummond misses 3-pt jump shot from 25 ft,,43,39
2,6:34.0,,Defensive rebound by B. Bogdanović,43,39
2,6:25.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by D. McDermott),43,41
2,6:18.0,Detroit full timeout,,43,41
2,6:18.0,W. Ellington enters the game for L. Galloway,,43,41
2,6:18.0,R. Jackson enters the game for I. Smith,,43,41
2,6:18.0,,C. Joseph enters the game for B. Bogdanović,43,41
2,6:08.0,A. Drummond makes 2-pt dunk from 2 ft (assist by G. Robinson),,45,41
2,6:08.0,Shooting foul by D. McDermott (drawn by A. Drummond),,45,41
2,6:08.0,A. Drummond misses free throw 1 of 1,,45,41
2,6:07.0,,Defensive rebound by T. Young,45,41
2,5:50.0,,T. Young makes 2-pt jump shot from 7 ft,45,43
2,5:35.0,A. Drummond misses 2-pt hook shot from 3 ft,,45,43
2,5:31.0,,Defensive rebound by D. Sabonis,45,43
2,5:25.0,,T. Young makes 2-pt layup from 2 ft (assist by A. Holiday),45,45
2,5:09.0,G. Robinson misses 2-pt jump shot from 5 ft,,45,45
2,5:07.0,,Defensive rebound by D. Sabonis,45,45
2,5:03.0,,A. Holiday makes 3-pt jump shot from 25 ft (assist by T. Young),45,48
2,4:45.0,W. Ellington misses 3-pt jump shot from 25 ft,,45,48
2,4:42.0,,Defensive rebound by A. Holiday,45,48
