QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
1,11:42.0,A. Bradley makes 2-pt jump shot from 7 ft,,2,0
1,11:28.0,,Personal foul by D. Gallinari (drawn by N. Bjelica),2,0
1,11:18.0,,D. Fox makes 3-pt jump shot from 25 ft,2,3
1,10:56.0,Turnover by M. Gortat (bad pass; steal by W. Cauley-Stein),,2,3
1,10:52.0,,B. Hield misses 3-pt jump shot from 25 ft,2,3
1,10:49.0,,Offensive rebound by W. Cauley-Stein,2,3
1,10:47.0,,B. Hield misses 3-pt jump shot from 23 ft,2,3
1,10:47.0,Defensive rebound by T. Harris,,2,3
1,10:37.0,T. Harris makes 2-pt jump shot from 19 ft,,4,3
1,10:25.0,,Turnover by W. Cauley-Stein (traveling),4,3
1,10:09.0,T. Harris makes 3-pt jump shot from 25 ft,,7,3
1,9:52.0,,B. Hield makes 2-pt dunk from 2 ft (assist by W. Cauley-Stein),7,5
1,9:30.0,T. Harris makes 2-pt jump shot from 13 ft,,9,5
1,9:15.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),9,7
1,9:00.0,T. Harris misses 3-pt jump shot from 26 ft,,9,7
1,9:00.0,,Defensive rebound by Team,9,7
1,8:53.0,,Shooting foul by T. Harris (drawn by W. Cauley-Stein),9,7
1,8:53.0,,W. Cauley-Stein misses free throw 1 of 2,9,7
1,8:53.0,,Offensive rebound by Team,9,7
1,8:53.0,,W. Cauley-Stein misses free throw 2 of 2,9,7
1,8:50.0,Defensive rebound by A. Bradley,,9,7
1,8:39.0,D. Gallinari makes 2-pt jump shot from 14 ft,,11,7
1,8:30.0,,Turnover by N. Bjelica (bad pass; steal by S. Gilgeous-Alexander),11,7
1,8:26.0,A. Bradley misses 3-pt jump shot from 25 ft,,11,7
1,8:22.0,,Defensive rebound by W. Cauley-Stein,11,7
1,8:21.0,,Personal foul by A. Bradley (drawn by D. Fox),11,7
1,8:12.0,,D. Fox misses 2-pt layup from 6 ft (block by S. Gilgeous-Alexander),11,7
