QUARTER,TIME_REMAINING,HOUSTON_ACTION,OKLAHOMA CITY_ACTION,HOUSTON_SCORE,OKLAHOMA CITY_SCORE
1,11:44.0,,Shooting foul by J. Harden (drawn by S. Adams),0,0
1,11:44.0,,S. Adams makes free throw 1 of 2,0,1
1,11:44.0,,S. Adams makes free throw 2 of 2,0,2
1,11:31.0,Turnover by C. Capela (out of bounds lost ball),,0,2
1,11:14.0,,S. Adams makes 2-pt dunk at rim,0,4
1,11:06.0,Turnover by P. Tucker (bad pass; steal by P. George),,0,4
1,10:54.0,,T. Ferguson makes 2-pt dunk at rim (assist by S. Adams),0,6
1,10:28.0,C. Capela makes 2-pt dunk at rim (assist by C. Paul),,2,6
1,10:18.0,,D. Schröder makes 2-pt layup from 1 ft,2,8
1,10:01.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,4,8
1,9:38.0,,D. Schröder misses 2-pt layup from 8 ft (block by J. Harden),4,8
1,9:38.0,,Offensive rebound by Team,4,8
1,9:35.0,,S. Adams makes 2-pt hook shot from 4 ft (assist by P. George),4,10
1,9:17.0,J. Ennis misses 3-pt jump shot from 23 ft,,4,10
1,9:14.0,,Defensive rebound by S. Adams,4,10
1,9:00.0,,P. George makes 2-pt jump shot from 20 ft,4,12
1,8:50.0,J. Harden misses 2-pt layup from 1 ft,,4,12
1,8:49.0,,Defensive rebound by J. Grant,4,12
1,8:40.0,,D. Schröder misses 3-pt jump shot from 24 ft,4,12
1,8:36.0,Defensive rebound by C. Capela,,4,12
1,8:26.0,C. Paul misses 2-pt layup from 1 ft,,4,12
1,8:24.0,,Defensive rebound by D. Schröder,4,12
1,8:22.0,,Turnover by D. Schröder (lost ball; steal by C. Paul),4,12
1,8:10.0,J. Ennis makes 2-pt layup from 1 ft (assist by C. Capela),,6,12
1,8:10.0,Shooting foul by S. Adams (drawn by J. Ennis),,6,12
1,8:10.0,J. Ennis makes free throw 1 of 1,,7,12
1,7:52.0,,S. Adams misses 2-pt jump shot from 7 ft,7,12
1,7:50.0,Defensive rebound by J. Harden,,7,12
1,7:38.0,C. Paul misses 3-pt jump shot from 24 ft,,7,12
1,7:35.0,Offensive rebound by Team,,7,12
1,7:29.0,Turnover by J. Harden (bad pass; steal by D. Schröder),,7,12
1,7:24.0,,P. George misses 2-pt layup from 2 ft,7,12
1,7:21.0,Defensive rebound by P. Tucker,,7,12
1,7:19.0,J. Harden makes 2-pt layup from 1 ft,,9,12
1,7:19.0,Shooting foul by J. Grant (drawn by J. Harden),,9,12
1,7:19.0,,Oklahoma City full timeout,9,12
1,7:19.0,C. Anthony enters the game for J. Ennis,,9,12
1,7:19.0,J. Harden misses free throw 1 of 1,,9,12
1,7:19.0,,Defensive rebound by P. George,9,12
1,6:57.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by P. George),9,15
1,6:32.0,J. Harden makes 3-pt jump shot from 25 ft,,12,15
1,6:18.0,,P. George misses 3-pt jump shot from 24 ft,12,15
1,6:14.0,Defensive rebound by P. Tucker,,12,15
1,6:09.0,J. Harden makes 2-pt layup from 1 ft,,14,15
1,5:54.0,,T. Ferguson misses 3-pt jump shot from 22 ft,14,15
1,5:48.0,,Offensive rebound by S. Adams,14,15
1,5:48.0,,S. Adams makes 2-pt layup at rim,14,17
1,5:48.0,G. Green enters the game for C. Paul,,14,17
1,5:32.0,J. Harden misses 2-pt jump shot from 22 ft,,14,17
1,5:29.0,,Defensive rebound by J. Grant,14,17
1,5:26.0,,Shooting foul by P. Tucker (drawn by D. Schröder),14,17
1,5:26.0,,D. Schröder makes free throw 1 of 2,14,18
1,5:26.0,,D. Schröder makes free throw 2 of 2,14,19
1,5:08.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Capela),,17,19
1,4:43.0,,S. Adams misses 2-pt hook shot from 9 ft,17,19
1,4:42.0,Defensive rebound by C. Anthony,,17,19
1,4:38.0,Offensive foul by J. Harden (drawn by P. George),,17,19
1,4:38.0,Turnover by J. Harden (offensive foul),,17,19
1,4:38.0,G. Clark enters the game for P. Tucker,,17,19
1,4:30.0,,D. Schröder misses 3-pt jump shot from 25 ft,17,19
1,4:27.0,,Offensive rebound by T. Ferguson,17,19
1,4:26.0,,P. George misses 3-pt jump shot from 25 ft,17,19
1,4:23.0,Defensive rebound by C. Capela,,17,19
1,4:11.0,G. Clark misses 3-pt jump shot from 23 ft,,17,19
1,4:09.0,Offensive rebound by Team,,17,19
1,4:09.0,,Loose ball foul by T. Ferguson (drawn by C. Capela),17,19
1,3:58.0,C. Capela makes 2-pt hook shot from 4 ft,,19,19
1,3:45.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by P. George),19,22
1,3:33.0,G. Green misses 3-pt jump shot from 25 ft,,19,22
1,3:30.0,,Defensive rebound by T. Ferguson,19,22
1,3:12.0,,Shooting foul by C. Anthony (drawn by S. Adams),19,22
1,3:12.0,,S. Adams misses free throw 1 of 2,19,22
1,3:12.0,,Offensive rebound by Team,19,22
1,3:12.0,I. Hartenstein enters the game for C. Capela,,19,22
1,3:12.0,,P. Patterson enters the game for J. Grant,19,22
1,3:12.0,,S. Adams makes free throw 2 of 2,19,23
1,3:02.0,I. Hartenstein misses 2-pt dunk from 2 ft (block by T. Ferguson),,19,23
1,2:59.0,,Defensive rebound by D. Schröder,19,23
1,2:56.0,,P. George misses 2-pt jump shot from 24 ft,19,23
1,2:53.0,,Offensive rebound by P. George,19,23
1,2:50.0,,Turnover by T. Ferguson (turnover),19,23
1,2:50.0,Personal foul by T. Ferguson (drawn by G. Clark),,19,23
1,2:50.0,Houston full timeout,,19,23
1,2:50.0,C. Paul enters the game for J. Harden,,19,23
1,2:50.0,,Á. Abrines enters the game for S. Adams,19,23
1,2:50.0,,N. Noel enters the game for T. Ferguson,19,23
1,2:37.0,C. Anthony misses 3-pt jump shot from 25 ft,,19,23
1,2:35.0,,Defensive rebound by Á. Abrines,19,23
1,2:35.0,,Personal foul by I. Hartenstein (drawn by Á. Abrines),19,23
1,2:35.0,,R. Felton enters the game for D. Schröder,19,23
1,2:18.0,,R. Felton misses 2-pt jump shot from 6 ft,19,23
1,2:16.0,Defensive rebound by Team,,19,23
1,2:08.0,Turnover by C. Paul (bad pass; steal by Á. Abrines),,19,23
1,2:04.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by R. Felton),19,26
1,1:40.0,G. Clark misses 3-pt jump shot from 25 ft,,19,26
1,1:35.0,,Defensive rebound by N. Noel,19,26
1,1:17.0,,R. Felton misses 3-pt jump shot from 28 ft,19,26
1,1:16.0,Defensive rebound by G. Green,,19,26
1,1:15.0,Turnover by G. Green (lost ball; steal by P. George),,19,26
1,1:10.0,,Á. Abrines misses 3-pt jump shot from 25 ft,19,26
1,1:07.0,Defensive rebound by C. Paul,,19,26
1,0:58.0,C. Anthony misses 2-pt layup from 1 ft (block by N. Noel),,19,26
1,0:55.0,,Defensive rebound by P. George,19,26
1,0:52.0,,Shooting foul by G. Green (drawn by P. George),19,26
1,0:52.0,,P. George misses free throw 1 of 2,19,26
1,0:52.0,,Offensive rebound by Team,19,26
1,0:52.0,P. Tucker enters the game for I. Hartenstein,,19,26
1,0:52.0,,P. George makes free throw 2 of 2,19,27
1,0:33.0,G. Green misses 3-pt jump shot from 22 ft,,19,27
1,0:28.0,Offensive rebound by G. Clark,,19,27
1,0:27.0,C. Paul misses 3-pt jump shot from 26 ft,,19,27
