QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
1,11:44.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,0,2
1,11:24.0,K. Leonard misses 2-pt jump shot from 18 ft,,0,2
1,11:17.0,,Defensive rebound by W. Cauley-Stein,0,2
1,11:06.0,,B. Hield misses 2-pt hook shot from 5 ft,0,2
1,11:04.0,Defensive rebound by P. Siakam,,0,2
1,11:02.0,Turnover by D. Green (step out of bounds),,0,2
1,10:51.0,,Turnover by D. Fox (lost ball; steal by K. Lowry),0,2
1,10:47.0,Turnover by K. Lowry (bad pass; steal by N. Bjelica),,0,2
1,10:43.0,,B. Hield misses 3-pt jump shot from 24 ft,0,2
1,10:40.0,Defensive rebound by Team,,0,2
1,10:33.0,Turnover by K. Lowry (bad pass; steal by I. Shumpert),,0,2
1,10:29.0,,D. Fox makes 2-pt layup from 2 ft (assist by I. Shumpert),0,4
1,10:14.0,S. Ibaka misses 2-pt hook shot from 4 ft,,0,4
1,10:12.0,,Defensive rebound by B. Hield,0,4
1,10:01.0,,D. Fox makes 2-pt layup from 2 ft,0,6
1,9:34.0,K. Lowry makes 3-pt jump shot from 25 ft,,3,6
1,9:27.0,,Personal foul by K. Lowry (drawn by W. Cauley-Stein),3,6
1,9:10.0,,N. Bjelica misses 2-pt layup from 1 ft,3,6
1,9:08.0,Defensive rebound by S. Ibaka,,3,6
1,9:04.0,K. Lowry misses 3-pt jump shot from 25 ft,,3,6
1,9:01.0,,Defensive rebound by W. Cauley-Stein,3,6
1,8:50.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by N. Bjelica),3,9
1,8:34.0,P. Siakam misses 3-pt jump shot from 25 ft,,3,9
1,8:31.0,Offensive rebound by D. Green,,3,9
1,8:29.0,D. Green misses 3-pt jump shot from 24 ft,,3,9
1,8:27.0,,Defensive rebound by W. Cauley-Stein,3,9
1,8:18.0,,D. Fox misses 2-pt jump shot from 17 ft,3,9
1,8:14.0,Defensive rebound by D. Green,,3,9
1,7:58.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),,6,9
1,7:42.0,,I. Shumpert misses 3-pt jump shot from 24 ft,6,9
1,7:39.0,Defensive rebound by S. Ibaka,,6,9
1,7:35.0,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),,8,9
1,7:25.0,,B. Hield makes 3-pt jump shot from 22 ft (assist by I. Shumpert),8,12
1,7:13.0,Shooting foul by N. Bjelica (drawn by K. Leonard),,8,12
1,7:13.0,K. Leonard makes free throw 1 of 2,,9,12
1,7:13.0,K. Leonard makes free throw 2 of 2,,10,12
1,7:05.0,,B. Hield misses 3-pt jump shot from 25 ft,10,12
1,7:05.0,Defensive rebound by K. Leonard,,10,12
1,6:55.0,Turnover by K. Leonard (bad pass; steal by N. Bjelica),,10,12
1,6:43.0,,Shooting foul by S. Ibaka (drawn by I. Shumpert),10,12
1,6:43.0,,Sacramento full timeout,10,12
1,6:43.0,,I. Shumpert misses free throw 1 of 2,10,12
1,6:43.0,,Offensive rebound by Team,10,12
1,6:43.0,,I. Shumpert makes free throw 2 of 2,10,13
1,6:29.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),,12,13
1,6:13.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Hield),12,15
1,6:00.0,Personal foul by D. Fox (drawn by K. Leonard),,12,15
1,6:00.0,,B. Bogdanović enters the game for B. Hield,12,15
1,5:51.0,K. Lowry misses 3-pt jump shot from 25 ft,,12,15
1,5:49.0,,Defensive rebound by Team,12,15
1,5:32.0,,D. Fox makes 2-pt jump shot from 12 ft,12,17
1,5:06.0,K. Lowry misses 3-pt jump shot from 27 ft,,12,17
1,5:03.0,,Defensive rebound by N. Bjelica,12,17
1,4:51.0,,B. Bogdanović makes 2-pt layup from 2 ft,12,19
1,4:48.0,Personal foul by W. Cauley-Stein (drawn by K. Lowry),,12,19
1,4:27.0,D. Green misses 3-pt jump shot from 25 ft,,12,19
1,4:24.0,Offensive rebound by P. Siakam,,12,19
1,4:22.0,P. Siakam makes 2-pt layup from 2 ft,,14,19
1,4:17.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Fox),14,22
1,3:59.0,Turnover by D. Green (lost ball; steal by N. Bjelica),,14,22
1,3:55.0,,Turnover by N. Bjelica (bad pass),14,22
1,3:55.0,,K. Koufos enters the game for W. Cauley-Stein,14,22
1,3:41.0,P. Siakam makes 2-pt layup from 4 ft,,16,22
1,3:34.0,,D. Fox misses 2-pt jump shot from 19 ft,16,22
1,3:31.0,Defensive rebound by S. Ibaka,,16,22
1,3:29.0,Personal foul by D. Fox (drawn by K. Lowry),,16,22
1,3:29.0,O. Anunoby enters the game for S. Ibaka,,16,22
1,3:29.0,J. Valančiūnas enters the game for K. Leonard,,16,22
1,3:29.0,F. VanVleet enters the game for P. Siakam,,16,22
1,3:29.0,,M. Bagley enters the game for N. Bjelica,16,22
1,3:29.0,,J. Jackson enters the game for D. Fox,16,22
1,3:29.0,,F. Mason enters the game for I. Shumpert,16,22
1,3:21.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),,19,22
