QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
1,11:39.0,J. Richardson misses 3-pt jump shot from 25 ft,,0,0
1,11:35.0,,Defensive rebound by A. Žižić,0,0
1,11:24.0,,R. Hood misses 3-pt jump shot from 25 ft,0,0
1,11:21.0,,Offensive rebound by A. Žižić,0,0
1,11:15.0,,A. Burks makes 2-pt jump shot from 12 ft,0,2
1,11:03.0,Turnover by T. Johnson (bad pass; steal by A. Burks),,0,2
1,10:58.0,,A. Burks makes 2-pt dunk from 1 ft,0,4
1,10:51.0,Personal foul by R. Hood (drawn by J. Richardson),,0,4
1,10:45.0,J. Winslow misses 2-pt jump shot from 12 ft,,0,4
1,10:42.0,,Defensive rebound by A. Burks,0,4
1,10:26.0,,Shooting foul by H. Whiteside (drawn by A. Žižić),0,4
1,10:26.0,,A. Žižić makes free throw 1 of 2,0,5
1,10:26.0,,A. Žižić makes free throw 2 of 2,0,6
1,10:10.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,3,6
1,9:51.0,Violation by Team (kicked ball),,3,6
1,9:42.0,,C. Sexton misses 2-pt jump shot from 11 ft,3,6
1,9:40.0,Defensive rebound by H. Whiteside,,3,6
1,9:36.0,T. Johnson makes 2-pt layup from 2 ft (assist by J. Winslow),,5,6
1,9:24.0,,Personal foul by J. Richardson (drawn by C. Sexton),5,6
1,9:13.0,,R. Hood makes 3-pt jump shot from 24 ft,5,9
1,9:01.0,J. Richardson makes 2-pt jump shot from 11 ft,,7,9
1,8:48.0,,A. Žižić misses 2-pt layup from 1 ft (block by H. Whiteside),7,9
1,8:45.0,Defensive rebound by J. Winslow,,7,9
1,8:38.0,J. Winslow makes 2-pt layup from 2 ft,,9,9
1,8:20.0,,A. Burks misses 2-pt jump shot from 19 ft,9,9
1,8:17.0,Defensive rebound by H. Whiteside,,9,9
1,8:05.0,J. Winslow makes 2-pt jump shot from 8 ft,,11,9
1,7:49.0,,Shooting foul by T. Johnson (drawn by C. Sexton),11,9
1,7:49.0,,C. Sexton makes free throw 1 of 2,11,10
1,7:49.0,,C. Sexton makes free throw 2 of 2,11,11
