QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
1,11:46.0,,M. Brogdon misses 2-pt jump shot from 15 ft,0,0
1,11:43.0,Defensive rebound by B. Griffin,,0,0
1,11:37.0,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),,2,0
1,11:19.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by B. Lopez),2,3
1,11:03.0,Turnover by A. Drummond (bad pass; steal by E. Bledsoe),,2,3
1,11:01.0,,Shooting foul by R. Jackson (drawn by E. Bledsoe),2,3
1,11:01.0,,E. Bledsoe makes free throw 1 of 2,2,4
1,11:01.0,,E. Bledsoe makes free throw 2 of 2,2,5
1,10:41.0,R. Jackson misses 2-pt jump shot from 5 ft,,2,5
1,10:39.0,,Defensive rebound by M. Brogdon,2,5
1,10:33.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,2,5
1,10:30.0,Defensive rebound by A. Drummond,,2,5
1,10:21.0,B. Griffin misses 2-pt layup from 2 ft,,2,5
1,10:18.0,,Defensive rebound by G. Antetokounmpo,2,5
1,10:12.0,,M. Brogdon misses 3-pt jump shot from 23 ft,2,5
1,10:07.0,,Offensive rebound by T. Snell,2,5
1,10:07.0,,T. Snell makes 2-pt dunk at rim,2,7
1,9:49.0,R. Jackson misses 3-pt jump shot from 25 ft,,2,7
1,9:46.0,,Defensive rebound by T. Snell,2,7
1,9:38.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by T. Snell),2,9
1,9:33.0,Detroit full timeout,,2,9
1,9:23.0,L. Galloway makes 3-pt jump shot from 27 ft (assist by B. Griffin),,5,9
1,9:13.0,,Shooting foul by G. Robinson (drawn by T. Snell),5,9
1,9:13.0,,T. Snell makes free throw 1 of 3,5,10
1,9:13.0,,T. Snell makes free throw 2 of 3,5,11
1,9:13.0,,T. Snell makes free throw 3 of 3,5,12
1,9:05.0,Shooting foul by B. Lopez (drawn by B. Griffin),,5,12
1,9:05.0,B. Griffin misses free throw 1 of 2,,5,12
1,9:05.0,Offensive rebound by Team,,5,12
1,9:05.0,B. Griffin makes free throw 2 of 2,,6,12
1,8:56.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),6,15
1,8:36.0,A. Drummond misses 2-pt layup from 1 ft,,6,15
1,8:31.0,Offensive rebound by R. Jackson,,6,15
1,8:31.0,R. Jackson misses 2-pt layup from 1 ft,,6,15
1,8:30.0,,Defensive rebound by B. Lopez,6,15
1,8:25.0,,T. Snell misses 3-pt jump shot from 26 ft,6,15
1,8:25.0,Defensive rebound by R. Jackson,,6,15
1,8:11.0,B. Griffin makes 3-pt jump shot from 28 ft,,9,15
1,7:59.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,9,15
1,7:55.0,Defensive rebound by A. Drummond,,9,15
