QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
1,11:48.0,Turnover by K. Durant (step out of bounds),,0,0
1,11:29.0,,J. Harden misses 3-pt jump shot from 25 ft,0,0
1,11:27.0,,Offensive rebound by C. Capela,0,0
1,11:27.0,,C. Capela makes 2-pt dunk from 1 ft,0,2
1,11:21.0,D. Green misses 2-pt jump shot from 10 ft,,0,2
1,11:19.0,,Defensive rebound by C. Capela,0,2
1,11:12.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),0,4
1,11:00.0,S. Curry makes 2-pt layup from 2 ft,,2,4
1,10:35.0,,P. Tucker misses 3-pt jump shot from 26 ft,2,4
1,10:33.0,Defensive rebound by D. Green,,2,4
1,10:23.0,S. Curry misses 2-pt layup from 2 ft,,2,4
1,10:21.0,,Defensive rebound by C. Capela,2,4
1,10:11.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),2,7
1,9:47.0,K. Thompson misses 2-pt layup from 1 ft,,2,7
1,9:45.0,,Defensive rebound by J. Harden,2,7
1,9:41.0,,E. Gordon misses 3-pt jump shot from 28 ft,2,7
1,9:39.0,Defensive rebound by K. Thompson,,2,7
1,9:33.0,K. Thompson makes 2-pt jump shot from 12 ft,,4,7
1,9:20.0,,J. Harden makes 3-pt jump shot from 28 ft (assist by E. Gordon),4,10
1,9:10.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),,6,10
1,8:43.0,,J. Harden misses 3-pt jump shot from 27 ft,6,10
1,8:41.0,Defensive rebound by K. Durant,,6,10
1,8:36.0,K. Thompson makes 2-pt jump shot from 10 ft (assist by S. Curry),,8,10
1,8:18.0,,C. Capela misses 2-pt layup from 2 ft (block by D. Green),8,10
1,8:16.0,Defensive rebound by S. Curry,,8,10
1,8:03.0,K. Durant misses 3-pt jump shot from 28 ft,,8,10
1,8:00.0,,Defensive rebound by P. Tucker,8,10
1,7:44.0,,Personal foul by K. Durant (drawn by C. Paul),8,10
1,7:34.0,,Turnover by E. Gordon (lost ball; steal by S. Curry),8,10
1,7:28.0,S. Curry misses 3-pt jump shot from 31 ft,,8,10
1,7:25.0,,Defensive rebound by P. Tucker,8,10
1,7:22.0,,P. Tucker misses 2-pt layup from 2 ft,8,10
1,7:19.0,Defensive rebound by K. Durant,,8,10
1,7:13.0,Turnover by S. Curry (bad pass; steal by E. Gordon),,8,10
1,7:08.0,,J. Harden misses 2-pt layup from 3 ft (block by K. Durant),8,10
1,7:05.0,Defensive rebound by D. Green,,8,10
1,7:00.0,A. Iguodala misses 2-pt dunk from 1 ft,,8,10
1,6:57.0,,Defensive rebound by C. Paul,8,10
1,6:56.0,,Houston full timeout,8,10
1,6:42.0,,E. Gordon makes 2-pt layup from 2 ft (assist by P. Tucker),8,12
1,6:23.0,Turnover by K. Durant (lost ball; steal by P. Tucker),,8,12
1,6:11.0,,J. Harden makes 2-pt layup from 2 ft,8,14
1,5:57.0,S. Curry makes 2-pt layup from 1 ft,,10,14
1,5:50.0,,C. Paul misses 3-pt jump shot from 26 ft,10,14
1,5:48.0,Defensive rebound by K. Durant,,10,14
1,5:39.0,K. Thompson misses 2-pt jump shot from 20 ft,,10,14
1,5:37.0,,Defensive rebound by C. Paul,10,14
1,5:35.0,,Offensive foul by E. Gordon (drawn by S. Curry),10,14
1,5:35.0,,Turnover by E. Gordon (offensive foul),10,14
1,5:35.0,K. Looney enters the game for A. Iguodala,,10,14
1,5:35.0,,A. Rivers enters the game for C. Paul,10,14
1,5:22.0,Turnover by K. Looney (lost ball; steal by A. Rivers),,10,14
1,5:09.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),10,17
1,4:54.0,S. Curry makes 2-pt layup from 2 ft,,12,17
1,4:46.0,,E. Gordon misses 3-pt jump shot from 26 ft,12,17
1,4:44.0,Defensive rebound by K. Durant,,12,17
1,4:36.0,S. Curry misses 3-pt jump shot from 26 ft (block by E. Gordon),,12,17
