QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
1,11:45.0,,J. Ingles makes 2-pt layup from 3 ft (assist by R. Gobert),0,2
1,11:29.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by J. Tatum),,3,2
1,11:16.0,,R. Rubio misses 2-pt jump shot from 15 ft,3,2
1,11:13.0,,Offensive rebound by R. Gobert,3,2
1,11:13.0,,Personal foul by T. Rozier (drawn by R. Gobert),3,2
1,11:07.0,,J. Ingles misses 3-pt jump shot from 26 ft,3,2
1,11:04.0,Defensive rebound by T. Rozier,,3,2
1,10:56.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,6,2
1,10:43.0,,Turnover by D. Mitchell (bad pass; steal by J. Tatum),6,2
1,10:37.0,G. Hayward makes 2-pt layup from 1 ft (assist by J. Brown),,8,2
1,10:15.0,,D. Mitchell misses 3-pt jump shot from 26 ft,8,2
1,10:12.0,Defensive rebound by G. Hayward,,8,2
1,10:12.0,Personal foul by J. Ingles (drawn by G. Hayward),,8,2
1,10:01.0,A. Horford makes 2-pt dunk from 2 ft (assist by G. Hayward),,10,2
1,9:59.0,,Utah full timeout,10,2
1,9:48.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by J. Ingles),10,4
1,9:34.0,J. Brown misses 2-pt jump shot from 22 ft,,10,4
1,9:31.0,,Defensive rebound by J. Ingles,10,4
1,9:18.0,,R. Rubio makes 2-pt layup from 2 ft,10,6
1,9:00.0,J. Tatum misses 2-pt jump shot from 18 ft,,10,6
1,8:58.0,,Defensive rebound by R. Rubio,10,6
1,8:43.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),10,8
1,8:29.0,Offensive foul by A. Horford (drawn by R. Rubio),,10,8
1,8:29.0,Turnover by A. Horford (offensive foul),,10,8
1,8:20.0,,D. Mitchell makes 2-pt jump shot from 17 ft,10,10
1,8:05.0,J. Tatum misses 3-pt jump shot from 25 ft,,10,10
1,8:03.0,,Defensive rebound by R. Gobert,10,10
1,7:45.0,,R. Rubio makes 2-pt jump shot from 13 ft,10,12
1,7:23.0,J. Brown misses 2-pt jump shot from 8 ft,,10,12
1,7:21.0,,Defensive rebound by R. Gobert,10,12
1,7:14.0,,Personal foul by J. Brown (drawn by R. Gobert),10,12
1,7:14.0,M. Morris enters the game for G. Hayward,,10,12
1,7:14.0,M. Smart enters the game for J. Tatum,,10,12
1,7:03.0,,R. Rubio makes 2-pt jump shot from 9 ft (assist by J. Ingles),10,14
1,6:46.0,A. Horford makes 3-pt jump shot from 24 ft (assist by M. Smart),,13,14
1,6:28.0,,Turnover by R. Rubio (bad pass),13,14
1,6:28.0,,J. Crowder enters the game for D. Favors,13,14
1,6:06.0,T. Rozier misses 3-pt jump shot from 24 ft,,13,14
1,6:03.0,Offensive rebound by J. Brown,,13,14
1,6:03.0,,A. Burks enters the game for D. Mitchell,13,14
1,5:53.0,M. Morris misses 2-pt jump shot from 21 ft,,13,14
1,5:50.0,,Defensive rebound by R. Gobert,13,14
1,5:40.0,,Turnover by R. Rubio (bad pass; steal by M. Morris),13,14
1,5:33.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),,16,14
1,5:11.0,,J. Ingles makes 2-pt layup from 3 ft (assist by J. Crowder),16,16
1,5:02.0,J. Brown misses 3-pt jump shot from 25 ft,,16,16
1,4:59.0,,Defensive rebound by J. Crowder,16,16
1,4:51.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),16,18
1,4:28.0,M. Morris misses 3-pt jump shot from 24 ft,,16,18
1,4:25.0,,Defensive rebound by J. Ingles,16,18
1,4:17.0,,R. Rubio misses 3-pt jump shot from 22 ft,16,18
1,4:15.0,Defensive rebound by M. Morris,,16,18
1,4:15.0,Boston full timeout,,16,18
1,4:15.0,A. Baynes enters the game for A. Horford,,16,18
1,4:15.0,S. Ojeleye enters the game for T. Rozier,,16,18
1,4:03.0,J. Brown makes 2-pt jump shot from 15 ft,,18,18
1,3:42.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Rubio),18,21
1,3:25.0,M. Smart misses 3-pt jump shot from 26 ft,,18,21
1,3:23.0,,Defensive rebound by R. Gobert,18,21
