QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
1,11:42.0,B. Hield misses 3-pt jump shot from 24 ft,,0,0
1,11:40.0,,Defensive rebound by G. Harris,0,0
1,11:22.0,,Shooting foul by I. Shumpert (drawn by P. Millsap),0,0
1,11:22.0,,P. Millsap makes free throw 1 of 2,0,1
1,11:22.0,,P. Millsap makes free throw 2 of 2,0,2
1,11:08.0,W. Cauley-Stein makes 2-pt layup at rim (assist by I. Shumpert),,2,2
1,10:54.0,,Personal foul by W. Cauley-Stein (drawn by N. Jokić),2,2
1,10:47.0,,G. Harris makes 2-pt layup from 4 ft,2,4
1,10:39.0,D. Fox misses 2-pt jump shot from 24 ft,,2,4
1,10:37.0,,Defensive rebound by N. Jokić,2,4
1,10:20.0,,N. Jokić misses 2-pt jump shot from 14 ft,2,4
1,10:17.0,Defensive rebound by B. Hield,,2,4
1,10:09.0,N. Bjelica makes 2-pt layup from 3 ft (assist by D. Fox),,4,4
1,9:58.0,,T. Craig misses 3-pt jump shot from 23 ft,4,4
1,9:56.0,,Offensive rebound by P. Millsap,4,4
1,9:54.0,,J. Murray misses 3-pt jump shot from 25 ft,4,4
1,9:50.0,Defensive rebound by W. Cauley-Stein,,4,4
1,9:39.0,N. Bjelica misses 3-pt jump shot from 22 ft,,4,4
1,9:35.0,,Defensive rebound by N. Jokić,4,4
1,9:33.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),4,7
1,9:20.0,I. Shumpert misses 3-pt jump shot from 24 ft,,4,7
1,9:17.0,Offensive rebound by N. Bjelica,,4,7
1,9:15.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,7,7
1,8:49.0,,P. Millsap makes 2-pt layup from 2 ft,7,9
1,8:45.0,Personal foul by J. Murray (drawn by D. Fox),,7,9
1,8:39.0,Personal foul by J. Murray (drawn by W. Cauley-Stein),,7,9
1,8:39.0,,M. Morris enters the game for J. Murray,7,9
1,8:32.0,Turnover by I. Shumpert (step out of bounds),,7,9
1,8:20.0,,Turnover by N. Jokić (bad pass; steal by D. Fox),7,9
1,8:15.0,Shooting foul by P. Millsap (drawn by D. Fox),,7,9
1,8:15.0,D. Fox makes free throw 1 of 2,,8,9
1,8:15.0,D. Fox misses free throw 2 of 2,,8,9
1,8:12.0,,Defensive rebound by P. Millsap,8,9
1,7:53.0,,G. Harris makes 3-pt jump shot from 27 ft (assist by T. Craig),8,12
1,7:42.0,Turnover by B. Hield (lost ball; steal by M. Morris),,8,12
1,7:35.0,,G. Harris makes 2-pt layup from 2 ft (assist by M. Morris),8,14
1,7:28.0,Sacramento full timeout,,8,14
1,7:20.0,Personal foul by P. Millsap (drawn by N. Bjelica),,8,14
1,7:20.0,,T. Lyles enters the game for P. Millsap,8,14
1,7:07.0,I. Shumpert misses 3-pt jump shot from 25 ft,,8,14
1,7:04.0,,Defensive rebound by G. Harris,8,14
1,7:00.0,,T. Craig makes 2-pt layup from 2 ft (assist by G. Harris),8,16
1,6:47.0,Personal foul by T. Craig (drawn by N. Bjelica),,8,16
1,6:47.0,N. Bjelica makes free throw 1 of 2,,9,16
1,6:47.0,F. Mason enters the game for D. Fox,,9,16
1,6:47.0,N. Bjelica misses free throw 2 of 2,,9,16
1,6:45.0,,Defensive rebound by N. Jokić,9,16
1,6:35.0,,G. Harris makes 2-pt jump shot from 19 ft (assist by N. Jokić),9,18
1,6:25.0,N. Bjelica misses 3-pt jump shot from 25 ft,,9,18
1,6:22.0,Offensive rebound by W. Cauley-Stein,,9,18
1,6:19.0,W. Cauley-Stein makes 2-pt hook shot from 3 ft,,11,18
1,5:59.0,,N. Jokić makes 2-pt hook shot from 3 ft,11,20
1,5:45.0,N. Bjelica makes 2-pt jump shot from 5 ft,,13,20
1,5:25.0,,Turnover by N. Jokić (bad pass; steal by I. Shumpert),13,20
1,5:24.0,Personal foul by N. Jokić (drawn by I. Shumpert),,13,20
1,5:24.0,I. Shumpert makes free throw 1 of 2,,14,20
1,5:24.0,M. Bagley enters the game for N. Bjelica,,14,20
1,5:24.0,J. Jackson enters the game for B. Hield,,14,20
1,5:24.0,,J. Hernangómez enters the game for T. Craig,14,20
1,5:24.0,I. Shumpert makes free throw 2 of 2,,15,20
1,5:11.0,,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),15,22
1,5:04.0,I. Shumpert makes 2-pt layup from 2 ft (assist by F. Mason),,17,22
1,4:41.0,,J. Hernangómez misses 3-pt jump shot from 22 ft,17,22
1,4:39.0,Defensive rebound by M. Bagley,,17,22
1,4:34.0,M. Bagley makes 2-pt layup from 2 ft,,19,22
1,4:34.0,,Denver full timeout,19,22
1,4:34.0,H. Giles enters the game for W. Cauley-Stein,,19,22
1,4:15.0,,G. Harris makes 2-pt layup from 2 ft,19,24
1,4:00.0,F. Mason makes 2-pt layup from 2 ft,,21,24
1,3:48.0,,G. Harris misses 3-pt jump shot from 25 ft,21,24
1,3:45.0,Defensive rebound by I. Shumpert,,21,24
1,3:31.0,Turnover by M. Bagley (bad pass; steal by N. Jokić),,21,24
1,3:27.0,,T. Lyles makes 2-pt dunk from 2 ft,21,26
1,3:05.0,M. Bagley misses 2-pt jump shot from 9 ft,,21,26
1,3:05.0,,Defensive rebound by N. Jokić,21,26
1,2:56.0,,T. Lyles misses 3-pt jump shot from 25 ft,21,26
1,2:53.0,,Offensive rebound by N. Jokić,21,26
1,2:52.0,,N. Jokić makes 2-pt layup from 2 ft,21,28
1,2:37.0,M. Bagley makes 3-pt jump shot from 25 ft (assist by F. Mason),,24,28
1,2:09.0,,M. Morris misses 2-pt layup from 2 ft (block by J. Jackson),24,28
1,2:09.0,Defensive rebound by H. Giles,,24,28
1,2:02.0,F. Mason misses 2-pt layup from 2 ft,,24,28
1,2:00.0,,Defensive rebound by N. Jokić,24,28
1,1:55.0,,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),24,30
1,1:43.0,J. Jackson misses 3-pt jump shot from 23 ft,,24,30
1,1:43.0,,Defensive rebound by N. Jokić,24,30
1,1:30.0,,Turnover by T. Lyles (bad pass; steal by I. Shumpert),24,30
1,1:19.0,H. Giles misses 2-pt jump shot from 15 ft,,24,30
1,1:16.0,,Defensive rebound by T. Lyles,24,30
1,1:10.0,,T. Lyles misses 2-pt layup from 3 ft,24,30
1,1:09.0,,Offensive rebound by N. Jokić,24,30
1,1:09.0,,N. Jokić makes 2-pt layup from 2 ft,24,32
1,1:09.0,,Shooting foul by H. Giles (drawn by N. Jokić),24,32
1,1:09.0,Y. Ferrell enters the game for I. Shumpert,,24,32
1,1:09.0,,M. Beasley enters the game for G. Harris,24,32
1,1:09.0,,N. Jokić makes free throw 1 of 1,24,33
1,0:52.0,J. Jackson makes 2-pt jump shot from 21 ft (assist by H. Giles),,26,33
1,0:39.0,,N. Jokić misses 2-pt jump shot from 2 ft,26,33
1,0:39.0,,Offensive rebound by Team,26,33
1,0:39.0,,M. Plumlee enters the game for N. Jokić,26,33
1,0:27.0,,T. Lyles misses 2-pt jump shot from 3 ft (block by M. Bagley),26,33
1,0:25.0,Defensive rebound by Y. Ferrell,,26,33
1,0:24.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,26,33
1,0:20.0,,Defensive rebound by M. Morris,26,33
1,0:04.0,,M. Morris misses 2-pt jump shot from 6 ft,26,33
1,0:03.0,Defensive rebound by F. Mason,,26,33
1,0:02.0,Turnover by F. Mason (lost ball; steal by M. Plumlee),,26,33
1,0:01.0,,M. Morris misses 2-pt jump shot from 8 ft,26,33
1,0:00.0,,Offensive rebound by Team,26,33
2,11:37.0,,M. Beasley makes 2-pt jump shot from 4 ft,26,35
2,11:22.0,H. Giles misses 2-pt hook shot from 8 ft,,26,35
2,11:22.0,,Defensive rebound by T. Lyles,26,35
2,11:14.0,,M. Plumlee makes 2-pt jump shot from 1 ft (assist by T. Lyles),26,37
2,11:01.0,D. Fox misses 2-pt jump shot from 5 ft (block by T. Lyles),,26,37
2,11:01.0,,Defensive rebound by J. Hernangómez,26,37
2,10:45.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,26,37
2,10:40.0,,Offensive rebound by T. Lyles,26,37
2,10:40.0,,T. Lyles makes 2-pt dunk from 1 ft,26,39
2,10:26.0,H. Giles misses 2-pt jump shot from 3 ft,,26,39
2,10:26.0,,Defensive rebound by M. Plumlee,26,39
2,10:16.0,,T. Lyles makes 2-pt layup from 2 ft (assist by M. Morris),26,41
2,10:16.0,Sacramento full timeout,,26,41
2,10:16.0,W. Cauley-Stein enters the game for H. Giles,,26,41
2,10:04.0,J. Jackson makes 2-pt jump shot from 15 ft (assist by W. Cauley-Stein),,28,41
2,9:49.0,,Turnover by T. Lyles (bad pass; steal by W. Cauley-Stein),28,41
2,9:46.0,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),,30,41
2,9:46.0,Shooting foul by M. Morris (drawn by M. Bagley),,30,41
2,9:46.0,,J. Murray enters the game for M. Morris,30,41
2,9:46.0,M. Bagley misses free throw 1 of 1,,30,41
2,9:46.0,,Defensive rebound by T. Lyles,30,41
2,9:31.0,,T. Lyles misses 3-pt jump shot from 26 ft,30,41
2,9:28.0,Defensive rebound by J. Jackson,,30,41
2,9:13.0,Y. Ferrell makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,32,41
2,8:59.0,,Personal foul by D. Fox (drawn by J. Hernangómez),32,41
2,8:59.0,,P. Millsap enters the game for T. Lyles,32,41
2,8:47.0,,M. Beasley makes 2-pt jump shot from 16 ft (assist by J. Murray),32,43
2,8:28.0,J. Jackson misses 3-pt jump shot from 22 ft,,32,43
2,8:26.0,,Defensive rebound by M. Plumlee,32,43
2,8:11.0,,Personal foul by D. Fox (drawn by P. Millsap),32,43
2,8:04.0,,J. Murray misses 3-pt jump shot from 25 ft,32,43
2,7:57.0,,Offensive rebound by J. Hernangómez,32,43
2,7:57.0,,J. Hernangómez makes 2-pt layup from 1 ft,32,45
2,7:46.0,,Violation by Team (kicked ball),32,45
2,7:46.0,,T. Craig enters the game for J. Hernangómez,32,45
2,7:36.0,Turnover by D. Fox (bad pass; steal by M. Plumlee),,32,45
2,7:32.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by J. Murray),32,48
2,7:19.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Bagley),,35,48
2,7:02.0,,M. Beasley misses 3-pt jump shot from 23 ft,35,48
2,6:59.0,Defensive rebound by W. Cauley-Stein,,35,48
2,6:49.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by J. Jackson),,37,48
2,6:31.0,,Offensive foul by M. Plumlee (drawn by D. Fox),37,48
2,6:31.0,,Turnover by M. Plumlee (offensive foul),37,48
2,6:31.0,N. Bjelica enters the game for M. Bagley,,37,48
2,6:31.0,B. Hield enters the game for Y. Ferrell,,37,48
2,6:31.0,,N. Jokić enters the game for M. Plumlee,37,48
2,6:11.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),,40,48
2,6:08.0,,Denver full timeout,40,48
