QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
1,11:38.0,,R. Rubio misses 3-pt jump shot from 23 ft,0,0
1,11:36.0,Defensive rebound by P. George,,0,0
1,11:34.0,Turnover by P. George (bad pass),,0,0
1,11:28.0,,Turnover by J. Ingles (bad pass; steal by P. George),0,0
1,11:23.0,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),,2,0
1,11:14.0,,Personal foul by T. Ferguson (drawn by D. Mitchell),2,0
1,11:08.0,,J. Ingles misses 3-pt jump shot from 25 ft,2,0
1,11:04.0,,Offensive rebound by D. Mitchell,2,0
1,10:56.0,,Personal foul by P. George (drawn by R. Rubio),2,0
1,10:48.0,,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio),2,3
1,10:30.0,P. George makes 2-pt jump shot from 9 ft,,4,3
1,10:21.0,,R. Rubio misses 2-pt layup from 3 ft,4,3
1,10:20.0,,Offensive rebound by R. Gobert,4,3
1,10:19.0,,Personal foul by J. Grant (drawn by R. Gobert),4,3
1,10:17.0,,Offensive foul by D. Mitchell (drawn by T. Ferguson),4,3
1,10:17.0,,Turnover by D. Mitchell (offensive foul),4,3
1,10:09.0,S. Adams misses 2-pt jump shot from 8 ft,,4,3
1,10:05.0,,Defensive rebound by R. Rubio,4,3
1,9:51.0,,Turnover by J. Ingles (bad pass; steal by P. George),4,3
1,9:46.0,P. George misses 2-pt layup from 3 ft,,4,3
1,9:45.0,,Defensive rebound by D. Favors,4,3
1,9:38.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Favors),4,5
1,9:30.0,Personal foul by J. Ingles (drawn by P. George),,4,5
1,9:28.0,Shooting foul by R. Gobert (drawn by J. Grant),,4,5
1,9:28.0,J. Grant makes free throw 1 of 2,,5,5
1,9:28.0,J. Grant makes free throw 2 of 2,,6,5
1,9:15.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Rubio),6,7
1,8:57.0,S. Adams misses 2-pt layup from 1 ft,,6,7
1,8:56.0,Offensive rebound by S. Adams,,6,7
1,8:56.0,S. Adams makes 2-pt layup from 1 ft,,8,7
1,8:45.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),8,10
1,8:27.0,S. Adams misses 2-pt layup from 3 ft,,8,10
1,8:25.0,,Defensive rebound by R. Gobert,8,10
1,8:14.0,,R. Rubio makes 2-pt jump shot from 15 ft,8,12
1,7:49.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,8,12
1,7:41.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),8,15
1,7:29.0,J. Grant makes 3-pt jump shot from 25 ft (assist by P. George),,11,15
1,7:12.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),11,17
1,7:12.0,Oklahoma City full timeout,,11,17
