QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
1,11:47.0,,D. Favors misses 2-pt layup from 3 ft,0,0
1,11:45.0,Defensive rebound by I. Zubac,,0,0
1,11:31.0,L. Shamet misses 3-pt jump shot from 24 ft,,0,0
1,11:28.0,,Defensive rebound by R. Gobert,0,0
1,11:21.0,,Shooting foul by P. Beverley (drawn by D. Mitchell),0,0
1,11:21.0,,D. Mitchell makes free throw 1 of 2,0,1
1,11:21.0,,D. Mitchell makes free throw 2 of 2,0,2
1,11:11.0,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,,2,2
1,10:57.0,,D. Favors makes 2-pt jump shot from 19 ft (assist by D. Mitchell),2,4
1,10:44.0,I. Zubac misses 2-pt jump shot from 20 ft,,2,4
1,10:41.0,,Defensive rebound by D. Favors,2,4
1,10:31.0,,D. Mitchell misses 2-pt jump shot from 8 ft,2,4
1,10:28.0,,Offensive rebound by D. Favors,2,4
1,10:23.0,,Turnover by R. Rubio (bad pass; steal by I. Zubac),2,4
1,10:18.0,I. Zubac makes 2-pt dunk from 2 ft (assist by P. Beverley),,4,4
1,9:59.0,,R. Rubio misses 3-pt jump shot from 25 ft,4,4
1,9:52.0,Defensive rebound by L. Shamet,,4,4
1,9:50.0,Shooting foul by J. Ingles (drawn by L. Shamet),,4,4
1,9:50.0,L. Shamet makes free throw 1 of 3,,5,4
1,9:50.0,L. Shamet misses free throw 2 of 3,,5,4
1,9:50.0,Offensive rebound by Team,,5,4
1,9:50.0,L. Shamet makes free throw 3 of 3,,6,4
1,9:34.0,,R. Rubio misses 2-pt jump shot from 16 ft,6,4
1,9:32.0,Defensive rebound by L. Shamet,,6,4
1,9:25.0,Personal foul by D. Mitchell (drawn by P. Beverley),,6,4
1,9:21.0,Personal foul by D. Favors (drawn by I. Zubac),,6,4
1,9:07.0,Turnover by Team (shot clock),,6,4
1,8:54.0,,R. Rubio misses 2-pt layup from 2 ft (block by I. Zubac),6,4
1,8:54.0,,Offensive rebound by Team,6,4
1,8:52.0,,D. Favors misses 2-pt jump shot from 11 ft,6,4
1,8:50.0,Defensive rebound by I. Zubac,,6,4
1,8:45.0,P. Beverley makes 3-pt jump shot from 25 ft,,9,4
1,8:27.0,,Shooting foul by I. Zubac (drawn by R. Gobert),9,4
1,8:27.0,,R. Gobert makes free throw 1 of 2,9,5
1,8:27.0,,R. Gobert misses free throw 2 of 2,9,5
1,8:26.0,Defensive rebound by S. Gilgeous-Alexander,,9,5
1,8:16.0,D. Gallinari misses 3-pt jump shot from 25 ft,,9,5
1,8:12.0,Offensive rebound by P. Beverley,,9,5
1,8:07.0,Shooting foul by D. Favors (drawn by D. Gallinari),,9,5
1,8:07.0,D. Gallinari makes free throw 1 of 2,,10,5
1,8:07.0,,J. Crowder enters the game for D. Favors,10,5
1,8:07.0,D. Gallinari makes free throw 2 of 2,,11,5
1,7:52.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Crowder),11,8
1,7:26.0,D. Gallinari makes 2-pt jump shot from 9 ft,,13,8
1,7:19.0,,J. Ingles misses 3-pt jump shot from 26 ft,13,8
1,7:15.0,Defensive rebound by D. Gallinari,,13,8
1,7:09.0,D. Gallinari makes 2-pt jump shot from 15 ft,,15,8
1,6:59.0,,Utah full timeout,15,8
1,6:59.0,,R. O'Neale enters the game for J. Ingles,15,8
1,6:55.0,,D. Mitchell misses 3-pt jump shot from 25 ft,15,8
1,6:52.0,,Offensive rebound by Team,15,8
1,6:46.0,,D. Mitchell misses 3-pt jump shot from 24 ft,15,8
1,6:41.0,Defensive rebound by D. Gallinari,,15,8
1,6:34.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,15,8
1,6:31.0,,Defensive rebound by J. Crowder,15,8
1,6:27.0,,Personal foul by S. Gilgeous-Alexander (drawn by R. Rubio),15,8
1,6:19.0,,D. Mitchell misses 2-pt jump shot from 9 ft,15,8
1,6:17.0,Defensive rebound by I. Zubac,,15,8
1,6:09.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,,17,8
1,5:51.0,,R. Rubio makes 2-pt layup from 3 ft,17,10
1,5:29.0,S. Gilgeous-Alexander makes 2-pt jump shot from 21 ft,,19,10
1,5:14.0,,R. Rubio misses 2-pt jump shot from 9 ft (block by S. Gilgeous-Alexander),19,10
1,5:14.0,,Offensive rebound by Team,19,10
1,5:14.0,,K. Korver enters the game for R. Rubio,19,10
1,5:12.0,,J. Crowder misses 2-pt layup from 2 ft (block by D. Gallinari),19,10
1,5:08.0,Defensive rebound by P. Beverley,,19,10
1,5:04.0,I. Zubac makes 2-pt hook shot from 6 ft (assist by P. Beverley),,21,10
1,4:51.0,,Turnover by D. Mitchell (bad pass; steal by P. Beverley),21,10
1,4:45.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by I. Zubac),,24,10
1,4:43.0,,Utah full timeout,24,10
1,4:27.0,,Turnover by R. O'Neale (bad pass; steal by D. Gallinari),24,10
1,4:26.0,Personal take foul by J. Crowder (drawn by D. Gallinari),,24,10
1,4:26.0,D. Gallinari makes free throw 1 of 2,,25,10
1,4:26.0,D. Gallinari makes free throw 2 of 2,,26,10
1,4:21.0,,Personal foul by S. Gilgeous-Alexander (drawn by R. O'Neale),26,10
1,4:21.0,L. Williams enters the game for S. Gilgeous-Alexander,,26,10
1,4:14.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),26,12
1,3:57.0,D. Gallinari misses 2-pt layup from 14 ft,,26,12
1,3:57.0,Offensive rebound by D. Gallinari,,26,12
1,3:57.0,D. Gallinari makes 2-pt layup from 3 ft,,28,12
1,3:57.0,Shooting foul by R. Gobert (drawn by D. Gallinari),,28,12
1,3:57.0,M. Harrell enters the game for I. Zubac,,28,12
1,3:57.0,D. Gallinari makes free throw 1 of 1,,29,12
1,3:43.0,,Shooting foul by L. Shamet (drawn by D. Mitchell),29,12
1,3:43.0,,D. Mitchell makes free throw 1 of 2,29,13
1,3:43.0,G. Temple enters the game for L. Shamet,,29,13
1,3:43.0,,D. Mitchell makes free throw 2 of 2,29,14
1,3:32.0,Turnover by L. Williams (bad pass; steal by R. O'Neale),,29,14
1,3:28.0,,Personal foul by L. Williams (drawn by R. Gobert),29,14
1,3:28.0,,R. Gobert makes free throw 1 of 2,29,15
1,3:28.0,J. Green enters the game for D. Gallinari,,29,15
1,3:28.0,,R. Gobert makes free throw 2 of 2,29,16
1,3:15.0,L. Williams misses 2-pt jump shot from 14 ft,,29,16
1,3:11.0,,Defensive rebound by R. O'Neale,29,16
1,3:03.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. O'Neale),29,19
1,3:00.0,LA Clippers full timeout,,29,19
1,3:00.0,,J. Ingles enters the game for D. Mitchell,29,19
1,3:00.0,,R. Neto enters the game for R. O'Neale,29,19
1,2:40.0,M. Harrell misses 2-pt jump shot from 7 ft,,29,19
1,2:38.0,,Defensive rebound by R. Neto,29,19
1,2:38.0,T. Wallace enters the game for P. Beverley,,29,19
1,2:16.0,,Offensive foul by R. Gobert (drawn by M. Harrell),29,19
1,2:16.0,,Turnover by R. Gobert (offensive foul),29,19
1,2:16.0,,D. Favors enters the game for R. Gobert,29,19
1,2:09.0,L. Williams misses 2-pt jump shot from 21 ft,,29,19
1,2:06.0,,Defensive rebound by R. Neto,29,19
1,1:57.0,,J. Crowder misses 2-pt jump shot from 11 ft,29,19
1,1:53.0,,Offensive rebound by R. Neto,29,19
1,1:48.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Neto),29,22
1,1:26.0,T. Wallace misses 2-pt layup from 6 ft,,29,22
1,1:25.0,,Defensive rebound by J. Crowder,29,22
1,1:18.0,,J. Crowder misses 2-pt layup from 2 ft,29,22
1,1:17.0,,Offensive rebound by D. Favors,29,22
1,1:14.0,,D. Favors misses 2-pt layup from 2 ft,29,22
1,1:13.0,Defensive rebound by T. Wallace,,29,22
1,1:07.0,J. Green misses 3-pt jump shot from 26 ft,,29,22
1,1:04.0,,Defensive rebound by J. Crowder,29,22
1,0:52.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),29,24
1,0:50.0,Personal foul by J. Ingles (drawn by L. Williams),,29,24
1,0:50.0,L. Williams makes free throw 1 of 2,,30,24
1,0:50.0,L. Williams makes free throw 2 of 2,,31,24
1,0:37.0,,Personal foul by G. Temple (drawn by J. Ingles),31,24
1,0:37.0,,J. Ingles misses free throw 1 of 2,31,24
1,0:37.0,,Offensive rebound by Team,31,24
1,0:37.0,,J. Ingles misses free throw 2 of 2,31,24
1,0:35.0,Defensive rebound by M. Harrell,,31,24
1,0:30.0,T. Wallace misses 2-pt layup from 3 ft,,31,24
1,0:27.0,J. Green makes 2-pt dunk at rim,,33,24
1,0:27.0,Offensive rebound by J. Green,,33,24
1,0:18.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),33,26
1,0:00.0,G. Temple misses 3-pt jump shot from 23 ft (block by K. Korver),,33,26
1,0:00.0,Offensive rebound by Team,,33,26
2,11:49.0,T. Wallace misses 2-pt jump shot from 7 ft (block by D. Favors),,33,26
2,11:46.0,,Defensive rebound by D. Favors,33,26
2,11:36.0,,R. Neto misses 2-pt layup from 2 ft,33,26
2,11:33.0,Defensive rebound by M. Harrell,,33,26
2,11:29.0,T. Wallace misses 2-pt layup from 5 ft (block by D. Favors),,33,26
2,11:25.0,,Defensive rebound by J. Ingles,33,26
2,11:20.0,,R. Neto misses 3-pt jump shot from 23 ft,33,26
2,11:18.0,Defensive rebound by M. Harrell,,33,26
2,11:00.0,M. Harrell makes 2-pt layup from 5 ft,,35,26
2,10:37.0,,Turnover by K. Korver (bad pass; steal by L. Williams),35,26
2,10:33.0,G. Temple makes 2-pt layup from 3 ft (assist by L. Williams),,37,26
2,10:20.0,,Personal foul by G. Temple (drawn by J. Ingles),37,26
2,10:20.0,,T. Sefolosha enters the game for J. Crowder,37,26
2,10:13.0,,Personal foul by M. Harrell (drawn by J. Ingles),37,26
2,10:04.0,,D. Favors misses 2-pt jump shot from 11 ft,37,26
2,10:01.0,Defensive rebound by M. Harrell,,37,26
2,9:52.0,Shooting foul by T. Sefolosha (drawn by J. Green),,37,26
2,9:52.0,J. Green makes free throw 1 of 2,,38,26
2,9:52.0,J. Green makes free throw 2 of 2,,39,26
2,9:39.0,,J. Ingles misses 2-pt layup from 5 ft,39,26
2,9:38.0,,Offensive rebound by D. Favors,39,26
2,9:37.0,,D. Favors makes 2-pt dunk from 2 ft,39,28
2,9:21.0,Turnover by J. Green (bad pass; steal by T. Sefolosha),,39,28
2,9:13.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),39,30
2,8:57.0,L. Williams makes 2-pt layup from 3 ft,,41,30
2,8:39.0,,Turnover by R. Neto (bad pass; steal by G. Temple),41,30
2,8:33.0,,Loose ball foul by K. Korver (drawn by L. Williams),41,30
2,8:33.0,S. Gilgeous-Alexander enters the game for T. Wallace,,41,30
2,8:33.0,,D. Mitchell enters the game for J. Ingles,41,30
2,8:33.0,,R. O'Neale enters the game for R. Neto,41,30
2,8:24.0,M. Harrell misses 2-pt layup from 4 ft,,41,30
