QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
1,11:47.0,,J. Redick misses 2-pt jump shot from 15 ft,0,0
1,11:45.0,Defensive rebound by N. Vučević,,0,0
1,11:30.0,A. Gordon makes 2-pt jump shot from 22 ft,,2,0
1,11:12.0,,B. Simmons misses 2-pt hook shot from 10 ft,2,0
1,11:11.0,,Offensive rebound by A. Johnson,2,0
1,11:11.0,,A. Johnson misses 2-pt layup from 2 ft,2,0
1,11:11.0,Defensive rebound by J. Isaac,,2,0
1,11:02.0,Turnover by A. Gordon (bad pass; steal by B. Simmons),,2,0
1,10:54.0,,B. Simmons makes 2-pt layup from 2 ft (assist by T. Harris),2,2
1,10:34.0,A. Gordon misses 2-pt layup from 2 ft,,2,2
1,10:32.0,,Defensive rebound by A. Johnson,2,2
1,10:25.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by A. Johnson),2,5
1,10:08.0,N. Vučević misses 2-pt hook shot from 18 ft,,2,5
1,10:05.0,,Defensive rebound by J. Redick,2,5
1,10:00.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Simmons),2,7
1,9:44.0,E. Fournier misses 2-pt jump shot from 19 ft,,2,7
1,9:42.0,,Defensive rebound by B. Simmons,2,7
1,9:36.0,,A. Johnson misses 2-pt jump shot from 20 ft,2,7
1,9:33.0,Defensive rebound by E. Fournier,,2,7
1,9:29.0,J. Isaac makes 2-pt layup from 2 ft (assist by E. Fournier),,4,7
1,9:03.0,,Turnover by J. Butler (bad pass),4,7
1,8:53.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),,7,7
1,8:43.0,,B. Simmons makes 2-pt layup from 1 ft,7,9
1,8:21.0,J. Isaac makes 3-pt jump shot from 27 ft (assist by A. Gordon),,10,9
1,8:01.0,,T. Harris misses 2-pt jump shot from 11 ft,10,9
1,7:59.0,Defensive rebound by N. Vučević,,10,9
1,7:51.0,E. Fournier makes 2-pt jump shot from 15 ft,,12,9
1,7:41.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),12,12
1,7:28.0,D. Augustin makes 2-pt jump shot from 15 ft,,14,12
1,7:19.0,,A. Johnson makes 3-pt jump shot from 25 ft (assist by B. Simmons),14,15
1,6:55.0,N. Vučević makes 2-pt jump shot from 22 ft (assist by D. Augustin),,16,15
1,6:44.0,,T. Harris makes 2-pt jump shot from 17 ft,16,17
1,6:27.0,N. Vučević misses 2-pt hook shot from 12 ft,,16,17
1,6:25.0,,Defensive rebound by T. Harris,16,17
1,6:21.0,,T. Harris makes 2-pt jump shot from 11 ft,16,19
1,6:13.0,Orlando full timeout,,16,19
1,6:13.0,I. Briscoe enters the game for E. Fournier,,16,19
1,6:13.0,,M. Scott enters the game for A. Johnson,16,19
1,6:13.0,,J. Simmons enters the game for J. Redick,16,19
1,6:06.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,18,19
1,5:44.0,,T. Harris makes 3-pt jump shot from 27 ft,18,22
1,5:23.0,I. Briscoe misses 3-pt jump shot from 26 ft,,18,22
1,5:20.0,,Defensive rebound by B. Simmons,18,22
1,5:13.0,,B. Simmons misses 2-pt layup at rim,18,22
1,5:13.0,,Offensive rebound by J. Butler,18,22
1,5:13.0,,Shooting foul by J. Isaac (drawn by B. Simmons),18,22
1,5:13.0,,B. Simmons misses free throw 1 of 2,18,22
1,5:13.0,,Offensive rebound by Team,18,22
1,5:13.0,,B. Simmons makes free throw 2 of 2,18,23
1,5:01.0,A. Gordon misses 3-pt jump shot from 26 ft,,18,23
1,4:57.0,,Defensive rebound by T. Harris,18,23
1,4:51.0,,M. Scott misses 3-pt jump shot from 24 ft,18,23
1,4:48.0,Defensive rebound by J. Isaac,,18,23
