QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
1,11:45.0,,W. Ellington makes 2-pt jump shot from 8 ft (assist by R. Jackson),0,2
1,11:30.0,M. Turner misses 3-pt jump shot from 26 ft,,0,2
1,11:27.0,,Defensive rebound by R. Jackson,0,2
1,11:25.0,,Turnover by R. Jackson (bad pass),0,2
1,11:11.0,T. Young misses 3-pt jump shot from 26 ft,,0,2
1,11:09.0,,Defensive rebound by R. Jackson,0,2
1,11:01.0,,R. Jackson misses 3-pt jump shot from 23 ft,0,2
1,10:59.0,Defensive rebound by T. Young,,0,2
1,10:45.0,Turnover by B. Bogdanović (bad pass),,0,2
1,10:28.0,,Shooting foul by M. Turner (drawn by A. Drummond),0,2
1,10:28.0,,A. Drummond misses free throw 1 of 2,0,2
1,10:28.0,,Offensive rebound by Team,0,2
1,10:28.0,,A. Drummond makes free throw 2 of 2,0,3
1,10:06.0,M. Turner makes 2-pt jump shot from 19 ft (assist by C. Joseph),,2,3
1,9:48.0,,W. Ellington misses 3-pt jump shot from 26 ft,2,3
1,9:45.0,Defensive rebound by T. Evans,,2,3
1,9:41.0,Personal foul by R. Jackson (drawn by T. Evans),,2,3
1,9:28.0,C. Joseph misses 2-pt jump shot from 9 ft,,2,3
1,9:25.0,,Defensive rebound by A. Drummond,2,3
1,9:17.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,3
1,9:14.0,Defensive rebound by T. Young,,2,3
1,9:07.0,B. Bogdanović misses 2-pt layup from 2 ft,,2,3
1,9:05.0,,Defensive rebound by A. Drummond,2,3
1,8:59.0,,B. Brown misses 3-pt jump shot from 23 ft,2,3
1,8:56.0,Defensive rebound by M. Turner,,2,3
1,8:44.0,T. Evans misses 3-pt jump shot from 26 ft,,2,3
1,8:43.0,Offensive rebound by Team,,2,3
1,8:35.0,T. Evans makes 2-pt layup from 1 ft,,4,3
1,8:10.0,,W. Ellington misses 3-pt jump shot from 23 ft,4,3
1,8:07.0,Defensive rebound by M. Turner,,4,3
1,8:00.0,T. Evans misses 2-pt layup from 2 ft (block by T. Maker),,4,3
1,7:57.0,,Defensive rebound by B. Brown,4,3
1,7:55.0,,Turnover by B. Brown (turnover),4,3
1,7:46.0,T. Young makes 2-pt layup from 2 ft (assist by C. Joseph),,6,3
1,7:46.0,,Violation by Team (def goaltending),6,3
1,7:46.0,Shooting foul by T. Maker (drawn by T. Young),,6,3
1,7:46.0,T. Young makes free throw 1 of 1,,7,3
1,7:31.0,,W. Ellington makes 2-pt layup from 2 ft (assist by T. Maker),7,5
1,7:17.0,C. Joseph misses 2-pt jump shot from 18 ft,,7,5
1,7:15.0,,Defensive rebound by A. Drummond,7,5
1,7:12.0,,Personal foul by C. Joseph (drawn by R. Jackson),7,5
1,7:05.0,,A. Drummond misses 2-pt layup from 3 ft,7,5
1,7:02.0,Defensive rebound by M. Turner,,7,5
1,6:57.0,T. Evans misses 3-pt jump shot from 25 ft,,7,5
1,6:52.0,,Defensive rebound by T. Maker,7,5
1,6:33.0,,Turnover by B. Brown (bad pass; steal by B. Bogdanović),7,5
1,6:30.0,Personal foul by R. Jackson (drawn by T. Evans),,7,5
1,6:30.0,,Detroit full timeout,7,5
1,6:14.0,Turnover by C. Joseph (bad pass; steal by A. Drummond),,7,5
1,6:12.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),7,7
1,6:12.0,,Shooting foul by B. Bogdanović (drawn by A. Drummond),7,7
1,6:12.0,,A. Drummond misses free throw 1 of 1,7,7
1,6:09.0,Defensive rebound by T. Young,,7,7
1,5:48.0,C. Joseph misses 2-pt jump shot from 10 ft (block by A. Drummond),,7,7
1,5:44.0,,Defensive rebound by R. Jackson,7,7
1,5:42.0,,Turnover by R. Jackson (bad pass),7,7
1,5:31.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,7,7
1,5:31.0,,Defensive rebound by Team,7,7
1,5:07.0,,Turnover by Team (shot clock),7,7
1,5:07.0,,L. Galloway enters the game for B. Brown,7,7
1,4:46.0,M. Turner misses 2-pt jump shot from 20 ft,,7,7
1,4:42.0,,Defensive rebound by W. Ellington,7,7
1,4:41.0,,Offensive foul by R. Jackson (drawn by T. Evans),7,7
1,4:41.0,,Turnover by R. Jackson (offensive foul),7,7
1,4:41.0,D. Sabonis enters the game for T. Young,,7,7
1,4:41.0,,I. Smith enters the game for R. Jackson,7,7
1,4:19.0,B. Bogdanović misses 2-pt hook shot from 6 ft,,7,7
1,4:17.0,,Defensive rebound by A. Drummond,7,7
1,4:16.0,,Turnover by A. Drummond (lost ball; steal by D. Sabonis),7,7
1,4:10.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by C. Joseph),,9,7
1,4:04.0,,Detroit full timeout,9,7
1,4:04.0,A. Holiday enters the game for B. Bogdanović,,9,7
1,4:04.0,D. McDermott enters the game for T. Evans,,9,7
1,4:04.0,,L. Kennard enters the game for W. Ellington,9,7
1,3:51.0,,L. Galloway misses 2-pt layup from 3 ft (block by D. McDermott),9,7
1,3:49.0,Defensive rebound by Team,,9,7
1,3:38.0,Turnover by A. Holiday (bad pass; steal by A. Drummond),,9,7
1,3:33.0,,A. Drummond misses 2-pt layup from 2 ft,9,7
1,3:30.0,Defensive rebound by A. Holiday,,9,7
1,3:23.0,M. Turner makes 2-pt layup from 3 ft (assist by C. Joseph),,11,7
1,3:07.0,,A. Drummond misses 2-pt layup from 3 ft,11,7
1,3:04.0,Defensive rebound by D. Sabonis,,11,7
1,2:54.0,D. Sabonis makes 2-pt layup from 3 ft (assist by C. Joseph),,13,7
1,2:40.0,,L. Kennard misses 2-pt jump shot from 19 ft,13,7
1,2:38.0,Defensive rebound by C. Joseph,,13,7
1,2:25.0,C. Joseph misses 2-pt jump shot from 7 ft,,13,7
1,2:22.0,Offensive rebound by D. Sabonis,,13,7
1,2:21.0,D. Sabonis makes 2-pt layup from 1 ft,,15,7
1,2:05.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by A. Drummond),15,10
1,1:49.0,Turnover by D. Sabonis (3 sec),,15,10
1,1:49.0,T. Leaf enters the game for M. Turner,,15,10
1,1:49.0,,J. Leuer enters the game for T. Maker,15,10
1,1:35.0,,I. Smith makes 2-pt jump shot from 10 ft,15,12
1,1:23.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. McDermott),,17,12
1,1:23.0,Shooting foul by A. Drummond (drawn by D. Sabonis),,17,12
1,1:23.0,D. Sabonis makes free throw 1 of 1,,18,12
1,1:09.0,,L. Galloway misses 3-pt jump shot from 24 ft,18,12
1,1:06.0,Defensive rebound by A. Holiday,,18,12
1,1:01.0,A. Holiday misses 2-pt jump shot from 15 ft,,18,12
1,0:59.0,,Defensive rebound by A. Drummond,18,12
1,0:53.0,,L. Galloway misses 3-pt jump shot from 24 ft,18,12
1,0:51.0,Defensive rebound by A. Holiday,,18,12
1,0:50.0,Turnover by D. McDermott (discontinued dribble),,18,12
1,0:32.0,,L. Kennard makes 2-pt jump shot from 22 ft (assist by I. Smith),18,14
1,0:16.0,A. Holiday misses 2-pt layup from 5 ft (block by I. Smith),,18,14
1,0:16.0,Offensive rebound by Team,,18,14
1,0:07.0,C. Joseph misses 2-pt jump shot from 12 ft,,18,14
1,0:05.0,,Defensive rebound by L. Galloway,18,14
1,0:04.0,,Shooting foul by D. McDermott (drawn by L. Galloway),18,14
1,0:04.0,,L. Galloway misses free throw 1 of 2,18,14
1,0:04.0,,Offensive rebound by Team,18,14
1,0:04.0,B. Bogdanović enters the game for C. Joseph,,18,14
1,0:04.0,,L. Galloway makes free throw 2 of 2,18,15
1,0:01.0,A. Holiday misses 3-pt jump shot from 34 ft,,18,15
1,0:01.0,Offensive rebound by Team,,18,15
2,11:37.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,21,15
2,11:20.0,,I. Smith misses 3-pt jump shot from 27 ft,21,15
2,11:18.0,Defensive rebound by D. Sabonis,,21,15
2,11:05.0,A. Holiday misses 2-pt jump shot from 8 ft,,21,15
2,11:01.0,,Defensive rebound by L. Kennard,21,15
2,10:59.0,,Shooting foul by B. Bogdanović (drawn by T. Maker),21,15
2,10:59.0,,T. Maker makes free throw 1 of 2,21,16
2,10:59.0,,T. Maker makes free throw 2 of 2,21,17
2,10:41.0,Turnover by T. Leaf (lost ball; steal by T. Maker),,21,17
2,10:31.0,,L. Kennard misses 2-pt jump shot from 12 ft,21,17
2,10:29.0,Defensive rebound by T. Leaf,,21,17
2,10:23.0,D. McDermott misses 3-pt jump shot from 25 ft,,21,17
2,10:20.0,,Defensive rebound by L. Galloway,21,17
2,10:15.0,,L. Galloway misses 2-pt layup from 3 ft,21,17
2,10:12.0,Defensive rebound by D. Sabonis,,21,17
2,10:10.0,T. Leaf makes 3-pt jump shot from 24 ft (assist by A. Holiday),,24,17
2,9:54.0,,L. Galloway misses 3-pt jump shot from 26 ft,24,17
2,9:52.0,Defensive rebound by D. Sabonis,,24,17
2,9:45.0,D. Sabonis misses 2-pt jump shot from 19 ft,,24,17
2,9:43.0,Offensive rebound by Team,,24,17
2,9:28.0,T. Leaf makes 2-pt layup from 4 ft (assist by A. Holiday),,26,17
2,9:20.0,,Personal foul by A. Holiday (drawn by Z. Pachulia),26,17
2,9:11.0,,Z. Pachulia misses 2-pt layup from 2 ft,26,17
2,9:10.0,,Offensive rebound by L. Galloway,26,17
2,8:58.0,,I. Smith misses 2-pt jump shot from 16 ft,26,17
2,8:55.0,Defensive rebound by B. Bogdanović,,26,17
2,8:42.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,28,17
2,8:38.0,,Detroit full timeout,28,17
2,8:34.0,,Offensive foul by Z. Pachulia (drawn by D. Sabonis),28,17
2,8:34.0,,Turnover by Z. Pachulia (offensive foul),28,17
2,8:10.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,28,17
2,8:08.0,,Defensive rebound by Z. Pachulia,28,17
2,8:02.0,,Turnover by I. Smith (bad pass; steal by T. Leaf),28,17
2,7:59.0,D. McDermott makes 2-pt layup from 2 ft (assist by A. Holiday),,30,17
2,7:59.0,Shooting foul by Z. Pachulia (drawn by D. McDermott),,30,17
2,7:59.0,T. Young enters the game for T. Leaf,,30,17
2,7:59.0,D. McDermott misses free throw 1 of 1,,30,17
2,7:56.0,,Defensive rebound by I. Smith,30,17
2,7:44.0,,L. Kennard makes 3-pt jump shot from 27 ft,30,20
2,7:22.0,Offensive foul by D. Sabonis (drawn by Z. Pachulia),,30,20
2,7:22.0,Turnover by D. Sabonis (offensive foul),,30,20
