QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
1,11:40.0,,K. Towns makes 3-pt jump shot from 23 ft (assist by A. Wiggins),0,3
1,11:19.0,Turnover by E. Freedom (lost ball; steal by T. Jones),,0,3
1,11:06.0,,J. Okogie makes 2-pt jump shot from 18 ft (assist by D. Šarić),0,5
1,10:45.0,M. Harkless misses 2-pt layup from 3 ft,,0,5
1,10:43.0,Offensive rebound by E. Freedom,,0,5
1,10:40.0,E. Freedom makes 2-pt layup at rim,,2,5
1,10:29.0,,K. Towns makes 2-pt jump shot from 21 ft (assist by T. Jones),2,7
1,10:15.0,Shooting foul by A. Wiggins (drawn by E. Freedom),,2,7
1,10:15.0,E. Freedom misses free throw 1 of 2,,2,7
1,10:15.0,Offensive rebound by Team,,2,7
1,10:15.0,E. Freedom makes free throw 2 of 2,,3,7
1,10:07.0,,Turnover by T. Jones (bad pass; steal by R. Hood),3,7
1,10:00.0,Offensive foul by M. Harkless (drawn by K. Towns),,3,7
1,10:00.0,Turnover by M. Harkless (offensive foul),,3,7
1,9:53.0,,T. Jones makes 2-pt jump shot from 21 ft,3,9
1,9:30.0,A. Aminu misses 2-pt layup from 3 ft,,3,9
1,9:28.0,Offensive rebound by E. Freedom,,3,9
1,9:26.0,E. Freedom misses 2-pt jump shot from 3 ft,,3,9
1,9:26.0,,Defensive rebound by J. Okogie,3,9
1,9:17.0,,T. Jones misses 2-pt jump shot from 6 ft,3,9
1,9:14.0,Defensive rebound by D. Lillard,,3,9
1,8:55.0,A. Aminu makes 2-pt jump shot from 5 ft (assist by M. Harkless),,5,9
1,8:36.0,,Shooting foul by E. Freedom (drawn by K. Towns),5,9
1,8:36.0,,K. Towns makes free throw 1 of 2,5,10
1,8:36.0,,K. Towns makes free throw 2 of 2,5,11
1,8:24.0,R. Hood makes 2-pt jump shot from 12 ft,,7,11
1,8:16.0,,K. Towns misses 2-pt jump shot from 15 ft,7,11
1,8:15.0,Defensive rebound by A. Aminu,,7,11
1,8:09.0,D. Lillard misses 3-pt jump shot from 26 ft,,7,11
1,8:05.0,,Defensive rebound by J. Okogie,7,11
1,7:56.0,,Turnover by A. Wiggins (lost ball; steal by R. Hood),7,11
1,7:39.0,E. Freedom misses 2-pt layup from 2 ft,,7,11
1,7:38.0,Offensive rebound by E. Freedom,,7,11
1,7:38.0,E. Freedom makes 2-pt layup at rim,,9,11
1,7:20.0,,D. Šarić misses 3-pt jump shot from 26 ft,9,11
1,7:17.0,Defensive rebound by D. Lillard,,9,11
1,7:07.0,R. Hood makes 2-pt jump shot from 8 ft,,11,11
1,6:53.0,,A. Wiggins misses 2-pt layup from 6 ft,11,11
1,6:52.0,,Offensive rebound by A. Wiggins,11,11
1,6:52.0,,A. Wiggins misses 2-pt layup from 1 ft,11,11
1,6:50.0,Defensive rebound by A. Aminu,,11,11
1,6:45.0,A. Aminu misses 2-pt layup from 3 ft (block by K. Towns),,11,11
1,6:41.0,,Defensive rebound by K. Towns,11,11
1,6:41.0,,Turnover by K. Towns (bad pass; steal by M. Harkless),11,11
1,6:37.0,D. Lillard misses 3-pt jump shot from 26 ft,,11,11
1,6:34.0,Offensive rebound by A. Aminu,,11,11
1,6:26.0,M. Harkless makes 2-pt dunk at rim (assist by E. Freedom),,13,11
1,6:19.0,,Minnesota full timeout,13,11
1,6:10.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by K. Towns),13,14
1,5:52.0,E. Freedom makes 2-pt dunk from 2 ft (assist by D. Lillard),,15,14
1,5:38.0,,K. Towns misses 3-pt jump shot from 26 ft,15,14
1,5:36.0,Defensive rebound by R. Hood,,15,14
1,5:29.0,R. Hood makes 2-pt jump shot from 9 ft,,17,14
1,5:15.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. Jones),17,16
1,4:49.0,D. Lillard misses 2-pt jump shot from 8 ft,,17,16
1,4:48.0,Offensive rebound by E. Freedom,,17,16
1,4:48.0,E. Freedom makes 2-pt layup from 3 ft,,19,16
1,4:48.0,Shooting foul by D. Šarić (drawn by E. Freedom),,19,16
1,4:48.0,E. Freedom makes free throw 1 of 1,,20,16
