QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
1,11:46.0,,Def 3 sec tech foul by Team,0,0
1,11:46.0,,G. Hill makes technical free throw,0,1
1,11:39.0,,R. Hood makes 2-pt jump shot from 18 ft,0,3
1,11:23.0,Turnover by V. Carter (bad pass; steal by S. Dekker),,0,3
1,11:11.0,,G. Hill misses 2-pt jump shot from 10 ft,0,3
1,11:09.0,Defensive rebound by K. Bazemore,,0,3
1,11:02.0,Turnover by K. Bazemore (bad pass),,0,3
1,10:47.0,,R. Hood misses 2-pt jump shot from 15 ft,0,3
1,10:45.0,Defensive rebound by K. Bazemore,,0,3
1,10:37.0,T. Young makes 2-pt layup from 3 ft,,2,3
1,10:27.0,,G. Hill makes 2-pt jump shot from 16 ft,2,5
1,10:17.0,T. Prince misses 3-pt jump shot from 28 ft,,2,5
1,10:14.0,,Defensive rebound by T. Thompson,2,5
1,10:07.0,,C. Osman misses 3-pt jump shot from 27 ft,2,5
1,10:04.0,Defensive rebound by T. Prince,,2,5
1,9:55.0,K. Bazemore misses 3-pt jump shot from 22 ft,,2,5
1,9:53.0,,Defensive rebound by C. Osman,2,5
1,9:42.0,,T. Thompson misses 2-pt jump shot from 11 ft,2,5
1,9:41.0,,Offensive rebound by T. Thompson,2,5
1,9:38.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by T. Thompson),2,8
1,9:27.0,V. Carter makes 3-pt jump shot from 29 ft (assist by T. Young),,5,8
1,9:07.0,,Shooting foul by A. Len (drawn by G. Hill),5,8
1,9:07.0,,G. Hill makes free throw 1 of 2,5,9
1,9:07.0,,G. Hill makes free throw 2 of 2,5,10
1,9:00.0,Personal foul by G. Hill (drawn by T. Young),,5,10
1,8:55.0,Personal foul by G. Hill (drawn by A. Len),,5,10
1,8:48.0,Turnover by T. Young (bad pass),,5,10
1,8:48.0,,C. Sexton enters the game for G. Hill,5,10
1,8:32.0,,S. Dekker makes 2-pt layup from 1 ft (assist by C. Sexton),5,12
1,8:22.0,Shooting foul by C. Sexton (drawn by T. Young),,5,12
1,8:22.0,T. Young makes free throw 1 of 2,,6,12
1,8:22.0,T. Young makes free throw 2 of 2,,7,12
1,8:10.0,,C. Sexton misses 2-pt jump shot from 17 ft,7,12
1,8:07.0,Defensive rebound by K. Bazemore,,7,12
1,8:04.0,T. Young misses 3-pt jump shot from 33 ft,,7,12
1,7:59.0,,Defensive rebound by C. Osman,7,12
1,7:53.0,,R. Hood makes 2-pt dunk from 1 ft (assist by C. Osman),7,14
1,7:43.0,K. Bazemore misses 3-pt jump shot from 26 ft,,7,14
