QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
1,11:47.0,,J. Holiday misses 3-pt jump shot from 25 ft,0,0
1,11:46.0,Defensive rebound by Team,,0,0
1,11:34.0,Turnover by D. Booker (bad pass; steal by J. Parker),,0,0
1,11:29.0,,W. Carter makes 2-pt layup from 2 ft (assist by J. Parker),0,2
1,11:06.0,Turnover by I. Canaan (step out of bounds),,0,2
1,10:54.0,,J. Parker misses 2-pt dunk from 2 ft (block by T. Warren),0,2
1,10:54.0,Defensive rebound by Team,,0,2
1,10:44.0,I. Canaan misses 3-pt jump shot from 24 ft,,0,2
1,10:40.0,,Defensive rebound by J. Parker,0,2
1,10:26.0,,W. Carter makes 2-pt layup from 1 ft (assist by J. Parker),0,4
1,10:11.0,Personal foul by R. Arcidiacono (drawn by D. Booker),,0,4
1,10:07.0,D. Ayton misses 2-pt dunk from 1 ft,,0,4
1,10:05.0,Offensive rebound by D. Ayton,,0,4
1,10:01.0,D. Ayton makes 2-pt hook shot from 2 ft,,2,4
1,9:53.0,,Shooting foul by T. Warren (drawn by J. Parker),2,4
1,9:53.0,,J. Parker makes free throw 1 of 2,2,5
1,9:53.0,,J. Parker makes free throw 2 of 2,2,6
1,9:39.0,D. Booker misses 3-pt jump shot from 25 ft,,2,6
1,9:36.0,,Defensive rebound by J. Parker,2,6
1,9:30.0,,Turnover by Z. LaVine (bad pass; steal by D. Ayton),2,6
1,9:25.0,D. Booker misses 3-pt jump shot from 26 ft,,2,6
1,9:23.0,,Defensive rebound by Team,2,6
1,9:10.0,,W. Carter makes 2-pt jump shot from 14 ft,2,8
1,8:56.0,D. Ayton makes 2-pt layup from 3 ft (assist by I. Canaan),,4,8
1,8:48.0,,Z. LaVine misses 3-pt jump shot from 25 ft,4,8
1,8:46.0,Defensive rebound by D. Ayton,,4,8
1,8:40.0,T. Ariza misses 3-pt jump shot from 26 ft,,4,8
1,8:37.0,,Defensive rebound by W. Carter,4,8
1,8:25.0,,Z. LaVine misses 2-pt jump shot from 18 ft,4,8
1,8:22.0,Defensive rebound by D. Ayton,,4,8
1,8:12.0,D. Ayton makes 2-pt dunk at rim (assist by T. Ariza),,6,8
1,8:03.0,,Personal foul by I. Canaan (drawn by R. Arcidiacono),6,8
1,7:51.0,,J. Parker misses 2-pt jump shot from 17 ft,6,8
1,7:48.0,Defensive rebound by D. Ayton,,6,8
1,7:44.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by I. Canaan),,9,8
1,7:42.0,,Chicago full timeout,9,8
1,7:24.0,,Turnover by R. Arcidiacono (bad pass; steal by D. Booker),9,8
1,7:19.0,I. Canaan misses 3-pt jump shot from 23 ft,,9,8
1,7:18.0,Offensive rebound by Team,,9,8
1,7:05.0,D. Booker makes 3-pt jump shot from 24 ft (assist by I. Canaan),,12,8
1,6:53.0,,J. Holiday misses 2-pt jump shot from 20 ft,12,8
1,6:46.0,,Offensive rebound by J. Parker,12,8
1,6:46.0,,J. Parker makes 2-pt dunk at rim,12,10
1,6:33.0,Personal foul by J. Holiday (drawn by D. Ayton),,12,10
1,6:22.0,Turnover by D. Ayton (3 sec),,12,10
1,6:09.0,,Z. LaVine misses 2-pt layup from 1 ft,12,10
1,6:07.0,Defensive rebound by D. Ayton,,12,10
1,5:59.0,D. Ayton misses 2-pt jump shot from 17 ft,,12,10
1,5:56.0,,Defensive rebound by J. Parker,12,10
1,5:39.0,,W. Carter misses 3-pt jump shot from 25 ft,12,10
1,5:37.0,,Offensive rebound by R. Arcidiacono,12,10
1,5:35.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft,12,13
1,5:17.0,I. Canaan makes 3-pt jump shot from 23 ft,,15,13
1,5:04.0,,J. Holiday misses 3-pt jump shot from 25 ft,15,13
1,4:58.0,Defensive rebound by D. Ayton,,15,13
1,4:55.0,Shooting foul by J. Parker (drawn by T. Warren),,15,13
1,4:55.0,T. Warren makes free throw 1 of 2,,16,13
1,4:55.0,M. Bridges enters the game for T. Ariza,,16,13
1,4:55.0,J. Jackson enters the game for I. Canaan,,16,13
1,4:55.0,,A. Blakeney enters the game for J. Parker,16,13
1,4:55.0,T. Warren makes free throw 2 of 2,,17,13
1,4:38.0,,Turnover by J. Holiday (bad pass; steal by D. Booker),17,13
1,4:26.0,J. Jackson makes 2-pt layup from 2 ft (assist by D. Ayton),,19,13
1,4:13.0,,Z. LaVine misses 2-pt jump shot from 5 ft,19,13
1,4:11.0,Defensive rebound by J. Jackson,,19,13
1,3:54.0,T. Warren misses 3-pt jump shot from 23 ft,,19,13
1,3:48.0,,Defensive rebound by W. Carter,19,13
1,3:37.0,,Turnover by Z. LaVine (bad pass; steal by M. Bridges),19,13
1,3:32.0,T. Warren makes 2-pt layup from 1 ft (assist by J. Jackson),,21,13
1,3:32.0,,Chicago full timeout,21,13
1,3:32.0,,R. Lopez enters the game for W. Carter,21,13
1,3:32.0,,C. Payne enters the game for Z. LaVine,21,13
1,3:17.0,,Personal foul by D. Booker (drawn by R. Arcidiacono),21,13
1,3:02.0,,R. Lopez makes 2-pt hook shot from 6 ft,21,15
1,2:47.0,T. Warren misses 2-pt jump shot from 16 ft,,21,15
1,2:45.0,,Defensive rebound by C. Payne,21,15
1,2:30.0,,A. Blakeney misses 2-pt jump shot from 9 ft,21,15
1,2:27.0,Defensive rebound by D. Ayton,,21,15
1,2:19.0,D. Booker misses 2-pt layup from 2 ft,,21,15
1,2:17.0,,Defensive rebound by C. Payne,21,15
1,2:11.0,,R. Lopez misses 3-pt jump shot from 25 ft,21,15
1,2:07.0,Defensive rebound by T. Warren,,21,15
1,2:03.0,D. Ayton makes 2-pt jump shot from 14 ft (assist by D. Booker),,23,15
1,1:48.0,,J. Holiday makes 2-pt jump shot from 15 ft (assist by C. Payne),23,17
1,1:29.0,D. Booker misses 3-pt jump shot from 25 ft,,23,17
1,1:25.0,Offensive rebound by J. Jackson,,23,17
1,1:14.0,J. Jackson misses 2-pt jump shot from 20 ft,,23,17
1,1:12.0,Offensive rebound by Team,,23,17
1,1:12.0,J. Crawford enters the game for M. Bridges,,23,17
1,1:12.0,,J. Parker enters the game for J. Holiday,23,17
1,1:03.0,D. Booker misses 2-pt layup from 1 ft (block by R. Lopez),,23,17
1,1:00.0,,Defensive rebound by J. Parker,23,17
1,0:58.0,,R. Arcidiacono makes 3-pt jump shot from 24 ft (assist by J. Parker),23,20
1,0:43.0,J. Jackson makes 2-pt dunk from 1 ft (assist by D. Booker),,25,20
