QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
1,11:42.0,Turnover by D. Dotson (out of bounds lost ball),,0,0
1,11:33.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Lowry),0,3
1,11:12.0,K. Knox misses 3-pt jump shot from 25 ft,,0,3
1,11:10.0,Offensive rebound by D. Jordan,,0,3
1,11:08.0,D. Dotson makes 3-pt jump shot from 24 ft (assist by D. Jordan),,3,3
1,10:42.0,,D. Green makes 2-pt jump shot from 14 ft (assist by K. Lowry),3,5
1,10:24.0,D. Jordan misses 2-pt jump shot from 13 ft (block by M. Gasol),,3,5
1,10:21.0,,Defensive rebound by M. Gasol,3,5
1,10:20.0,,Turnover by M. Gasol (bad pass; steal by M. Hezonja),3,5
1,10:16.0,E. Mudiay makes 3-pt jump shot from 23 ft (assist by M. Hezonja),,6,5
1,10:06.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by F. VanVleet),6,8
1,9:51.0,Shooting foul by M. Gasol (drawn by D. Jordan),,6,8
1,9:51.0,D. Jordan makes free throw 1 of 2,,7,8
1,9:51.0,D. Jordan makes free throw 2 of 2,,8,8
1,9:32.0,,M. Gasol makes 2-pt hook shot from 5 ft (assist by F. VanVleet),8,10
1,9:18.0,M. Hezonja makes 2-pt jump shot from 15 ft (assist by E. Mudiay),,10,10
1,9:11.0,,P. Siakam misses 2-pt jump shot from 7 ft,10,10
1,9:11.0,Defensive rebound by Team,,10,10
1,8:54.0,Turnover by D. Jordan (bad pass),,10,10
1,8:41.0,,D. Green makes 3-pt jump shot from 23 ft (assist by F. VanVleet),10,13
1,8:31.0,Offensive foul by D. Dotson (drawn by K. Lowry),,10,13
1,8:31.0,Turnover by D. Dotson (offensive foul),,10,13
1,8:11.0,,Shooting foul by D. Jordan (drawn by M. Gasol),10,13
1,8:11.0,,M. Gasol makes free throw 1 of 2,10,14
1,8:11.0,,M. Gasol makes free throw 2 of 2,10,15
1,8:06.0,New York full timeout,,10,15
1,7:50.0,E. Mudiay makes 2-pt jump shot from 17 ft,,12,15
1,7:25.0,,K. Lowry misses 3-pt jump shot from 26 ft,12,15
1,7:22.0,,Offensive rebound by P. Siakam,12,15
1,7:14.0,,Personal foul by K. Knox (drawn by M. Gasol),12,15
1,7:03.0,,Personal foul by M. Hezonja (drawn by M. Gasol),12,15
1,6:52.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),12,18
1,6:24.0,E. Mudiay misses 3-pt jump shot from 29 ft,,12,18
1,6:21.0,,Defensive rebound by F. VanVleet,12,18
1,6:17.0,,F. VanVleet makes 2-pt layup from 2 ft,12,20
1,6:06.0,K. Knox misses 2-pt jump shot from 19 ft,,12,20
1,6:03.0,,Defensive rebound by D. Green,12,20
1,5:53.0,,P. Siakam makes 2-pt hook shot from 3 ft,12,22
1,5:46.0,New York full timeout,,12,22
1,5:46.0,M. Robinson enters the game for D. Jordan,,12,22
1,5:46.0,A. Trier enters the game for K. Knox,,12,22
1,5:37.0,D. Dotson misses 3-pt jump shot from 24 ft,,12,22
1,5:33.0,Offensive rebound by A. Trier,,12,22
1,5:30.0,D. Dotson makes 3-pt jump shot from 24 ft (assist by A. Trier),,15,22
1,5:22.0,,Turnover by K. Lowry (bad pass; steal by D. Dotson),15,22
1,5:18.0,D. Dotson makes 2-pt dunk at rim,,17,22
1,5:02.0,,P. Siakam makes 2-pt hook shot from 4 ft,17,24
1,4:48.0,E. Mudiay misses 3-pt jump shot from 26 ft,,17,24
1,4:46.0,,Defensive rebound by M. Gasol,17,24
1,4:34.0,,Turnover by K. Lowry (bad pass; steal by D. Dotson),17,24
1,4:29.0,D. Dotson misses 3-pt jump shot from 29 ft,,17,24
1,4:26.0,,Defensive rebound by K. Lowry,17,24
1,4:24.0,,Shooting foul by M. Robinson (drawn by D. Green),17,24
1,4:24.0,,D. Green misses free throw 1 of 2,17,24
1,4:24.0,,Offensive rebound by Team,17,24
1,4:24.0,K. Allen enters the game for E. Mudiay,,17,24
1,4:24.0,,J. Lin enters the game for K. Lowry,17,24
1,4:24.0,,D. Green makes free throw 2 of 2,17,25
1,4:14.0,K. Allen misses 2-pt jump shot from 11 ft,,17,25
1,4:10.0,,Defensive rebound by P. Siakam,17,25
1,4:00.0,,Turnover by P. Siakam (bad pass; steal by M. Hezonja),17,25
1,3:45.0,A. Trier makes 2-pt jump shot from 15 ft,,19,25
1,3:28.0,,D. Green makes 3-pt jump shot from 27 ft (assist by F. VanVleet),19,28
1,3:01.0,A. Trier misses 2-pt jump shot from 11 ft,,19,28
1,2:59.0,,Defensive rebound by M. Gasol,19,28
1,2:41.0,,Shooting foul by M. Robinson (drawn by J. Lin),19,28
1,2:41.0,,J. Lin misses free throw 1 of 2,19,28
1,2:41.0,,Offensive rebound by Team,19,28
1,2:41.0,,O. Anunoby enters the game for M. Gasol,19,28
1,2:41.0,,E. Moreland enters the game for D. Green,19,28
1,2:41.0,,N. Powell enters the game for P. Siakam,19,28
1,2:41.0,,J. Lin makes free throw 2 of 2,19,29
1,2:29.0,Shooting foul by E. Moreland (drawn by A. Trier),,19,29
1,2:29.0,A. Trier makes free throw 1 of 2,,20,29
1,2:29.0,A. Trier makes free throw 2 of 2,,21,29
1,2:13.0,,N. Powell makes 2-pt layup from 2 ft,21,31
1,2:03.0,M. Hezonja misses 3-pt jump shot from 23 ft,,21,31
1,2:00.0,,Defensive rebound by E. Moreland,21,31
1,1:44.0,,O. Anunoby makes 2-pt hook shot from 3 ft (assist by F. VanVleet),21,33
1,1:27.0,M. Hezonja makes 2-pt layup from 5 ft,,23,33
1,1:02.0,,F. VanVleet makes 2-pt layup from 3 ft,23,35
1,1:02.0,,Shooting foul by M. Robinson (drawn by F. VanVleet),23,35
1,1:02.0,D. Jordan enters the game for D. Dotson,,23,35
1,1:02.0,K. Knox enters the game for M. Hezonja,,23,35
1,1:02.0,L. Thomas enters the game for M. Robinson,,23,35
1,1:02.0,,F. VanVleet makes free throw 1 of 1,23,36
1,0:43.0,Shooting foul by E. Moreland (drawn by L. Thomas),,23,36
1,0:43.0,L. Thomas misses free throw 1 of 2,,23,36
1,0:43.0,Offensive rebound by Team,,23,36
1,0:43.0,L. Thomas makes free throw 2 of 2,,24,36
1,0:30.0,,O. Anunoby misses 3-pt jump shot from 26 ft,24,36
1,0:27.0,Defensive rebound by D. Jordan,,24,36
1,0:27.0,Personal foul by E. Moreland (drawn by K. Knox),,24,36
1,0:27.0,K. Knox makes free throw 1 of 2,,25,36
1,0:27.0,M. Hezonja enters the game for D. Jordan,,25,36
1,0:27.0,,P. McCaw enters the game for E. Moreland,25,36
1,0:27.0,K. Knox makes free throw 2 of 2,,26,36
1,0:05.0,,N. Powell makes 2-pt layup from 2 ft,26,38
1,0:01.0,Offensive foul by K. Allen (drawn by J. Lin),,26,38
1,0:01.0,Turnover by K. Allen (offensive foul),,26,38
1,0:01.0,D. Jordan enters the game for K. Knox,,26,38
1,0:01.0,,Turnover by N. Powell (inbound),26,38
1,0:00.0,A. Trier makes 3-pt jump shot from 25 ft (assist by M. Hezonja),,29,38
2,11:45.0,,O. Anunoby misses 3-pt jump shot from 26 ft,29,38
2,11:42.0,Defensive rebound by D. Jordan,,29,38
2,11:30.0,K. Knox misses 2-pt hook shot from 10 ft,,29,38
2,11:27.0,,Defensive rebound by J. Lin,29,38
2,11:25.0,,Turnover by J. Lin (bad pass; steal by K. Knox),29,38
