QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
1,11:31.0,,J. Green makes 2-pt jump shot from 21 ft (assist by T. Ariza),0,2
1,11:11.0,Turnover by C. Zeller (bad pass),,0,2
1,10:55.0,,B. Beal makes 2-pt jump shot from 19 ft,0,4
1,10:41.0,K. Walker misses 3-pt jump shot from 26 ft,,0,4
1,10:38.0,,Defensive rebound by T. Bryant,0,4
1,10:33.0,,J. Green misses 3-pt jump shot from 23 ft,0,4
1,10:31.0,Defensive rebound by C. Zeller,,0,4
1,10:24.0,C. Zeller makes 2-pt layup from 3 ft (assist by K. Walker),,2,4
1,10:07.0,,Personal foul by J. Lamb (drawn by T. Ariza),2,4
1,10:01.0,,T. Satoranský misses 2-pt jump shot from 6 ft,2,4
1,9:59.0,Defensive rebound by C. Zeller,,2,4
1,9:53.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,5,4
1,9:38.0,,Turnover by B. Beal (bad pass; steal by N. Batum),5,4
1,9:35.0,Turnover by M. Williams (lost ball; steal by B. Beal),,5,4
1,9:09.0,,T. Ariza misses 2-pt jump shot from 6 ft,5,4
1,9:07.0,Defensive rebound by J. Lamb,,5,4
1,8:55.0,J. Lamb misses 2-pt jump shot from 4 ft,,5,4
1,8:53.0,Offensive rebound by C. Zeller,,5,4
1,8:44.0,J. Lamb misses 2-pt jump shot from 5 ft,,5,4
1,8:41.0,Offensive rebound by C. Zeller,,5,4
1,8:41.0,C. Zeller makes 2-pt layup from 1 ft,,7,4
1,8:25.0,,T. Bryant makes 2-pt layup from 2 ft (assist by T. Ariza),7,6
1,8:25.0,,Shooting foul by M. Williams (drawn by T. Bryant),7,6
1,8:25.0,,T. Bryant makes free throw 1 of 1,7,7
1,8:14.0,K. Walker makes 2-pt layup from 4 ft (assist by M. Williams),,9,7
1,7:58.0,,T. Bryant misses 3-pt jump shot from 26 ft,9,7
1,7:55.0,Defensive rebound by M. Williams,,9,7
1,7:48.0,K. Walker misses 2-pt hook shot from 6 ft,,9,7
1,7:47.0,Offensive rebound by C. Zeller,,9,7
1,7:47.0,C. Zeller misses 2-pt layup from 3 ft,,9,7
1,7:45.0,,Defensive rebound by T. Satoranský,9,7
1,7:39.0,,B. Beal misses 2-pt jump shot from 5 ft,9,7
1,7:35.0,Defensive rebound by J. Lamb,,9,7
1,7:35.0,Shooting foul by T. Ariza (drawn by J. Lamb),,9,7
1,7:35.0,J. Lamb misses free throw 1 of 2,,9,7
1,7:35.0,Offensive rebound by Team,,9,7
1,7:35.0,J. Lamb makes free throw 2 of 2,,10,7
1,7:20.0,,T. Satoranský misses 2-pt jump shot from 13 ft,10,7
1,7:17.0,Defensive rebound by J. Lamb,,10,7
1,7:01.0,M. Williams makes 2-pt layup from 3 ft (assist by C. Zeller),,12,7
1,7:00.0,,Washington full timeout,12,7
1,6:41.0,,T. Ariza misses 2-pt jump shot from 15 ft,12,7
1,6:34.0,,Offensive rebound by T. Satoranský,12,7
1,6:32.0,,Turnover by J. Green (offensive foul),12,7
1,6:32.0,,Offensive foul by J. Green (drawn by K. Walker),12,7
1,6:20.0,N. Batum makes 3-pt jump shot from 24 ft (assist by C. Zeller),,15,7
1,6:07.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Ariza),15,9
1,5:43.0,Turnover by N. Batum (bad pass; steal by J. Green),,15,9
1,5:33.0,,B. Beal misses 3-pt jump shot from 26 ft,15,9
1,5:31.0,Defensive rebound by K. Walker,,15,9
1,5:24.0,M. Williams misses 3-pt jump shot from 23 ft,,15,9
1,5:21.0,,Defensive rebound by J. Green,15,9
1,5:17.0,,T. Ariza misses 3-pt jump shot from 28 ft,15,9
1,5:13.0,Defensive rebound by M. Williams,,15,9
1,5:09.0,C. Zeller makes 2-pt layup from 3 ft (assist by M. Williams),,17,9
1,4:56.0,,T. Bryant misses 2-pt hook shot from 6 ft,17,9
1,4:55.0,,Offensive rebound by T. Ariza,17,9
