QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
1,7:02.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by L. Kornet),15,16
1,6:47.0,D. Jones makes 2-pt layup from 3 ft (assist by D. Waiters),,17,16
1,6:38.0,,Turnover by E. Mudiay (bad pass; steal by D. Waiters),17,16
1,6:34.0,G. Dragić makes 2-pt layup from 1 ft (assist by D. Waiters),,19,16
1,6:17.0,,K. Knox makes 2-pt layup from 1 ft (assist by D. Dotson),19,18
1,5:56.0,D. Waiters misses 3-pt jump shot from 24 ft,,19,18
1,5:54.0,,Defensive rebound by D. Dotson,19,18
1,5:39.0,,Shooting foul by D. Jones (drawn by D. Dotson),19,18
1,5:39.0,,New York full timeout,19,18
1,5:39.0,,D. Dotson makes free throw 1 of 2,19,19
1,5:39.0,,D. Dotson makes free throw 2 of 2,19,20
1,5:15.0,G. Dragić misses 2-pt layup from 2 ft,,19,20
1,5:13.0,,Defensive rebound by M. Robinson,19,20
1,4:53.0,,K. Knox misses 2-pt jump shot from 10 ft,19,20
1,4:51.0,Defensive rebound by K. Olynyk,,19,20
1,4:38.0,D. Waiters misses 2-pt layup from 3 ft (block by M. Robinson),,19,20
1,4:37.0,Offensive rebound by Team,,19,20
1,4:37.0,D. Wade enters the game for G. Dragić,,19,20
1,4:37.0,,L. Thomas enters the game for L. Kornet,19,20
1,4:32.0,D. Waiters makes 3-pt jump shot from 23 ft,,22,20
1,4:19.0,,D. Dotson misses 3-pt jump shot from 24 ft,22,20
1,4:17.0,Defensive rebound by K. Olynyk,,22,20
1,4:06.0,Personal foul by L. Thomas (drawn by B. Adebayo),,22,20
1,4:06.0,J. Johnson enters the game for D. Jones,,22,20
1,4:06.0,D. Robinson enters the game for K. Olynyk,,22,20
1,4:06.0,,D. Smith enters the game for D. Dotson,22,20
1,3:56.0,Turnover by D. Robinson (bad pass; steal by M. Robinson),,22,20
1,3:56.0,,Personal foul by D. Robinson (drawn by E. Mudiay),22,20
1,3:56.0,,E. Mudiay makes free throw 1 of 2,22,21
1,3:56.0,,E. Mudiay makes free throw 2 of 2,22,22
1,3:47.0,Turnover by D. Wade (bad pass; steal by M. Robinson),,22,22
1,3:41.0,,K. Knox misses 3-pt jump shot from 25 ft,22,22
1,3:39.0,,Offensive rebound by M. Robinson,22,22
