QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
1,11:39.0,,P. George misses 3-pt jump shot from 27 ft,0,0
1,11:36.0,Defensive rebound by J. Murray,,0,0
1,11:21.0,N. Jokić makes 2-pt jump shot from 13 ft,,2,0
1,11:04.0,,J. Grant makes 2-pt jump shot from 19 ft (assist by R. Westbrook),2,2
1,10:49.0,J. Murray makes 2-pt layup from 2 ft (assist by G. Harris),,4,2
1,10:38.0,,R. Westbrook makes 2-pt layup from 3 ft,4,4
1,10:23.0,W. Barton makes 3-pt jump shot from 27 ft (assist by J. Murray),,7,4
1,10:07.0,,R. Westbrook misses 2-pt layup at rim,7,4
1,10:03.0,,Offensive rebound by R. Westbrook,7,4
1,10:03.0,,R. Westbrook misses 2-pt dunk at rim,7,4
1,10:02.0,Defensive rebound by N. Jokić,,7,4
1,9:56.0,J. Murray misses 3-pt jump shot from 25 ft,,7,4
1,9:53.0,,Defensive rebound by J. Grant,7,4
1,9:49.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),7,6
1,9:31.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,9,6
1,9:11.0,,S. Adams misses 2-pt hook shot from 10 ft,9,6
1,9:09.0,Defensive rebound by P. Millsap,,9,6
1,8:47.0,Turnover by N. Jokić (bad pass),,9,6
1,8:37.0,,P. George misses 3-pt jump shot from 22 ft,9,6
1,8:34.0,Defensive rebound by N. Jokić,,9,6
1,8:17.0,J. Murray misses 2-pt jump shot from 12 ft,,9,6
1,8:17.0,,Defensive rebound by Team,9,6
1,8:17.0,Loose ball foul by N. Jokić (drawn by P. George),,9,6
1,8:17.0,,Oklahoma City full timeout,9,6
1,8:06.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),9,9
1,7:44.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,12,9
1,7:21.0,,R. Westbrook makes 3-pt jump shot from 23 ft,12,12
1,7:02.0,P. Millsap makes 2-pt layup from 4 ft (assist by J. Murray),,14,12
1,6:54.0,,Shooting foul by P. Millsap (drawn by R. Westbrook),14,12
1,6:54.0,,R. Westbrook misses free throw 1 of 2,14,12
1,6:54.0,,Offensive rebound by Team,14,12
1,6:54.0,,R. Westbrook makes free throw 2 of 2,14,13
1,6:43.0,,Violation by Team (kicked ball),14,13
1,6:36.0,W. Barton misses 3-pt jump shot from 25 ft,,14,13
1,6:34.0,,Defensive rebound by R. Westbrook,14,13
1,6:27.0,,S. Adams misses 2-pt jump shot from 8 ft,14,13
1,6:24.0,Defensive rebound by N. Jokić,,14,13
1,6:15.0,P. Millsap makes 2-pt jump shot from 8 ft,,16,13
1,6:01.0,,Turnover by P. George (bad pass; steal by J. Murray),16,13
1,5:48.0,W. Barton makes 2-pt layup from 3 ft (assist by G. Harris),,18,13
1,5:37.0,,P. George makes 2-pt jump shot from 8 ft,18,15
1,5:17.0,J. Murray makes 2-pt jump shot from 15 ft,,20,15
1,5:07.0,,P. George makes 2-pt jump shot from 2 ft (assist by R. Westbrook),20,17
1,5:07.0,,Shooting foul by W. Barton (drawn by P. George),20,17
1,5:07.0,M. Plumlee enters the game for P. Millsap,,20,17
1,5:07.0,,P. George misses free throw 1 of 1,20,17
1,5:05.0,Defensive rebound by N. Jokić,,20,17
1,4:57.0,W. Barton misses 2-pt layup from 5 ft (block by J. Grant),,20,17
1,4:55.0,,Defensive rebound by P. George,20,17
1,4:55.0,,Personal take foul by M. Plumlee (drawn by P. George),20,17
1,4:55.0,,D. Schröder enters the game for P. George,20,17
1,4:44.0,,T. Ferguson misses 3-pt jump shot from 25 ft,20,17
1,4:41.0,Defensive rebound by J. Murray,,20,17
1,4:37.0,Personal foul by J. Grant (drawn by M. Plumlee),,20,17
1,4:25.0,W. Barton misses 2-pt jump shot from 10 ft,,20,17
1,4:25.0,,Defensive rebound by Team,20,17
1,4:25.0,Loose ball foul by W. Barton (drawn by T. Ferguson),,20,17
1,4:25.0,,T. Ferguson makes free throw 1 of 2,20,18
1,4:25.0,M. Morris enters the game for W. Barton,,20,18
1,4:25.0,,T. Ferguson makes free throw 2 of 2,20,19
