QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
1,11:38.0,,M. Harkless makes 2-pt jump shot from 6 ft (assist by D. Lillard),0,2
1,11:14.0,M. Conley misses 3-pt jump shot from 24 ft,,0,2
1,11:11.0,,Defensive rebound by A. Aminu,0,2
1,11:01.0,,M. Harkless misses 3-pt jump shot from 25 ft,0,2
1,10:59.0,Defensive rebound by K. Anderson,,0,2
1,10:55.0,,Violation by Team (kicked ball),0,2
1,10:41.0,K. Anderson makes 2-pt layup from 1 ft,,2,2
1,10:24.0,,D. Lillard misses 3-pt jump shot from 28 ft,2,2
1,10:22.0,Defensive rebound by K. Anderson,,2,2
1,10:09.0,Shooting foul by A. Aminu (drawn by J. Jackson),,2,2
1,10:09.0,J. Jackson makes free throw 1 of 2,,3,2
1,10:09.0,J. Jackson makes free throw 2 of 2,,4,2
1,9:53.0,,Turnover by J. Nurkić (lost ball; steal by K. Anderson),4,2
1,9:48.0,K. Anderson makes 2-pt layup from 1 ft (assist by G. Temple),,6,2
1,9:40.0,,C. McCollum makes 2-pt jump shot from 12 ft,6,4
1,9:12.0,M. Conley misses 3-pt jump shot from 26 ft (block by D. Lillard),,6,4
1,9:10.0,,Defensive rebound by D. Lillard,6,4
1,9:06.0,,A. Aminu misses 2-pt layup from 3 ft (block by J. Jackson),6,4
1,9:04.0,Defensive rebound by J. Jackson,,6,4
1,8:59.0,J. Jackson makes 2-pt layup from 2 ft,,8,4
1,8:53.0,,Personal foul by G. Temple (drawn by C. McCollum),8,4
1,8:46.0,,Turnover by C. McCollum (bad pass; steal by M. Gasol),8,4
1,8:34.0,J. Jackson misses 2-pt hook shot from 4 ft,,8,4
1,8:33.0,,Defensive rebound by M. Harkless,8,4
1,8:26.0,,D. Lillard misses 2-pt jump shot from 13 ft,8,4
1,8:23.0,Defensive rebound by K. Anderson,,8,4
1,8:09.0,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),,10,4
1,7:53.0,Violation by Team (kicked ball),,10,4
1,7:48.0,,Turnover by J. Nurkić (bad pass; steal by G. Temple),10,4
1,7:38.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gasol),,13,4
1,7:37.0,,Portland full timeout,13,4
1,7:23.0,,C. McCollum misses 3-pt jump shot from 27 ft,13,4
1,7:21.0,Defensive rebound by J. Jackson,,13,4
1,7:12.0,J. Jackson misses 2-pt hook shot from 3 ft,,13,4
1,7:10.0,,Defensive rebound by C. McCollum,13,4
1,6:59.0,,D. Lillard misses 2-pt layup from 2 ft,13,4
1,6:58.0,Defensive rebound by M. Conley,,13,4
1,6:37.0,G. Temple makes 2-pt jump shot from 6 ft,,15,4
1,6:16.0,,Turnover by D. Lillard (bad pass; steal by K. Anderson),15,4
1,6:06.0,Offensive foul by J. Jackson (drawn by A. Aminu),,15,4
1,6:06.0,Turnover by J. Jackson (offensive foul),,15,4
1,6:06.0,J. Green enters the game for J. Jackson,,15,4
1,5:41.0,,C. McCollum makes 2-pt layup from 1 ft,15,6
1,5:20.0,G. Temple misses 2-pt jump shot from 17 ft,,15,6
1,5:19.0,Offensive rebound by K. Anderson,,15,6
1,5:10.0,Turnover by J. Green (lost ball; steal by M. Harkless),,15,6
1,5:07.0,,Shooting foul by M. Gasol (drawn by M. Harkless),15,6
1,5:07.0,,M. Harkless makes free throw 1 of 2,15,7
1,5:07.0,,M. Leonard enters the game for J. Nurkić,15,7
1,5:07.0,,M. Harkless makes free throw 2 of 2,15,8
1,4:47.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,17,8
1,4:36.0,,Offensive foul by A. Aminu (drawn by M. Conley),17,8
1,4:36.0,,Turnover by A. Aminu (offensive foul),17,8
1,4:36.0,W. Selden enters the game for K. Anderson,,17,8
1,4:36.0,,Z. Collins enters the game for A. Aminu,17,8
1,4:36.0,,E. Turner enters the game for M. Harkless,17,8
1,4:14.0,J. Green misses 2-pt hook shot from 5 ft,,17,8
1,4:11.0,,Defensive rebound by Team,17,8
1,3:55.0,,Turnover by D. Lillard (traveling),17,8
1,3:55.0,J. Carter enters the game for M. Conley,,17,8
1,3:55.0,S. Mack enters the game for G. Temple,,17,8
1,3:35.0,W. Selden misses 3-pt jump shot from 25 ft,,17,8
1,3:32.0,,Defensive rebound by Z. Collins,17,8
1,3:25.0,,D. Lillard misses 2-pt layup from 2 ft,17,8
1,3:23.0,Defensive rebound by W. Selden,,17,8
1,3:21.0,Turnover by W. Selden (traveling),,17,8
1,3:07.0,,M. Leonard misses 3-pt jump shot from 25 ft,17,8
1,3:05.0,,Offensive rebound by Team,17,8
1,3:05.0,,S. Curry enters the game for C. McCollum,17,8
1,2:56.0,,E. Turner makes 2-pt layup at rim,17,10
1,2:56.0,Violation by Team (def goaltending),,17,10
1,2:41.0,J. Green misses 2-pt layup from 1 ft,,17,10
1,2:38.0,,Defensive rebound by D. Lillard,17,10
1,2:34.0,,Turnover by D. Lillard (bad pass),17,10
1,2:34.0,Memphis full timeout,,17,10
1,2:23.0,Turnover by J. Green (traveling),,17,10
1,2:06.0,,Turnover by E. Turner (bad pass; steal by M. Gasol),17,10
1,1:52.0,W. Selden misses 2-pt jump shot from 5 ft,,17,10
1,1:50.0,,Defensive rebound by D. Lillard,17,10
1,1:43.0,,M. Leonard misses 3-pt jump shot from 26 ft,17,10
1,1:42.0,,Offensive rebound by Z. Collins,17,10
1,1:42.0,,Personal foul by W. Selden (drawn by Z. Collins),17,10
1,1:42.0,,N. Stauskas enters the game for D. Lillard,17,10
1,1:36.0,,Z. Collins misses 3-pt jump shot from 24 ft,17,10
1,1:34.0,Defensive rebound by M. Gasol,,17,10
1,1:25.0,M. Gasol misses 3-pt jump shot from 26 ft,,17,10
1,1:25.0,,Defensive rebound by Team,17,10
1,1:25.0,Loose ball foul by J. Green (drawn by Z. Collins),,17,10
1,1:25.0,,Z. Collins makes free throw 1 of 2,17,11
1,1:25.0,,Z. Collins makes free throw 2 of 2,17,12
1,1:14.0,Personal foul by M. Leonard (drawn by M. Gasol),,17,12
1,1:08.0,M. Gasol misses 2-pt jump shot from 21 ft,,17,12
1,1:05.0,,Defensive rebound by S. Curry,17,12
1,1:00.0,,E. Turner misses 2-pt jump shot from 6 ft,17,12
1,0:59.0,Defensive rebound by M. Gasol,,17,12
1,0:57.0,Turnover by M. Gasol (bad pass; steal by M. Leonard),,17,12
1,0:56.0,,M. Leonard makes 2-pt dunk at rim,17,14
1,0:47.0,J. Carter misses 2-pt jump shot from 17 ft,,17,14
1,0:43.0,,Defensive rebound by M. Leonard,17,14
1,0:31.0,,M. Leonard makes 3-pt jump shot from 28 ft (assist by E. Turner),17,17
1,0:24.0,Memphis full timeout,,17,17
1,0:24.0,M. Conley enters the game for J. Carter,,17,17
1,0:24.0,J. Jackson enters the game for J. Green,,17,17
1,0:11.0,Shooting foul by S. Curry (drawn by M. Conley),,17,17
1,0:11.0,M. Conley misses free throw 1 of 2,,17,17
1,0:11.0,Offensive rebound by Team,,17,17
1,0:11.0,M. Conley makes free throw 2 of 2,,18,17
1,0:00.0,,S. Curry misses 2-pt layup from 2 ft,18,17
1,0:00.0,Defensive rebound by W. Selden,,18,17
2,11:45.0,M. Conley misses 3-pt jump shot from 24 ft,,18,17
2,11:42.0,Offensive rebound by W. Selden,,18,17
2,11:38.0,W. Selden misses 3-pt jump shot from 24 ft,,18,17
2,11:35.0,,Defensive rebound by M. Leonard,18,17
2,11:18.0,,E. Turner makes 2-pt jump shot from 14 ft,18,19
2,11:10.0,Personal foul by M. Leonard (drawn by J. Jackson),,18,19
2,11:01.0,J. Green misses 3-pt jump shot from 25 ft,,18,19
2,10:58.0,,Defensive rebound by M. Leonard,18,19
2,10:51.0,,N. Stauskas makes 2-pt jump shot from 19 ft,18,21
2,10:35.0,J. Green makes 2-pt jump shot from 22 ft (assist by W. Selden),,20,21
2,10:07.0,,Z. Collins makes 2-pt hook shot at rim (assist by M. Leonard),20,23
2,10:07.0,,Shooting foul by J. Green (drawn by Z. Collins),20,23
2,10:07.0,I. Rabb enters the game for J. Green,,20,23
2,10:07.0,,Z. Collins makes free throw 1 of 1,20,24
2,9:55.0,W. Selden misses 2-pt jump shot from 3 ft,,20,24
2,9:52.0,Offensive rebound by I. Rabb,,20,24
2,9:52.0,I. Rabb makes 2-pt layup at rim,,22,24
2,9:34.0,,Turnover by N. Stauskas (bad pass; steal by S. Mack),22,24
2,9:29.0,Shooting foul by E. Turner (drawn by I. Rabb),,22,24
2,9:29.0,I. Rabb makes free throw 1 of 2,,23,24
2,9:29.0,I. Rabb makes free throw 2 of 2,,24,24
2,9:16.0,,N. Stauskas makes 2-pt jump shot from 4 ft (assist by M. Leonard),24,26
2,9:03.0,J. Jackson misses 3-pt jump shot from 25 ft,,24,26
2,9:02.0,Offensive rebound by I. Rabb,,24,26
2,8:52.0,M. Conley misses 2-pt jump shot from 18 ft,,24,26
2,8:49.0,,Defensive rebound by S. Curry,24,26
2,8:42.0,,S. Curry makes 3-pt jump shot from 25 ft,24,29
2,8:20.0,M. Conley makes 2-pt jump shot from 4 ft (assist by S. Mack),,26,29
2,8:05.0,Violation by Team (kicked ball),,26,29
2,8:05.0,G. Temple enters the game for W. Selden,,26,29
2,7:55.0,,Z. Collins makes 3-pt jump shot from 26 ft (assist by S. Curry),26,32
2,7:40.0,J. Jackson misses 2-pt jump shot from 14 ft,,26,32
2,7:38.0,Offensive rebound by I. Rabb,,26,32
2,7:27.0,S. Mack misses 2-pt jump shot from 14 ft,,26,32
2,7:24.0,Offensive rebound by I. Rabb,,26,32
2,7:21.0,M. Conley makes 3-pt jump shot from 23 ft (assist by I. Rabb),,29,32
2,7:19.0,,Portland full timeout,29,32
2,7:19.0,,A. Aminu enters the game for Z. Collins,29,32
2,7:19.0,,M. Harkless enters the game for S. Curry,29,32
2,7:19.0,,D. Lillard enters the game for M. Leonard,29,32
2,7:19.0,,C. McCollum enters the game for N. Stauskas,29,32
2,7:19.0,,J. Nurkić enters the game for E. Turner,29,32
2,7:06.0,,Personal foul by G. Temple (drawn by J. Nurkić),29,32
2,7:01.0,,Offensive foul by J. Nurkić (drawn by M. Conley),29,32
2,7:01.0,,Turnover by J. Nurkić (offensive foul),29,32
2,6:49.0,M. Conley misses 2-pt layup from 2 ft,,29,32
2,6:47.0,Offensive rebound by I. Rabb,,29,32
2,6:35.0,S. Mack misses 2-pt jump shot from 8 ft,,29,32
2,6:32.0,,Defensive rebound by D. Lillard,29,32
2,6:28.0,,C. McCollum misses 2-pt jump shot from 7 ft,29,32
2,6:27.0,Defensive rebound by I. Rabb,,29,32
2,6:27.0,Personal foul by J. Nurkić (drawn by I. Rabb),,29,32
2,6:27.0,K. Anderson enters the game for S. Mack,,29,32
2,6:11.0,I. Rabb makes 2-pt jump shot from 7 ft,,31,32
2,5:55.0,,A. Aminu misses 3-pt jump shot from 27 ft,31,32
2,5:53.0,,Offensive rebound by J. Nurkić,31,32
2,5:51.0,,J. Nurkić misses 2-pt hook shot from 3 ft,31,32
2,5:49.0,Defensive rebound by M. Conley,,31,32
2,5:45.0,Turnover by M. Conley (bad pass; steal by A. Aminu),,31,32
2,5:40.0,,D. Lillard makes 2-pt layup from 1 ft (assist by A. Aminu),31,34
2,5:19.0,G. Temple makes 2-pt jump shot from 14 ft (assist by J. Jackson),,33,34
2,5:07.0,,Personal foul by J. Jackson (drawn by J. Nurkić),33,34
2,5:07.0,M. Gasol enters the game for M. Conley,,33,34
2,5:07.0,S. Mack enters the game for I. Rabb,,33,34
2,5:00.0,,Turnover by C. McCollum (bad pass; steal by S. Mack),33,34
2,4:46.0,J. Jackson makes 2-pt layup from 1 ft,,35,34
2,4:22.0,,J. Nurkić misses 2-pt hook shot from 3 ft (block by M. Gasol),35,34
2,4:22.0,,Offensive rebound by Team,35,34
2,4:19.0,,Shooting foul by M. Gasol (drawn by J. Nurkić),35,34
2,4:19.0,,J. Nurkić makes free throw 1 of 2,35,35
2,4:19.0,,J. Nurkić makes free throw 2 of 2,35,36
2,3:58.0,G. Temple misses 3-pt jump shot from 24 ft,,35,36
2,3:56.0,,Defensive rebound by J. Nurkić,35,36
2,3:50.0,,Personal foul by K. Anderson (drawn by A. Aminu),35,36
2,3:50.0,,A. Aminu misses free throw 1 of 2,35,36
2,3:50.0,,Offensive rebound by Team,35,36
2,3:50.0,,A. Aminu makes free throw 2 of 2,35,37
2,3:35.0,J. Jackson makes 3-pt jump shot from 28 ft (assist by M. Gasol),,38,37
2,3:24.0,,Shooting foul by K. Anderson (drawn by J. Nurkić),38,37
2,3:24.0,,J. Nurkić makes free throw 1 of 2,38,38
2,3:24.0,,J. Nurkić makes free throw 2 of 2,38,39
2,3:03.0,S. Mack misses 2-pt jump shot from 15 ft (block by D. Lillard),,38,39
2,3:01.0,,Defensive rebound by J. Nurkić,38,39
2,2:53.0,,C. McCollum misses 2-pt jump shot from 6 ft,38,39
2,2:50.0,,Offensive rebound by J. Nurkić,38,39
2,2:50.0,,J. Nurkić makes 2-pt layup from 1 ft,38,41
2,2:36.0,Personal foul by C. McCollum (drawn by M. Gasol),,38,41
2,2:36.0,Memphis full timeout,,38,41
2,2:36.0,M. Conley enters the game for J. Jackson,,38,41
2,2:36.0,J. Green enters the game for S. Mack,,38,41
2,2:32.0,K. Anderson makes 2-pt jump shot from 3 ft (assist by J. Green),,40,41
2,2:32.0,Shooting foul by M. Harkless (drawn by K. Anderson),,40,41
2,2:32.0,K. Anderson makes free throw 1 of 1,,41,41
2,2:07.0,,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard),41,43
2,1:48.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,44,43
2,1:34.0,,C. McCollum misses 2-pt layup from 1 ft (block by G. Temple),44,43
2,1:32.0,Defensive rebound by G. Temple,,44,43
2,1:26.0,J. Green makes 2-pt layup from 1 ft (assist by M. Conley),,46,43
2,1:06.0,,Turnover by D. Lillard (bad pass),46,43
2,0:54.0,M. Gasol misses 3-pt jump shot from 25 ft,,46,43
2,0:53.0,,Defensive rebound by A. Aminu,46,43
2,0:35.0,,D. Lillard makes 2-pt layup at rim,46,45
2,0:29.0,M. Conley makes 3-pt jump shot from 26 ft,,49,45
2,0:09.0,,D. Lillard misses 2-pt jump shot from 7 ft,49,45
2,0:07.0,,Offensive rebound by J. Nurkić,49,45
2,0:07.0,,J. Nurkić misses 2-pt layup from 1 ft,49,45
2,0:07.0,,Offensive rebound by J. Nurkić,49,45
2,0:07.0,,J. Nurkić makes 2-pt layup from 1 ft,49,47
2,0:01.0,M. Conley makes 3-pt jump shot from 28 ft,,52,47
3,11:49.0,Turnover by K. Anderson (step out of bounds),,52,47
3,11:34.0,,C. McCollum misses 3-pt jump shot from 24 ft,52,47
3,11:30.0,,Offensive rebound by J. Nurkić,52,47
3,11:30.0,,J. Nurkić misses 2-pt layup at rim,52,47
3,11:29.0,Defensive rebound by M. Gasol,,52,47
3,11:19.0,Turnover by M. Gasol (bad pass; steal by C. McCollum),,52,47
3,11:15.0,,C. McCollum misses 2-pt layup from 2 ft (block by G. Temple),52,47
3,11:13.0,Defensive rebound by M. Gasol,,52,47
3,11:09.0,M. Conley makes 3-pt jump shot from 23 ft (assist by K. Anderson),,55,47
3,10:47.0,,Personal foul by J. Jackson (drawn by D. Lillard),55,47
3,10:33.0,,Turnover by J. Nurkić (lost ball; steal by M. Gasol),55,47
3,10:28.0,Turnover by M. Conley (bad pass),,55,47
3,10:19.0,,D. Lillard makes 3-pt jump shot from 25 ft,55,50
3,10:04.0,M. Conley makes 2-pt layup from 1 ft (assist by J. Jackson),,57,50
3,10:04.0,Shooting foul by C. McCollum (drawn by M. Conley),,57,50
3,10:04.0,M. Conley makes free throw 1 of 1,,58,50
3,9:54.0,,Offensive foul by M. Harkless (drawn by G. Temple),58,50
3,9:54.0,,Turnover by M. Harkless (offensive foul),58,50
3,9:35.0,M. Conley misses 3-pt jump shot from 25 ft,,58,50
3,9:32.0,,Defensive rebound by Team,58,50
