QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
1,11:41.0,D. Gallinari makes 2-pt jump shot from 21 ft (assist by A. Bradley),,2,0
1,11:23.0,,P. George misses 2-pt layup from 3 ft,2,0
1,11:22.0,Defensive rebound by Team,,2,0
1,11:14.0,Personal foul by T. Ferguson (drawn by A. Bradley),,2,0
1,11:06.0,M. Gortat misses 2-pt layup from 2 ft (block by J. Grant),,2,0
1,11:03.0,,Defensive rebound by T. Ferguson,2,0
1,10:58.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),2,2
1,10:45.0,M. Gortat misses 2-pt layup from 2 ft (block by J. Grant),,2,2
1,10:42.0,Offensive rebound by S. Gilgeous-Alexander,,2,2
1,10:39.0,A. Bradley misses 3-pt jump shot from 25 ft,,2,2
1,10:37.0,,Defensive rebound by R. Westbrook,2,2
1,10:25.0,,P. George misses 2-pt jump shot from 6 ft,2,2
1,10:19.0,Defensive rebound by M. Gortat,,2,2
1,10:01.0,D. Gallinari misses 2-pt jump shot from 10 ft,,2,2
1,9:59.0,,Defensive rebound by R. Westbrook,2,2
1,9:55.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),2,4
1,9:40.0,Turnover by D. Gallinari (back court),,2,4
1,9:36.0,,Personal foul by A. Bradley (drawn by R. Westbrook),2,4
1,9:28.0,,R. Westbrook misses 2-pt jump shot from 12 ft,2,4
1,9:25.0,Defensive rebound by M. Gortat,,2,4
1,9:20.0,Personal foul by T. Ferguson (drawn by M. Gortat),,2,4
1,9:12.0,T. Harris misses 2-pt jump shot from 15 ft,,2,4
1,9:09.0,,Defensive rebound by R. Westbrook,2,4
1,9:02.0,,J. Grant makes 2-pt jump shot from 10 ft (assist by R. Westbrook),2,6
1,8:57.0,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,,2,6
1,8:40.0,Offensive rebound by A. Bradley,,2,6
1,8:38.0,T. Harris makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),,5,6
1,8:24.0,,S. Adams misses 2-pt jump shot from 8 ft,5,6
1,8:19.0,,Offensive rebound by P. George,5,6
1,8:19.0,,P. George makes 2-pt layup at rim,5,8
1,8:15.0,Personal foul by R. Westbrook (drawn by D. Gallinari),,5,8
1,8:15.0,,Á. Abrines enters the game for T. Ferguson,5,8
1,8:01.0,A. Bradley makes 2-pt jump shot from 22 ft,,7,8
1,7:50.0,,Shooting foul by M. Gortat (drawn by P. George),7,8
1,7:50.0,,P. George makes free throw 1 of 2,7,9
1,7:50.0,,P. George misses free throw 2 of 2,7,9
1,7:46.0,Defensive rebound by D. Gallinari,,7,9
1,7:31.0,T. Harris misses 3-pt jump shot from 22 ft,,7,9
1,7:28.0,,Defensive rebound by Á. Abrines,7,9
1,7:22.0,,R. Westbrook misses 2-pt jump shot from 9 ft,7,9
1,7:19.0,Defensive rebound by M. Gortat,,7,9
1,7:05.0,Turnover by D. Gallinari (bad pass; steal by P. George),,7,9
1,7:02.0,,R. Westbrook misses 2-pt layup from 1 ft,7,9
1,7:00.0,Defensive rebound by S. Gilgeous-Alexander,,7,9
1,6:57.0,Turnover by A. Bradley (out of bounds lost ball),,7,9
1,6:57.0,,Oklahoma City full timeout,7,9
1,6:39.0,,P. George makes 2-pt jump shot from 13 ft,7,11
1,6:19.0,D. Gallinari misses 2-pt jump shot from 16 ft,,7,11
1,6:17.0,,Defensive rebound by Á. Abrines,7,11
1,6:07.0,,J. Grant makes 2-pt hook shot from 2 ft,7,13
1,5:52.0,T. Harris makes 3-pt jump shot from 26 ft,,10,13
1,5:32.0,,S. Adams misses 2-pt hook shot from 7 ft,10,13
1,5:29.0,,Offensive rebound by R. Westbrook,10,13
1,5:29.0,,R. Westbrook misses 2-pt layup at rim,10,13
1,5:28.0,Defensive rebound by D. Gallinari,,10,13
1,5:26.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,13,13
1,5:12.0,,Á. Abrines makes 2-pt layup from 1 ft,13,15
1,4:53.0,M. Gortat misses 2-pt jump shot from 7 ft,,13,15
1,4:51.0,,Defensive rebound by P. George,13,15
1,4:37.0,,J. Grant makes 2-pt jump shot from 11 ft,13,17
1,4:37.0,,Shooting foul by T. Harris (drawn by J. Grant),13,17
1,4:37.0,S. Thornwell enters the game for T. Harris,,13,17
1,4:37.0,,J. Grant makes free throw 1 of 1,13,18
1,4:26.0,Turnover by A. Bradley (bad pass; steal by R. Westbrook),,13,18
1,4:22.0,,Á. Abrines misses 3-pt jump shot from 24 ft (block by S. Gilgeous-Alexander),13,18
1,4:19.0,Defensive rebound by M. Gortat,,13,18
1,4:08.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by S. Thornwell),,16,18
1,3:51.0,,S. Adams misses 2-pt jump shot from 7 ft,16,18
1,3:49.0,,Offensive rebound by R. Westbrook,16,18
1,3:48.0,,J. Grant misses 3-pt jump shot from 24 ft,16,18
1,3:45.0,Defensive rebound by A. Bradley,,16,18
1,3:35.0,LA Clippers full timeout,,16,18
1,3:27.0,D. Gallinari makes 3-pt jump shot from 25 ft,,19,18
1,3:10.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),19,21
1,2:58.0,Shooting foul by J. Grant (drawn by D. Gallinari),,19,21
1,2:58.0,P. Beverley enters the game for A. Bradley,,19,21
1,2:58.0,M. Harrell enters the game for M. Gortat,,19,21
1,2:58.0,,N. Noel enters the game for S. Adams,19,21
1,2:58.0,,D. Schröder enters the game for R. Westbrook,19,21
1,2:58.0,D. Gallinari makes free throw 1 of 2,,20,21
1,2:58.0,D. Gallinari makes free throw 2 of 2,,21,21
1,2:46.0,,P. George makes 3-pt jump shot from 25 ft,21,24
1,2:33.0,Turnover by D. Gallinari (traveling),,21,24
1,2:33.0,M. Scott enters the game for D. Gallinari,,21,24
1,2:33.0,,P. Patterson enters the game for J. Grant,21,24
1,2:32.0,,Turnover by P. Patterson (bad pass; steal by P. Beverley),21,24
1,2:22.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by N. Noel),,21,24
1,2:19.0,,Defensive rebound by D. Schröder,21,24
1,2:14.0,,D. Schröder misses 2-pt layup from 1 ft,21,24
1,2:13.0,Defensive rebound by M. Harrell,,21,24
1,2:03.0,Def 3 sec tech foul by Team,,21,24
1,2:03.0,P. Beverley makes technical free throw,,22,24
1,1:57.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by N. Noel),,22,24
1,1:52.0,,Turnover by N. Noel (lost ball; steal by S. Gilgeous-Alexander),22,24
1,1:41.0,Personal foul by P. George (drawn by M. Harrell),,22,24
1,1:41.0,M. Harrell misses free throw 1 of 2,,22,24
1,1:41.0,Offensive rebound by Team,,22,24
1,1:41.0,M. Harrell makes free throw 2 of 2,,23,24
1,1:30.0,,Shooting foul by M. Harrell (drawn by P. George),23,24
1,1:30.0,,P. George makes free throw 1 of 2,23,25
1,1:30.0,,P. George makes free throw 2 of 2,23,26
1,1:18.0,M. Scott misses 3-pt jump shot from 26 ft,,23,26
1,1:15.0,,Defensive rebound by P. George,23,26
1,1:05.0,,N. Noel makes 2-pt dunk at rim (assist by P. George),23,28
1,0:45.0,M. Harrell makes 2-pt hook shot from 2 ft,,25,28
1,0:31.0,,D. Schröder makes 2-pt layup from 2 ft,25,30
1,0:10.0,S. Thornwell misses 2-pt layup from 2 ft,,25,30
1,0:09.0,,Defensive rebound by P. Patterson,25,30
1,0:02.0,,P. George misses 3-pt jump shot from 25 ft,25,30
1,0:02.0,,Offensive rebound by N. Noel,25,30
1,0:00.0,,N. Noel misses 2-pt layup at rim,25,30
1,0:00.0,,Offensive rebound by Team,25,30
2,11:52.0,,D. Schröder misses 2-pt jump shot from 4 ft,25,30
2,11:49.0,Defensive rebound by T. Harris,,25,30
2,11:39.0,Shooting foul by H. Diallo (drawn by M. Harrell),,25,30
2,11:39.0,M. Harrell makes free throw 1 of 2,,26,30
2,11:39.0,M. Harrell makes free throw 2 of 2,,27,30
2,11:25.0,,Shooting foul by M. Teodosić (drawn by Á. Abrines),27,30
2,11:25.0,,Á. Abrines makes free throw 1 of 2,27,31
2,11:25.0,,Á. Abrines makes free throw 2 of 2,27,32
2,11:05.0,M. Scott makes 3-pt jump shot from 23 ft (assist by M. Teodosić),,30,32
2,10:56.0,,Personal foul by P. Beverley (drawn by H. Diallo),30,32
2,10:46.0,,D. Schröder makes 2-pt layup from 1 ft,30,34
2,10:31.0,LA Clippers full timeout,,30,34
2,10:25.0,M. Scott misses 2-pt jump shot from 4 ft,,30,34
2,10:22.0,Offensive rebound by M. Harrell,,30,34
2,10:19.0,M. Harrell makes 2-pt hook shot from 1 ft,,32,34
2,10:01.0,,H. Diallo makes 2-pt layup from 2 ft (assist by D. Schröder),32,36
2,9:41.0,T. Harris misses 2-pt jump shot from 2 ft,,32,36
2,9:40.0,,Defensive rebound by Á. Abrines,32,36
2,9:40.0,,Personal foul by M. Teodosić (drawn by Á. Abrines),32,36
2,9:21.0,,D. Schröder misses 2-pt layup from 1 ft,32,36
2,9:20.0,Defensive rebound by M. Harrell,,32,36
2,9:17.0,T. Harris misses 3-pt jump shot from 23 ft,,32,36
2,9:15.0,,Defensive rebound by Team,32,36
2,9:06.0,,D. Schröder misses 2-pt layup from 2 ft,32,36
2,9:03.0,Defensive rebound by T. Harris,,32,36
2,8:54.0,Turnover by M. Teodosić (bad pass),,32,36
2,8:54.0,,Oklahoma City full timeout,32,36
2,8:54.0,,R. Westbrook enters the game for Á. Abrines,32,36
2,8:41.0,,Turnover by R. Westbrook (bad pass; steal by T. Harris),32,36
2,8:38.0,M. Teodosić misses 3-pt jump shot from 26 ft,,32,36
2,8:35.0,,Defensive rebound by D. Schröder,32,36
2,8:30.0,,H. Diallo makes 2-pt layup from 1 ft (assist by D. Schröder),32,38
2,8:25.0,Offensive foul by M. Harrell (drawn by P. Patterson),,32,38
2,8:25.0,Turnover by M. Harrell (offensive foul),,32,38
2,8:12.0,,D. Schröder misses 3-pt jump shot from 25 ft,32,38
2,8:08.0,Defensive rebound by T. Harris,,32,38
2,7:53.0,Personal foul by N. Noel (drawn by M. Harrell),,32,38
2,7:53.0,A. Bradley enters the game for M. Teodosić,,32,38
2,7:44.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by M. Scott),,35,38
2,7:36.0,,Shooting foul by P. Beverley (drawn by H. Diallo),35,38
2,7:36.0,,S. Adams enters the game for N. Noel,35,38
2,7:36.0,,J. Grant enters the game for P. Patterson,35,38
2,7:36.0,,H. Diallo makes free throw 1 of 2,35,39
2,7:36.0,,H. Diallo makes free throw 2 of 2,35,40
2,7:27.0,T. Harris makes 3-pt jump shot from 25 ft (assist by M. Harrell),,38,40
2,7:17.0,,H. Diallo misses 2-pt layup from 2 ft (block by A. Bradley),38,40
2,7:16.0,Defensive rebound by M. Scott,,38,40
2,7:14.0,Turnover by M. Scott (bad pass),,38,40
2,7:14.0,D. Gallinari enters the game for P. Beverley,,38,40
2,7:14.0,S. Gilgeous-Alexander enters the game for M. Scott,,38,40
2,7:07.0,,R. Westbrook misses 2-pt jump shot from 14 ft,38,40
2,7:04.0,Defensive rebound by A. Bradley,,38,40
2,7:03.0,Offensive foul by M. Harrell (drawn by H. Diallo),,38,40
2,7:03.0,Turnover by M. Harrell (offensive foul),,38,40
2,7:03.0,M. Gortat enters the game for M. Harrell,,38,40
2,6:46.0,,Turnover by D. Schröder (bad pass),38,40
2,6:32.0,T. Harris makes 2-pt jump shot from 12 ft,,40,40
2,6:32.0,Shooting foul by H. Diallo (drawn by T. Harris),,40,40
2,6:32.0,,T. Ferguson enters the game for H. Diallo,40,40
2,6:32.0,,P. George enters the game for D. Schröder,40,40
2,6:32.0,T. Harris makes free throw 1 of 1,,41,40
2,6:24.0,,R. Westbrook misses 2-pt jump shot from 17 ft,41,40
2,6:20.0,Defensive rebound by A. Bradley,,41,40
2,6:03.0,D. Gallinari misses 2-pt layup from 2 ft,,41,40
2,6:02.0,,Defensive rebound by P. George,41,40
2,5:57.0,,P. George makes 3-pt jump shot from 25 ft,41,43
2,5:48.0,Shooting foul by J. Grant (drawn by S. Gilgeous-Alexander),,41,43
2,5:48.0,S. Gilgeous-Alexander misses free throw 1 of 2,,41,43
2,5:48.0,Offensive rebound by Team,,41,43
2,5:48.0,S. Gilgeous-Alexander misses free throw 2 of 2,,41,43
2,5:46.0,,Defensive rebound by R. Westbrook,41,43
2,5:40.0,,Shooting foul by M. Gortat (drawn by S. Adams),41,43
2,5:40.0,,S. Adams makes free throw 1 of 2,41,44
2,5:40.0,,S. Adams misses free throw 2 of 2,41,44
2,5:38.0,Defensive rebound by M. Gortat,,41,44
2,5:23.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by R. Westbrook),,41,44
2,5:07.0,,S. Adams misses 2-pt layup from 2 ft,41,44
2,5:04.0,Defensive rebound by D. Gallinari,,41,44
2,4:59.0,Turnover by D. Gallinari (lost ball; steal by R. Westbrook),,41,44
2,4:54.0,,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),41,46
2,4:31.0,A. Bradley misses 3-pt jump shot from 25 ft,,41,46
2,4:28.0,,Defensive rebound by R. Westbrook,41,46
2,4:25.0,,Turnover by R. Westbrook (bad pass; steal by D. Gallinari),41,46
2,4:20.0,Personal foul by T. Ferguson (drawn by D. Gallinari),,41,46
2,4:20.0,,Oklahoma City full timeout,41,46
2,4:20.0,P. Beverley enters the game for S. Gilgeous-Alexander,,41,46
2,4:20.0,D. Gallinari misses free throw 1 of 2,,41,46
2,4:20.0,Offensive rebound by Team,,41,46
2,4:20.0,D. Gallinari makes free throw 2 of 2,,42,46
2,4:01.0,,J. Grant misses 2-pt layup from 2 ft,42,46
2,3:58.0,,Offensive rebound by S. Adams,42,46
2,3:57.0,,S. Adams misses 2-pt layup from 1 ft,42,46
