QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
1,2:53.0,R. Jackson makes free throw 2 of 2,,16,19
1,2:42.0,,D. Wade makes 2-pt layup from 1 ft,16,21
1,2:32.0,Personal foul by R. McGruder (drawn by L. Kennard),,16,21
1,2:32.0,I. Smith enters the game for R. Jackson,,16,21
1,2:15.0,L. Kennard misses 2-pt jump shot from 8 ft,,16,21
1,2:14.0,Offensive rebound by T. Maker,,16,21
1,2:10.0,Turnover by T. Maker (out of bounds lost ball),,16,21
1,1:56.0,,Turnover by D. Wade (bad pass; steal by T. Maker),16,21
1,1:50.0,K. Thomas misses 3-pt jump shot from 26 ft,,16,21
1,1:46.0,,Defensive rebound by B. Adebayo,16,21
1,1:43.0,,G. Dragić makes 2-pt layup from 1 ft,16,23
1,1:28.0,K. Thomas misses 3-pt jump shot from 26 ft,,16,23
1,1:25.0,,Defensive rebound by R. McGruder,16,23
1,1:23.0,,Personal foul by K. Thomas (drawn by B. Adebayo),16,23
1,1:23.0,,J. Richardson enters the game for R. McGruder,16,23
1,1:14.0,,G. Dragić makes 2-pt jump shot from 17 ft,16,25
1,0:53.0,L. Kennard misses 3-pt jump shot from 25 ft (block by D. Jones),,16,25
1,0:49.0,,Defensive rebound by B. Adebayo,16,25
1,0:44.0,,J. Richardson makes 2-pt jump shot from 15 ft (assist by B. Adebayo),16,27
1,0:28.0,I. Smith makes 2-pt jump shot from 15 ft,,18,27
1,0:11.0,,J. Richardson makes 2-pt hook shot from 7 ft,18,29
1,0:01.0,I. Smith makes 2-pt jump shot from 13 ft,,20,29
2,11:44.0,,Shooting foul by T. Maker (drawn by D. Jones),20,29
2,11:44.0,,D. Jones makes free throw 1 of 2,20,30
2,11:44.0,,D. Jones makes free throw 2 of 2,20,31
2,11:19.0,I. Smith misses 2-pt layup from 1 ft,,20,31
2,11:17.0,Offensive rebound by I. Smith,,20,31
2,11:12.0,T. Maker makes 3-pt jump shot from 25 ft (assist by I. Smith),,23,31
2,11:00.0,,D. Wade misses 2-pt jump shot from 12 ft,23,31
2,10:57.0,Defensive rebound by Z. Pachulia,,23,31
2,10:49.0,Turnover by T. Maker (lost ball; steal by D. Jones),,23,31
2,10:44.0,,Shooting foul by Z. Pachulia (drawn by B. Adebayo),23,31
2,10:44.0,,B. Adebayo makes free throw 1 of 2,23,32
2,10:44.0,,B. Adebayo makes free throw 2 of 2,23,33
2,10:32.0,Shooting foul by G. Dragić (drawn by I. Smith),,23,33
2,10:32.0,I. Smith makes free throw 1 of 2,,24,33
2,10:32.0,I. Smith makes free throw 2 of 2,,25,33
2,10:16.0,,B. Adebayo misses 2-pt jump shot from 14 ft,25,33
2,10:14.0,Defensive rebound by T. Maker,,25,33
2,10:10.0,L. Kennard makes 3-pt jump shot from 25 ft (assist by I. Smith),,28,33
2,9:57.0,,G. Dragić misses 2-pt jump shot from 16 ft,28,33
2,9:55.0,Defensive rebound by T. Maker,,28,33
2,9:43.0,Z. Pachulia makes 2-pt jump shot from 11 ft (assist by I. Smith),,30,33
2,9:30.0,,D. Wade misses 2-pt layup from 8 ft,30,33
2,9:28.0,Defensive rebound by L. Kennard,,30,33
2,9:26.0,Turnover by I. Smith (step out of bounds),,30,33
2,9:26.0,,H. Whiteside enters the game for B. Adebayo,30,33
2,9:16.0,,J. Richardson misses 2-pt hook shot from 7 ft,30,33
2,9:14.0,,Offensive rebound by H. Whiteside,30,33
2,9:09.0,,H. Whiteside misses 2-pt layup at rim,30,33
2,9:08.0,,Offensive rebound by H. Whiteside,30,33
2,9:00.0,,H. Whiteside makes 2-pt layup from 3 ft (assist by D. Wade),30,35
2,8:51.0,W. Ellington misses 3-pt jump shot from 26 ft,,30,35
2,8:51.0,,Defensive rebound by H. Whiteside,30,35
2,8:39.0,,Shooting foul by L. Kennard (drawn by D. Wade),30,35
2,8:39.0,,D. Wade makes free throw 1 of 2,30,36
2,8:39.0,,K. Olynyk enters the game for D. Jones,30,36
2,8:39.0,,D. Wade makes free throw 2 of 2,30,37
2,8:20.0,Z. Pachulia misses 2-pt layup from 2 ft (block by H. Whiteside),,30,37
2,8:18.0,,Defensive rebound by H. Whiteside,30,37
2,8:14.0,,Turnover by J. Richardson (out of bounds lost ball),30,37
2,7:57.0,L. Kennard makes 2-pt jump shot from 16 ft,,32,37
2,7:35.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),32,39
2,7:22.0,I. Smith makes 2-pt layup from 3 ft,,34,39
2,7:03.0,,G. Dragić misses 2-pt jump shot from 14 ft,34,39
2,7:01.0,Defensive rebound by L. Kennard,,34,39
2,6:49.0,L. Kennard misses 2-pt jump shot from 9 ft,,34,39
2,6:48.0,Offensive rebound by Z. Pachulia,,34,39
2,6:48.0,Personal foul by D. Wade (drawn by Z. Pachulia),,34,39
2,6:48.0,,Miami full timeout,34,39
2,6:48.0,B. Griffin enters the game for T. Maker,,34,39
2,6:48.0,,R. McGruder enters the game for G. Dragić,34,39
2,6:48.0,,D. Waiters enters the game for D. Wade,34,39
2,6:39.0,W. Ellington misses 3-pt jump shot from 24 ft,,34,39
2,6:37.0,,Defensive rebound by J. Richardson,34,39
2,6:27.0,,K. Olynyk misses 3-pt jump shot from 25 ft,34,39
2,6:25.0,Defensive rebound by I. Smith,,34,39
2,6:17.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by I. Smith),,37,39
2,6:03.0,,Offensive foul by K. Olynyk (drawn by I. Smith),37,39
2,6:03.0,,Turnover by K. Olynyk (offensive foul),37,39
2,6:03.0,R. Jackson enters the game for I. Smith,,37,39
2,5:54.0,B. Griffin misses 3-pt jump shot from 26 ft,,37,39
2,5:51.0,,Defensive rebound by H. Whiteside,37,39
2,5:39.0,,R. McGruder misses 3-pt jump shot from 24 ft,37,39
2,5:37.0,Defensive rebound by Z. Pachulia,,37,39
