QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
1,11:46.0,,D. Gallinari misses 2-pt jump shot from 13 ft,0,0
1,11:41.0,Defensive rebound by J. Murray,,0,0
1,11:23.0,J. Murray misses 3-pt jump shot from 27 ft,,0,0
1,11:19.0,Offensive rebound by G. Harris,,0,0
1,11:16.0,W. Barton misses 3-pt jump shot from 25 ft,,0,0
1,11:13.0,Offensive rebound by P. Millsap,,0,0
1,10:59.0,J. Murray misses 3-pt jump shot from 29 ft,,0,0
1,10:57.0,,Defensive rebound by T. Harris,0,0
1,10:41.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by M. Gortat),0,3
1,10:23.0,P. Millsap misses 2-pt jump shot from 16 ft,,0,3
1,10:20.0,,Defensive rebound by T. Harris,0,3
1,10:04.0,,P. Beverley misses 3-pt jump shot from 25 ft,0,3
1,10:02.0,Defensive rebound by J. Murray,,0,3
1,9:58.0,W. Barton makes 2-pt dunk from 1 ft (assist by J. Murray),,2,3
1,9:42.0,,T. Harris misses 2-pt jump shot from 14 ft,2,3
1,9:40.0,Defensive rebound by W. Barton,,2,3
1,9:39.0,G. Harris misses 2-pt dunk from 1 ft,,2,3
1,9:39.0,,Defensive rebound by D. Gallinari,2,3
1,9:30.0,,P. Beverley misses 2-pt hook shot from 6 ft,2,3
1,9:27.0,Defensive rebound by P. Millsap,,2,3
1,9:16.0,P. Millsap misses 2-pt layup from 2 ft (block by T. Harris),,2,3
1,9:13.0,,Defensive rebound by P. Beverley,2,3
1,9:10.0,,T. Harris makes 2-pt layup from 1 ft,2,5
1,8:49.0,G. Harris makes 2-pt layup from 1 ft (assist by J. Murray),,4,5
1,8:35.0,,Personal foul by G. Harris (drawn by T. Harris),4,5
1,8:29.0,,Personal foul by P. Millsap (drawn by D. Gallinari),4,5
1,8:18.0,,A. Bradley misses 2-pt jump shot from 17 ft,4,5
1,8:15.0,Defensive rebound by P. Millsap,,4,5
1,8:04.0,Personal foul by M. Gortat (drawn by N. Jokić),,4,5
1,7:59.0,W. Barton makes 3-pt jump shot from 27 ft (assist by J. Murray),,7,5
1,7:42.0,,T. Harris misses 3-pt jump shot from 24 ft,7,5
