QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
1,11:48.0,,A. Wiggins misses 2-pt layup at rim,0,0
1,11:45.0,Defensive rebound by R. Gay,,0,0
1,11:30.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by R. Gay),,2,0
1,11:12.0,,A. Wiggins misses 2-pt layup at rim,2,0
1,11:11.0,,Offensive rebound by A. Wiggins,2,0
1,11:11.0,,Shooting foul by L. Aldridge (drawn by A. Wiggins),2,0
1,11:11.0,,A. Wiggins makes free throw 1 of 2,2,1
1,11:11.0,,A. Wiggins misses free throw 2 of 2,2,1
1,11:09.0,Defensive rebound by L. Aldridge,,2,1
1,10:50.0,L. Aldridge misses 2-pt jump shot from 11 ft,,2,1
1,10:47.0,,Defensive rebound by R. Covington,2,1
1,10:28.0,,K. Towns misses 2-pt layup from 8 ft,2,1
1,10:26.0,Defensive rebound by R. Gay,,2,1
1,10:17.0,Turnover by D. DeRozan (lost ball; steal by K. Towns),,2,1
1,10:13.0,,R. Covington makes 2-pt layup from 1 ft (assist by K. Towns),2,3
1,9:56.0,L. Aldridge misses 2-pt jump shot from 20 ft,,2,3
1,9:53.0,,Defensive rebound by R. Covington,2,3
1,9:42.0,,Turnover by J. Teague (lost ball; steal by R. Gay),2,3
1,9:39.0,L. Aldridge misses 2-pt layup from 2 ft (block by R. Covington),,2,3
1,9:39.0,Offensive rebound by Team,,2,3
1,9:30.0,L. Aldridge makes 2-pt layup from 2 ft (assist by B. Forbes),,4,3
1,9:11.0,,A. Wiggins makes 2-pt hook shot from 5 ft (assist by J. Teague),4,5
1,8:54.0,R. Gay makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,7,5
1,8:39.0,,T. Gibson misses 2-pt jump shot from 12 ft,7,5
1,8:37.0,,Offensive rebound by K. Towns,7,5
1,8:35.0,,K. Towns makes 2-pt layup from 1 ft,7,7
1,8:24.0,Turnover by D. DeRozan (bad pass),,7,7
1,8:07.0,,J. Teague misses 3-pt jump shot from 26 ft,7,7
1,8:04.0,Defensive rebound by L. Aldridge,,7,7
1,7:52.0,Personal foul by J. Teague (drawn by L. Aldridge),,7,7
1,7:39.0,R. Gay misses 3-pt jump shot from 22 ft,,7,7
1,7:37.0,,Defensive rebound by A. Wiggins,7,7
1,7:31.0,,Personal foul by R. Gay (drawn by T. Gibson),7,7
1,7:18.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),7,9
1,7:07.0,B. Forbes misses 2-pt jump shot from 17 ft,,7,9
1,7:04.0,,Defensive rebound by T. Gibson,7,9
1,6:53.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),7,11
1,6:40.0,D. White misses 2-pt jump shot from 16 ft,,7,11
1,6:38.0,,Defensive rebound by K. Towns,7,11
1,6:32.0,,R. Covington makes 3-pt jump shot from 25 ft,7,14
1,6:32.0,San Antonio full timeout,,7,14
1,6:32.0,D. Cunningham enters the game for R. Gay,,7,14
1,6:32.0,P. Mills enters the game for D. White,,7,14
1,6:07.0,Turnover by D. DeRozan (lost ball; steal by R. Covington),,7,14
1,6:02.0,,R. Covington makes 2-pt layup from 1 ft (assist by J. Teague),7,16
1,5:54.0,Personal foul by R. Covington (drawn by D. DeRozan),,7,16
1,5:49.0,D. DeRozan makes 2-pt jump shot from 18 ft,,9,16
1,5:34.0,,A. Wiggins misses 2-pt layup from 3 ft,9,16
1,5:33.0,,Offensive rebound by A. Wiggins,9,16
1,5:33.0,,Shooting foul by D. Cunningham (drawn by A. Wiggins),9,16
1,5:33.0,,A. Wiggins makes free throw 1 of 2,9,17
1,5:33.0,,A. Wiggins makes free throw 2 of 2,9,18
1,5:20.0,D. DeRozan misses 2-pt jump shot from 20 ft,,9,18
1,5:18.0,,Defensive rebound by T. Gibson,9,18
1,5:10.0,,K. Towns misses 3-pt jump shot from 27 ft,9,18
1,5:08.0,Defensive rebound by D. DeRozan,,9,18
1,5:01.0,P. Mills misses 3-pt jump shot from 25 ft,,9,18
1,4:58.0,,Defensive rebound by T. Gibson,9,18
1,4:50.0,,Turnover by K. Towns (bad pass),9,18
1,4:50.0,,D. Rose enters the game for R. Covington,9,18
1,4:34.0,D. Cunningham makes 2-pt jump shot from 16 ft (assist by P. Mills),,11,18
1,4:08.0,,A. Wiggins misses 3-pt jump shot from 26 ft,11,18
1,4:06.0,Defensive rebound by B. Forbes,,11,18
1,4:02.0,B. Forbes misses 3-pt jump shot from 26 ft,,11,18
1,3:59.0,,Defensive rebound by K. Towns,11,18
1,3:50.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),11,20
1,3:35.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by P. Mills),,14,20
1,3:25.0,,J. Teague makes 2-pt layup from 1 ft,14,22
1,3:00.0,P. Mills misses 3-pt jump shot from 24 ft,,14,22
1,2:58.0,,Defensive rebound by K. Towns,14,22
1,2:55.0,,Offensive foul by A. Wiggins (drawn by P. Mills),14,22
1,2:55.0,,Turnover by A. Wiggins (offensive foul),14,22
1,2:55.0,,Minnesota full timeout,14,22
1,2:55.0,M. Belinelli enters the game for B. Forbes,,14,22
1,2:55.0,,T. Jones enters the game for T. Gibson,14,22
1,2:55.0,,D. Šarić enters the game for J. Teague,14,22
1,2:35.0,L. Aldridge misses 2-pt jump shot from 10 ft,,14,22
1,2:33.0,,Defensive rebound by D. Šarić,14,22
