QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
1,11:49.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,3,0
1,11:43.0,,B. Lopez misses 3-pt jump shot from 26 ft,3,0
1,11:42.0,Defensive rebound by J. Embiid,,3,0
1,11:27.0,M. Fultz makes 2-pt jump shot from 21 ft (assist by J. Embiid),,5,0
1,11:12.0,,K. Middleton misses 2-pt jump shot from 16 ft,5,0
1,11:05.0,Defensive rebound by J. Embiid,,5,0
1,11:03.0,Turnover by J. Embiid (bad pass),,5,0
1,10:50.0,,B. Lopez misses 3-pt jump shot from 22 ft,5,0
1,10:50.0,Defensive rebound by Team,,5,0
1,10:30.0,J. Embiid misses 2-pt jump shot from 15 ft,,5,0
1,10:30.0,,Defensive rebound by K. Middleton,5,0
1,10:26.0,,Shooting foul by B. Simmons (drawn by K. Middleton),5,0
1,10:26.0,,K. Middleton makes free throw 1 of 3,5,1
1,10:26.0,,K. Middleton makes free throw 2 of 3,5,2
1,10:26.0,,K. Middleton makes free throw 3 of 3,5,3
1,10:11.0,B. Simmons makes 2-pt layup from 1 ft (assist by M. Fultz),,7,3
1,10:02.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,7,3
1,10:02.0,,Offensive rebound by G. Antetokounmpo,7,3
1,10:02.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,7,5
1,10:02.0,,Shooting foul by D. Šarić (drawn by G. Antetokounmpo),7,5
1,10:02.0,,G. Antetokounmpo makes free throw 1 of 1,7,6
1,9:46.0,B. Simmons misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,7,6
1,9:46.0,Offensive rebound by B. Simmons,,7,6
1,9:40.0,B. Simmons misses 2-pt layup from 2 ft,,7,6
1,9:37.0,Offensive rebound by B. Simmons,,7,6
1,9:36.0,B. Simmons makes 2-pt layup from 1 ft,,9,6
1,9:10.0,,E. Bledsoe misses 3-pt jump shot from 30 ft,9,6
1,9:10.0,,Offensive rebound by E. Bledsoe,9,6
1,9:05.0,,Turnover by M. Brogdon (lost ball; steal by B. Simmons),9,6
1,9:04.0,Personal foul by M. Brogdon (drawn by B. Simmons),,9,6
1,8:56.0,R. Covington misses 2-pt jump shot from 16 ft,,9,6
1,8:54.0,,Defensive rebound by G. Antetokounmpo,9,6
1,8:41.0,,B. Lopez misses 3-pt jump shot from 27 ft,9,6
1,8:38.0,Defensive rebound by B. Simmons,,9,6
1,8:34.0,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),,11,6
1,8:21.0,,B. Lopez misses 3-pt jump shot from 28 ft,11,6
1,8:18.0,Defensive rebound by J. Embiid,,11,6
1,8:18.0,Personal foul by G. Antetokounmpo (drawn by J. Embiid),,11,6
1,8:08.0,J. Embiid makes 2-pt jump shot from 9 ft,,13,6
1,8:08.0,Shooting foul by B. Lopez (drawn by J. Embiid),,13,6
1,8:08.0,,Milwaukee full timeout,13,6
1,8:08.0,J. Embiid makes free throw 1 of 1,,14,6
1,7:55.0,,Turnover by G. Antetokounmpo (lost ball; steal by M. Fultz),14,6
1,7:50.0,B. Simmons makes 2-pt layup from 1 ft (assist by M. Fultz),,16,6
1,7:28.0,,M. Brogdon misses 2-pt jump shot from 11 ft,16,6
1,7:26.0,Defensive rebound by J. Embiid,,16,6
1,7:03.0,J. Embiid misses 2-pt hook shot from 4 ft,,16,6
1,7:00.0,,Defensive rebound by M. Brogdon,16,6
1,6:59.0,,Shooting foul by R. Covington (drawn by M. Brogdon),16,6
1,6:59.0,,M. Brogdon makes free throw 1 of 2,16,7
1,6:59.0,A. Johnson enters the game for J. Embiid,,16,7
1,6:59.0,J. Redick enters the game for M. Fultz,,16,7
1,6:59.0,,M. Brogdon makes free throw 2 of 2,16,8
1,6:46.0,R. Covington misses 2-pt jump shot from 8 ft,,16,8
1,6:46.0,,Defensive rebound by Team,16,8
1,6:46.0,Loose ball foul by A. Johnson (drawn by M. Brogdon),,16,8
1,6:46.0,,E. İlyasova enters the game for M. Brogdon,16,8
