QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
1,11:38.0,D. Collison misses 2-pt jump shot from 17 ft,,0,0
1,11:35.0,,Defensive rebound by H. Whiteside,0,0
1,11:18.0,,J. Richardson makes 3-pt jump shot from 29 ft (assist by J. Winslow),0,3
1,11:03.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),,2,3
1,10:46.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Richardson),2,5
1,10:46.0,,Shooting foul by M. Turner (drawn by H. Whiteside),2,5
1,10:46.0,,H. Whiteside makes free throw 1 of 1,2,6
1,10:32.0,T. Young misses 2-pt hook shot from 5 ft,,2,6
1,10:30.0,Offensive rebound by T. Young,,2,6
1,10:29.0,T. Young misses 2-pt hook shot from 4 ft (block by H. Whiteside),,2,6
1,10:25.0,,Defensive rebound by J. Richardson,2,6
1,10:23.0,,T. Johnson misses 3-pt jump shot from 25 ft,2,6
1,10:20.0,Defensive rebound by C. Joseph,,2,6
1,10:15.0,D. Collison makes 2-pt layup from 2 ft (assist by C. Joseph),,4,6
1,9:54.0,,Turnover by J. Winslow (bad pass; steal by T. Young),4,6
1,9:53.0,Personal take foul by J. Johnson (drawn by T. Young),,4,6
1,9:38.0,B. Bogdanović makes 2-pt layup from 2 ft,,6,6
1,9:19.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by J. Richardson),6,9
1,9:04.0,D. Collison misses 2-pt jump shot from 7 ft (block by T. Johnson),,6,9
1,9:03.0,,Defensive rebound by T. Johnson,6,9
1,8:53.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Johnson),6,11
1,8:34.0,T. Young misses 2-pt jump shot from 17 ft,,6,11
1,8:31.0,Offensive rebound by C. Joseph,,6,11
1,8:29.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,6,11
1,8:28.0,Offensive rebound by T. Young,,6,11
1,8:24.0,T. Young misses 2-pt layup from 1 ft,,6,11
1,8:23.0,,Defensive rebound by T. Johnson,6,11
1,8:22.0,,Turnover by J. Johnson (bad pass),6,11
1,8:06.0,T. Young misses 2-pt jump shot from 13 ft,,6,11
1,8:03.0,,Defensive rebound by H. Whiteside,6,11
1,7:46.0,,Turnover by H. Whiteside (traveling),6,11
1,7:33.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),,8,11
1,7:26.0,,Miami full timeout,8,11
1,7:06.0,,T. Johnson misses 2-pt jump shot from 6 ft,8,11
1,7:04.0,Defensive rebound by C. Joseph,,8,11
1,6:54.0,C. Joseph misses 3-pt jump shot from 25 ft,,8,11
1,6:51.0,,Defensive rebound by H. Whiteside,8,11
1,6:47.0,,Personal foul by D. Collison (drawn by J. Richardson),8,11
1,6:45.0,,Offensive foul by J. Richardson (drawn by C. Joseph),8,11
1,6:45.0,,Turnover by J. Richardson (offensive foul),8,11
1,6:26.0,M. Turner makes 2-pt hook shot from 11 ft,,10,11
1,6:13.0,,J. Winslow misses 3-pt jump shot from 24 ft,10,11
1,6:11.0,Defensive rebound by T. Young,,10,11
1,6:04.0,M. Turner misses 3-pt jump shot from 26 ft,,10,11
1,5:59.0,,Defensive rebound by J. Richardson,10,11
1,5:55.0,,Shooting foul by C. Joseph (drawn by J. Richardson),10,11
1,5:55.0,,J. Richardson makes free throw 1 of 2,10,12
1,5:55.0,,D. Wade enters the game for J. Winslow,10,12
1,5:55.0,,J. Richardson makes free throw 2 of 2,10,13
1,5:45.0,Shooting foul by J. Johnson (drawn by M. Turner),,10,13
1,5:45.0,M. Turner makes free throw 1 of 2,,11,13
1,5:45.0,,K. Olynyk enters the game for J. Johnson,11,13
1,5:45.0,,J. Winslow enters the game for J. Richardson,11,13
1,5:45.0,M. Turner makes free throw 2 of 2,,12,13
1,5:34.0,,Turnover by H. Whiteside (lost ball; steal by M. Turner),12,13
1,5:30.0,D. Collison makes 2-pt layup from 1 ft (assist by M. Turner),,14,13
1,5:14.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by T. Johnson),14,15
1,5:14.0,,D. Waiters enters the game for T. Johnson,14,15
1,4:49.0,D. Collison makes 3-pt jump shot from 24 ft (assist by C. Joseph),,17,15
1,4:34.0,,D. Wade misses 2-pt layup from 1 ft,17,15
1,4:33.0,,Offensive rebound by H. Whiteside,17,15
1,4:33.0,,H. Whiteside makes 2-pt layup from 2 ft,17,17
1,4:33.0,,Shooting foul by C. Joseph (drawn by H. Whiteside),17,17
1,4:33.0,T. Evans enters the game for C. Joseph,,17,17
1,4:33.0,D. Sabonis enters the game for T. Young,,17,17
1,4:33.0,,H. Whiteside misses free throw 1 of 1,17,17
1,4:30.0,Defensive rebound by B. Bogdanović,,17,17
1,4:24.0,Turnover by T. Evans (lost ball; steal by K. Olynyk),,17,17
1,4:13.0,,H. Whiteside misses 2-pt hook shot from 2 ft,17,17
1,4:11.0,Defensive rebound by D. Sabonis,,17,17
1,4:01.0,D. Sabonis misses 2-pt layup from 2 ft,,17,17
1,3:58.0,,Defensive rebound by H. Whiteside,17,17
1,3:57.0,,Turnover by H. Whiteside (lost ball; steal by D. Sabonis),17,17
1,3:50.0,T. Evans misses 2-pt layup from 2 ft,,17,17
1,3:48.0,Offensive rebound by T. Evans,,17,17
1,3:39.0,D. Collison makes 2-pt jump shot from 21 ft (assist by D. Sabonis),,19,17
1,3:20.0,,D. Waiters misses 3-pt jump shot from 26 ft,19,17
1,3:20.0,,Offensive rebound by H. Whiteside,19,17
1,3:18.0,,H. Whiteside misses 2-pt layup from 1 ft (block by D. Sabonis),19,17
1,3:18.0,,Offensive rebound by Team,19,17
1,3:18.0,,B. Adebayo enters the game for H. Whiteside,19,17
1,3:10.0,,Turnover by J. Winslow (back court),19,17
1,3:10.0,Indiana full timeout,,19,17
1,3:10.0,A. Holiday enters the game for B. Bogdanović,,19,17
1,3:10.0,E. Sumner enters the game for D. Collison,,19,17
1,2:53.0,A. Holiday misses 2-pt jump shot from 14 ft,,19,17
1,2:51.0,,Defensive rebound by B. Adebayo,19,17
1,2:44.0,,D. Wade misses 2-pt hook shot from 11 ft,19,17
1,2:41.0,,Offensive rebound by D. Wade,19,17
1,2:40.0,,D. Wade makes 2-pt layup from 1 ft,19,19
1,2:28.0,D. Sabonis misses 2-pt jump shot from 14 ft,,19,19
1,2:25.0,,Defensive rebound by Team,19,19
1,2:08.0,,K. Olynyk misses 3-pt jump shot from 23 ft,19,19
1,2:06.0,,Offensive rebound by J. Winslow,19,19
1,2:06.0,,Shooting foul by T. Evans (drawn by B. Adebayo),19,19
1,2:06.0,,B. Adebayo makes free throw 1 of 2,19,20
1,2:06.0,T. Leaf enters the game for M. Turner,,19,20
1,2:06.0,,J. Richardson enters the game for J. Winslow,19,20
1,2:06.0,,B. Adebayo makes free throw 2 of 2,19,21
1,1:49.0,Turnover by A. Holiday (bad pass; steal by B. Adebayo),,19,21
1,1:45.0,,Turnover by B. Adebayo (lost ball; steal by D. Sabonis),19,21
1,1:37.0,Turnover by T. Leaf (lost ball; steal by D. Waiters),,19,21
1,1:30.0,,D. Waiters misses 2-pt layup from 2 ft,19,21
1,1:27.0,Defensive rebound by D. Sabonis,,19,21
1,1:22.0,A. Holiday makes 2-pt layup from 1 ft,,21,21
1,1:03.0,,D. Wade makes 3-pt jump shot from 23 ft (assist by D. Waiters),21,24
1,0:53.0,E. Sumner misses 3-pt jump shot from 23 ft,,21,24
1,0:51.0,,Defensive rebound by K. Olynyk,21,24
1,0:36.0,,Personal foul by E. Sumner (drawn by B. Adebayo),21,24
1,0:36.0,,B. Adebayo misses free throw 1 of 2,21,24
1,0:36.0,,Offensive rebound by Team,21,24
1,0:36.0,,B. Adebayo makes free throw 2 of 2,21,25
1,0:30.0,A. Holiday misses 3-pt jump shot from 27 ft,,21,25
1,0:28.0,,Defensive rebound by B. Adebayo,21,25
1,0:11.0,,D. Wade makes 2-pt layup from 2 ft,21,27
1,0:00.0,T. Evans misses 3-pt jump shot from 25 ft,,21,27
1,0:00.0,Offensive rebound by Team,,21,27
2,11:48.0,,Personal foul by E. Sumner (drawn by D. Wade),21,27
2,11:32.0,,K. Olynyk misses 3-pt jump shot from 26 ft,21,27
2,11:30.0,Defensive rebound by T. Evans,,21,27
2,11:26.0,T. Evans misses 2-pt jump shot from 5 ft,,21,27
2,11:23.0,Offensive rebound by D. Sabonis,,21,27
2,11:23.0,Turnover by D. Sabonis (lost ball; steal by D. Waiters),,21,27
2,11:20.0,,Turnover by D. Waiters (bad pass),21,27
2,11:02.0,D. Sabonis misses 2-pt jump shot from 19 ft,,21,27
2,11:00.0,,Defensive rebound by K. Olynyk,21,27
