QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
1,11:36.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by B. Forbes),,0,0
1,11:26.0,,B. Forbes misses 3-pt jump shot from 27 ft,0,0
1,11:23.0,Defensive rebound by M. Gortat,,0,0
1,11:15.0,T. Harris makes 2-pt jump shot from 15 ft (assist by A. Bradley),,2,0
1,10:52.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by D. DeRozan),2,2
1,10:37.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,5,2
1,10:23.0,,D. DeRozan misses 2-pt jump shot from 15 ft,5,2
1,10:21.0,Defensive rebound by M. Gortat,,5,2
1,10:15.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by R. Gay),,5,2
1,10:15.0,,Personal foul by S. Gilgeous-Alexander (drawn by R. Gay),5,2
1,9:53.0,,R. Gay makes 3-pt jump shot from 26 ft,5,5
1,9:40.0,T. Harris makes 2-pt jump shot from 10 ft,,7,5
1,9:25.0,,D. DeRozan makes 2-pt jump shot from 8 ft,7,7
1,9:25.0,,Shooting foul by A. Bradley (drawn by D. DeRozan),7,7
1,9:25.0,,D. DeRozan makes free throw 1 of 1,7,8
1,9:08.0,A. Bradley misses 2-pt jump shot from 17 ft,,7,8
1,9:08.0,,Defensive rebound by Team,7,8
1,8:53.0,,D. DeRozan makes 2-pt jump shot from 10 ft (assist by R. Gay),7,10
1,8:37.0,Shooting foul by R. Gay (drawn by T. Harris),,7,10
1,8:37.0,T. Harris makes free throw 1 of 2,,8,10
1,8:37.0,T. Harris makes free throw 2 of 2,,9,10
1,8:15.0,,D. DeRozan misses 2-pt jump shot from 13 ft,9,10
1,8:12.0,Defensive rebound by T. Harris,,9,10
1,7:59.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft (assist by A. Bradley),,11,10
1,7:47.0,,B. Forbes makes 2-pt jump shot from 15 ft,11,12
1,7:36.0,M. Gortat misses 2-pt jump shot from 9 ft,,11,12
1,7:36.0,,Defensive rebound by D. White,11,12
1,7:27.0,,D. White misses 2-pt layup from 3 ft,11,12
1,7:24.0,Defensive rebound by M. Gortat,,11,12
1,7:21.0,T. Harris misses 2-pt layup from 1 ft,,11,12
1,7:17.0,,Defensive rebound by R. Gay,11,12
1,7:09.0,,L. Aldridge makes 2-pt jump shot from 10 ft,11,14
1,6:50.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by M. Gortat),,13,14
1,6:36.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),13,16
1,6:36.0,LA Clippers full timeout,,13,16
1,6:19.0,M. Gortat misses 2-pt layup from 2 ft (block by R. Gay),,13,16
1,6:13.0,Offensive rebound by M. Gortat,,13,16
1,6:10.0,M. Gortat makes 2-pt layup from 3 ft,,15,16
1,6:05.0,,L. Aldridge misses 2-pt jump shot from 14 ft,15,16
1,6:05.0,Defensive rebound by T. Harris,,15,16
1,5:55.0,D. Gallinari misses 3-pt jump shot from 26 ft,,15,16
1,5:51.0,,Defensive rebound by R. Gay,15,16
1,5:41.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),15,19
1,5:19.0,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by M. Gortat),,18,19
1,5:18.0,,San Antonio full timeout,18,19
1,5:18.0,,M. Belinelli enters the game for B. Forbes,18,19
1,5:18.0,,D. Bertāns enters the game for R. Gay,18,19
1,5:18.0,,P. Mills enters the game for D. White,18,19
1,4:59.0,,D. Bertāns misses 3-pt jump shot from 27 ft,18,19
1,4:56.0,,Offensive rebound by P. Mills,18,19
1,4:56.0,,Personal foul by T. Harris (drawn by M. Belinelli),18,19
1,4:48.0,,D. DeRozan makes 2-pt jump shot from 13 ft,18,21
1,4:25.0,T. Harris misses 3-pt jump shot from 27 ft,,18,21
1,4:23.0,,Defensive rebound by M. Belinelli,18,21
1,4:17.0,,M. Belinelli makes 2-pt jump shot from 14 ft,18,23
1,4:00.0,T. Harris misses 2-pt layup from 3 ft,,18,23
1,3:54.0,Offensive rebound by M. Gortat,,18,23
1,3:54.0,M. Gortat misses 2-pt layup at rim,,18,23
1,3:53.0,,Defensive rebound by P. Mills,18,23
1,3:53.0,,Offensive foul by L. Aldridge (drawn by M. Gortat),18,23
1,3:53.0,,Turnover by L. Aldridge (offensive foul),18,23
1,3:53.0,P. Beverley enters the game for D. Gallinari,,18,23
1,3:53.0,,J. Poeltl enters the game for L. Aldridge,18,23
1,3:41.0,A. Bradley makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),,20,23
1,3:28.0,,D. DeRozan misses 3-pt jump shot from 24 ft,20,23
1,3:26.0,,Offensive rebound by Team,20,23
