QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
1,11:45.0,,D. Wade makes 2-pt dunk from 1 ft (assist by K. Olynyk),0,2
1,11:33.0,Shooting foul by G. Dragić (drawn by Z. Smith),,0,2
1,11:33.0,Z. Smith makes free throw 1 of 2,,1,2
1,11:33.0,Z. Smith makes free throw 2 of 2,,2,2
1,11:19.0,,D. Wade misses 2-pt jump shot from 23 ft,2,2
1,11:17.0,Defensive rebound by B. Simmons,,2,2
1,11:10.0,B. Simmons makes 2-pt layup from 2 ft,,4,2
1,11:03.0,,G. Dragić misses 3-pt jump shot from 23 ft,4,2
1,11:00.0,Defensive rebound by T. Harris,,4,2
1,10:50.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Bolden),,6,2
1,10:41.0,,D. Wade misses 3-pt jump shot from 22 ft,6,2
1,10:38.0,Defensive rebound by T. Harris,,6,2
1,10:38.0,Shooting foul by K. Olynyk (drawn by B. Simmons),,6,2
1,10:38.0,B. Simmons makes free throw 1 of 2,,7,2
1,10:38.0,B. Simmons makes free throw 2 of 2,,8,2
1,10:29.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by G. Dragić),8,5
1,10:12.0,T. Harris misses 3-pt jump shot from 25 ft,,8,5
1,10:09.0,,Defensive rebound by K. Olynyk,8,5
1,9:58.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by G. Dragić),8,8
1,9:42.0,Turnover by B. Simmons (bad pass; steal by K. Olynyk),,8,8
1,9:33.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Wade),8,10
1,9:33.0,,Shooting foul by Z. Smith (drawn by B. Adebayo),8,10
1,9:33.0,,B. Adebayo misses free throw 1 of 1,8,10
1,9:30.0,Defensive rebound by T. Harris,,8,10
1,9:10.0,J. Bolden misses 3-pt jump shot from 25 ft,,8,10
1,9:08.0,,Defensive rebound by D. Wade,8,10
1,9:05.0,,Turnover by D. Wade (bad pass),8,10
1,8:46.0,Turnover by J. Butler (lost ball),,8,10
1,8:46.0,Loose ball foul by J. Butler (drawn by G. Dragić),,8,10
1,8:28.0,,B. Adebayo makes 2-pt dunk from 1 ft,8,12
1,8:17.0,B. Simmons misses 2-pt layup from 1 ft,,8,12
1,8:15.0,,Defensive rebound by K. Olynyk,8,12
1,8:06.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by G. Dragić),8,15
1,7:52.0,T. Harris makes 2-pt jump shot from 8 ft,,10,15
1,7:40.0,,B. Adebayo misses 2-pt jump shot from 11 ft,10,15
1,7:38.0,Defensive rebound by J. Butler,,10,15
1,7:26.0,J. Butler misses 2-pt jump shot from 16 ft,,10,15
1,7:23.0,,Defensive rebound by B. Adebayo,10,15
1,7:10.0,,D. Wade makes 2-pt layup from 2 ft (assist by G. Dragić),10,17
1,7:10.0,Philadelphia full timeout,,10,17
1,7:10.0,F. Korkmaz enters the game for J. Bolden,,10,17
1,7:10.0,B. Marjanović enters the game for B. Simmons,,10,17
1,7:10.0,T. McConnell enters the game for Z. Smith,,10,17
1,6:50.0,T. Harris misses 3-pt jump shot from 25 ft,,10,17
1,6:48.0,,Defensive rebound by J. Winslow,10,17
1,6:35.0,,Shooting foul by T. McConnell (drawn by D. Wade),10,17
1,6:35.0,,D. Wade makes free throw 1 of 2,10,18
1,6:35.0,,D. Wade makes free throw 2 of 2,10,19
1,6:19.0,F. Korkmaz misses 2-pt jump shot from 17 ft,,10,19
1,6:15.0,,Defensive rebound by G. Dragić,10,19
1,6:07.0,,Turnover by G. Dragić (lost ball; steal by T. McConnell),10,19
1,6:03.0,J. Butler misses 2-pt layup from 2 ft,,10,19
1,5:59.0,,Defensive rebound by K. Olynyk,10,19
1,5:56.0,,G. Dragić misses 2-pt layup from 1 ft,10,19
