QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
1,11:37.0,J. Embiid misses 3-pt jump shot from 31 ft,,0,0
1,11:34.0,,Defensive rebound by M. Turner,0,0
1,11:30.0,,D. Collison misses 2-pt jump shot from 1 ft,0,0
1,11:27.0,Defensive rebound by J. Butler,,0,0
1,11:24.0,J. Redick misses 3-pt jump shot from 27 ft,,0,0
1,11:21.0,,Defensive rebound by M. Turner,0,0
1,11:00.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),0,3
1,10:43.0,J. Embiid misses 2-pt jump shot from 14 ft,,0,3
1,10:40.0,,Defensive rebound by D. Collison,0,3
1,10:33.0,,Turnover by B. Bogdanović (out of bounds lost ball),0,3
1,10:21.0,Turnover by B. Simmons (bad pass; steal by D. Collison),,0,3
1,10:17.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,0,3
1,10:14.0,Defensive rebound by J. Embiid,,0,3
1,10:04.0,B. Simmons misses 2-pt layup from 1 ft,,0,3
1,10:02.0,,Defensive rebound by D. Collison,0,3
1,9:59.0,,Shooting foul by J. Embiid (drawn by T. Young),0,3
1,9:59.0,,T. Young makes free throw 1 of 2,0,4
1,9:59.0,,T. Young makes free throw 2 of 2,0,5
1,9:46.0,Turnover by J. Embiid (out of bounds lost ball),,0,5
1,9:29.0,,T. Young makes 2-pt hook shot from 2 ft,0,7
1,9:07.0,Personal foul by V. Oladipo (drawn by W. Chandler),,0,7
1,8:57.0,J. Butler misses 2-pt jump shot from 14 ft,,0,7
1,8:54.0,,Defensive rebound by M. Turner,0,7
1,8:48.0,,V. Oladipo misses 2-pt layup from 2 ft,0,7
1,8:45.0,Defensive rebound by B. Simmons,,0,7
1,8:42.0,Turnover by B. Simmons (lost ball; steal by D. Collison),,0,7
1,8:38.0,,D. Collison misses 3-pt jump shot from 26 ft,0,7
1,8:34.0,Defensive rebound by B. Simmons,,0,7
1,8:29.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Embiid),,3,7
1,8:20.0,,V. Oladipo misses 2-pt layup from 3 ft (block by B. Simmons),3,7
1,8:16.0,,Offensive rebound by V. Oladipo,3,7
1,8:15.0,,V. Oladipo misses 2-pt jump shot from 6 ft,3,7
1,8:13.0,Defensive rebound by J. Embiid,,3,7
1,8:10.0,B. Simmons misses 2-pt layup from 1 ft,,3,7
