QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
1,11:40.0,,Turnover by J. Holiday (bad pass; steal by W. Cauley-Stein),0,0
1,11:36.0,Shooting foul by R. Arcidiacono (drawn by D. Fox),,0,0
1,11:36.0,D. Fox makes free throw 1 of 2,,1,0
1,11:36.0,D. Fox makes free throw 2 of 2,,2,0
1,11:24.0,,L. Markkanen misses 3-pt jump shot from 24 ft,2,0
1,11:19.0,Defensive rebound by B. Hield,,2,0
1,11:06.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,4,0
1,10:49.0,,J. Holiday makes 2-pt jump shot from 13 ft (assist by W. Carter),4,2
1,10:36.0,I. Shumpert makes 3-pt jump shot from 22 ft (assist by N. Bjelica),,7,2
1,10:18.0,,L. Markkanen makes 2-pt jump shot from 8 ft (assist by R. Arcidiacono),7,4
1,10:09.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),,9,4
1,10:09.0,Shooting foul by W. Carter (drawn by W. Cauley-Stein),,9,4
1,10:09.0,W. Cauley-Stein makes free throw 1 of 1,,10,4
1,9:59.0,,Personal foul by B. Hield (drawn by J. Holiday),10,4
1,9:53.0,,Turnover by Z. LaVine (bad pass; steal by W. Cauley-Stein),10,4
1,9:49.0,Turnover by B. Hield (bad pass; steal by Z. LaVine),,10,4
1,9:40.0,,Z. LaVine makes 2-pt layup from 1 ft,10,6
1,9:26.0,Turnover by I. Shumpert (bad pass; steal by J. Holiday),,10,6
1,9:22.0,,L. Markkanen makes 2-pt dunk from 1 ft,10,8
1,9:22.0,Sacramento full timeout,,10,8
1,9:09.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),,13,8
1,8:52.0,,Turnover by Z. LaVine (bad pass; steal by W. Cauley-Stein),13,8
1,8:43.0,D. Fox misses 2-pt layup from 8 ft,,13,8
1,8:40.0,,Defensive rebound by W. Carter,13,8
1,8:29.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by J. Holiday),13,11
1,8:18.0,Turnover by D. Fox (bad pass; steal by Z. LaVine),,13,11
1,8:12.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by R. Arcidiacono),13,14
1,7:51.0,B. Hield misses 2-pt jump shot from 17 ft,,13,14
1,7:46.0,Offensive rebound by W. Cauley-Stein,,13,14
1,7:34.0,B. Hield misses 3-pt jump shot from 26 ft,,13,14
1,7:34.0,Offensive rebound by Team,,13,14
1,7:34.0,Turnover by Team (shot clock),,13,14
1,7:13.0,,L. Markkanen misses 2-pt hook shot from 18 ft,13,14
1,7:11.0,,Offensive rebound by W. Carter,13,14
1,7:10.0,,W. Carter misses 2-pt jump shot from 10 ft,13,14
1,7:08.0,Defensive rebound by W. Cauley-Stein,,13,14
1,6:55.0,B. Hield misses 3-pt jump shot from 25 ft,,13,14
1,6:52.0,,Defensive rebound by L. Markkanen,13,14
1,6:46.0,,Shooting foul by I. Shumpert (drawn by L. Markkanen),13,14
1,6:46.0,,L. Markkanen makes free throw 1 of 2,13,15
1,6:46.0,,L. Markkanen makes free throw 2 of 2,13,16
1,6:38.0,D. Fox misses 2-pt jump shot from 19 ft,,13,16
1,6:35.0,,Defensive rebound by W. Carter,13,16
1,6:27.0,,Z. LaVine makes 2-pt dunk from 1 ft,13,18
1,6:21.0,I. Shumpert misses 3-pt jump shot from 25 ft,,13,18
1,6:21.0,,Defensive rebound by L. Markkanen,13,18
1,6:14.0,,Personal foul by D. Fox (drawn by R. Arcidiacono),13,18
1,6:05.0,,J. Holiday misses 3-pt jump shot from 25 ft,13,18
1,6:01.0,Defensive rebound by N. Bjelica,,13,18
1,5:52.0,N. Bjelica makes 2-pt jump shot from 22 ft (assist by I. Shumpert),,15,18
1,5:39.0,,L. Markkanen misses 2-pt layup from 3 ft,15,18
1,5:37.0,Defensive rebound by N. Bjelica,,15,18
1,5:29.0,N. Bjelica misses 2-pt jump shot from 3 ft,,15,18
1,5:29.0,Offensive rebound by W. Cauley-Stein,,15,18
1,5:23.0,W. Cauley-Stein makes 2-pt dunk from 1 ft,,17,18
1,5:21.0,,Chicago full timeout,17,18
1,5:21.0,M. Bagley enters the game for N. Bjelica,,17,18
1,5:21.0,B. Bogdanović enters the game for D. Fox,,17,18
1,5:21.0,,K. Dunn enters the game for R. Arcidiacono,17,18
1,5:21.0,,J. Parker enters the game for L. Markkanen,17,18
1,5:10.0,,K. Dunn misses 3-pt jump shot from 26 ft,17,18
1,5:08.0,,Offensive rebound by K. Dunn,17,18
1,5:01.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by K. Dunn),17,21
1,4:44.0,M. Bagley makes 2-pt jump shot from 10 ft,,19,21
1,4:39.0,,Turnover by J. Parker (bad pass),19,21
