QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
1,11:44.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),0,3
1,11:21.0,D. Ayton misses 2-pt layup from 4 ft,,0,3
1,11:19.0,,Defensive rebound by G. Antetokounmpo,0,3
1,11:13.0,,B. Lopez misses 3-pt jump shot from 28 ft,0,3
1,11:11.0,Defensive rebound by T. Ariza,,0,3
1,10:56.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by T. Ariza),,2,3
1,10:38.0,,B. Lopez misses 3-pt jump shot from 28 ft,2,3
1,10:35.0,Defensive rebound by T. Ariza,,2,3
1,10:22.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by D. Booker),,5,3
1,10:12.0,,Turnover by E. Bledsoe (out of bounds lost ball),5,3
1,9:57.0,D. Ayton makes 2-pt dunk at rim (assist by D. Booker),,7,3
1,9:40.0,,B. Lopez misses 3-pt jump shot from 24 ft,7,3
1,9:37.0,Defensive rebound by T. Warren,,7,3
1,9:35.0,M. Bridges misses 3-pt jump shot from 25 ft,,7,3
1,9:31.0,,Defensive rebound by K. Middleton,7,3
1,9:26.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by K. Middleton),7,6
1,9:13.0,D. Booker makes 2-pt jump shot from 11 ft,,9,6
1,9:08.0,,Turnover by K. Middleton (lost ball; steal by D. Booker),9,6
1,9:02.0,T. Warren misses 3-pt jump shot from 28 ft,,9,6
1,8:58.0,,Defensive rebound by B. Lopez,9,6
1,8:55.0,,Shooting foul by M. Bridges (drawn by G. Antetokounmpo),9,6
1,8:55.0,,G. Antetokounmpo makes free throw 1 of 2,9,7
1,8:55.0,,G. Antetokounmpo makes free throw 2 of 2,9,8
1,8:40.0,D. Ayton misses 2-pt jump shot from 11 ft,,9,8
1,8:37.0,,Defensive rebound by K. Middleton,9,8
1,8:32.0,,B. Lopez misses 3-pt jump shot from 27 ft,9,8
1,8:32.0,Defensive rebound by Team,,9,8
1,8:17.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Warren),,12,8
1,8:07.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),12,10
1,8:01.0,T. Ariza makes 2-pt dunk from 1 ft (assist by D. Booker),,14,10
1,7:50.0,,Personal foul by D. Booker (drawn by M. Brogdon),14,10
1,7:44.0,,Turnover by E. Bledsoe (bad pass; steal by T. Warren),14,10
1,7:41.0,T. Warren makes 2-pt dunk from 2 ft,,16,10
1,7:41.0,,Milwaukee full timeout,16,10
1,7:41.0,,P. Connaughton enters the game for M. Brogdon,16,10
1,7:24.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,16,10
1,7:21.0,Defensive rebound by T. Ariza,,16,10
1,7:10.0,Turnover by D. Booker (bad pass; steal by P. Connaughton),,16,10
1,7:03.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by P. Connaughton),16,12
1,6:42.0,D. Ayton makes 2-pt layup from 1 ft (assist by T. Ariza),,18,12
1,6:25.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,18,12
1,6:22.0,Defensive rebound by T. Warren,,18,12
1,6:14.0,Turnover by D. Booker (bad pass; steal by K. Middleton),,18,12
1,5:59.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),18,14
1,5:40.0,D. Booker makes 2-pt jump shot from 13 ft,,20,14
1,5:35.0,,Personal foul by T. Warren (drawn by G. Antetokounmpo),20,14
1,5:35.0,,T. Maker enters the game for B. Lopez,20,14
1,5:28.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Maker),20,16
1,5:20.0,T. Ariza misses 3-pt jump shot from 26 ft,,20,16
1,5:17.0,,Defensive rebound by G. Antetokounmpo,20,16
1,5:11.0,,T. Maker misses 3-pt jump shot from 26 ft,20,16
1,5:09.0,Defensive rebound by T. Ariza,,20,16
1,4:59.0,D. Ayton misses 2-pt hook shot from 4 ft,,20,16
1,4:56.0,,Defensive rebound by P. Connaughton,20,16
1,4:51.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by P. Connaughton),20,18
1,4:51.0,,Shooting foul by M. Bridges (drawn by G. Antetokounmpo),20,18
1,4:51.0,Phoenix full timeout,,20,18
1,4:51.0,R. Holmes enters the game for D. Ayton,,20,18
1,4:51.0,J. Jackson enters the game for M. Bridges,,20,18
1,4:51.0,,E. İlyasova enters the game for K. Middleton,20,18
1,4:51.0,,G. Antetokounmpo makes free throw 1 of 1,20,19
1,4:32.0,D. Booker misses 3-pt jump shot from 23 ft,,20,19
1,4:30.0,,Defensive rebound by P. Connaughton,20,19
1,4:18.0,,Personal foul by R. Holmes (drawn by G. Antetokounmpo),20,19
1,4:18.0,,Offensive rebound by Team,20,19
1,4:18.0,,G. Antetokounmpo misses free throw 1 of 2,20,19
1,4:18.0,,G. Antetokounmpo makes free throw 2 of 2,20,20
1,4:06.0,Turnover by J. Jackson (bad pass; steal by P. Connaughton),,20,20
1,3:58.0,,Personal foul by J. Jackson (drawn by G. Antetokounmpo),20,20
1,3:58.0,,G. Antetokounmpo misses free throw 1 of 2,20,20
1,3:58.0,,Offensive rebound by Team,20,20
1,3:58.0,,M. Brogdon enters the game for E. Bledsoe,20,20
1,3:58.0,,G. Antetokounmpo makes free throw 2 of 2,20,21
1,3:41.0,J. Jackson makes 2-pt jump shot from 13 ft,,22,21
1,3:24.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),22,23
1,3:10.0,D. Booker misses 2-pt jump shot from 12 ft,,22,23
1,3:00.0,,Defensive rebound by P. Connaughton,22,23
1,2:59.0,,P. Connaughton misses 3-pt jump shot from 26 ft,22,23
1,2:56.0,,Offensive rebound by T. Maker,22,23
1,2:51.0,,T. Maker makes 2-pt hook shot from 4 ft (assist by M. Brogdon),22,25
1,2:34.0,J. Jackson misses 2-pt jump shot from 6 ft,,22,25
1,2:31.0,,Defensive rebound by P. Connaughton,22,25
1,2:25.0,,T. Maker misses 3-pt jump shot from 23 ft,22,25
1,2:22.0,Defensive rebound by J. Jackson,,22,25
1,2:15.0,R. Holmes makes 2-pt dunk from 2 ft (assist by T. Warren),,24,25
1,1:52.0,,T. Maker misses 3-pt jump shot from 23 ft,24,25
1,1:52.0,Defensive rebound by Team,,24,25
1,1:52.0,,T. Snell enters the game for G. Antetokounmpo,24,25
1,1:36.0,T. Warren makes 2-pt layup from 1 ft,,26,25
1,1:36.0,I. Canaan enters the game for T. Ariza,,26,25
1,1:09.0,,M. Brogdon misses 2-pt layup from 6 ft (block by R. Holmes),26,25
1,1:05.0,Defensive rebound by T. Warren,,26,25
1,0:55.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Jackson),,28,25
1,0:55.0,Shooting foul by E. İlyasova (drawn by R. Holmes),,28,25
1,0:55.0,R. Holmes makes free throw 1 of 1,,29,25
1,0:41.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by T. Maker),29,28
1,0:35.0,D. Booker makes 2-pt jump shot from 10 ft,,31,28
1,0:27.0,,M. Brogdon makes 2-pt layup from 1 ft,31,30
1,0:03.0,Shooting foul by T. Snell (drawn by J. Jackson),,31,30
1,0:03.0,J. Jackson makes free throw 1 of 3,,32,30
1,0:03.0,J. Jackson makes free throw 2 of 3,,33,30
1,0:03.0,J. Jackson makes free throw 3 of 3,,34,30
1,0:00.0,,E. İlyasova misses 3-pt jump shot from 29 ft,34,30
1,0:00.0,,Offensive rebound by Team,34,30
2,11:47.0,T. Warren makes 3-pt jump shot from 23 ft (assist by I. Canaan),,37,30
2,11:33.0,,M. Brogdon misses 2-pt layup from 2 ft (block by J. Jackson),37,30
2,11:31.0,,Offensive rebound by E. İlyasova,37,30
2,11:23.0,,K. Middleton makes 2-pt jump shot from 17 ft,37,32
2,11:06.0,I. Canaan misses 3-pt jump shot from 31 ft,,37,32
2,11:03.0,Offensive rebound by R. Holmes,,37,32
2,10:59.0,Turnover by R. Holmes (bad pass),,37,32
2,10:59.0,D. Ayton enters the game for R. Holmes,,37,32
