QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
1,11:47.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,0
1,11:43.0,,Defensive rebound by T. Harris,0,0
1,11:37.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),0,3
1,11:29.0,Shooting foul by B. Simmons (drawn by G. Antetokounmpo),,0,3
1,11:29.0,G. Antetokounmpo makes free throw 1 of 2,,1,3
1,11:29.0,G. Antetokounmpo makes free throw 2 of 2,,2,3
1,11:07.0,,T. Harris makes 2-pt jump shot from 5 ft (assist by J. Embiid),2,5
1,10:53.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by S. Brown),,5,5
1,10:40.0,,J. Redick misses 2-pt jump shot from 20 ft,5,5
1,10:38.0,Defensive rebound by B. Lopez,,5,5
1,10:27.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,5,5
1,10:23.0,,Defensive rebound by T. Harris,5,5
1,10:16.0,,J. Embiid misses 2-pt layup from 2 ft (block by G. Antetokounmpo),5,5
1,10:14.0,Defensive rebound by G. Antetokounmpo,,5,5
1,10:11.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,5,5
1,10:11.0,G. Antetokounmpo makes free throw 1 of 2,,6,5
1,10:11.0,G. Antetokounmpo makes free throw 2 of 2,,7,5
1,9:52.0,,J. Embiid misses 2-pt hook shot from 3 ft,7,5
1,9:50.0,Defensive rebound by G. Antetokounmpo,,7,5
1,9:47.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,10,5
1,9:36.0,,J. Embiid misses 3-pt jump shot from 26 ft,10,5
1,9:33.0,Defensive rebound by Team,,10,5
1,9:25.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft,,13,5
1,9:24.0,Technical foul by E. Bledsoe,,13,5
1,9:24.0,Technical foul by E. Bledsoe,,13,5
1,9:24.0,E. Bledsoe ejected from game,,13,5
1,9:24.0,G. Hill enters the game for E. Bledsoe,,13,5
1,9:24.0,,Technical foul by M. Scott,13,5
1,9:24.0,,Technical foul by J. Embiid,13,5
1,9:11.0,,Turnover by J. Embiid (lost ball; steal by K. Middleton),13,5
1,9:09.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,13,5
1,9:09.0,G. Antetokounmpo makes free throw 1 of 2,,14,5
1,9:09.0,G. Antetokounmpo misses free throw 2 of 2,,14,5
1,9:07.0,,Defensive rebound by T. Harris,14,5
1,8:59.0,,T. Harris misses 2-pt layup from 4 ft (block by B. Lopez),14,5
1,8:55.0,Defensive rebound by B. Lopez,,14,5
1,8:51.0,K. Middleton misses 2-pt jump shot from 9 ft,,14,5
1,8:48.0,,Defensive rebound by B. Simmons,14,5
1,8:41.0,,Personal foul by K. Middleton (drawn by J. Embiid),14,5
1,8:37.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by J. Embiid),14,7
