QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
1,11:46.0,Violation by Team (kicked ball),,0,0
1,11:40.0,,K. Thompson makes 2-pt dunk from 2 ft (assist by D. Cousins),0,2
1,11:23.0,M. Belinelli misses 2-pt jump shot from 13 ft,,0,2
1,11:22.0,,Defensive rebound by D. Cousins,0,2
1,11:15.0,,K. Durant makes 3-pt jump shot from 28 ft (assist by D. Green),0,5
1,11:04.0,J. Poeltl makes 2-pt layup from 7 ft (assist by P. Mills),,2,5
1,11:04.0,Shooting foul by K. Thompson (drawn by J. Poeltl),,2,5
1,11:04.0,J. Poeltl makes free throw 1 of 1,,3,5
1,10:48.0,,D. Cousins misses 3-pt jump shot from 26 ft,3,5
1,10:46.0,,Offensive rebound by K. Thompson,3,5
1,10:42.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by K. Thompson),3,8
1,10:41.0,San Antonio full timeout,,3,8
1,10:33.0,R. Gay makes 2-pt jump shot from 19 ft,,5,8
1,10:22.0,,Personal foul by P. Mills (drawn by D. Green),5,8
1,10:12.0,,K. Durant makes 2-pt jump shot from 17 ft,5,10
1,10:05.0,Turnover by P. Mills (lost ball; steal by K. Thompson),,5,10
1,9:59.0,,K. Thompson misses 2-pt layup from 2 ft,5,10
1,9:58.0,,Offensive rebound by D. Cousins,5,10
1,9:58.0,,D. Cousins makes 2-pt layup at rim,5,12
1,9:36.0,D. Bertāns makes 2-pt jump shot from 19 ft (assist by J. Poeltl),,7,12
1,9:21.0,,D. Cousins makes 2-pt hook shot from 9 ft (assist by D. Green),7,14
1,9:04.0,D. Bertāns misses 3-pt jump shot from 26 ft,,7,14
1,9:02.0,Offensive rebound by J. Poeltl,,7,14
1,9:00.0,J. Poeltl makes 2-pt layup from 2 ft,,9,14
1,8:40.0,,K. Durant makes 2-pt jump shot from 7 ft (assist by S. Curry),9,16
1,8:23.0,P. Mills makes 3-pt jump shot from 23 ft (assist by D. Bertāns),,12,16
1,8:09.0,,Turnover by D. Green (lost ball; steal by P. Mills),12,16
1,8:01.0,M. Belinelli makes 2-pt jump shot from 22 ft (assist by J. Poeltl),,14,16
1,7:46.0,,D. Cousins misses 3-pt jump shot from 26 ft,14,16
1,7:43.0,Defensive rebound by Team,,14,16
1,7:23.0,R. Gay misses 2-pt jump shot from 14 ft,,14,16
