QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
1,11:47.0,,J. Ingles makes 2-pt layup from 2 ft (assist by R. Rubio),0,2
1,11:22.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
1,11:01.0,,J. Ingles misses 2-pt jump shot from 4 ft,3,2
1,10:58.0,,Offensive rebound by J. Ingles,3,2
1,10:58.0,,J. Ingles makes 2-pt layup from 1 ft,3,4
1,10:45.0,J. Collins misses 3-pt jump shot from 25 ft,,3,4
1,10:42.0,,Defensive rebound by R. Gobert,3,4
1,10:35.0,,R. Rubio makes 2-pt jump shot from 13 ft,3,6
1,10:20.0,T. Young makes 2-pt jump shot from 7 ft,,5,6
1,10:20.0,Shooting foul by R. Rubio (drawn by T. Young),,5,6
1,10:20.0,T. Young makes free throw 1 of 1,,6,6
1,10:12.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),6,9
1,10:02.0,T. Young misses 3-pt jump shot from 29 ft,,6,9
1,9:59.0,,Defensive rebound by R. Gobert,6,9
1,9:45.0,,Shooting foul by D. Bembry (drawn by R. Gobert),6,9
1,9:45.0,,R. Gobert makes free throw 1 of 2,6,10
1,9:45.0,,R. Gobert makes free throw 2 of 2,6,11
1,9:34.0,K. Huerter misses 2-pt jump shot from 9 ft,,6,11
1,9:32.0,Offensive rebound by Team,,6,11
1,9:28.0,Turnover by T. Young (bad pass; steal by R. Rubio),,6,11
1,9:10.0,,R. Gobert makes 2-pt layup from 2 ft,6,13
1,9:02.0,D. Dedmon misses 3-pt jump shot from 26 ft,,6,13
1,8:58.0,,Defensive rebound by D. Mitchell,6,13
1,8:51.0,,D. Mitchell misses 2-pt jump shot from 16 ft,6,13
1,8:49.0,Defensive rebound by D. Bembry,,6,13
1,8:44.0,Shooting foul by R. Gobert (drawn by J. Collins),,6,13
1,8:44.0,J. Collins makes free throw 1 of 2,,7,13
1,8:44.0,J. Collins makes free throw 2 of 2,,8,13
1,8:28.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Rubio),8,16
1,8:17.0,T. Young makes 2-pt jump shot from 14 ft,,10,16
1,8:00.0,,J. Ingles misses 3-pt jump shot from 23 ft,10,16
1,7:58.0,Defensive rebound by D. Bembry,,10,16
1,7:52.0,Shooting foul by R. Gobert (drawn by D. Bembry),,10,16
1,7:52.0,D. Bembry makes free throw 1 of 2,,11,16
1,7:52.0,,J. Crowder enters the game for R. Gobert,11,16
1,7:52.0,D. Bembry makes free throw 2 of 2,,12,16
1,7:46.0,,D. Mitchell makes 2-pt layup from 12 ft,12,18
1,7:46.0,,Shooting foul by J. Collins (drawn by D. Mitchell),12,18
1,7:46.0,T. Prince enters the game for K. Huerter,,12,18
1,7:46.0,,D. Mitchell makes free throw 1 of 1,12,19
1,7:38.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,15,19
