QUARTER,TIME_REMAINING,ATLANTA_ACTION,SACRAMENTO_ACTION,ATLANTA_SCORE,SACRAMENTO_SCORE
1,11:46.0,T. Young misses 3-pt jump shot from 26 ft,,0,0
1,11:43.0,,Defensive rebound by W. Cauley-Stein,0,0
1,11:28.0,,Shooting foul by D. Bembry (drawn by B. Hield),0,0
1,11:28.0,,B. Hield makes free throw 1 of 2,0,1
1,11:28.0,,B. Hield makes free throw 2 of 2,0,2
1,11:15.0,K. Huerter makes 2-pt layup from 2 ft (assist by J. Collins),,2,2
1,11:06.0,,N. Bjelica misses 3-pt jump shot from 23 ft,2,2
1,11:02.0,Defensive rebound by D. Dedmon,,2,2
1,10:50.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Bembry),,4,2
1,10:41.0,,D. Fox misses 3-pt jump shot from 25 ft,4,2
1,10:39.0,Defensive rebound by J. Collins,,4,2
1,10:30.0,D. Bembry makes 2-pt layup from 1 ft (assist by T. Young),,6,2
1,10:27.0,,Turnover by D. Fox (bad pass; steal by D. Bembry),6,2
1,10:26.0,Turnover by D. Bembry (step out of bounds),,6,2
1,10:11.0,,Turnover by W. Cauley-Stein (bad pass),6,2
1,10:00.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,8,2
1,9:50.0,,B. Hield makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),8,4
1,9:29.0,D. Bembry misses 2-pt layup from 2 ft (block by B. Hield),,8,4
1,9:26.0,Offensive rebound by D. Dedmon,,8,4
1,9:24.0,D. Dedmon misses 3-pt jump shot from 25 ft,,8,4
1,9:22.0,,Defensive rebound by B. Hield,8,4
1,9:18.0,,Turnover by N. Bjelica (bad pass; steal by K. Huerter),8,4
1,9:11.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Huerter),,10,4
1,8:56.0,,Shooting foul by D. Dedmon (drawn by W. Cauley-Stein),10,4
1,8:56.0,,W. Cauley-Stein makes free throw 1 of 2,10,5
1,8:56.0,,W. Cauley-Stein makes free throw 2 of 2,10,6
1,8:38.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,12,6
1,8:30.0,,I. Shumpert misses 3-pt jump shot from 23 ft,12,6
1,8:27.0,Defensive rebound by D. Bembry,,12,6
1,8:24.0,T. Young misses 3-pt jump shot from 25 ft,,12,6
1,8:22.0,Offensive rebound by T. Young,,12,6
1,8:15.0,D. Bembry makes 3-pt jump shot from 23 ft (assist by D. Dedmon),,15,6
1,8:14.0,,Sacramento full timeout,15,6
1,8:14.0,T. Prince enters the game for D. Bembry,,15,6
1,8:03.0,,D. Fox misses 2-pt jump shot from 6 ft,15,6
1,8:00.0,Defensive rebound by J. Collins,,15,6
1,7:56.0,Offensive foul by J. Collins (drawn by D. Fox),,15,6
1,7:56.0,Turnover by J. Collins (offensive foul),,15,6
1,7:41.0,,I. Shumpert makes 2-pt jump shot from 6 ft,15,8
1,7:26.0,Turnover by T. Young (bad pass),,15,8
1,7:16.0,,B. Hield misses 3-pt jump shot from 25 ft,15,8
1,7:14.0,Defensive rebound by D. Dedmon,,15,8
1,7:14.0,Personal foul by B. Hield (drawn by T. Young),,15,8
1,7:14.0,K. Bazemore enters the game for K. Huerter,,15,8
1,6:56.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,17,8
1,6:49.0,,I. Shumpert makes 2-pt jump shot from 15 ft (assist by D. Fox),17,10
1,6:36.0,T. Young makes 3-pt jump shot from 26 ft,,20,10
1,6:23.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),20,13
1,6:04.0,Shooting foul by W. Cauley-Stein (drawn by J. Collins),,20,13
1,6:04.0,J. Collins makes free throw 1 of 2,,21,13
1,6:04.0,A. Len enters the game for D. Dedmon,,21,13
1,6:04.0,J. Lin enters the game for T. Young,,21,13
1,6:04.0,J. Collins makes free throw 2 of 2,,22,13
1,5:45.0,,N. Bjelica makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),22,15
1,5:30.0,T. Prince misses 3-pt jump shot from 25 ft,,22,15
1,5:28.0,,Defensive rebound by N. Bjelica,22,15
1,5:20.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),22,17
1,5:20.0,Atlanta full timeout,,22,17
1,5:20.0,O. Spellman enters the game for J. Collins,,22,17
1,5:20.0,,M. Bagley enters the game for W. Cauley-Stein,22,17
1,5:20.0,,B. Bogdanović enters the game for I. Shumpert,22,17
1,5:01.0,K. Bazemore makes 2-pt jump shot from 20 ft,,24,17
1,4:46.0,,D. Fox misses 2-pt jump shot from 3 ft,24,17
1,4:44.0,,Offensive rebound by M. Bagley,24,17
1,4:43.0,,M. Bagley makes 2-pt layup from 3 ft,24,19
1,4:23.0,J. Lin makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,27,19
1,4:09.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,27,19
1,4:05.0,Defensive rebound by K. Bazemore,,27,19
1,4:02.0,Personal foul by D. Fox (drawn by K. Bazemore),,27,19
1,4:02.0,,Y. Ferrell enters the game for D. Fox,27,19
1,3:44.0,A. Len misses 3-pt jump shot from 23 ft,,27,19
1,3:40.0,,Defensive rebound by Y. Ferrell,27,19
1,3:37.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),27,22
1,3:16.0,A. Len makes 2-pt layup from 2 ft (assist by J. Lin),,29,22
1,3:00.0,,N. Bjelica misses 2-pt layup from 3 ft,29,22
1,2:56.0,,Offensive rebound by N. Bjelica,29,22
1,2:55.0,,N. Bjelica makes 2-pt layup at rim,29,24
1,2:39.0,Offensive foul by A. Len (drawn by B. Bogdanović),,29,24
1,2:39.0,Turnover by A. Len (offensive foul),,29,24
1,2:39.0,,H. Giles enters the game for N. Bjelica,29,24
1,2:27.0,,Personal foul by T. Prince (drawn by B. Bogdanović),29,24
1,2:27.0,D. Bembry enters the game for K. Bazemore,,29,24
1,2:17.0,,Y. Ferrell misses 3-pt jump shot from 22 ft,29,24
1,2:11.0,Defensive rebound by O. Spellman,,29,24
1,2:07.0,Turnover by A. Len (traveling),,29,24
1,2:07.0,,J. Jackson enters the game for B. Hield,29,24
1,1:52.0,,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),29,26
1,1:28.0,Turnover by J. Lin (bad pass; steal by B. Bogdanović),,29,26
1,1:12.0,,J. Jackson misses 3-pt jump shot from 25 ft,29,26
1,1:08.0,,Offensive rebound by M. Bagley,29,26
1,1:06.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Bagley),29,28
1,0:50.0,A. Len misses 3-pt jump shot from 23 ft,,29,28
1,0:46.0,,Defensive rebound by Y. Ferrell,29,28
1,0:44.0,,H. Giles makes 2-pt layup from 2 ft (assist by Y. Ferrell),29,30
1,0:31.0,D. Bembry misses 2-pt layup from 1 ft,,29,30
1,0:29.0,,Defensive rebound by H. Giles,29,30
1,0:19.0,,M. Bagley makes 2-pt jump shot from 16 ft,29,32
1,0:04.0,Shooting foul by Y. Ferrell (drawn by J. Lin),,29,32
1,0:04.0,J. Lin makes free throw 1 of 2,,30,32
1,0:04.0,J. Lin makes free throw 2 of 2,,31,32
1,0:00.0,,M. Bagley misses 3-pt jump shot from 58 ft,31,32
1,0:00.0,,Offensive rebound by Team,31,32
2,11:41.0,,H. Giles misses 2-pt layup from 2 ft,31,32
2,11:39.0,,Offensive rebound by Y. Ferrell,31,32
2,11:28.0,,H. Giles misses 2-pt layup from 4 ft,31,32
2,11:24.0,Defensive rebound by K. Huerter,,31,32
2,11:14.0,Turnover by D. Bembry (bad pass; steal by J. Jackson),,31,32
2,11:08.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,31,32
2,11:03.0,Defensive rebound by D. Bembry,,31,32
2,10:46.0,K. Huerter misses 3-pt jump shot from 27 ft,,31,32
2,10:44.0,,Defensive rebound by M. Bagley,31,32
