QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
1,11:33.0,,M. Gasol misses 2-pt jump shot from 11 ft,0,0
1,11:30.0,Defensive rebound by T. Harris,,0,0
1,11:12.0,T. Harris misses 3-pt jump shot from 24 ft,,0,0
1,11:10.0,,Defensive rebound by K. Lowry,0,0
1,11:05.0,,K. Lowry makes 2-pt jump shot from 5 ft,0,2
1,10:38.0,Turnover by J. Embiid (step out of bounds),,0,2
1,10:26.0,,P. Siakam misses 2-pt jump shot from 14 ft,0,2
1,10:24.0,Defensive rebound by T. Harris,,0,2
1,10:18.0,Turnover by B. Simmons (bad pass; steal by K. Leonard),,0,2
1,10:01.0,,P. Siakam makes 2-pt hook shot from 3 ft,0,4
1,9:39.0,J. Butler misses 2-pt jump shot from 15 ft,,0,4
1,9:37.0,,Defensive rebound by D. Green,0,4
1,9:32.0,,K. Lowry misses 2-pt layup from 1 ft (block by J. Butler),0,4
1,9:32.0,,Offensive rebound by Team,0,4
1,9:21.0,,M. Gasol misses 2-pt jump shot from 5 ft,0,4
1,9:17.0,Defensive rebound by B. Simmons,,0,4
1,9:12.0,B. Simmons makes 2-pt layup from 1 ft,,2,4
1,8:58.0,,Turnover by D. Green (traveling),2,4
1,8:47.0,J. Redick misses 3-pt jump shot from 26 ft,,2,4
1,8:45.0,,Defensive rebound by M. Gasol,2,4
1,8:32.0,,M. Gasol misses 3-pt jump shot from 25 ft,2,4
1,8:28.0,Defensive rebound by J. Butler,,2,4
1,8:21.0,B. Simmons misses 2-pt layup from 2 ft (block by M. Gasol),,2,4
1,8:21.0,,Defensive rebound by Team,2,4
1,8:15.0,,P. Siakam misses 3-pt jump shot from 24 ft,2,4
1,8:12.0,Defensive rebound by B. Simmons,,2,4
1,8:02.0,J. Butler makes 3-pt jump shot from 24 ft (assist by J. Embiid),,5,4
1,7:38.0,,K. Lowry makes 2-pt jump shot from 8 ft (assist by M. Gasol),5,6
1,7:38.0,,Shooting foul by T. Harris (drawn by K. Lowry),5,6
1,7:38.0,,K. Lowry makes free throw 1 of 1,5,7
1,7:29.0,J. Butler makes 3-pt jump shot from 23 ft (assist by B. Simmons),,8,7
1,7:19.0,,K. Lowry misses 3-pt jump shot from 23 ft,8,7
1,7:17.0,Defensive rebound by J. Embiid,,8,7
1,7:11.0,J. Butler misses 3-pt jump shot from 24 ft,,8,7
1,7:08.0,,Defensive rebound by K. Leonard,8,7
1,6:53.0,,K. Leonard makes 2-pt jump shot from 10 ft,8,9
1,6:41.0,Personal foul by D. Green (drawn by J. Embiid),,8,9
1,6:41.0,,Toronto full timeout,8,9
1,6:41.0,G. Monroe enters the game for J. Embiid,,8,9
1,6:27.0,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Butler),,11,9
1,6:00.0,,Turnover by Team (shot clock),11,9
1,6:00.0,J. Ennis enters the game for J. Redick,,11,9
1,5:48.0,T. Harris misses 2-pt jump shot from 12 ft,,11,9
1,5:46.0,,Defensive rebound by M. Gasol,11,9
1,5:33.0,,D. Green misses 3-pt jump shot from 24 ft (block by B. Simmons),11,9
1,5:30.0,Defensive rebound by G. Monroe,,11,9
1,5:24.0,J. Ennis misses 3-pt jump shot from 23 ft,,11,9
1,5:20.0,,Defensive rebound by M. Gasol,11,9
1,5:04.0,,D. Green misses 2-pt hook shot from 3 ft,11,9
