QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
1,11:41.0,,R. Covington misses 2-pt jump shot from 15 ft,0,0
1,11:39.0,Defensive rebound by Team,,0,0
1,11:24.0,J. Lamb misses 3-pt jump shot from 26 ft,,0,0
1,11:20.0,,Defensive rebound by B. Simmons,0,0
1,11:04.0,,B. Simmons misses 2-pt hook shot from 6 ft,0,0
1,11:01.0,Defensive rebound by M. Williams,,0,0
1,10:58.0,Turnover by K. Walker (bad pass),,0,0
1,10:44.0,,J. Embiid makes 2-pt hook shot from 3 ft (assist by D. Šarić),0,2
1,10:30.0,J. Lamb makes 2-pt jump shot from 12 ft,,2,2
1,10:30.0,Shooting foul by M. Fultz (drawn by J. Lamb),,2,2
1,10:30.0,J. Lamb makes free throw 1 of 1,,3,2
1,10:21.0,,B. Simmons makes 2-pt layup from 4 ft,3,4
1,10:00.0,M. Williams misses 2-pt hook shot from 5 ft,,3,4
1,9:59.0,Offensive rebound by C. Zeller,,3,4
1,9:58.0,C. Zeller misses 2-pt layup at rim,,3,4
1,9:57.0,Offensive rebound by Team,,3,4
1,9:52.0,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Williams),,6,4
1,9:34.0,,M. Fultz misses 2-pt jump shot from 16 ft,6,4
1,9:34.0,Defensive rebound by Team,,6,4
1,9:24.0,K. Walker makes 2-pt jump shot from 16 ft,,8,4
1,9:15.0,,B. Simmons misses 2-pt layup from 6 ft,8,4
1,9:10.0,Defensive rebound by M. Williams,,8,4
1,8:50.0,N. Batum misses 3-pt jump shot from 24 ft,,8,4
1,8:36.0,,Defensive rebound by D. Šarić,8,4
1,8:35.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by M. Fultz),8,7
1,8:15.0,J. Lamb makes 3-pt jump shot from 26 ft,,11,7
1,8:03.0,,Turnover by J. Embiid (offensive foul),11,7
1,8:03.0,,Offensive foul by J. Embiid (drawn by C. Zeller),11,7
1,7:48.0,K. Walker misses 3-pt jump shot from 30 ft,,11,7
1,7:43.0,,Defensive rebound by M. Fultz,11,7
1,7:40.0,,M. Fultz makes 2-pt layup from 3 ft,11,9
1,7:33.0,Personal foul by R. Covington (drawn by K. Walker),,11,9
1,7:33.0,M. Kidd-Gilchrist enters the game for M. Williams,,11,9
1,7:33.0,,A. Johnson enters the game for J. Embiid,11,9
1,7:33.0,,J. Redick enters the game for M. Fultz,11,9
1,7:28.0,N. Batum makes 2-pt jump shot from 20 ft,,13,9
1,7:09.0,,B. Simmons misses 2-pt jump shot from 10 ft,13,9
1,7:07.0,,Offensive rebound by D. Šarić,13,9
1,7:05.0,,D. Šarić makes 2-pt layup from 2 ft,13,11
1,7:00.0,Charlotte full timeout,,13,11
1,6:53.0,J. Lamb misses 2-pt layup from 4 ft,,13,11
1,6:53.0,Offensive rebound by Team,,13,11
1,6:47.0,N. Batum misses 2-pt layup from 2 ft,,13,11
1,6:45.0,,Defensive rebound by R. Covington,13,11
1,6:40.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),13,14
1,6:27.0,Personal foul by A. Johnson (drawn by C. Zeller),,13,14
1,6:27.0,M. Bridges enters the game for N. Batum,,13,14
1,6:25.0,Turnover by M. Bridges (bad pass; steal by B. Simmons),,13,14
1,6:23.0,,R. Covington makes 2-pt layup from 1 ft (assist by B. Simmons),13,16
1,6:23.0,Violation by Team (def goaltending),,13,16
1,6:04.0,K. Walker makes 2-pt layup from 2 ft,,15,16
1,5:54.0,,B. Simmons misses 2-pt layup from 3 ft,15,16
1,5:49.0,Defensive rebound by K. Walker,,15,16
1,5:45.0,K. Walker misses 2-pt layup from 3 ft (block by R. Covington),,15,16
1,5:45.0,Offensive rebound by Team,,15,16
1,5:41.0,J. Lamb misses 2-pt jump shot from 8 ft,,15,16
1,5:39.0,Offensive rebound by C. Zeller,,15,16
1,5:39.0,Personal foul by A. Johnson (drawn by C. Zeller),,15,16
1,5:31.0,K. Walker makes 2-pt jump shot from 18 ft,,17,16
1,5:11.0,,D. Šarić makes 2-pt hook shot from 6 ft,17,18
1,4:58.0,K. Walker misses 3-pt jump shot from 26 ft,,17,18
1,4:55.0,,Defensive rebound by D. Šarić,17,18
1,4:48.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by A. Johnson),17,21
1,4:29.0,M. Bridges makes 2-pt layup from 1 ft (assist by K. Walker),,19,21
1,4:20.0,,Personal foul by C. Zeller (drawn by B. Simmons),19,21
1,4:20.0,B. Biyombo enters the game for C. Zeller,,19,21
1,4:20.0,,J. Embiid enters the game for R. Covington,19,21
