QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
1,11:42.0,,J. Richardson misses 3-pt jump shot from 24 ft,0,0
1,11:38.0,Defensive rebound by A. Baynes,,0,0
1,11:20.0,K. Irving makes 2-pt jump shot from 20 ft,,2,0
1,11:07.0,,Personal foul by K. Irving (drawn by G. Dragić),2,0
1,11:02.0,,Turnover by G. Dragić (bad pass; steal by M. Smart),2,0
1,11:00.0,M. Smart makes 2-pt jump shot from 4 ft,,4,0
1,11:00.0,,Violation by Team (def goaltending),4,0
1,10:49.0,,Turnover by G. Dragić (lost ball; steal by M. Smart),4,0
1,10:38.0,A. Horford makes 2-pt jump shot from 21 ft (assist by M. Smart),,6,0
1,10:24.0,,D. Waiters misses 2-pt layup from 2 ft,6,0
1,10:21.0,Defensive rebound by A. Baynes,,6,0
1,10:19.0,Turnover by M. Smart (bad pass; steal by J. Richardson),,6,0
1,10:12.0,,D. Waiters misses 2-pt layup from 2 ft (block by A. Baynes),6,0
1,10:12.0,,Offensive rebound by Team,6,0
1,10:08.0,,D. Waiters misses 2-pt jump shot from 20 ft,6,0
1,10:03.0,Defensive rebound by A. Horford,,6,0
1,10:01.0,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Horford),,9,0
1,9:42.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Richardson),9,3
1,9:22.0,A. Horford misses 2-pt layup from 2 ft (block by K. Olynyk),,9,3
1,9:20.0,,Defensive rebound by B. Adebayo,9,3
1,9:08.0,,D. Waiters misses 3-pt jump shot from 25 ft,9,3
1,9:06.0,Defensive rebound by A. Baynes,,9,3
1,8:54.0,J. Tatum misses 2-pt layup from 1 ft,,9,3
1,8:51.0,Offensive rebound by A. Baynes,,9,3
1,8:51.0,A. Baynes makes 2-pt layup at rim,,11,3
1,8:37.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by G. Dragić),11,6
1,8:22.0,Shooting foul by K. Olynyk (drawn by A. Baynes),,11,6
1,8:22.0,A. Baynes makes free throw 1 of 2,,12,6
1,8:22.0,A. Baynes makes free throw 2 of 2,,13,6
1,8:06.0,,G. Dragić makes 3-pt jump shot from 23 ft (assist by D. Waiters),13,9
1,7:49.0,K. Irving makes 3-pt jump shot from 27 ft,,16,9
1,7:39.0,,Personal foul by M. Smart (drawn by G. Dragić),16,9
1,7:28.0,,Shooting foul by A. Horford (drawn by K. Olynyk),16,9
1,7:28.0,,K. Olynyk makes free throw 1 of 2,16,10
1,7:28.0,,K. Olynyk misses free throw 2 of 2,16,10
1,7:24.0,Defensive rebound by J. Tatum,,16,10
1,7:16.0,K. Irving misses 2-pt jump shot from 12 ft,,16,10
1,7:11.0,Offensive rebound by A. Baynes,,16,10
1,7:11.0,A. Baynes makes 2-pt layup at rim,,18,10
1,7:04.0,,G. Dragić misses 2-pt jump shot from 8 ft,18,10
1,7:03.0,,Offensive rebound by G. Dragić,18,10
1,7:03.0,,G. Dragić makes 2-pt layup from 4 ft,18,12
1,6:42.0,,Miami full timeout,18,12
1,6:39.0,Turnover by M. Smart (bad pass; steal by G. Dragić),,18,12
1,6:26.0,,J. Richardson makes 2-pt jump shot from 10 ft (assist by G. Dragić),18,14
