QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
1,11:36.0,,A. Gordon makes 2-pt jump shot from 19 ft (assist by N. Vučević),0,2
1,11:20.0,A. Bradley misses 2-pt jump shot from 9 ft,,0,2
1,11:15.0,,Defensive rebound by N. Vučević,0,2
1,11:07.0,,E. Fournier misses 2-pt jump shot from 22 ft,0,2
1,11:02.0,Defensive rebound by B. Marjanović,,0,2
1,10:52.0,Personal foul by E. Fournier (drawn by D. Gallinari),,0,2
1,10:40.0,D. Gallinari makes 2-pt jump shot from 8 ft,,2,2
1,10:29.0,,Personal foul by T. Harris (drawn by A. Gordon),2,2
1,10:20.0,,D. Augustin makes 2-pt jump shot from 17 ft,2,4
1,10:00.0,A. Bradley makes 2-pt jump shot from 20 ft,,4,4
1,9:40.0,,A. Gordon misses 2-pt jump shot from 17 ft,4,4
1,9:37.0,Defensive rebound by D. Gallinari,,4,4
1,9:30.0,D. Gallinari misses 2-pt jump shot from 3 ft (block by N. Vučević),,4,4
1,9:26.0,,Defensive rebound by N. Vučević,4,4
1,9:25.0,,Turnover by E. Fournier (bad pass),4,4
1,9:15.0,T. Harris makes 2-pt jump shot from 15 ft (assist by P. Beverley),,6,4
1,9:15.0,Shooting foul by A. Gordon (drawn by T. Harris),,6,4
1,9:15.0,T. Harris makes free throw 1 of 1,,7,4
1,9:06.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),7,6
1,8:55.0,Personal foul by A. Gordon (drawn by D. Gallinari),,7,6
1,8:39.0,A. Bradley misses 2-pt jump shot from 19 ft,,7,6
1,8:37.0,Offensive rebound by D. Gallinari,,7,6
1,8:35.0,D. Gallinari misses 2-pt jump shot from 5 ft,,7,6
1,8:33.0,,Defensive rebound by E. Fournier,7,6
1,8:30.0,,Turnover by A. Gordon (out of bounds lost ball),7,6
1,8:07.0,A. Bradley misses 2-pt jump shot from 17 ft,,7,6
1,8:04.0,Offensive rebound by P. Beverley,,7,6
1,7:55.0,A. Bradley misses 2-pt layup from 3 ft,,7,6
1,7:54.0,Offensive rebound by Team,,7,6
1,7:47.0,D. Gallinari misses 2-pt jump shot from 5 ft,,7,6
1,7:44.0,,Defensive rebound by D. Augustin,7,6
1,7:33.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),7,8
1,7:19.0,T. Harris makes 2-pt jump shot from 11 ft,,9,8
1,7:00.0,,J. Isaac misses 2-pt jump shot from 20 ft,9,8
1,6:58.0,Defensive rebound by T. Harris,,9,8
1,6:51.0,T. Harris makes 2-pt layup from 2 ft,,11,8
1,6:32.0,,N. Vučević makes 2-pt jump shot from 9 ft (assist by D. Augustin),11,10
1,6:19.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by B. Marjanović),,14,10
1,6:13.0,,Orlando full timeout,14,10
1,6:13.0,,W. Iwundu enters the game for A. Gordon,14,10
1,6:05.0,,D. Augustin makes 2-pt jump shot from 15 ft,14,12
