QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
1,11:42.0,G. Harris makes 2-pt layup from 2 ft,,2,0
1,11:24.0,,W. Carter makes 2-pt jump shot from 15 ft (assist by Z. LaVine),2,2
1,11:13.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,5,2
1,10:57.0,,W. Carter misses 2-pt jump shot from 11 ft,5,2
1,10:54.0,Defensive rebound by P. Millsap,,5,2
1,10:47.0,G. Harris misses 2-pt jump shot from 10 ft,,5,2
1,10:44.0,,Defensive rebound by J. Parker,5,2
1,10:32.0,,W. Carter misses 2-pt jump shot from 7 ft,5,2
1,10:26.0,,Offensive rebound by W. Carter,5,2
1,10:26.0,,W. Carter misses 2-pt layup at rim,5,2
1,10:26.0,Defensive rebound by N. Jokić,,5,2
1,10:21.0,P. Millsap misses 2-pt layup from 2 ft,,5,2
1,10:17.0,Offensive rebound by T. Craig,,5,2
1,10:09.0,J. Murray misses 3-pt jump shot from 26 ft,,5,2
1,10:07.0,Offensive rebound by T. Craig,,5,2
1,10:04.0,J. Murray misses 2-pt jump shot from 9 ft,,5,2
1,10:01.0,,Defensive rebound by J. Parker,5,2
1,9:55.0,,J. Parker misses 2-pt layup from 2 ft,5,2
1,9:53.0,Defensive rebound by N. Jokić,,5,2
1,9:44.0,P. Millsap makes 2-pt jump shot from 4 ft,,7,2
1,9:27.0,,Z. LaVine makes 3-pt jump shot from 25 ft,7,5
1,9:15.0,Personal foul by W. Carter (drawn by N. Jokić),,7,5
1,9:06.0,N. Jokić misses 2-pt jump shot from 21 ft,,7,5
1,9:05.0,Offensive rebound by Team,,7,5
1,9:05.0,,Loose ball foul by J. Parker (drawn by P. Millsap),7,5
1,8:58.0,N. Jokić misses 3-pt jump shot from 25 ft,,7,5
1,8:54.0,Offensive rebound by Team,,7,5
1,8:46.0,Shooting foul by J. Parker (drawn by P. Millsap),,7,5
1,8:46.0,P. Millsap makes free throw 1 of 2,,8,5
1,8:46.0,,C. Hutchison enters the game for J. Parker,8,5
1,8:46.0,P. Millsap misses free throw 2 of 2,,8,5
1,8:42.0,,Defensive rebound by Z. LaVine,8,5
1,8:25.0,,Shooting foul by P. Millsap (drawn by C. Hutchison),8,5
1,8:25.0,,C. Hutchison misses free throw 1 of 2,8,5
1,8:25.0,,Offensive rebound by Team,8,5
1,8:25.0,,C. Hutchison makes free throw 2 of 2,8,6
1,8:06.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,11,6
1,7:48.0,,Z. LaVine misses 3-pt jump shot from 25 ft,11,6
1,7:46.0,Defensive rebound by J. Murray,,11,6
1,7:37.0,J. Murray makes 2-pt jump shot from 17 ft,,13,6
1,7:26.0,,C. Payne misses 2-pt jump shot from 7 ft,13,6
1,7:25.0,Defensive rebound by P. Millsap,,13,6
1,7:11.0,G. Harris misses 2-pt layup from 2 ft,,13,6
1,7:06.0,,Defensive rebound by Z. LaVine,13,6
1,7:02.0,,W. Carter makes 2-pt layup from 2 ft (assist by J. Holiday),13,8
1,6:47.0,N. Jokić misses 2-pt jump shot from 14 ft,,13,8
1,6:43.0,,Defensive rebound by Z. LaVine,13,8
1,6:36.0,,W. Carter misses 2-pt jump shot from 14 ft,13,8
1,6:33.0,Defensive rebound by P. Millsap,,13,8
1,6:24.0,Turnover by N. Jokić (bad pass),,13,8
1,6:24.0,,Chicago full timeout,13,8
1,6:10.0,,Z. LaVine misses 3-pt jump shot from 26 ft,13,8
1,6:07.0,,Offensive rebound by W. Carter,13,8
1,6:00.0,,C. Payne misses 2-pt layup from 4 ft,13,8
1,5:58.0,,Offensive rebound by W. Carter,13,8
1,5:57.0,,W. Carter misses 2-pt layup from 1 ft (block by J. Murray),13,8
1,5:57.0,Defensive rebound by G. Harris,,13,8
1,5:45.0,J. Murray misses 2-pt jump shot from 20 ft,,13,8
1,5:42.0,,Defensive rebound by W. Carter,13,8
1,5:38.0,,C. Payne makes 3-pt jump shot from 24 ft,13,11
1,5:14.0,P. Millsap misses 2-pt jump shot from 6 ft (block by J. Holiday),,13,11
1,5:14.0,Offensive rebound by N. Jokić,,13,11
1,5:14.0,N. Jokić makes 2-pt layup from 1 ft,,15,11
1,5:14.0,Shooting foul by Z. LaVine (drawn by N. Jokić),,15,11
1,5:14.0,M. Beasley enters the game for T. Craig,,15,11
1,5:14.0,M. Morris enters the game for J. Murray,,15,11
1,5:14.0,N. Jokić makes free throw 1 of 1,,16,11
1,5:00.0,,W. Carter makes 2-pt layup from 2 ft (assist by J. Holiday),16,13
1,4:42.0,P. Millsap makes 2-pt layup at rim (assist by N. Jokić),,18,13
1,4:13.0,,C. Payne misses 2-pt jump shot from 21 ft,18,13
1,4:11.0,Defensive rebound by M. Beasley,,18,13
1,4:02.0,G. Harris misses 3-pt jump shot from 26 ft,,18,13
1,3:57.0,,Defensive rebound by J. Holiday,18,13
1,3:50.0,,W. Carter misses 2-pt layup from 2 ft,18,13
1,3:48.0,Defensive rebound by P. Millsap,,18,13
1,3:43.0,P. Millsap misses 3-pt jump shot from 24 ft,,18,13
1,3:39.0,,Defensive rebound by C. Hutchison,18,13
1,3:31.0,,W. Carter makes 2-pt hook shot from 1 ft,18,15
1,3:29.0,Denver full timeout,,18,15
1,3:29.0,T. Lyles enters the game for N. Jokić,,18,15
1,3:29.0,M. Plumlee enters the game for P. Millsap,,18,15
1,3:29.0,,R. Arcidiacono enters the game for C. Payne,18,15
1,3:11.0,M. Beasley misses 2-pt jump shot from 8 ft,,18,15
1,3:07.0,Offensive rebound by T. Lyles,,18,15
1,3:05.0,T. Lyles makes 2-pt jump shot from 19 ft,,20,15
1,2:39.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by W. Carter),20,17
1,2:22.0,M. Morris misses 2-pt jump shot from 23 ft,,20,17
1,2:20.0,,Defensive rebound by C. Hutchison,20,17
1,2:11.0,,Z. LaVine misses 2-pt layup from 2 ft,20,17
1,2:09.0,Defensive rebound by T. Lyles,,20,17
1,2:04.0,G. Harris misses 2-pt layup from 2 ft,,20,17
1,2:00.0,,Defensive rebound by R. Arcidiacono,20,17
1,1:57.0,,J. Holiday misses 3-pt jump shot from 25 ft,20,17
1,1:57.0,Defensive rebound by M. Plumlee,,20,17
1,1:54.0,Personal foul by J. Holiday (drawn by M. Morris),,20,17
1,1:54.0,M. Morris makes free throw 1 of 2,,21,17
1,1:54.0,J. Murray enters the game for G. Harris,,21,17
1,1:54.0,,A. Blakeney enters the game for W. Carter,21,17
1,1:54.0,,C. Felício enters the game for Z. LaVine,21,17
1,1:54.0,M. Morris makes free throw 2 of 2,,22,17
1,1:42.0,,C. Hutchison makes 3-pt jump shot from 25 ft (assist by J. Holiday),22,20
1,1:29.0,J. Murray makes 2-pt dunk at rim (assist by M. Plumlee),,24,20
1,1:18.0,,Turnover by R. Arcidiacono (lost ball; steal by T. Lyles),24,20
1,1:14.0,M. Morris makes 2-pt layup from 1 ft (assist by T. Lyles),,26,20
1,1:00.0,,A. Blakeney makes 3-pt jump shot from 22 ft (assist by R. Arcidiacono),26,23
1,0:49.0,M. Plumlee makes 2-pt jump shot from 18 ft,,28,23
1,0:33.0,,J. Holiday misses 3-pt jump shot from 25 ft,28,23
1,0:28.0,,Offensive rebound by C. Hutchison,28,23
