QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
1,11:38.0,L. Markkanen misses 2-pt hook shot from 7 ft,,0,0
1,11:35.0,,Defensive rebound by D. Gallinari,0,0
1,11:31.0,,Turnover by D. Gallinari (bad pass; steal by R. Lopez),0,0
1,11:25.0,Z. LaVine misses 3-pt jump shot from 25 ft,,0,0
1,11:18.0,,Defensive rebound by D. Gallinari,0,0
1,11:13.0,,Personal foul by Z. LaVine (drawn by P. Beverley),0,0
1,11:01.0,,D. Gallinari misses 2-pt jump shot from 17 ft,0,0
1,10:58.0,,Offensive rebound by P. Beverley,0,0
1,10:56.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,0,0
1,10:53.0,Defensive rebound by L. Markkanen,,0,0
1,10:47.0,L. Markkanen makes 2-pt jump shot from 3 ft,,2,0
1,10:47.0,Shooting foul by I. Zubac (drawn by L. Markkanen),,2,0
1,10:47.0,L. Markkanen misses free throw 1 of 1,,2,0
1,10:45.0,,Defensive rebound by L. Shamet,2,0
1,10:31.0,,Turnover by L. Shamet (out of bounds lost ball),2,0
1,10:16.0,L. Markkanen misses 2-pt jump shot from 14 ft,,2,0
1,10:11.0,,Defensive rebound by L. Shamet,2,0
1,10:06.0,,L. Shamet misses 2-pt jump shot from 18 ft,2,0
1,10:02.0,Defensive rebound by Z. LaVine,,2,0
1,9:52.0,K. Dunn misses 2-pt jump shot from 10 ft,,2,0
1,9:49.0,,Defensive rebound by D. Gallinari,2,0
1,9:44.0,,Shooting foul by L. Markkanen (drawn by D. Gallinari),2,0
1,9:44.0,,D. Gallinari makes free throw 1 of 2,2,1
1,9:44.0,,D. Gallinari makes free throw 2 of 2,2,2
1,9:32.0,O. Porter misses 2-pt jump shot from 19 ft,,2,2
1,9:29.0,,Defensive rebound by I. Zubac,2,2
1,9:22.0,,I. Zubac misses 2-pt layup from 5 ft (block by R. Lopez),2,2
1,9:22.0,,Offensive rebound by Team,2,2
1,9:20.0,,L. Shamet misses 3-pt jump shot from 24 ft,2,2
1,9:17.0,Defensive rebound by K. Dunn,,2,2
1,9:07.0,R. Lopez misses 2-pt hook shot from 6 ft,,2,2
1,9:03.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
1,8:58.0,,D. Gallinari makes 2-pt jump shot from 9 ft,2,4
1,8:36.0,Z. LaVine makes 2-pt layup from 2 ft,,4,4
1,8:23.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft (assist by I. Zubac),4,6
1,8:17.0,Personal foul by S. Gilgeous-Alexander (drawn by K. Dunn),,4,6
1,8:04.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,6,6
1,7:53.0,,Shooting foul by K. Dunn (drawn by S. Gilgeous-Alexander),6,6
1,7:53.0,,S. Gilgeous-Alexander makes free throw 1 of 2,6,7
1,7:53.0,,S. Gilgeous-Alexander misses free throw 2 of 2,6,7
1,7:50.0,Defensive rebound by O. Porter,,6,7
1,7:42.0,Z. LaVine makes 2-pt layup from 2 ft,,8,7
1,7:25.0,,P. Beverley makes 2-pt jump shot from 4 ft,8,9
1,7:14.0,O. Porter misses 3-pt jump shot from 26 ft,,8,9
1,7:14.0,,Defensive rebound by S. Gilgeous-Alexander,8,9
1,7:05.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,8,9
1,7:02.0,Defensive rebound by L. Markkanen,,8,9
1,6:55.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by L. Markkanen),,10,9
1,6:38.0,,P. Beverley misses 2-pt layup from 4 ft,10,9
1,6:36.0,Defensive rebound by R. Lopez,,10,9
1,6:29.0,Personal foul by D. Gallinari (drawn by O. Porter),,10,9
1,6:29.0,,LA Clippers full timeout,10,9
1,6:22.0,Turnover by Z. LaVine (lost ball; steal by P. Beverley),,10,9
1,6:15.0,,L. Shamet misses 2-pt layup from 2 ft,10,9
1,6:11.0,,Offensive rebound by I. Zubac,10,9
1,6:11.0,,I. Zubac makes 2-pt layup at rim,10,11
1,5:58.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,13,11
1,5:33.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Shamet),13,14
1,5:10.0,R. Lopez makes 2-pt hook shot from 2 ft (assist by K. Dunn),,15,14
1,4:56.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by D. Gallinari),15,17
1,4:46.0,K. Dunn makes 2-pt jump shot from 10 ft,,17,17
1,4:31.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,17,17
1,4:28.0,Defensive rebound by L. Markkanen,,17,17
1,4:12.0,Z. LaVine misses 2-pt jump shot from 5 ft,,17,17
1,4:10.0,,Defensive rebound by I. Zubac,17,17
1,4:00.0,,I. Zubac makes 2-pt dunk at rim (assist by L. Shamet),17,19
1,3:53.0,Chicago full timeout,,17,19
1,3:53.0,R. Arcidiacono enters the game for K. Dunn,,17,19
1,3:53.0,W. Selden enters the game for L. Markkanen,,17,19
1,3:53.0,,M. Harrell enters the game for L. Shamet,17,19
1,3:53.0,,L. Williams enters the game for I. Zubac,17,19
1,3:43.0,W. Selden misses 2-pt jump shot from 6 ft,,17,19
1,3:39.0,Offensive rebound by R. Lopez,,17,19
1,3:39.0,R. Lopez makes 2-pt layup from 1 ft,,19,19
1,3:28.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),19,22
1,3:10.0,R. Lopez makes 2-pt hook shot from 2 ft,,21,22
1,2:51.0,,Shooting foul by R. Arcidiacono (drawn by L. Williams),21,22
1,2:51.0,,L. Williams makes free throw 1 of 3,21,23
1,2:51.0,,L. Williams makes free throw 2 of 3,21,24
1,2:51.0,,W. Chandler enters the game for D. Gallinari,21,24
1,2:51.0,,J. Green enters the game for S. Gilgeous-Alexander,21,24
1,2:51.0,,L. Williams makes free throw 3 of 3,21,25
1,2:41.0,O. Porter makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),,24,25
1,2:22.0,,M. Harrell misses 2-pt jump shot from 13 ft,24,25
1,2:20.0,Defensive rebound by Z. LaVine,,24,25
1,2:08.0,O. Porter makes 2-pt jump shot from 15 ft (assist by Z. LaVine),,26,25
1,1:43.0,,P. Beverley misses 2-pt layup from 3 ft,26,25
1,1:37.0,,M. Harrell makes 2-pt dunk at rim,26,27
1,1:37.0,,Offensive rebound by M. Harrell,26,27
1,1:21.0,O. Porter makes 2-pt jump shot from 10 ft (assist by R. Arcidiacono),,28,27
1,0:54.0,,M. Harrell misses 2-pt jump shot from 11 ft,28,27
1,0:51.0,Defensive rebound by W. Selden,,28,27
1,0:44.0,Z. LaVine makes 3-pt jump shot from 28 ft (assist by W. Selden),,31,27
1,0:36.0,,L. Williams misses 3-pt jump shot from 30 ft,31,27
1,0:34.0,Defensive rebound by Z. LaVine,,31,27
1,0:30.0,Z. LaVine makes 3-pt jump shot from 28 ft,,34,27
1,0:11.0,,L. Williams misses 2-pt jump shot from 15 ft,34,27
1,0:08.0,,Offensive rebound by P. Beverley,34,27
1,0:08.0,,P. Beverley makes 2-pt jump shot from 3 ft,34,29
1,0:03.0,Personal foul by P. Beverley (drawn by Z. LaVine),,34,29
1,0:03.0,,G. Temple enters the game for P. Beverley,34,29
1,0:03.0,,S. Thornwell enters the game for L. Williams,34,29
1,0:01.0,Z. LaVine misses 3-pt jump shot from 28 ft,,34,29
1,0:00.0,Offensive rebound by Team,,34,29
2,11:41.0,,G. Temple misses 2-pt jump shot from 13 ft,34,29
2,11:38.0,Defensive rebound by R. Lopez,,34,29
2,11:21.0,Turnover by W. Selden (out of bounds lost ball),,34,29
2,11:13.0,,Offensive foul by J. Green (drawn by S. Harrison),34,29
2,11:13.0,,Turnover by J. Green (offensive foul),34,29
2,11:01.0,R. Lopez misses 2-pt jump shot from 5 ft,,34,29
2,11:00.0,,Defensive rebound by J. Green,34,29
2,10:54.0,,Shooting foul by R. Lopez (drawn by M. Harrell),34,29
2,10:54.0,,M. Harrell makes free throw 1 of 2,34,30
2,10:54.0,C. Felício enters the game for R. Lopez,,34,30
2,10:54.0,,M. Harrell makes free throw 2 of 2,34,31
2,10:32.0,Shooting foul by W. Chandler (drawn by R. Arcidiacono),,34,31
2,10:32.0,R. Arcidiacono misses free throw 1 of 2,,34,31
2,10:32.0,Offensive rebound by Team,,34,31
2,10:32.0,R. Arcidiacono makes free throw 2 of 2,,35,31
2,10:22.0,,Shooting foul by S. Harrison (drawn by G. Temple),35,31
2,10:22.0,,G. Temple makes free throw 1 of 2,35,32
2,10:22.0,K. Dunn enters the game for R. Arcidiacono,,35,32
2,10:22.0,L. Markkanen enters the game for W. Selden,,35,32
2,10:22.0,,G. Temple makes free throw 2 of 2,35,33
2,10:12.0,Turnover by K. Dunn (bad pass),,35,33
2,10:05.0,,L. Williams misses 2-pt layup from 3 ft,35,33
2,10:04.0,,Offensive rebound by Team,35,33
2,9:56.0,,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),35,35
2,9:39.0,Personal foul by G. Temple (drawn by L. Markkanen),,35,35
2,9:28.0,Turnover by K. Dunn (lost ball; steal by G. Temple),,35,35
2,9:26.0,,Shooting foul by L. Markkanen (drawn by G. Temple),35,35
2,9:26.0,,G. Temple makes free throw 1 of 2,35,36
2,9:26.0,,G. Temple makes free throw 2 of 2,35,37
2,9:13.0,L. Markkanen misses 2-pt jump shot from 7 ft,,35,37
2,9:10.0,,Defensive rebound by W. Chandler,35,37
2,9:06.0,,W. Chandler misses 2-pt layup from 1 ft,35,37
2,9:05.0,,Offensive rebound by Team,35,37
2,8:54.0,,G. Temple makes 2-pt jump shot from 10 ft (assist by M. Harrell),35,39
2,8:53.0,Chicago full timeout,,35,39
2,8:42.0,Turnover by K. Dunn (bad pass),,35,39
2,8:20.0,,M. Harrell misses 2-pt jump shot from 7 ft,35,39
2,8:17.0,Defensive rebound by K. Dunn,,35,39
2,8:11.0,L. Markkanen misses 3-pt jump shot from 27 ft,,35,39
2,8:08.0,,Defensive rebound by G. Temple,35,39
2,8:03.0,,G. Temple misses 3-pt jump shot from 28 ft,35,39
2,8:03.0,Defensive rebound by T. Luwawu-Cabarrot,,35,39
2,7:44.0,S. Harrison makes 2-pt jump shot from 5 ft,,37,39
2,7:35.0,,Turnover by L. Williams (bad pass; steal by S. Harrison),37,39
2,7:34.0,Personal take foul by L. Williams (drawn by K. Dunn),,37,39
2,7:34.0,Z. LaVine enters the game for T. Luwawu-Cabarrot,,37,39
2,7:34.0,,L. Shamet enters the game for W. Chandler,37,39
2,7:26.0,K. Dunn makes 2-pt layup from 2 ft,,39,39
2,7:26.0,Shooting foul by J. Green (drawn by K. Dunn),,39,39
2,7:26.0,K. Dunn makes free throw 1 of 1,,40,39
2,7:14.0,,L. Williams misses 2-pt jump shot from 8 ft,40,39
2,7:13.0,,Offensive rebound by M. Harrell,40,39
2,7:13.0,,M. Harrell misses 2-pt layup from 1 ft,40,39
2,7:12.0,,Offensive rebound by Team,40,39
2,7:12.0,,P. Beverley enters the game for J. Green,40,39
2,7:12.0,,D. Gallinari enters the game for G. Temple,40,39
2,7:08.0,,L. Williams makes 2-pt jump shot from 12 ft (assist by P. Beverley),40,41
2,6:49.0,K. Dunn misses 3-pt jump shot from 27 ft,,40,41
2,6:45.0,Offensive rebound by L. Markkanen,,40,41
2,6:37.0,K. Dunn makes 2-pt jump shot from 5 ft,,42,41
2,6:25.0,,L. Williams makes 2-pt jump shot from 17 ft (assist by L. Shamet),42,43
2,6:25.0,,Shooting foul by K. Dunn (drawn by L. Williams),42,43
2,6:25.0,,L. Williams makes free throw 1 of 1,42,44
