QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
1,11:41.0,,Shooting foul by L. Nance (drawn by B. Bogdanović),0,0
1,11:41.0,,B. Bogdanović makes free throw 1 of 2,0,1
1,11:41.0,,B. Bogdanović makes free throw 2 of 2,0,2
1,11:21.0,L. Nance misses 2-pt jump shot from 17 ft,,0,2
1,11:17.0,,Defensive rebound by T. Young,0,2
1,11:13.0,,T. Evans misses 3-pt jump shot from 29 ft,0,2
1,11:10.0,Defensive rebound by Team,,0,2
1,10:53.0,L. Nance makes 2-pt dunk at rim (assist by C. Sexton),,2,2
1,10:39.0,,Personal foul by C. Sexton (drawn by M. Turner),2,2
1,10:29.0,,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),2,4
1,10:14.0,M. Chriss makes 3-pt jump shot from 25 ft (assist by C. Sexton),,5,4
1,10:02.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by T. Evans),5,7
1,9:47.0,D. Nwaba misses 2-pt jump shot from 8 ft,,5,7
1,9:44.0,,Defensive rebound by T. Evans,5,7
1,9:39.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by T. Evans),5,10
1,9:21.0,Turnover by C. Sexton (lost ball; steal by D. Collison),,5,10
1,9:18.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Collison),5,12
1,9:16.0,Cleveland full timeout,,5,12
1,9:06.0,Turnover by C. Sexton (traveling),,5,12
1,8:58.0,,T. Young misses 2-pt jump shot from 6 ft,5,12
1,8:56.0,Defensive rebound by L. Nance,,5,12
1,8:36.0,D. Nwaba makes 2-pt jump shot from 6 ft,,7,12
1,8:15.0,,Personal foul by D. Adel (drawn by M. Turner),7,12
1,8:09.0,Violation by Team (kicked ball),,7,12
1,7:57.0,,M. Turner makes 2-pt layup from 2 ft,7,14
1,7:36.0,D. Nwaba misses 2-pt layup from 8 ft,,7,14
1,7:34.0,,Defensive rebound by T. Evans,7,14
1,7:32.0,Violation by Team (kicked ball),,7,14
1,7:27.0,,M. Turner misses 2-pt jump shot from 20 ft,7,14
1,7:24.0,Defensive rebound by L. Nance,,7,14
1,7:15.0,C. Sexton makes 2-pt jump shot from 6 ft,,9,14
1,7:03.0,,T. Evans makes 2-pt jump shot from 21 ft (assist by T. Young),9,16
1,6:49.0,C. Sexton misses 2-pt jump shot from 18 ft,,9,16
1,6:46.0,,Defensive rebound by T. Evans,9,16
1,6:40.0,,T. Evans misses 2-pt layup from 2 ft,9,16
1,6:37.0,,Offensive rebound by T. Evans,9,16
1,6:37.0,,T. Evans misses 2-pt layup from 3 ft (block by L. Nance),9,16
1,6:37.0,,Offensive rebound by Team,9,16
1,6:37.0,A. Žižić enters the game for M. Chriss,,9,16
1,6:33.0,,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by D. Collison),9,18
1,6:16.0,D. Nwaba misses 3-pt jump shot from 28 ft,,9,18
1,6:14.0,,Defensive rebound by T. Young,9,18
1,6:07.0,,T. Young makes 2-pt jump shot from 8 ft (assist by D. Collison),9,20
1,5:39.0,C. Sexton makes 3-pt jump shot from 24 ft (assist by L. Nance),,12,20
1,5:23.0,,Turnover by T. Young (out of bounds lost ball),12,20
1,5:23.0,J. Clarkson enters the game for D. Nwaba,,12,20
1,5:23.0,,C. Joseph enters the game for T. Evans,12,20
1,5:10.0,Turnover by C. Sexton (bad pass),,12,20
1,4:45.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Joseph),12,23
1,4:32.0,A. Žižić makes 2-pt dunk from 1 ft (assist by J. Clarkson),,14,23
1,4:14.0,,Turnover by T. Young (bad pass; steal by L. Nance),14,23
1,4:09.0,D. Adel misses 2-pt jump shot from 4 ft,,14,23
1,4:06.0,Offensive rebound by L. Nance,,14,23
