QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
1,11:44.0,,Turnover by L. Shamet (bad pass; steal by W. Matthews),0,0
1,11:28.0,M. Turner misses 2-pt jump shot from 18 ft,,0,0
1,11:23.0,,Defensive rebound by D. Gallinari,0,0
1,11:18.0,,Turnover by D. Gallinari (bad pass; steal by T. Young),0,0
1,11:12.0,T. Young makes 2-pt layup from 2 ft,,2,0
1,10:58.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by L. Shamet),2,3
1,10:52.0,Turnover by C. Joseph (back court),,2,3
1,10:46.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by P. Beverley),2,6
1,10:28.0,B. Bogdanović misses 2-pt layup from 2 ft (block by P. Beverley),,2,6
1,10:24.0,,Defensive rebound by I. Zubac,2,6
1,10:21.0,,P. Beverley misses 3-pt jump shot from 25 ft,2,6
1,10:16.0,Defensive rebound by M. Turner,,2,6
1,10:07.0,W. Matthews misses 3-pt jump shot from 29 ft,,2,6
1,10:07.0,,Defensive rebound by Team,2,6
1,9:44.0,,D. Gallinari misses 3-pt jump shot from 25 ft,2,6
1,9:41.0,Defensive rebound by W. Matthews,,2,6
1,9:33.0,T. Young misses 3-pt jump shot from 25 ft,,2,6
1,9:27.0,,Defensive rebound by P. Beverley,2,6
1,9:14.0,,Turnover by L. Shamet (bad pass; steal by M. Turner),2,6
1,9:10.0,M. Turner makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,4,6
1,8:52.0,,D. Gallinari misses 2-pt jump shot from 15 ft,4,6
1,8:51.0,,Offensive rebound by I. Zubac,4,6
1,8:51.0,,Shooting foul by T. Young (drawn by I. Zubac),4,6
1,8:51.0,,I. Zubac makes free throw 1 of 2,4,7
1,8:51.0,,I. Zubac makes free throw 2 of 2,4,8
1,8:39.0,Personal foul by P. Beverley (drawn by T. Young),,4,8
1,8:31.0,T. Young misses 2-pt jump shot from 6 ft,,4,8
1,8:29.0,,Defensive rebound by S. Gilgeous-Alexander,4,8
1,8:24.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,4,8
1,8:24.0,,Offensive rebound by Team,4,8
1,8:19.0,,L. Shamet misses 3-pt jump shot from 25 ft,4,8
1,8:17.0,Defensive rebound by Team,,4,8
1,7:52.0,Turnover by B. Bogdanović (lost ball; steal by P. Beverley),,4,8
