QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
1,11:47.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by B. Beal),0,2
1,11:27.0,B. Brown misses 2-pt jump shot from 17 ft,,0,2
1,11:24.0,,Defensive rebound by Team,0,2
1,11:14.0,,J. Green misses 2-pt jump shot from 15 ft,0,2
1,11:11.0,,Offensive rebound by T. Bryant,0,2
1,11:09.0,,J. Green makes 2-pt layup from 2 ft (assist by B. Beal),0,4
1,10:56.0,Turnover by B. Griffin (bad pass),,0,4
1,10:46.0,,Turnover by J. Green (bad pass; steal by B. Brown),0,4
1,10:40.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by B. Brown),,2,4
1,10:18.0,,T. Bryant misses 2-pt jump shot from 19 ft,2,4
1,10:16.0,Defensive rebound by R. Jackson,,2,4
1,10:01.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by R. Bullock),,5,4
1,9:45.0,,T. Ariza misses 3-pt jump shot from 23 ft,5,4
1,9:42.0,Defensive rebound by R. Bullock,,5,4
1,9:26.0,B. Brown misses 2-pt layup from 4 ft,,5,4
1,9:24.0,,Defensive rebound by T. Bryant,5,4
1,9:23.0,,Turnover by T. Satoranský (bad pass),5,4
1,9:11.0,Turnover by R. Bullock (bad pass; steal by B. Beal),,5,4
1,9:05.0,,T. Ariza makes 2-pt hook shot from 2 ft,5,6
1,8:46.0,B. Griffin misses 2-pt jump shot from 12 ft,,5,6
1,8:42.0,,Defensive rebound by T. Satoranský,5,6
1,8:35.0,,T. Bryant makes 2-pt hook shot from 7 ft (assist by T. Ariza),5,8
1,8:13.0,Shooting foul by T. Bryant (drawn by B. Griffin),,5,8
1,8:13.0,B. Griffin makes free throw 1 of 2,,6,8
1,8:13.0,B. Griffin makes free throw 2 of 2,,7,8
1,8:00.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Satoranský),7,10
1,7:46.0,B. Brown misses 2-pt layup from 1 ft (block by T. Bryant),,7,10
1,7:45.0,,Defensive rebound by T. Ariza,7,10
1,7:42.0,,B. Beal misses 3-pt jump shot from 27 ft,7,10
1,7:38.0,,Offensive rebound by T. Bryant,7,10
1,7:35.0,,J. Green misses 3-pt jump shot from 26 ft,7,10
1,7:32.0,Defensive rebound by Z. Pachulia,,7,10
1,7:27.0,R. Bullock misses 3-pt jump shot from 30 ft,,7,10
1,7:24.0,,Defensive rebound by J. Green,7,10
1,7:16.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),7,12
1,7:06.0,Detroit full timeout,,7,12
1,6:55.0,Shooting foul by J. Green (drawn by B. Griffin),,7,12
1,6:55.0,B. Griffin makes free throw 1 of 2,,8,12
1,6:55.0,B. Griffin misses free throw 2 of 2,,8,12
1,6:52.0,,Defensive rebound by J. Green,8,12
1,6:33.0,,T. Satoranský misses 2-pt layup from 4 ft (block by Z. Pachulia),8,12
1,6:29.0,Defensive rebound by B. Brown,,8,12
1,6:26.0,R. Bullock makes 2-pt layup from 3 ft (assist by B. Brown),,10,12
1,6:17.0,,B. Beal misses 2-pt layup from 3 ft,10,12
1,6:17.0,Defensive rebound by B. Brown,,10,12
1,6:05.0,R. Jackson misses 3-pt jump shot from 27 ft,,10,12
1,6:02.0,,Defensive rebound by T. Ariza,10,12
1,5:48.0,,T. Ariza makes 2-pt jump shot from 19 ft (assist by J. Green),10,14
1,5:32.0,Offensive foul by B. Griffin (drawn by J. Green),,10,14
1,5:32.0,Turnover by B. Griffin (offensive foul),,10,14
1,5:17.0,,T. Bryant misses 2-pt hook shot from 8 ft,10,14
1,5:15.0,Defensive rebound by B. Griffin,,10,14
1,5:11.0,R. Bullock misses 3-pt jump shot from 26 ft,,10,14
1,5:08.0,Offensive rebound by Team,,10,14
1,4:57.0,Turnover by R. Jackson (bad pass; steal by J. Green),,10,14
1,4:52.0,,J. Green makes 2-pt layup from 2 ft,10,16
1,4:47.0,R. Jackson misses 2-pt layup from 2 ft (block by B. Beal),,10,16
1,4:47.0,,Defensive rebound by Team,10,16
1,4:47.0,,Violation by Team (delay of game),10,16
1,4:47.0,J. Leuer enters the game for Z. Pachulia,,10,16
1,4:47.0,,I. Mahinmi enters the game for T. Ariza,10,16
1,4:47.0,,O. Porter enters the game for T. Bryant,10,16
1,4:34.0,,T. Satoranský makes 2-pt layup from 2 ft,10,18
1,4:34.0,,Shooting foul by B. Brown (drawn by T. Satoranský),10,18
1,4:34.0,J. Calderón enters the game for R. Jackson,,10,18
1,4:34.0,,T. Satoranský makes free throw 1 of 1,10,19
1,4:17.0,Turnover by R. Bullock (bad pass),,10,19
1,4:08.0,,J. Green misses 3-pt jump shot from 25 ft,10,19
1,4:05.0,Defensive rebound by R. Bullock,,10,19
1,3:59.0,Personal foul by I. Mahinmi (drawn by B. Griffin),,10,19
1,3:59.0,L. Kennard enters the game for B. Brown,,10,19
1,3:47.0,B. Griffin makes 2-pt layup from 3 ft,,12,19
1,3:30.0,,O. Porter misses 2-pt jump shot from 20 ft,12,19
1,3:25.0,Defensive rebound by J. Leuer,,12,19
1,3:09.0,L. Kennard misses 2-pt jump shot from 11 ft,,12,19
1,3:06.0,,Defensive rebound by I. Mahinmi,12,19
1,2:56.0,,O. Porter makes 2-pt jump shot from 9 ft (assist by J. Green),12,21
1,2:56.0,,Shooting foul by J. Calderón (drawn by O. Porter),12,21
1,2:56.0,,Washington full timeout,12,21
1,2:56.0,,S. Dekker enters the game for J. Green,12,21
1,2:56.0,Violation by Team (delay of game),,12,21
1,2:56.0,,O. Porter makes free throw 1 of 1,12,22
1,2:48.0,B. Griffin misses 3-pt jump shot from 26 ft,,12,22
1,2:45.0,,Defensive rebound by S. Dekker,12,22
