QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
2,5:19.0,Turnover by D. Fox (lost ball; steal by T. McConnell),,43,43
2,5:13.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by T. McConnell),43,46
2,5:10.0,Sacramento full timeout,,43,46
2,4:52.0,H. Barnes misses 2-pt jump shot from 8 ft,,43,46
2,4:50.0,,Defensive rebound by M. Scott,43,46
2,4:37.0,,B. Marjanović misses 2-pt jump shot from 5 ft,43,46
2,4:35.0,Defensive rebound by H. Barnes,,43,46
2,4:30.0,N. Bjelica misses 3-pt jump shot from 26 ft,,43,46
2,4:26.0,,Defensive rebound by B. Marjanović,43,46
2,4:18.0,,Shooting foul by B. Hield (drawn by J. Butler),43,46
2,4:18.0,,J. Butler makes free throw 1 of 2,43,47
2,4:18.0,,J. Embiid enters the game for T. Harris,43,47
2,4:18.0,,J. Redick enters the game for B. Marjanović,43,47
2,4:18.0,,B. Simmons enters the game for T. McConnell,43,47
2,4:18.0,,J. Butler makes free throw 2 of 2,43,48
2,4:05.0,B. Hield misses 2-pt jump shot from 10 ft,,43,48
2,4:02.0,,Defensive rebound by J. Embiid,43,48
2,3:50.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Butler),43,51
2,3:45.0,Shooting foul by M. Scott (drawn by B. Hield),,43,51
2,3:45.0,B. Hield makes free throw 1 of 2,,44,51
2,3:45.0,B. Hield makes free throw 2 of 2,,45,51
2,3:29.0,,J. Embiid makes 2-pt layup from 2 ft,45,53
2,3:23.0,D. Fox misses 2-pt layup from 3 ft (block by J. Embiid),,45,53
2,3:23.0,,Defensive rebound by J. Butler,45,53
2,3:16.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Butler),45,56
2,3:00.0,Turnover by N. Bjelica (lost ball; steal by J. Butler),,45,56
2,2:58.0,,Personal take foul by D. Fox (drawn by J. Butler),45,56
2,2:58.0,,J. Butler makes free throw 1 of 2,45,57
2,2:58.0,,J. Butler misses free throw 2 of 2,45,57
2,2:55.0,Defensive rebound by N. Bjelica,,45,57
2,2:46.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,47,57
2,2:35.0,,B. Simmons misses 2-pt layup from 1 ft,47,57
2,2:33.0,Defensive rebound by N. Bjelica,,47,57
2,2:30.0,Shooting foul by J. Redick (drawn by W. Cauley-Stein),,47,57
2,2:30.0,W. Cauley-Stein makes free throw 1 of 2,,48,57
2,2:30.0,W. Cauley-Stein misses free throw 2 of 2,,48,57
2,2:28.0,,Defensive rebound by M. Scott,48,57
2,2:18.0,,Personal foul by N. Bjelica (drawn by B. Simmons),48,57
2,2:18.0,,B. Simmons makes free throw 1 of 2,48,58
2,2:18.0,H. Giles enters the game for W. Cauley-Stein,,48,58
2,2:18.0,,B. Simmons makes free throw 2 of 2,48,59
2,2:03.0,B. Hield misses 3-pt jump shot from 26 ft,,48,59
2,1:59.0,Offensive rebound by B. Hield,,48,59
2,1:56.0,N. Bjelica misses 2-pt layup from 3 ft,,48,59
2,1:53.0,Offensive rebound by N. Bjelica,,48,59
2,1:53.0,N. Bjelica misses 2-pt layup from 1 ft,,48,59
2,1:53.0,Offensive rebound by N. Bjelica,,48,59
2,1:52.0,N. Bjelica misses 2-pt layup from 2 ft,,48,59
2,1:52.0,Offensive rebound by N. Bjelica,,48,59
2,1:50.0,N. Bjelica misses 2-pt layup from 1 ft,,48,59
2,1:44.0,Offensive rebound by H. Giles,,48,59
2,1:44.0,H. Giles makes 2-pt layup from 1 ft,,50,59
2,1:36.0,,J. Butler misses 3-pt jump shot from 23 ft,50,59
2,1:32.0,Defensive rebound by H. Barnes,,50,59
2,1:23.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),,53,59
2,1:09.0,,J. Butler makes 2-pt jump shot from 3 ft,53,61
2,1:09.0,,Shooting foul by N. Bjelica (drawn by J. Butler),53,61
2,1:09.0,,J. Butler makes free throw 1 of 1,53,62
2,0:58.0,D. Fox makes 3-pt jump shot from 25 ft,,56,62
2,0:36.0,,J. Embiid misses 2-pt jump shot from 14 ft,56,62
2,0:33.0,Defensive rebound by H. Barnes,,56,62
2,0:33.0,B. Bogdanović enters the game for N. Bjelica,,56,62
2,0:24.0,H. Giles makes 2-pt dunk from 1 ft (assist by H. Barnes),,58,62
2,0:01.0,,J. Butler misses 2-pt jump shot from 15 ft,58,62
2,0:01.0,Defensive rebound by B. Hield,,58,62
3,11:49.0,Shooting foul by J. Redick (drawn by D. Fox),,58,62
3,11:49.0,D. Fox makes free throw 1 of 2,,59,62
3,11:49.0,D. Fox makes free throw 2 of 2,,60,62
3,11:33.0,,T. Harris makes 2-pt jump shot from 8 ft,60,64
3,11:18.0,D. Fox misses 2-pt jump shot from 5 ft,,60,64
3,11:16.0,,Defensive rebound by J. Embiid,60,64
3,11:09.0,,J. Embiid misses 2-pt hook shot from 3 ft,60,64
3,11:07.0,Defensive rebound by H. Barnes,,60,64
3,11:02.0,H. Barnes misses 3-pt jump shot from 28 ft,,60,64
3,10:59.0,,Defensive rebound by J. Embiid,60,64
3,10:42.0,,B. Simmons makes 2-pt jump shot from 1 ft (assist by J. Butler),60,66
3,10:30.0,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),,63,66
3,10:15.0,,Personal foul by D. Fox (drawn by B. Simmons),63,66
3,10:13.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Butler),63,68
3,9:49.0,H. Barnes makes 2-pt layup from 2 ft,,65,68
3,9:38.0,,Turnover by J. Redick (bad pass; steal by B. Hield),65,68
3,9:32.0,B. Hield makes 3-pt jump shot from 26 ft,,68,68
3,9:32.0,,Philadelphia full timeout,68,68
3,9:12.0,,Personal foul by B. Hield (drawn by J. Butler),68,68
3,9:09.0,,J. Redick misses 3-pt jump shot from 26 ft,68,68
3,9:08.0,Defensive rebound by Team,,68,68
3,8:53.0,Turnover by D. Fox (bad pass; steal by T. Harris),,68,68
3,8:41.0,,J. Redick makes 2-pt layup from 2 ft (assist by B. Simmons),68,70
3,8:27.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,71,70
3,8:15.0,,J. Embiid misses 3-pt jump shot from 28 ft,71,70
3,8:12.0,Defensive rebound by D. Fox,,71,70
3,8:04.0,N. Bjelica misses 2-pt layup from 3 ft (block by T. Harris),,71,70
3,8:00.0,,Defensive rebound by J. Embiid,71,70
3,7:59.0,,Shooting foul by H. Barnes (drawn by T. Harris),71,70
3,7:59.0,,T. Harris makes free throw 1 of 2,71,71
3,7:59.0,,T. Harris makes free throw 2 of 2,71,72
3,7:34.0,H. Barnes misses 3-pt jump shot from 23 ft,,71,72
3,7:34.0,Offensive rebound by Team,,71,72
3,7:34.0,Turnover by Team (shot clock),,71,72
3,7:24.0,,Offensive foul by J. Embiid (drawn by W. Cauley-Stein),71,72
3,7:24.0,,Turnover by J. Embiid (offensive foul),71,72
3,7:13.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),,73,72
3,6:54.0,,T. Harris makes 2-pt layup from 1 ft (assist by J. Redick),73,74
3,6:42.0,Offensive foul by N. Bjelica (drawn by J. Redick),,73,74
3,6:42.0,Turnover by N. Bjelica (offensive foul),,73,74
3,6:42.0,,B. Marjanović enters the game for J. Embiid,73,74
3,6:42.0,,T. McConnell enters the game for J. Redick,73,74
3,6:42.0,,M. Scott enters the game for B. Simmons,73,74
3,6:31.0,,Turnover by T. Harris (bad pass),73,74
3,6:31.0,M. Bagley enters the game for N. Bjelica,,73,74
3,6:19.0,D. Fox misses 2-pt jump shot from 9 ft,,73,74
3,6:17.0,,Defensive rebound by B. Marjanović,73,74
3,6:09.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by T. Harris),73,76
3,6:09.0,,Shooting foul by W. Cauley-Stein (drawn by B. Marjanović),73,76
3,6:09.0,,B. Marjanović makes free throw 1 of 1,73,77
3,5:53.0,M. Bagley misses 2-pt hook shot from 8 ft,,73,77
3,5:50.0,,Defensive rebound by B. Marjanović,73,77
3,5:40.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Marjanović),73,79
3,5:40.0,Sacramento full timeout,,73,79
3,5:40.0,H. Giles enters the game for W. Cauley-Stein,,73,79
3,5:19.0,H. Giles misses 2-pt jump shot from 12 ft,,73,79
3,5:16.0,,Defensive rebound by T. Harris,73,79
3,5:10.0,,Personal foul by H. Giles (drawn by B. Marjanović),73,79
3,5:10.0,,B. Marjanović makes free throw 1 of 2,73,80
3,5:10.0,,B. Marjanović makes free throw 2 of 2,73,81
3,5:00.0,D. Fox makes 2-pt jump shot from 10 ft,,75,81
3,4:43.0,,J. Butler makes 2-pt jump shot from 4 ft,75,83
3,4:29.0,D. Fox misses 2-pt layup from 3 ft,,75,83
3,4:24.0,Offensive rebound by H. Giles,,75,83
3,4:24.0,H. Giles misses 2-pt layup at rim,,75,83
3,4:23.0,,Defensive rebound by B. Marjanović,75,83
3,4:20.0,,T. Harris makes 2-pt jump shot from 5 ft,75,85
3,4:09.0,B. Hield misses 3-pt jump shot from 27 ft,,75,85
3,4:09.0,,Defensive rebound by J. Butler,75,85
3,3:58.0,,M. Scott misses 3-pt jump shot from 26 ft,75,85
3,3:56.0,Defensive rebound by B. Hield,,75,85
3,3:52.0,Personal foul by T. McConnell (drawn by B. Hield),,75,85
3,3:52.0,B. Bogdanović enters the game for D. Fox,,75,85
3,3:52.0,Y. Ferrell enters the game for B. Hield,,75,85
3,3:49.0,H. Giles makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),,77,85
3,3:24.0,,J. Butler makes 2-pt jump shot from 17 ft,77,87
3,3:05.0,H. Barnes makes 2-pt jump shot from 13 ft,,79,87
3,3:05.0,,J. Embiid enters the game for J. Butler,79,87
3,3:05.0,,J. Ennis enters the game for T. Harris,79,87
3,3:05.0,,J. Redick enters the game for B. Marjanović,79,87
3,3:05.0,,B. Simmons enters the game for T. McConnell,79,87
3,2:45.0,,Shooting foul by H. Giles (drawn by J. Redick),79,87
3,2:45.0,,J. Redick makes free throw 1 of 3,79,88
3,2:45.0,,J. Redick makes free throw 2 of 3,79,89
3,2:45.0,,J. Redick makes free throw 3 of 3,79,90
3,2:27.0,Shooting foul by M. Scott (drawn by M. Bagley),,79,90
3,2:27.0,M. Bagley misses free throw 1 of 2,,79,90
3,2:27.0,Offensive rebound by Team,,79,90
3,2:27.0,C. Brewer enters the game for H. Barnes,,79,90
3,2:27.0,M. Bagley makes free throw 2 of 2,,80,90
3,2:13.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),80,93
3,2:02.0,Y. Ferrell makes 2-pt layup from 1 ft (assist by H. Giles),,82,93
3,1:52.0,,Personal foul by Y. Ferrell (drawn by J. Embiid),82,93
3,1:52.0,,J. Embiid misses free throw 1 of 2,82,93
3,1:52.0,,Offensive rebound by Team,82,93
3,1:52.0,,J. Embiid makes free throw 2 of 2,82,94
3,1:35.0,C. Brewer makes 2-pt layup from 2 ft (assist by H. Giles),,84,94
3,1:26.0,,J. Redick misses 3-pt jump shot from 26 ft,84,94
3,1:23.0,,Offensive rebound by M. Scott,84,94
3,1:15.0,,Philadelphia full timeout,84,94
3,1:10.0,,B. Simmons misses 2-pt layup from 4 ft,84,94
3,1:10.0,Defensive rebound by Team,,84,94
3,0:55.0,B. Bogdanović makes 3-pt jump shot from 26 ft,,87,94
3,0:45.0,,Personal foul by C. Brewer (drawn by J. Embiid),87,94
3,0:45.0,,J. Embiid makes free throw 1 of 2,87,95
3,0:45.0,,J. Embiid makes free throw 2 of 2,87,96
3,0:32.0,C. Brewer misses 2-pt layup from 3 ft,,87,96
3,0:29.0,Offensive rebound by H. Giles,,87,96
3,0:29.0,H. Giles makes 2-pt layup at rim,,89,96
3,0:18.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Redick),89,99
3,0:01.0,Turnover by Y. Ferrell (bad pass; steal by B. Simmons),,89,99
4,11:46.0,,J. Embiid misses 2-pt jump shot from 16 ft,89,99
4,11:44.0,Defensive rebound by Y. Ferrell,,89,99
4,11:27.0,M. Bagley misses 2-pt hook shot from 6 ft,,89,99
4,11:25.0,,Defensive rebound by J. Embiid,89,99
4,11:17.0,,J. Embiid misses 3-pt jump shot from 25 ft,89,99
4,11:15.0,Defensive rebound by M. Bagley,,89,99
4,11:09.0,Shooting foul by M. Scott (drawn by M. Bagley),,89,99
4,11:09.0,M. Bagley makes free throw 1 of 2,,90,99
4,11:09.0,M. Bagley makes free throw 2 of 2,,91,99
4,10:58.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Embiid),91,101
4,10:40.0,B. Bogdanović misses 2-pt layup from 2 ft (block by J. Embiid),,91,101
4,10:40.0,Offensive rebound by Team,,91,101
4,10:35.0,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by C. Brewer),,93,101
4,10:19.0,,J. Ennis misses 3-pt jump shot from 25 ft,93,101
4,10:17.0,,Offensive rebound by Team,93,101
4,10:12.0,,Turnover by J. Embiid (out of bounds lost ball),93,101
4,10:04.0,Personal foul by B. Simmons (drawn by B. Bogdanović),,93,101
4,9:56.0,M. Bagley makes 2-pt jump shot from 13 ft (assist by H. Giles),,95,101
4,9:36.0,,J. Embiid misses 2-pt jump shot from 12 ft,95,101
4,9:34.0,,Offensive rebound by B. Simmons,95,101
4,9:33.0,,J. Ennis misses 3-pt jump shot from 23 ft,95,101
4,9:29.0,Defensive rebound by C. Brewer,,95,101
4,9:27.0,Y. Ferrell makes 3-pt jump shot from 23 ft (assist by C. Brewer),,98,101
4,9:11.0,,Personal foul by Y. Ferrell (drawn by J. Redick),98,101
4,9:11.0,W. Cauley-Stein enters the game for H. Giles,,98,101
4,9:11.0,,J. Butler enters the game for J. Redick,98,101
4,9:11.0,,T. Harris enters the game for M. Scott,98,101
4,8:59.0,,B. Simmons makes 2-pt layup from 3 ft,98,103
4,8:52.0,M. Bagley misses 3-pt jump shot from 28 ft,,98,103
4,8:47.0,,Defensive rebound by J. Embiid,98,103
4,8:42.0,,B. Simmons makes 2-pt jump shot from 10 ft,98,105
4,8:42.0,Sacramento full timeout,,98,105
4,8:42.0,H. Barnes enters the game for M. Bagley,,98,105
4,8:42.0,B. Hield enters the game for C. Brewer,,98,105
