QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
1,11:41.0,J. Jackson misses 2-pt jump shot from 20 ft,,0,0
1,11:38.0,,Defensive rebound by L. James,0,0
1,11:23.0,,K. Kuzma misses 3-pt jump shot from 27 ft,0,0
1,11:20.0,Defensive rebound by K. Anderson,,0,0
1,11:12.0,M. Gasol misses 2-pt jump shot from 12 ft,,0,0
1,11:09.0,,Defensive rebound by K. Kuzma,0,0
1,11:01.0,,B. Ingram makes 2-pt hook shot from 2 ft (assist by I. Zubac),0,2
1,11:01.0,,Shooting foul by G. Temple (drawn by B. Ingram),0,2
1,11:01.0,,B. Ingram misses free throw 1 of 1,0,2
1,10:59.0,Defensive rebound by J. Jackson,,0,2
1,10:44.0,K. Anderson misses 2-pt jump shot from 18 ft,,0,2
1,10:43.0,Offensive rebound by J. Jackson,,0,2
1,10:43.0,Shooting foul by I. Zubac (drawn by J. Jackson),,0,2
1,10:43.0,J. Jackson makes free throw 1 of 2,,1,2
1,10:43.0,J. Jackson misses free throw 2 of 2,,1,2
1,10:40.0,,Defensive rebound by L. James,1,2
1,10:35.0,,Turnover by L. Ball (bad pass; steal by M. Conley),1,2
1,10:29.0,Turnover by G. Temple (lost ball; steal by L. Ball),,1,2
1,10:21.0,,K. Kuzma misses 2-pt hook shot from 10 ft,1,2
1,10:19.0,,Offensive rebound by I. Zubac,1,2
1,10:18.0,,I. Zubac makes 2-pt layup from 2 ft,1,4
1,10:09.0,M. Gasol misses 3-pt jump shot from 25 ft,,1,4
1,10:07.0,,Defensive rebound by B. Ingram,1,4
1,9:48.0,,L. James misses 2-pt jump shot from 17 ft,1,4
1,9:44.0,Defensive rebound by M. Gasol,,1,4
1,9:33.0,K. Anderson misses 2-pt jump shot from 18 ft,,1,4
1,9:32.0,,Defensive rebound by I. Zubac,1,4
1,9:26.0,,L. Ball makes 2-pt jump shot from 4 ft (assist by K. Kuzma),1,6
1,9:06.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Gasol),,4,6
1,8:54.0,,B. Ingram misses 2-pt jump shot from 14 ft,4,6
1,8:52.0,Defensive rebound by J. Jackson,,4,6
