QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
1,11:38.0,R. Lopez misses 2-pt jump shot from 2 ft (block by R. Hood),,0,0
1,11:38.0,Offensive rebound by Team,,0,0
1,11:38.0,Offensive foul by C. Hutchison (drawn by C. Sexton),,0,0
1,11:38.0,Turnover by C. Hutchison (offensive foul),,0,0
1,11:26.0,,R. Hood misses 2-pt jump shot from 16 ft,0,0
1,11:21.0,Defensive rebound by L. Markkanen,,0,0
1,11:12.0,Z. LaVine misses 2-pt layup at rim,,0,0
1,11:10.0,,Defensive rebound by A. Žižić,0,0
1,11:01.0,,C. Osman misses 3-pt jump shot from 26 ft,0,0
1,10:58.0,Defensive rebound by K. Dunn,,0,0
1,10:53.0,C. Hutchison misses 2-pt layup from 2 ft,,0,0
1,10:48.0,,Defensive rebound by A. Žižić,0,0
1,10:31.0,,A. Burks misses 2-pt jump shot from 1 ft,0,0
1,10:27.0,Defensive rebound by L. Markkanen,,0,0
1,10:21.0,K. Dunn misses 2-pt jump shot from 16 ft,,0,0
1,10:13.0,Offensive rebound by R. Lopez,,0,0
1,10:13.0,R. Lopez makes 2-pt layup from 1 ft,,2,0
1,9:57.0,,A. Žižić misses 2-pt layup from 2 ft (block by R. Lopez),2,0
1,9:57.0,Defensive rebound by Team,,2,0
1,9:35.0,K. Dunn misses 2-pt jump shot from 10 ft,,2,0
1,9:32.0,,Defensive rebound by R. Hood,2,0
1,9:31.0,,C. Sexton misses 2-pt layup from 1 ft,2,0
1,9:31.0,,Offensive rebound by Team,2,0
1,9:16.0,,A. Burks misses 2-pt jump shot from 4 ft,2,0
1,9:11.0,,Offensive rebound by A. Burks,2,0
1,9:11.0,,A. Burks misses 2-pt layup at rim,2,0
1,9:11.0,Defensive rebound by L. Markkanen,,2,0
1,9:07.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),,5,0
1,8:48.0,,R. Hood misses 2-pt jump shot from 10 ft,5,0
1,8:46.0,Defensive rebound by R. Lopez,,5,0
1,8:41.0,Shooting foul by R. Hood (drawn by C. Hutchison),,5,0
1,8:41.0,C. Hutchison makes free throw 1 of 2,,6,0
1,8:41.0,C. Hutchison makes free throw 2 of 2,,7,0
1,8:41.0,,Cleveland full timeout,7,0
1,8:21.0,,C. Sexton misses 2-pt jump shot from 12 ft,7,0
1,8:19.0,Defensive rebound by C. Hutchison,,7,0
1,8:00.0,Z. LaVine misses 2-pt layup at rim,,7,0
1,7:58.0,,Defensive rebound by A. Burks,7,0
1,7:52.0,,C. Sexton makes 3-pt jump shot from 23 ft (assist by R. Hood),7,3
1,7:29.0,L. Markkanen misses 3-pt jump shot from 29 ft,,7,3
1,7:26.0,,Defensive rebound by A. Burks,7,3
1,7:11.0,,C. Osman misses 2-pt jump shot from 6 ft,7,3
1,7:11.0,,Offensive rebound by Team,7,3
1,6:59.0,,Turnover by A. Burks (out of bounds lost ball),7,3
1,6:42.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by Z. LaVine),,9,3
1,6:30.0,,C. Sexton makes 2-pt jump shot from 10 ft,9,5
1,6:22.0,K. Dunn makes 2-pt jump shot from 16 ft,,11,5
1,6:08.0,,R. Hood misses 2-pt jump shot from 9 ft,11,5
1,6:06.0,Defensive rebound by C. Hutchison,,11,5
1,5:58.0,R. Lopez misses 3-pt jump shot from 27 ft,,11,5
1,5:54.0,,Defensive rebound by A. Burks,11,5
1,5:46.0,,A. Burks misses 2-pt jump shot from 12 ft,11,5
1,5:43.0,Defensive rebound by K. Dunn,,11,5
1,5:39.0,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),,13,5
1,5:21.0,,C. Sexton makes 3-pt jump shot from 25 ft,13,8
1,5:09.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by K. Dunn),,15,8
1,4:56.0,,Turnover by C. Sexton (bad pass; steal by Z. LaVine),15,8
1,4:52.0,Z. LaVine makes 2-pt dunk from 1 ft,,17,8
1,4:52.0,B. Portis enters the game for R. Lopez,,17,8
1,4:52.0,,J. Clarkson enters the game for R. Hood,17,8
1,4:52.0,,M. Dellavedova enters the game for C. Sexton,17,8
1,4:52.0,,C. Frye enters the game for A. Žižić,17,8
1,4:24.0,,J. Clarkson misses 3-pt jump shot from 27 ft,17,8
1,4:20.0,Defensive rebound by L. Markkanen,,17,8
1,4:10.0,Shooting foul by C. Osman (drawn by Z. LaVine),,17,8
1,4:10.0,Z. LaVine makes free throw 1 of 2,,18,8
1,4:10.0,,J. Blossomgame enters the game for A. Burks,18,8
1,4:10.0,Z. LaVine makes free throw 2 of 2,,19,8
1,3:48.0,,C. Osman makes 2-pt layup from 1 ft (assist by M. Dellavedova),19,10
1,3:37.0,Turnover by Z. LaVine (bad pass),,19,10
1,3:28.0,,C. Frye makes 2-pt dunk from 1 ft (assist by J. Clarkson),19,12
1,3:28.0,Chicago full timeout,,19,12
1,3:28.0,W. Selden enters the game for Z. LaVine,,19,12
1,3:10.0,C. Hutchison makes 3-pt jump shot from 24 ft (assist by K. Dunn),,22,12
1,2:56.0,,Turnover by J. Clarkson (bad pass; steal by K. Dunn),22,12
1,2:51.0,K. Dunn makes 2-pt dunk at rim,,24,12
1,2:37.0,,J. Blossomgame misses 2-pt layup at rim (block by C. Hutchison),24,12
1,2:34.0,Defensive rebound by C. Hutchison,,24,12
1,2:19.0,B. Portis makes 2-pt layup at rim (assist by W. Selden),,26,12
