QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
1,11:41.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),0,3
1,11:20.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,3,3
1,11:01.0,,L. Dončić makes 2-pt jump shot from 12 ft,3,5
1,10:45.0,K. Lowry misses 2-pt jump shot from 11 ft,,3,5
1,10:44.0,Offensive rebound by K. Lowry,,3,5
1,10:42.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),,6,5
1,10:22.0,,H. Barnes misses 2-pt jump shot from 12 ft,6,5
1,10:19.0,Defensive rebound by K. Leonard,,6,5
1,10:16.0,Personal foul by D. Smith (drawn by K. Leonard),,6,5
1,10:02.0,P. Siakam makes 2-pt layup from 3 ft,,8,5
1,9:48.0,,Turnover by D. Jordan (bad pass; steal by D. Green),8,5
1,9:43.0,Shooting foul by D. Jordan (drawn by S. Ibaka),,8,5
1,9:43.0,S. Ibaka misses free throw 1 of 2,,8,5
1,9:43.0,Offensive rebound by Team,,8,5
1,9:43.0,S. Ibaka makes free throw 2 of 2,,9,5
1,9:19.0,,D. Smith misses 3-pt jump shot from 25 ft,9,5
1,9:15.0,Defensive rebound by K. Leonard,,9,5
1,9:07.0,S. Ibaka misses 2-pt hook shot from 4 ft,,9,5
1,9:04.0,,Defensive rebound by H. Barnes,9,5
1,8:57.0,,D. Smith makes 2-pt layup from 1 ft (assist by L. Dončić),9,7
1,8:41.0,K. Leonard misses 3-pt jump shot from 24 ft,,9,7
1,8:38.0,,Defensive rebound by L. Dončić,9,7
1,8:33.0,,H. Barnes misses 2-pt layup from 1 ft,9,7
1,8:32.0,Defensive rebound by K. Leonard,,9,7
1,8:28.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Leonard),,12,7
1,8:13.0,,W. Matthews misses 3-pt jump shot from 26 ft,12,7
1,8:10.0,Defensive rebound by K. Leonard,,12,7
1,8:05.0,K. Leonard makes 3-pt jump shot from 25 ft,,15,7
1,8:04.0,,Dallas full timeout,15,7
1,7:53.0,,L. Dončić misses 3-pt jump shot from 26 ft,15,7
1,7:48.0,Defensive rebound by D. Green,,15,7
1,7:36.0,P. Siakam misses 3-pt jump shot from 25 ft,,15,7
1,7:34.0,,Defensive rebound by D. Smith,15,7
1,7:31.0,,D. Smith misses 2-pt jump shot from 19 ft,15,7
1,7:28.0,Defensive rebound by K. Leonard,,15,7
1,7:16.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by K. Leonard),,18,7
1,6:57.0,,Personal foul by K. Leonard (drawn by L. Dončić),18,7
1,6:49.0,,D. Smith makes 2-pt dunk from 1 ft (assist by L. Dončić),18,9
1,6:35.0,K. Leonard makes 2-pt jump shot from 10 ft (assist by K. Lowry),,20,9
1,6:35.0,Shooting foul by W. Matthews (drawn by K. Leonard),,20,9
1,6:35.0,K. Leonard makes free throw 1 of 1,,21,9
1,6:20.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Jordan),21,11
1,6:09.0,S. Ibaka misses 2-pt jump shot from 19 ft,,21,11
1,6:06.0,,Defensive rebound by L. Dončić,21,11
1,6:00.0,,L. Dončić makes 2-pt layup from 5 ft,21,13
1,5:44.0,K. Leonard misses 2-pt layup from 2 ft,,21,13
1,5:44.0,,Defensive rebound by L. Dončić,21,13
1,5:36.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Dončić),21,16
1,5:19.0,Shooting foul by H. Barnes (drawn by P. Siakam),,21,16
1,5:19.0,P. Siakam makes free throw 1 of 2,,22,16
1,5:19.0,F. VanVleet enters the game for K. Lowry,,22,16
