QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,K. Thompson misses 2-pt jump shot from 18 ft,0,0
1,11:45.0,Defensive rebound by D. Fox,,0,0
1,11:27.0,D. Fox misses 2-pt jump shot from 12 ft,,0,0
1,11:26.0,,Defensive rebound by K. Durant,0,0
1,11:17.0,,K. Thompson misses 2-pt jump shot from 21 ft,0,0
1,11:16.0,Defensive rebound by W. Cauley-Stein,,0,0
1,11:09.0,B. Hield makes 2-pt jump shot from 19 ft,,2,0
1,10:47.0,,K. Thompson makes 2-pt layup from 4 ft (assist by A. Iguodala),2,2
1,10:25.0,D. Fox misses 3-pt jump shot from 25 ft,,2,2
1,10:23.0,,Defensive rebound by A. Iguodala,2,2
1,10:13.0,,D. Jones makes 2-pt hook shot from 7 ft (assist by Q. Cook),2,4
1,9:59.0,W. Cauley-Stein makes 2-pt jump shot from 11 ft,,4,4
1,9:48.0,,Turnover by K. Durant (bad pass),4,4
1,9:42.0,D. Fox makes 2-pt layup from 4 ft,,6,4
1,9:19.0,,Q. Cook misses 2-pt jump shot from 21 ft (block by N. Bjelica),6,4
1,9:18.0,Defensive rebound by B. Hield,,6,4
1,9:18.0,Personal foul by A. Iguodala (drawn by B. Hield),,6,4
1,9:03.0,B. Hield makes 2-pt jump shot from 12 ft,,8,4
1,9:03.0,Personal foul by Q. Cook (drawn by B. Hield),,8,4
1,9:03.0,B. Hield misses free throw 1 of 1,,8,4
1,9:02.0,,Defensive rebound by K. Durant,8,4
1,8:52.0,,D. Jones makes 2-pt dunk from 4 ft (assist by A. Iguodala),8,6
1,8:52.0,,Shooting foul by I. Shumpert (drawn by D. Jones),8,6
1,8:52.0,,D. Jones makes free throw 1 of 1,8,7
1,8:42.0,W. Cauley-Stein makes 2-pt layup from 5 ft (assist by D. Fox),,10,7
1,8:34.0,,Offensive foul by K. Durant (drawn by D. Fox),10,7
1,8:34.0,,Turnover by K. Durant (offensive foul),10,7
1,8:25.0,I. Shumpert misses 3-pt jump shot from 27 ft,,10,7
1,8:23.0,,Defensive rebound by K. Durant,10,7
1,8:09.0,,K. Durant misses 2-pt jump shot from 17 ft,10,7
1,8:08.0,Defensive rebound by I. Shumpert,,10,7
1,8:01.0,N. Bjelica misses 2-pt layup from 2 ft (block by K. Durant),,10,7
1,8:00.0,,Defensive rebound by K. Durant,10,7
1,7:54.0,,D. Jones makes 2-pt layup from 1 ft (assist by Q. Cook),10,9
1,7:54.0,,Shooting foul by W. Cauley-Stein (drawn by D. Jones),10,9
1,7:54.0,,D. Jones misses free throw 1 of 1,10,9
1,7:53.0,Defensive rebound by I. Shumpert,,10,9
1,7:46.0,Turnover by D. Fox (bad pass; steal by A. Iguodala),,10,9
1,7:32.0,,K. Thompson misses 3-pt jump shot from 26 ft,10,9
1,7:30.0,Defensive rebound by I. Shumpert,,10,9
1,7:14.0,Shooting foul by K. Thompson (drawn by N. Bjelica),,10,9
1,7:14.0,N. Bjelica makes free throw 1 of 2,,11,9
1,7:14.0,,Golden State full timeout,11,9
1,7:14.0,N. Bjelica misses free throw 2 of 2,,11,9
1,7:12.0,,Defensive rebound by K. Durant,11,9
1,6:56.0,,D. Jones misses 2-pt layup from 3 ft,11,9
1,6:55.0,Defensive rebound by W. Cauley-Stein,,11,9
1,6:50.0,I. Shumpert misses 3-pt jump shot from 27 ft,,11,9
1,6:48.0,,Defensive rebound by D. Jones,11,9
1,6:35.0,,K. Durant makes 2-pt jump shot from 9 ft,11,11
1,6:20.0,N. Bjelica misses 3-pt jump shot from 22 ft,,11,11
1,6:18.0,,Defensive rebound by K. Thompson,11,11
1,6:09.0,,Shooting foul by W. Cauley-Stein (drawn by D. Jones),11,11
