QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
1,11:48.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Davis),,3,0
1,11:40.0,,Turnover by D. Green (bad pass),3,0
1,11:14.0,A. Davis misses 2-pt jump shot from 21 ft,,3,0
1,11:12.0,Offensive rebound by E. Payton,,3,0
1,11:05.0,E. Payton makes 2-pt hook shot from 10 ft,,5,0
1,10:53.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),5,3
1,10:38.0,J. Randle makes 2-pt jump shot from 11 ft,,7,3
1,10:31.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),7,5
1,10:31.0,,Shooting foul by E. Moore (drawn by K. Thompson),7,5
1,10:31.0,,K. Thompson makes free throw 1 of 1,7,6
1,10:21.0,A. Davis misses 2-pt layup from 2 ft,,7,6
1,10:20.0,,Defensive rebound by K. Durant,7,6
1,10:10.0,,K. Looney misses 2-pt hook shot from 8 ft,7,6
1,10:09.0,Defensive rebound by E. Payton,,7,6
1,10:04.0,E. Payton misses 2-pt layup from 5 ft (block by D. Green),,7,6
1,10:03.0,Offensive rebound by Team,,7,6
1,10:02.0,Turnover by E. Payton (bad pass; steal by K. Looney),,7,6
1,9:56.0,,S. Curry misses 3-pt jump shot from 30 ft,7,6
1,9:54.0,Defensive rebound by A. Davis,,7,6
1,9:44.0,Shooting foul by S. Curry (drawn by J. Holiday),,7,6
1,9:44.0,J. Holiday makes free throw 1 of 2,,8,6
1,9:44.0,J. Holiday makes free throw 2 of 2,,9,6
1,9:30.0,,K. Durant misses 2-pt jump shot from 5 ft (block by A. Davis),9,6
1,9:28.0,,Offensive rebound by Team,9,6
1,9:26.0,,Shooting foul by E. Payton (drawn by S. Curry),9,6
1,9:26.0,,S. Curry makes free throw 1 of 2,9,7
1,9:26.0,,S. Curry makes free throw 2 of 2,9,8
1,9:21.0,Personal foul by K. Looney (drawn by A. Davis),,9,8
1,9:17.0,E. Moore makes 2-pt jump shot from 11 ft (assist by E. Payton),,11,8
1,9:08.0,,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),11,10
1,8:54.0,J. Randle misses 2-pt jump shot from 12 ft,,11,10
1,8:53.0,,Defensive rebound by K. Looney,11,10
1,8:47.0,,K. Thompson misses 2-pt jump shot from 20 ft,11,10
1,8:46.0,Defensive rebound by J. Randle,,11,10
1,8:37.0,J. Randle misses 2-pt jump shot from 5 ft,,11,10
1,8:36.0,,Defensive rebound by K. Looney,11,10
1,8:31.0,,Turnover by K. Durant (lost ball; steal by E. Payton),11,10
1,8:31.0,Personal foul by K. Thompson (drawn by E. Payton),,11,10
1,8:12.0,A. Davis misses 2-pt jump shot from 4 ft,,11,10
1,8:11.0,,Defensive rebound by D. Green,11,10
1,8:01.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),11,13
1,7:52.0,E. Payton misses 3-pt jump shot from 25 ft,,11,13
1,7:50.0,,Defensive rebound by D. Green,11,13
1,7:42.0,,K. Durant makes 3-pt jump shot from 28 ft (assist by K. Looney),11,16
1,7:31.0,New Orleans full timeout,,11,16
1,7:20.0,Personal foul by S. Curry (drawn by A. Davis),,11,16
1,7:20.0,,Q. Cook enters the game for S. Curry,11,16
1,7:17.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by E. Payton),,14,16
1,6:56.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),14,19
1,6:44.0,E. Moore misses 3-pt jump shot from 28 ft,,14,19
1,6:42.0,,Defensive rebound by D. Green,14,19
1,6:37.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),14,21
1,6:22.0,A. Davis misses 2-pt jump shot from 9 ft,,14,21
1,6:22.0,Offensive rebound by A. Davis,,14,21
1,6:22.0,Shooting foul by D. Green (drawn by A. Davis),,14,21
1,6:22.0,A. Davis makes free throw 1 of 2,,15,21
1,6:22.0,A. Davis misses free throw 2 of 2,,15,21
1,6:20.0,,Defensive rebound by K. Looney,15,21
1,6:02.0,,K. Thompson misses 3-pt jump shot from 28 ft,15,21
1,6:00.0,Defensive rebound by A. Davis,,15,21
1,5:42.0,E. Payton makes 3-pt jump shot from 26 ft (assist by J. Randle),,18,21
1,5:26.0,,K. Durant misses 2-pt jump shot from 20 ft,18,21
1,5:25.0,Defensive rebound by A. Davis,,18,21
1,5:20.0,E. Payton misses 2-pt dunk from 1 ft,,18,21
1,5:19.0,,Defensive rebound by K. Durant,18,21
1,5:09.0,,K. Thompson misses 2-pt jump shot from 13 ft,18,21
1,5:08.0,Defensive rebound by J. Holiday,,18,21
1,4:59.0,J. Holiday misses 3-pt jump shot from 25 ft,,18,21
1,4:57.0,,Defensive rebound by K. Durant,18,21
1,4:54.0,,Golden State full timeout,18,21
1,4:54.0,D. Miller enters the game for E. Moore,,18,21
1,4:54.0,N. Mirotić enters the game for J. Randle,,18,21
1,4:54.0,,A. Iguodala enters the game for D. Green,18,21
1,4:41.0,,Turnover by K. Durant (lost ball; steal by J. Holiday),18,21
1,4:36.0,N. Mirotić makes 2-pt layup from 4 ft (assist by J. Holiday),,20,21
1,4:19.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by Q. Cook),20,24
1,3:58.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,22,24
1,3:48.0,,K. Durant misses 2-pt jump shot from 14 ft (block by J. Holiday),22,24
1,3:45.0,,Offensive rebound by K. Durant,22,24
1,3:44.0,,K. Durant misses 2-pt jump shot from 13 ft,22,24
1,3:43.0,Defensive rebound by A. Davis,,22,24
1,3:39.0,Personal foul by A. Iguodala (drawn by N. Mirotić),,22,24
1,3:39.0,N. Mirotić makes free throw 1 of 2,,23,24
1,3:39.0,N. Mirotić misses free throw 2 of 2,,23,24
1,3:38.0,,Defensive rebound by K. Durant,23,24
1,3:29.0,,Offensive foul by K. Looney (drawn by D. Miller),23,24
1,3:29.0,,Turnover by K. Looney (offensive foul),23,24
1,3:29.0,,D. Green enters the game for K. Looney,23,24
1,3:13.0,Turnover by A. Davis (bad pass; steal by K. Thompson),,23,24
1,3:08.0,,K. Thompson makes 2-pt dunk from 1 ft,23,26
1,3:04.0,J. Holiday makes 2-pt layup from 2 ft (assist by A. Davis),,25,26
1,3:04.0,Shooting foul by A. Iguodala (drawn by J. Holiday),,25,26
1,3:04.0,J. Holiday misses free throw 1 of 1,,25,26
1,3:03.0,,Defensive rebound by K. Thompson,25,26
1,2:53.0,,Personal foul by D. Miller (drawn by K. Thompson),25,26
1,2:53.0,F. Jackson enters the game for E. Payton,,25,26
1,2:44.0,,K. Thompson misses 3-pt jump shot from 27 ft,25,26
1,2:42.0,Defensive rebound by F. Jackson,,25,26
1,2:32.0,D. Miller makes 3-pt jump shot from 26 ft (assist by N. Mirotić),,28,26
1,2:17.0,,Turnover by K. Thompson (lost ball; steal by A. Davis),28,26
1,2:13.0,F. Jackson misses 2-pt layup from 11 ft,,28,26
1,2:12.0,Offensive rebound by A. Davis,,28,26
1,2:12.0,A. Davis makes 2-pt dunk from 3 ft,,30,26
1,2:12.0,,Technical foul by A. Iguodala,30,26
1,2:12.0,N. Mirotić makes technical free throw,,31,26
1,2:12.0,,J. Jerebko enters the game for Q. Cook,31,26
1,2:12.0,,A. McKinnie enters the game for K. Thompson,31,26
1,1:58.0,,K. Durant misses 2-pt jump shot from 21 ft,31,26
1,1:56.0,Defensive rebound by A. Davis,,31,26
1,1:46.0,A. Davis makes 2-pt layup from 4 ft,,33,26
1,1:31.0,,K. Durant makes 2-pt jump shot from 16 ft,33,28
1,1:22.0,D. Miller misses 3-pt jump shot from 27 ft,,33,28
1,1:20.0,,Defensive rebound by A. Iguodala,33,28
1,1:14.0,,D. Green makes 3-pt jump shot from 26 ft (assist by J. Jerebko),33,31
1,0:56.0,N. Mirotić makes 3-pt jump shot from 28 ft (assist by J. Holiday),,36,31
1,0:48.0,,A. Iguodala misses 3-pt jump shot from 26 ft,36,31
1,0:46.0,Defensive rebound by A. Davis,,36,31
1,0:39.0,A. Davis misses 3-pt jump shot from 27 ft,,36,31
1,0:37.0,,Defensive rebound by A. McKinnie,36,31
1,0:31.0,,K. Durant misses 3-pt jump shot from 29 ft,36,31
1,0:29.0,Defensive rebound by A. Davis,,36,31
1,0:11.0,D. Miller makes 3-pt jump shot from 27 ft (assist by N. Mirotić),,39,31
1,0:00.0,,D. Green misses 3-pt jump shot from 27 ft (block by A. Davis),39,31
1,0:00.0,,Offensive rebound by Team,39,31
2,11:49.0,,S. Curry misses 3-pt jump shot from 29 ft,39,31
2,11:47.0,,Offensive rebound by J. Jerebko,39,31
