QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
1,11:41.0,M. Harkless makes 2-pt jump shot from 2 ft (assist by J. Nurkić),,2,0
1,11:18.0,,A. Bradley misses 3-pt jump shot from 25 ft,2,0
1,11:14.0,Defensive rebound by A. Aminu,,2,0
1,11:07.0,J. Nurkić makes 2-pt hook shot from 1 ft (assist by M. Harkless),,4,0
1,10:49.0,,J. Valančiūnas misses 2-pt jump shot from 7 ft,4,0
1,10:46.0,Defensive rebound by J. Nurkić,,4,0
1,10:39.0,Personal foul by M. Conley (drawn by C. McCollum),,4,0
1,10:36.0,M. Harkless makes 2-pt dunk from 1 ft (assist by D. Lillard),,6,0
1,10:27.0,,Shooting foul by D. Lillard (drawn by M. Conley),6,0
1,10:27.0,,M. Conley misses free throw 1 of 2,6,0
1,10:27.0,,Offensive rebound by Team,6,0
1,10:27.0,,M. Conley misses free throw 2 of 2,6,0
1,10:25.0,Defensive rebound by J. Nurkić,,6,0
1,10:18.0,C. McCollum makes 2-pt jump shot from 3 ft (assist by J. Nurkić),,8,0
1,10:17.0,,Memphis full timeout,8,0
1,10:00.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,8,2
1,9:38.0,J. Nurkić misses 2-pt hook shot from 2 ft,,8,2
1,9:35.0,Offensive rebound by M. Harkless,,8,2
1,9:27.0,M. Harkless makes 2-pt layup from 1 ft (assist by J. Nurkić),,10,2
1,9:13.0,,J. Holiday misses 3-pt jump shot from 23 ft,10,2
1,9:11.0,Defensive rebound by J. Nurkić,,10,2
1,9:01.0,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),,12,2
1,8:45.0,,B. Caboclo misses 3-pt jump shot from 27 ft,12,2
1,8:43.0,Defensive rebound by J. Nurkić,,12,2
1,8:31.0,Turnover by D. Lillard (bad pass),,12,2
1,8:31.0,,D. Wright enters the game for J. Holiday,12,2
1,8:13.0,,Turnover by A. Bradley (traveling),12,2
