QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
1,11:47.0,,M. Conley makes 2-pt jump shot from 16 ft (assist by M. Gasol),0,2
1,11:28.0,D. Collison misses 2-pt jump shot from 2 ft,,0,2
1,11:26.0,,Defensive rebound by M. Conley,0,2
1,11:20.0,,Turnover by J. Carter (traveling),0,2
1,11:01.0,Turnover by B. Bogdanović (bad pass),,0,2
1,10:55.0,,Offensive foul by M. Gasol (drawn by T. Evans),0,2
1,10:55.0,,Turnover by M. Gasol (offensive foul),0,2
1,10:39.0,Turnover by M. Turner (lost ball; steal by J. Jackson),,0,2
1,10:19.0,,J. Jackson misses 3-pt jump shot from 22 ft,0,2
1,10:14.0,Defensive rebound by M. Turner,,0,2
1,10:05.0,M. Turner misses 3-pt jump shot from 26 ft,,0,2
1,10:05.0,,Defensive rebound by J. Carter,0,2
1,9:51.0,,J. Jackson misses 2-pt layup from 2 ft (block by T. Young),0,2
1,9:51.0,,Offensive rebound by Team,0,2
1,9:43.0,,M. Conley misses 3-pt jump shot from 26 ft,0,2
1,9:41.0,Defensive rebound by B. Bogdanović,,0,2
1,9:37.0,Personal foul by J. Holiday (drawn by B. Bogdanović),,0,2
1,9:26.0,Turnover by B. Bogdanović (palming),,0,2
1,9:15.0,,Personal foul by D. Collison (drawn by M. Conley),0,2
1,9:05.0,,J. Jackson makes 2-pt hook shot from 7 ft (assist by M. Conley),0,4
1,8:49.0,D. Collison misses 2-pt jump shot from 16 ft,,0,4
1,8:46.0,,Defensive rebound by M. Gasol,0,4
1,8:25.0,,J. Holiday misses 3-pt jump shot from 25 ft,0,4
1,8:21.0,,Offensive rebound by M. Gasol,0,4
1,8:12.0,,J. Holiday misses 2-pt layup from 1 ft (block by M. Turner),0,4
1,8:09.0,Defensive rebound by T. Young,,0,4
1,8:09.0,Shooting foul by J. Carter (drawn by D. Collison),,0,4
1,8:09.0,D. Collison makes free throw 1 of 2,,1,4
1,8:09.0,D. Collison makes free throw 2 of 2,,2,4
1,7:53.0,,J. Holiday misses 3-pt jump shot from 23 ft,2,4
1,7:49.0,Defensive rebound by T. Evans,,2,4
1,7:27.0,T. Young misses 3-pt jump shot from 26 ft (block by M. Gasol),,2,4
1,7:27.0,Offensive rebound by Team,,2,4
1,7:27.0,Turnover by Team (shot clock),,2,4
1,7:14.0,,Personal foul by M. Turner (drawn by M. Gasol),2,4
1,7:08.0,,J. Holiday misses 2-pt jump shot from 8 ft,2,4
1,7:05.0,Defensive rebound by M. Turner,,2,4
1,7:00.0,Shooting foul by J. Holiday (drawn by M. Turner),,2,4
1,7:00.0,M. Turner misses free throw 1 of 2,,2,4
1,7:00.0,Offensive rebound by Team,,2,4
1,7:00.0,,B. Caboclo enters the game for J. Holiday,2,4
1,7:00.0,M. Turner makes free throw 2 of 2,,3,4
1,6:42.0,,M. Gasol misses 3-pt jump shot from 26 ft,3,4
1,6:39.0,,Offensive rebound by M. Conley,3,4
1,6:31.0,,M. Gasol makes 2-pt hook shot from 6 ft (assist by M. Conley),3,6
1,6:18.0,M. Turner misses 3-pt jump shot from 25 ft,,3,6
1,6:14.0,,Defensive rebound by M. Gasol,3,6
1,6:07.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),3,8
1,6:01.0,Indiana full timeout,,3,8
1,5:53.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,5,8
1,5:34.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),5,10
1,5:21.0,Offensive foul by T. Young (drawn by M. Gasol),,5,10
1,5:21.0,Turnover by T. Young (offensive foul),,5,10
1,5:12.0,,Shooting foul by B. Bogdanović (drawn by B. Caboclo),5,10
1,5:12.0,,B. Caboclo makes free throw 1 of 2,5,11
1,5:12.0,,S. Mack enters the game for M. Conley,5,11
1,5:12.0,,B. Caboclo makes free throw 2 of 2,5,12
1,4:56.0,Shooting foul by S. Mack (drawn by D. Collison),,5,12
1,4:56.0,D. Collison makes free throw 1 of 2,,6,12
1,4:56.0,C. Joseph enters the game for T. Evans,,6,12
1,4:56.0,D. Sabonis enters the game for T. Young,,6,12
1,4:56.0,D. Collison makes free throw 2 of 2,,7,12
1,4:46.0,,J. Carter misses 2-pt jump shot from 19 ft,7,12
1,4:42.0,,Offensive rebound by J. Jackson,7,12
1,4:38.0,,B. Caboclo makes 3-pt jump shot from 23 ft (assist by M. Gasol),7,15
1,4:17.0,M. Turner misses 3-pt jump shot from 26 ft,,7,15
1,4:14.0,,Defensive rebound by M. Gasol,7,15
1,4:04.0,,Personal foul by M. Turner (drawn by J. Jackson),7,15
1,4:04.0,T. Leaf enters the game for M. Turner,,7,15
1,4:01.0,,Personal foul by T. Leaf (drawn by J. Jackson),7,15
1,4:01.0,,J. Jackson makes free throw 1 of 2,7,16
1,4:01.0,,J. Jackson makes free throw 2 of 2,7,17
1,3:52.0,Personal foul by J. Carter (drawn by D. Collison),,7,17
1,3:52.0,D. Collison makes free throw 1 of 2,,8,17
1,3:52.0,,J. Green enters the game for J. Jackson,8,17
1,3:52.0,D. Collison makes free throw 2 of 2,,9,17
1,3:28.0,,J. Green misses 3-pt jump shot from 23 ft,9,17
1,3:25.0,Defensive rebound by C. Joseph,,9,17
1,3:14.0,D. Sabonis misses 2-pt hook shot from 2 ft,,9,17
1,3:12.0,,Defensive rebound by J. Green,9,17
1,3:05.0,,M. Gasol makes 2-pt hook shot from 4 ft (assist by S. Mack),9,19
1,2:53.0,Shooting foul by M. Gasol (drawn by B. Bogdanović),,9,19
1,2:53.0,,Memphis full timeout,9,19
1,2:53.0,A. Holiday enters the game for D. Collison,,9,19
1,2:53.0,,J. Holiday enters the game for J. Carter,9,19
1,2:53.0,,J. Noah enters the game for M. Gasol,9,19
1,2:53.0,B. Bogdanović makes free throw 1 of 2,,10,19
1,2:53.0,B. Bogdanović makes free throw 2 of 2,,11,19
1,2:33.0,,J. Holiday makes 2-pt jump shot from 16 ft (assist by J. Noah),11,21
1,2:19.0,B. Bogdanović makes 2-pt layup from 1 ft,,13,21
1,2:07.0,,J. Noah misses 2-pt layup from 3 ft (block by C. Joseph),13,21
1,2:03.0,Defensive rebound by A. Holiday,,13,21
1,2:03.0,A. Holiday misses 2-pt jump shot from 10 ft,,13,21
1,2:03.0,Offensive rebound by Team,,13,21
1,2:03.0,,Loose ball foul by J. Noah (drawn by D. Sabonis),13,21
1,2:03.0,D. Sabonis makes free throw 1 of 2,,14,21
1,2:03.0,D. McDermott enters the game for B. Bogdanović,,14,21
1,2:03.0,D. Sabonis misses free throw 2 of 2,,14,21
1,2:00.0,,Defensive rebound by J. Noah,14,21
1,1:47.0,,J. Green misses 3-pt jump shot from 25 ft,14,21
1,1:43.0,,Offensive rebound by B. Caboclo,14,21
1,1:42.0,,S. Mack misses 3-pt jump shot from 25 ft,14,21
1,1:39.0,Defensive rebound by T. Leaf,,14,21
1,1:33.0,C. Joseph makes 2-pt layup from 1 ft,,16,21
1,1:17.0,,J. Holiday misses 2-pt jump shot from 5 ft,16,21
1,1:15.0,,Offensive rebound by J. Noah,16,21
1,1:03.0,,J. Green misses 2-pt hook shot from 6 ft,16,21
1,0:59.0,Defensive rebound by T. Leaf,,16,21
1,0:52.0,T. Leaf misses 3-pt jump shot from 25 ft,,16,21
1,0:48.0,,Defensive rebound by B. Caboclo,16,21
1,0:36.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by S. Mack),16,24
1,0:26.0,A. Holiday makes 3-pt jump shot from 26 ft (assist by C. Joseph),,19,24
1,0:01.0,,Turnover by Team (shot clock),19,24
1,0:00.0,C. Joseph misses 3-pt jump shot from 29 ft,,19,24
1,0:00.0,Offensive rebound by Team,,19,24
2,11:47.0,Shooting foul by J. Noah (drawn by D. Sabonis),,19,24
2,11:47.0,D. Sabonis misses free throw 1 of 2,,19,24
2,11:47.0,Offensive rebound by Team,,19,24
2,11:47.0,D. Sabonis misses free throw 2 of 2,,19,24
2,11:43.0,,Defensive rebound by J. Green,19,24
2,11:33.0,,J. Holiday misses 3-pt jump shot from 25 ft,19,24
2,11:29.0,Defensive rebound by A. Holiday,,19,24
2,11:13.0,Shooting foul by J. Green (drawn by C. Joseph),,19,24
2,11:13.0,C. Joseph makes free throw 1 of 2,,20,24
2,11:13.0,C. Joseph makes free throw 2 of 2,,21,24
2,11:08.0,,Personal foul by A. Holiday (drawn by S. Mack),21,24
2,10:54.0,,J. Noah makes 2-pt hook shot from 1 ft,21,26
2,10:42.0,Personal foul by J. Green (drawn by C. Joseph),,21,26
2,10:36.0,A. Holiday misses 3-pt jump shot from 26 ft,,21,26
2,10:33.0,,Defensive rebound by J. Green,21,26
2,10:22.0,,Turnover by S. Mack (bad pass; steal by T. Leaf),21,26
2,10:16.0,T. Leaf makes 2-pt layup from 1 ft,,23,26
2,10:09.0,,Memphis full timeout,23,26
2,10:09.0,,J. Carter enters the game for B. Caboclo,23,26
2,10:09.0,,M. Conley enters the game for S. Mack,23,26
2,10:02.0,,J. Holiday makes 2-pt layup from 1 ft (assist by M. Conley),23,28
2,9:48.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),,25,28
2,9:22.0,,J. Carter misses 2-pt jump shot from 18 ft,25,28
2,9:19.0,Defensive rebound by T. Leaf,,25,28
2,9:12.0,C. Joseph misses 2-pt jump shot from 20 ft,,25,28
2,9:09.0,,Defensive rebound by J. Noah,25,28
2,8:57.0,,J. Green misses 2-pt hook shot from 1 ft,25,28
2,8:56.0,Defensive rebound by D. Sabonis,,25,28
2,8:41.0,Turnover by C. Joseph (bad pass; steal by J. Green),,25,28
2,8:36.0,,J. Holiday makes 2-pt dunk at rim (assist by M. Conley),25,30
2,8:33.0,,Technical foul by J. Green,25,30
2,8:33.0,T. Young enters the game for T. Leaf,,25,30
2,8:33.0,,J. Jackson enters the game for J. Green,25,30
2,8:33.0,D. McDermott makes technical free throw,,26,30
2,8:29.0,Offensive foul by D. McDermott (drawn by J. Holiday),,26,30
2,8:29.0,Turnover by D. McDermott (offensive foul),,26,30
2,8:10.0,,J. Noah makes 2-pt dunk from 1 ft (assist by J. Holiday),26,32
2,7:59.0,A. Holiday makes 2-pt jump shot from 12 ft (assist by D. Sabonis),,28,32
2,7:59.0,Violation by Team (delay of game),,28,32
2,7:43.0,,M. Conley makes 2-pt layup from 1 ft (assist by J. Noah),28,34
2,7:27.0,A. Holiday makes 2-pt jump shot from 14 ft,,30,34
2,7:15.0,,J. Jackson makes 2-pt hook shot from 7 ft (assist by J. Noah),30,36
2,7:15.0,,Shooting foul by T. Young (drawn by J. Jackson),30,36
2,7:15.0,,J. Jackson makes free throw 1 of 1,30,37
2,7:04.0,A. Holiday misses 2-pt layup from 2 ft,,30,37
2,7:00.0,,Defensive rebound by J. Jackson,30,37
2,6:49.0,,Turnover by M. Conley (bad pass; steal by A. Holiday),30,37
2,6:44.0,T. Young makes 2-pt layup from 1 ft (assist by A. Holiday),,32,37
2,6:31.0,,J. Jackson misses 3-pt jump shot from 25 ft,32,37
2,6:27.0,Defensive rebound by D. McDermott,,32,37
2,6:22.0,Turnover by A. Holiday (bad pass),,32,37
2,6:22.0,,M. Gasol enters the game for J. Noah,32,37
2,6:06.0,,J. Holiday makes 2-pt jump shot from 20 ft (assist by M. Gasol),32,39
2,5:48.0,C. Joseph misses 2-pt layup from 1 ft,,32,39
2,5:44.0,Offensive rebound by T. Young,,32,39
2,5:44.0,T. Young misses 2-pt jump shot from 10 ft,,32,39
2,5:43.0,Offensive rebound by D. Sabonis,,32,39
2,5:43.0,D. Sabonis misses 2-pt layup from 1 ft,,32,39
2,5:43.0,Offensive rebound by D. Sabonis,,32,39
2,5:43.0,Shooting foul by M. Gasol (drawn by D. Sabonis),,32,39
2,5:43.0,D. Sabonis makes free throw 1 of 2,,33,39
2,5:43.0,D. Collison enters the game for A. Holiday,,33,39
