QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
1,11:40.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,3,0
1,11:26.0,,Personal foul by D. Green (drawn by B. Adebayo),3,0
1,11:23.0,,Personal foul by S. Curry (drawn by J. Richardson),3,0
1,11:12.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by J. Richardson),3,3
1,10:59.0,S. Curry misses 3-pt jump shot from 25 ft,,3,3
1,10:57.0,,Defensive rebound by B. Adebayo,3,3
1,10:53.0,,Shooting foul by K. Looney (drawn by B. Adebayo),3,3
1,10:53.0,,B. Adebayo misses free throw 1 of 2,3,3
1,10:53.0,,Offensive rebound by Team,3,3
1,10:53.0,,B. Adebayo makes free throw 2 of 2,3,4
1,10:33.0,K. Thompson misses 3-pt jump shot from 23 ft,,3,4
1,10:30.0,,Defensive rebound by J. Winslow,3,4
1,10:17.0,,D. Waiters misses 2-pt layup from 2 ft,3,4
1,10:15.0,Defensive rebound by S. Curry,,3,4
1,10:13.0,D. Green makes 2-pt layup from 2 ft,,5,4
1,9:54.0,,Turnover by D. Waiters (bad pass; steal by K. Looney),5,4
1,9:49.0,S. Curry makes 2-pt layup from 2 ft,,7,4
1,9:32.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),7,7
1,9:10.0,Personal foul by D. Waiters (drawn by K. Thompson),,7,7
1,9:06.0,K. Thompson misses 3-pt jump shot from 25 ft,,7,7
1,9:04.0,,Defensive rebound by K. Olynyk,7,7
1,8:58.0,,Personal foul by D. Green (drawn by B. Adebayo),7,7
1,8:58.0,J. Jerebko enters the game for D. Green,,7,7
1,8:51.0,,D. Waiters misses 3-pt jump shot from 23 ft,7,7
1,8:49.0,,Offensive rebound by J. Richardson,7,7
1,8:37.0,,B. Adebayo makes 2-pt hook shot from 4 ft (assist by K. Olynyk),7,9
1,8:24.0,K. Durant misses 3-pt jump shot from 25 ft,,7,9
1,8:22.0,Offensive rebound by K. Looney,,7,9
1,8:19.0,S. Curry misses 3-pt jump shot from 23 ft,,7,9
1,8:15.0,,Defensive rebound by D. Waiters,7,9
1,8:09.0,,Shooting foul by K. Looney (drawn by D. Waiters),7,9
1,8:09.0,,D. Waiters misses free throw 1 of 2,7,9
1,8:09.0,,Offensive rebound by Team,7,9
1,8:09.0,Golden State full timeout,,7,9
1,8:09.0,J. Bell enters the game for K. Looney,,7,9
1,8:09.0,,D. Waiters makes free throw 2 of 2,7,10
1,7:53.0,K. Durant misses 2-pt jump shot from 16 ft,,7,10
1,7:51.0,,Defensive rebound by J. Richardson,7,10
1,7:33.0,,Personal foul by J. Jerebko (drawn by K. Olynyk),7,10
1,7:33.0,,K. Olynyk makes free throw 1 of 2,7,11
1,7:33.0,,K. Olynyk makes free throw 2 of 2,7,12
1,7:18.0,S. Curry makes 2-pt layup from 2 ft (assist by J. Jerebko),,9,12
1,6:59.0,,J. Winslow makes 2-pt dunk from 1 ft (assist by B. Adebayo),9,14
1,6:47.0,K. Durant misses 3-pt jump shot from 22 ft,,9,14
1,6:44.0,,Defensive rebound by K. Olynyk,9,14
1,6:37.0,,D. Waiters misses 3-pt jump shot from 26 ft,9,14
1,6:36.0,Defensive rebound by Team,,9,14
1,6:25.0,J. Bell misses 2-pt layup from 1 ft (block by B. Adebayo),,9,14
1,6:22.0,,Defensive rebound by B. Adebayo,9,14
1,6:13.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson),9,16
1,6:04.0,Shooting foul by B. Adebayo (drawn by K. Durant),,9,16
1,6:04.0,K. Durant makes free throw 1 of 2,,10,16
1,6:04.0,,D. Jones enters the game for K. Olynyk,10,16
1,6:04.0,,D. Wade enters the game for J. Richardson,10,16
1,6:04.0,K. Durant makes free throw 2 of 2,,11,16
1,5:39.0,,D. Jones misses 3-pt jump shot from 23 ft,11,16
1,5:36.0,Defensive rebound by J. Bell,,11,16
1,5:31.0,Turnover by S. Curry (bad pass; steal by D. Wade),,11,16
1,5:26.0,,D. Wade makes 2-pt dunk from 1 ft,11,18
1,5:13.0,S. Curry makes 3-pt jump shot from 25 ft,,14,18
1,5:02.0,,Offensive foul by B. Adebayo (drawn by J. Bell),14,18
1,5:02.0,,Turnover by B. Adebayo (offensive foul),14,18
1,5:02.0,,K. Olynyk enters the game for B. Adebayo,14,18
1,4:49.0,K. Durant misses 3-pt jump shot from 25 ft,,14,18
1,4:43.0,,Defensive rebound by J. Winslow,14,18
1,4:40.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Winslow),14,21
1,4:21.0,S. Curry misses 3-pt jump shot from 23 ft,,14,21
1,4:19.0,Offensive rebound by J. Jerebko,,14,21
1,4:15.0,J. Jerebko makes 2-pt jump shot from 15 ft,,16,21
1,4:01.0,,J. Winslow misses 3-pt jump shot from 25 ft,16,21
1,3:58.0,Defensive rebound by K. Durant,,16,21
1,3:49.0,J. Jerebko misses 3-pt jump shot from 22 ft,,16,21
1,3:46.0,,Defensive rebound by D. Waiters,16,21
1,3:36.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by D. Wade),16,23
1,3:31.0,Shooting foul by D. Jones (drawn by K. Durant),,16,23
1,3:31.0,K. Durant makes free throw 1 of 2,,17,23
1,3:31.0,A. McKinnie enters the game for K. Thompson,,17,23
1,3:31.0,,G. Dragić enters the game for D. Waiters,17,23
1,3:31.0,,J. Richardson enters the game for J. Winslow,17,23
1,3:31.0,K. Durant makes free throw 2 of 2,,18,23
1,3:17.0,Violation by Team (kicked ball),,18,23
1,3:09.0,,D. Wade makes 2-pt jump shot from 9 ft,18,25
1,2:59.0,K. Durant misses 2-pt jump shot from 16 ft,,18,25
1,2:56.0,,Defensive rebound by D. Wade,18,25
1,2:42.0,,Turnover by D. Jones (offensive foul),18,25
1,2:42.0,,Offensive foul by D. Jones (drawn by J. Jerebko),18,25
1,2:42.0,,Miami full timeout,18,25
1,2:27.0,,Violation by Team (kicked ball),18,25
1,2:22.0,Turnover by S. Curry (traveling),,18,25
1,2:09.0,,Personal foul by A. McKinnie (drawn by J. Richardson),18,25
1,2:09.0,,J. Richardson makes free throw 1 of 2,18,26
1,2:09.0,A. Iguodala enters the game for S. Curry,,18,26
1,2:09.0,,J. Richardson makes free throw 2 of 2,18,27
1,1:50.0,Turnover by K. Durant (bad pass),,18,27
