QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
1,11:44.0,B. Lopez misses 2-pt hook shot from 7 ft,,0,0
1,11:41.0,,Defensive rebound by J. Richardson,0,0
1,11:32.0,,J. Richardson makes 2-pt jump shot from 13 ft,0,2
1,11:17.0,Turnover by K. Middleton (bad pass; steal by D. Waiters),,0,2
1,11:14.0,,Turnover by D. Waiters (bad pass; steal by G. Antetokounmpo),0,2
1,11:10.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,2,2
1,10:57.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Winslow),2,5
1,10:47.0,K. Middleton makes 2-pt jump shot from 8 ft (assist by M. Brogdon),,4,5
1,10:28.0,,J. Winslow makes 2-pt jump shot from 2 ft,4,7
1,10:17.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,4,7
1,10:15.0,,Defensive rebound by J. Winslow,4,7
1,10:13.0,,Personal foul by E. Bledsoe (drawn by J. Richardson),4,7
1,10:00.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by K. Olynyk),4,10
1,9:51.0,M. Brogdon misses 3-pt jump shot from 26 ft,,4,10
1,9:46.0,,Defensive rebound by B. Adebayo,4,10
1,9:37.0,,J. Winslow misses 2-pt jump shot from 15 ft,4,10
1,9:35.0,Defensive rebound by B. Lopez,,4,10
1,9:23.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),,6,10
1,9:12.0,,K. Olynyk misses 2-pt layup from 2 ft (block by B. Lopez),6,10
1,9:11.0,,Offensive rebound by Team,6,10
1,9:05.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by J. Winslow),6,13
1,9:00.0,Personal foul by J. Richardson (drawn by E. Bledsoe),,6,13
1,8:51.0,B. Lopez misses 2-pt jump shot from 15 ft,,6,13
1,8:47.0,,Defensive rebound by B. Adebayo,6,13
1,8:32.0,,J. Richardson misses 2-pt layup from 2 ft (block by G. Antetokounmpo),6,13
1,8:31.0,,Offensive rebound by B. Adebayo,6,13
1,8:29.0,,Turnover by B. Adebayo (bad pass),6,13
1,8:12.0,Turnover by G. Antetokounmpo (bad pass),,6,13
1,7:57.0,,B. Adebayo makes 2-pt dunk at rim (assist by D. Waiters),6,15
1,7:56.0,Milwaukee full timeout,,6,15
1,7:36.0,B. Lopez makes 2-pt jump shot from 5 ft (assist by K. Middleton),,8,15
1,7:22.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by B. Adebayo),8,18
1,7:13.0,M. Brogdon misses 3-pt jump shot from 25 ft,,8,18
1,7:10.0,,Defensive rebound by K. Olynyk,8,18
1,7:02.0,,Personal foul by K. Middleton (drawn by K. Olynyk),8,18
1,7:02.0,N. Mirotić enters the game for M. Brogdon,,8,18
1,6:45.0,,J. Richardson makes 2-pt jump shot from 17 ft,8,20
1,6:37.0,B. Lopez misses 3-pt jump shot from 24 ft,,8,20
1,6:35.0,,Defensive rebound by K. Olynyk,8,20
1,6:24.0,,Turnover by D. Waiters (lost ball; steal by G. Antetokounmpo),8,20
1,6:17.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft,,8,20
1,6:15.0,,Defensive rebound by B. Adebayo,8,20
1,6:03.0,,D. Waiters misses 2-pt jump shot from 15 ft,8,20
1,6:00.0,Defensive rebound by B. Lopez,,8,20
1,5:55.0,Turnover by E. Bledsoe (traveling),,8,20
1,5:55.0,P. Connaughton enters the game for G. Antetokounmpo,,8,20
1,5:55.0,G. Hill enters the game for E. Bledsoe,,8,20
1,5:46.0,,B. Adebayo misses 2-pt layup from 1 ft (block by B. Lopez),8,20
1,5:40.0,Defensive rebound by P. Connaughton,,8,20
1,5:29.0,K. Middleton misses 3-pt jump shot from 25 ft,,8,20
1,5:27.0,,Defensive rebound by J. Richardson,8,20
1,5:11.0,,D. Waiters misses 2-pt layup from 1 ft (block by N. Mirotić),8,20
1,5:08.0,,Offensive rebound by D. Waiters,8,20
1,5:03.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by D. Waiters),8,23
1,4:57.0,N. Mirotić misses 3-pt jump shot from 26 ft,,8,23
1,4:57.0,,Defensive rebound by B. Adebayo,8,23
1,4:44.0,,B. Adebayo makes 2-pt jump shot from 9 ft (assist by J. Winslow),8,25
1,4:44.0,Milwaukee full timeout,,8,25
1,4:44.0,E. İlyasova enters the game for B. Lopez,,8,25
1,4:44.0,,G. Dragić enters the game for J. Richardson,8,25
1,4:44.0,,D. Wade enters the game for D. Waiters,8,25
1,4:28.0,E. İlyasova makes 2-pt hook shot from 3 ft (assist by K. Middleton),,10,25
1,4:07.0,,G. Dragić makes 2-pt layup from 1 ft (assist by B. Adebayo),10,27
1,3:46.0,K. Middleton makes 2-pt jump shot from 4 ft,,12,27
1,3:28.0,,Turnover by K. Olynyk (3 sec),12,27
1,3:28.0,,H. Whiteside enters the game for B. Adebayo,12,27
1,3:19.0,E. İlyasova misses 2-pt jump shot from 20 ft,,12,27
1,3:16.0,,Defensive rebound by G. Dragić,12,27
1,3:08.0,,H. Whiteside misses 2-pt jump shot from 5 ft,12,27
1,3:06.0,,Offensive rebound by H. Whiteside,12,27
1,3:04.0,,H. Whiteside makes 2-pt layup from 1 ft,12,29
1,3:04.0,M. Brogdon enters the game for G. Hill,,12,29
1,2:39.0,K. Middleton misses 3-pt jump shot from 25 ft,,12,29
1,2:36.0,Offensive rebound by P. Connaughton,,12,29
1,2:33.0,P. Connaughton makes 2-pt dunk from 1 ft,,14,29
