QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
1,11:45.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by A. Drummond),,3,0
1,11:39.0,,Turnover by D. Dedmon (bad pass; steal by B. Brown),3,0
1,11:36.0,B. Brown makes 2-pt layup from 1 ft,,5,0
1,11:17.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),5,2
1,11:00.0,Shooting foul by D. Dedmon (drawn by A. Drummond),,5,2
1,11:00.0,A. Drummond misses free throw 1 of 2,,5,2
1,11:00.0,Offensive rebound by Team,,5,2
1,11:00.0,A. Drummond makes free throw 2 of 2,,6,2
1,10:42.0,,J. Collins misses 2-pt layup from 5 ft (block by A. Drummond),6,2
1,10:42.0,,Offensive rebound by Team,6,2
1,10:42.0,,Turnover by K. Bazemore (bad pass),6,2
1,10:29.0,R. Jackson misses 3-pt jump shot from 25 ft,,6,2
1,10:26.0,,Defensive rebound by D. Dedmon,6,2
1,10:21.0,,T. Young misses 3-pt jump shot from 25 ft,6,2
1,10:17.0,Defensive rebound by B. Griffin,,6,2
1,10:15.0,Turnover by B. Griffin (bad pass; steal by D. Dedmon),,6,2
1,10:10.0,,T. Young makes 3-pt jump shot from 23 ft (assist by D. Dedmon),6,5
1,10:02.0,Personal foul by D. Dedmon (drawn by A. Drummond),,6,5
1,9:51.0,A. Drummond misses 2-pt hook shot from 7 ft,,6,5
1,9:47.0,,Defensive rebound by K. Bazemore,6,5
1,9:35.0,,T. Young misses 2-pt jump shot from 5 ft,6,5
1,9:32.0,Defensive rebound by A. Drummond,,6,5
1,9:29.0,B. Brown makes 2-pt dunk from 1 ft (assist by R. Jackson),,8,5
1,9:29.0,,Atlanta full timeout,8,5
1,9:10.0,,T. Prince misses 3-pt jump shot from 25 ft,8,5
1,9:09.0,,Offensive rebound by Team,8,5
1,9:09.0,Loose ball foul by R. Jackson (drawn by D. Dedmon),,8,5
1,9:06.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by D. Dedmon),8,8
1,8:48.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by R. Jackson),,11,8
1,8:35.0,,Personal foul by R. Jackson (drawn by T. Prince),11,8
1,8:30.0,,Turnover by T. Prince (bad pass),11,8
1,8:12.0,B. Griffin makes 2-pt layup from 2 ft,,13,8
1,8:01.0,,T. Young misses 3-pt jump shot from 25 ft,13,8
1,7:58.0,Defensive rebound by A. Drummond,,13,8
1,7:44.0,A. Drummond makes 2-pt dunk from 1 ft,,15,8
1,7:31.0,,Personal foul by W. Ellington (drawn by K. Bazemore),15,8
1,7:31.0,,A. Len enters the game for D. Dedmon,15,8
1,7:24.0,,T. Young makes 2-pt jump shot from 16 ft,15,10
1,7:08.0,W. Ellington misses 3-pt jump shot from 26 ft,,15,10
1,7:04.0,,Defensive rebound by K. Bazemore,15,10
1,6:57.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by T. Young),15,13
