QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
1,11:46.0,Shooting foul by R. McGruder (drawn by B. Beal),,0,0
1,11:46.0,B. Beal makes free throw 1 of 2,,1,0
1,11:46.0,B. Beal makes free throw 2 of 2,,2,0
1,11:31.0,,J. Winslow misses 3-pt jump shot from 25 ft,2,0
1,11:29.0,Defensive rebound by Team,,2,0
1,11:14.0,D. Howard misses 2-pt hook shot from 4 ft,,2,0
1,11:12.0,,Defensive rebound by R. McGruder,2,0
1,11:03.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by G. Dragić),2,3
1,10:46.0,M. Morris misses 2-pt jump shot from 8 ft,,2,3
1,10:44.0,Offensive rebound by D. Howard,,2,3
1,10:42.0,Offensive foul by B. Beal (drawn by R. McGruder),,2,3
1,10:42.0,Turnover by B. Beal (offensive foul),,2,3
1,10:28.0,,J. Winslow makes 2-pt jump shot from 7 ft (assist by H. Whiteside),2,5
1,10:15.0,J. Wall makes 3-pt jump shot from 24 ft,,5,5
1,10:04.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by G. Dragić),5,8
1,9:34.0,M. Morris misses 2-pt jump shot from 10 ft,,5,8
1,9:34.0,,Defensive rebound by Team,5,8
1,9:23.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Richardson),5,11
1,9:07.0,B. Beal misses 2-pt layup from 1 ft,,5,11
1,9:05.0,,Defensive rebound by H. Whiteside,5,11
1,9:01.0,,Personal foul by M. Morris (drawn by J. Richardson),5,11
1,8:48.0,,G. Dragić misses 2-pt layup from 2 ft,5,11
1,8:45.0,,Offensive rebound by G. Dragić,5,11
1,8:43.0,,G. Dragić misses 2-pt jump shot from 17 ft,5,11
1,8:42.0,,Offensive rebound by H. Whiteside,5,11
1,8:42.0,,H. Whiteside makes 2-pt layup from 3 ft,5,13
1,8:42.0,Washington full timeout,,5,13
1,8:30.0,J. Wall makes 2-pt layup from 1 ft,,7,13
1,8:16.0,,Turnover by J. Winslow (bad pass),7,13
1,8:04.0,O. Porter misses 3-pt jump shot from 22 ft,,7,13
1,8:01.0,,Defensive rebound by J. Richardson,7,13
1,7:54.0,,J. Richardson misses 2-pt layup from 1 ft,7,13
1,7:52.0,Defensive rebound by D. Howard,,7,13
1,7:50.0,Turnover by D. Howard (bad pass),,7,13
1,7:38.0,,R. McGruder misses 3-pt jump shot from 25 ft,7,13
1,7:36.0,,Offensive rebound by H. Whiteside,7,13
1,7:28.0,,G. Dragić misses 2-pt layup from 1 ft,7,13
1,7:25.0,,Offensive rebound by J. Richardson,7,13
1,7:22.0,,H. Whiteside misses 3-pt jump shot from 26 ft,7,13
1,7:22.0,,Offensive rebound by Team,7,13
1,7:15.0,,J. Richardson makes 2-pt jump shot from 19 ft,7,15
1,7:15.0,,Shooting foul by B. Beal (drawn by J. Richardson),7,15
1,7:15.0,,J. Richardson makes free throw 1 of 1,7,16
1,7:03.0,J. Wall makes 2-pt layup from 2 ft,,9,16
1,6:44.0,,Turnover by H. Whiteside (traveling),9,16
1,6:33.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Wall),,11,16
1,6:19.0,,R. McGruder misses 3-pt jump shot from 23 ft,11,16
1,6:15.0,Defensive rebound by M. Morris,,11,16
1,6:08.0,J. Wall misses 2-pt jump shot from 9 ft (block by H. Whiteside),,11,16
1,6:04.0,Offensive rebound by O. Porter,,11,16
1,6:00.0,M. Morris makes 2-pt hook shot from 5 ft,,13,16
1,5:44.0,,G. Dragić misses 2-pt jump shot from 13 ft,13,16
1,5:41.0,Defensive rebound by J. Wall,,13,16
1,5:37.0,Personal foul by J. Winslow (drawn by M. Morris),,13,16
1,5:37.0,,T. Johnson enters the game for J. Richardson,13,16
1,5:31.0,B. Beal makes 2-pt layup from 1 ft,,15,16
1,5:29.0,,Miami full timeout,15,16
1,5:05.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by R. McGruder),15,19
1,4:48.0,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),,18,19
1,4:27.0,,Turnover by G. Dragić (lost ball; steal by D. Howard),18,19
1,4:27.0,Personal foul by G. Dragić (drawn by B. Beal),,18,19
1,4:27.0,A. Rivers enters the game for B. Beal,,18,19
1,4:15.0,J. Wall misses 2-pt jump shot from 18 ft,,18,19
1,4:12.0,Offensive rebound by M. Morris,,18,19
1,4:05.0,M. Morris makes 2-pt hook shot from 3 ft,,20,19
1,3:55.0,,R. McGruder makes 2-pt jump shot from 4 ft,20,21
1,3:39.0,M. Morris misses 2-pt jump shot from 11 ft,,20,21
1,3:37.0,,Defensive rebound by H. Whiteside,20,21
1,3:30.0,,H. Whiteside makes 2-pt jump shot from 12 ft (assist by G. Dragić),20,23
1,3:06.0,Shooting foul by T. Johnson (drawn by J. Wall),,20,23
1,3:06.0,J. Wall makes free throw 1 of 2,,21,23
1,3:06.0,K. Oubre enters the game for O. Porter,,21,23
1,3:06.0,,B. Adebayo enters the game for G. Dragić,21,23
1,3:06.0,,W. Ellington enters the game for R. McGruder,21,23
1,3:06.0,,J. Richardson enters the game for H. Whiteside,21,23
1,3:06.0,J. Wall makes free throw 2 of 2,,22,23
1,2:54.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Winslow),22,26
1,2:48.0,Personal foul by B. Adebayo (drawn by D. Howard),,22,26
1,2:48.0,D. Howard misses free throw 1 of 2,,22,26
1,2:48.0,Offensive rebound by Team,,22,26
1,2:48.0,,K. Olynyk enters the game for J. Winslow,22,26
1,2:48.0,D. Howard makes free throw 2 of 2,,23,26
1,2:33.0,,W. Ellington misses 2-pt jump shot from 13 ft,23,26
1,2:31.0,Defensive rebound by D. Howard,,23,26
1,2:15.0,Turnover by M. Morris (bad pass; steal by W. Ellington),,23,26
1,2:08.0,,T. Johnson makes 2-pt layup from 2 ft (assist by W. Ellington),23,28
1,2:02.0,D. Howard misses 2-pt hook shot from 7 ft,,23,28
1,1:59.0,,Defensive rebound by K. Olynyk,23,28
1,1:51.0,,B. Adebayo misses 2-pt layup from 1 ft (block by J. Wall),23,28
1,1:51.0,,Offensive rebound by B. Adebayo,23,28
1,1:51.0,,B. Adebayo makes 2-pt layup from 2 ft,23,30
1,1:51.0,,Shooting foul by J. Wall (drawn by B. Adebayo),23,30
1,1:51.0,J. Green enters the game for D. Howard,,23,30
1,1:51.0,T. Satoranský enters the game for J. Wall,,23,30
1,1:51.0,,B. Adebayo makes free throw 1 of 1,23,31
1,1:39.0,A. Rivers makes 2-pt layup from 3 ft,,25,31
1,1:25.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by K. Olynyk),25,34
1,1:07.0,Turnover by K. Oubre (out of bounds lost ball),,25,34
1,0:58.0,,Away from play foul by M. Morris (drawn by W. Ellington),25,34
1,0:58.0,,W. Ellington makes free throw 1 of 1,25,35
1,0:58.0,I. Mahinmi enters the game for M. Morris,,25,35
1,0:51.0,,J. Richardson misses 2-pt layup from 2 ft,25,35
1,0:48.0,Defensive rebound by J. Green,,25,35
1,0:38.0,K. Oubre misses 3-pt jump shot from 25 ft,,25,35
1,0:35.0,,Defensive rebound by B. Adebayo,25,35
1,0:29.0,,T. Johnson misses 3-pt jump shot from 25 ft,25,35
1,0:27.0,Defensive rebound by I. Mahinmi,,25,35
1,0:02.0,A. Rivers misses 3-pt jump shot from 26 ft,,25,35
1,0:01.0,,Defensive rebound by Team,25,35
1,0:01.0,,Turnover by K. Olynyk (inbound),25,35
2,11:47.0,,W. Ellington misses 3-pt jump shot from 27 ft,25,35
2,11:42.0,Defensive rebound by T. Satoranský,,25,35
2,11:33.0,Shooting foul by B. Adebayo (drawn by A. Rivers),,25,35
2,11:33.0,A. Rivers makes free throw 1 of 2,,26,35
2,11:33.0,A. Rivers makes free throw 2 of 2,,27,35
2,11:17.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Richardson),27,38
2,10:48.0,Turnover by Team (shot clock),,27,38
2,10:34.0,,T. Johnson misses 3-pt jump shot from 25 ft,27,38
2,10:31.0,Defensive rebound by A. Rivers,,27,38
2,10:25.0,A. Rivers misses 3-pt jump shot from 25 ft,,27,38
2,10:25.0,,Defensive rebound by J. Richardson,27,38
2,10:19.0,,Turnover by W. Ellington (bad pass),27,38
2,10:08.0,J. Green makes 3-pt jump shot from 23 ft (assist by K. Oubre),,30,38
2,9:57.0,,Offensive foul by J. Richardson (drawn by K. Oubre),30,38
2,9:57.0,,Turnover by J. Richardson (offensive foul),30,38
2,9:45.0,T. Satoranský misses 2-pt jump shot from 4 ft,,30,38
2,9:43.0,,Defensive rebound by B. Adebayo,30,38
2,9:39.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Richardson),30,41
2,9:33.0,Washington full timeout,,30,41
2,9:18.0,Shooting foul by B. Adebayo (drawn by I. Mahinmi),,30,41
2,9:18.0,I. Mahinmi misses free throw 1 of 2,,30,41
2,9:18.0,Offensive rebound by Team,,30,41
2,9:18.0,,H. Whiteside enters the game for B. Adebayo,30,41
2,9:18.0,I. Mahinmi makes free throw 2 of 2,,31,41
2,9:00.0,,J. Richardson makes 2-pt jump shot from 12 ft (assist by K. Olynyk),31,43
2,8:48.0,K. Oubre makes 2-pt jump shot from 18 ft (assist by A. Rivers),,33,43
2,8:30.0,,K. Olynyk misses 3-pt jump shot from 25 ft,33,43
2,8:25.0,Defensive rebound by J. Green,,33,43
2,8:23.0,Turnover by J. Green (bad pass; steal by J. Richardson),,33,43
2,8:19.0,,J. Richardson misses 2-pt layup from 1 ft (block by K. Oubre),33,43
2,8:15.0,,Offensive rebound by T. Johnson,33,43
2,8:14.0,,T. Johnson misses 2-pt layup from 1 ft (block by I. Mahinmi),33,43
2,8:14.0,Defensive rebound by J. Green,,33,43
2,8:06.0,K. Oubre misses 3-pt jump shot from 22 ft,,33,43
2,8:02.0,Offensive rebound by I. Mahinmi,,33,43
2,8:00.0,I. Mahinmi makes 2-pt layup from 4 ft,,35,43
2,7:52.0,,Shooting foul by T. Satoranský (drawn by K. Olynyk),35,43
2,7:52.0,B. Beal enters the game for T. Satoranský,,35,43
2,7:52.0,,G. Dragić enters the game for J. Richardson,35,43
2,7:52.0,,K. Olynyk makes free throw 1 of 2,35,44
2,7:52.0,,K. Olynyk makes free throw 2 of 2,35,45
2,7:37.0,J. Green makes 3-pt jump shot from 23 ft (assist by A. Rivers),,38,45
2,7:21.0,,W. Ellington misses 3-pt jump shot from 22 ft,38,45
2,7:19.0,Defensive rebound by B. Beal,,38,45
2,7:19.0,,R. McGruder enters the game for T. Johnson,38,45
2,7:11.0,Personal foul by R. McGruder (drawn by I. Mahinmi),,38,45
2,7:06.0,Turnover by J. Green (traveling),,38,45
2,6:50.0,,Turnover by K. Olynyk (lost ball; steal by K. Oubre),38,45
2,6:48.0,A. Rivers makes 2-pt layup from 4 ft,,40,45
2,6:48.0,Shooting foul by G. Dragić (drawn by A. Rivers),,40,45
2,6:48.0,D. Howard enters the game for J. Green,,40,45
2,6:48.0,J. Wall enters the game for I. Mahinmi,,40,45
2,6:48.0,A. Rivers misses free throw 1 of 1,,40,45
2,6:48.0,,Defensive rebound by H. Whiteside,40,45
2,6:43.0,,Miami full timeout,40,45
2,6:43.0,J. Green enters the game for K. Oubre,,40,45
2,6:43.0,O. Porter enters the game for A. Rivers,,40,45
2,6:43.0,,J. Winslow enters the game for K. Olynyk,40,45
2,6:29.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Winslow),40,47
2,6:17.0,Shooting foul by R. McGruder (drawn by B. Beal),,40,47
2,6:17.0,B. Beal misses free throw 1 of 2,,40,47
2,6:17.0,Offensive rebound by Team,,40,47
2,6:17.0,,T. Johnson enters the game for R. McGruder,40,47
2,6:17.0,B. Beal makes free throw 2 of 2,,41,47
2,5:56.0,,Turnover by G. Dragić (bad pass),41,47
2,5:56.0,M. Morris enters the game for J. Green,,41,47
2,5:46.0,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),,43,47
2,5:35.0,,W. Ellington misses 3-pt jump shot from 25 ft,43,47
2,5:34.0,,Offensive rebound by Team,43,47
2,5:34.0,Loose ball foul by D. Howard (drawn by H. Whiteside),,43,47
2,5:22.0,,T. Johnson makes 2-pt layup from 2 ft (assist by H. Whiteside),43,49
2,5:14.0,M. Morris misses 3-pt jump shot from 23 ft,,43,49
2,5:13.0,,Defensive rebound by H. Whiteside,43,49
2,5:07.0,,T. Johnson misses 3-pt jump shot from 26 ft,43,49
2,5:04.0,Defensive rebound by D. Howard,,43,49
2,4:56.0,Turnover by J. Wall (bad pass; steal by G. Dragić),,43,49
2,4:41.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by T. Johnson),43,52
2,4:40.0,Washington full timeout,,43,52
2,4:37.0,Violation by Team (delay of game),,43,52
2,4:28.0,J. Wall makes 2-pt layup from 2 ft,,45,52
2,4:11.0,,J. Winslow misses 2-pt hook shot from 6 ft (block by O. Porter),45,52
2,4:08.0,,Offensive rebound by J. Winslow,45,52
2,4:02.0,,J. Winslow misses 3-pt jump shot from 23 ft,45,52
2,4:00.0,Defensive rebound by O. Porter,,45,52
2,3:55.0,B. Beal misses 2-pt jump shot from 14 ft,,45,52
2,3:54.0,Offensive rebound by D. Howard,,45,52
2,3:52.0,D. Howard misses 2-pt layup from 1 ft,,45,52
2,3:51.0,Offensive rebound by B. Beal,,45,52
2,3:50.0,B. Beal misses 2-pt layup from 10 ft,,45,52
2,3:49.0,Offensive rebound by D. Howard,,45,52
2,3:49.0,J. Wall misses 3-pt jump shot from 26 ft,,45,52
2,3:49.0,,Defensive rebound by Team,45,52
2,3:49.0,Loose ball foul by D. Howard (drawn by H. Whiteside),,45,52
2,3:37.0,,T. Johnson makes 2-pt jump shot from 9 ft (assist by H. Whiteside),45,54
2,3:25.0,Offensive foul by M. Morris (drawn by W. Ellington),,45,54
2,3:25.0,Turnover by M. Morris (offensive foul),,45,54
2,3:25.0,J. Green enters the game for M. Morris,,45,54
2,3:01.0,,Turnover by G. Dragić (bad pass; steal by O. Porter),45,54
2,3:01.0,Violation by Team (delay of game),,45,54
2,3:01.0,Violation by Team (delay of game),,45,54
2,3:01.0,,J. Richardson enters the game for G. Dragić,45,54
2,3:01.0,,W. Ellington makes technical free throw,45,55
2,2:47.0,B. Beal makes 2-pt dunk from 2 ft (assist by J. Wall),,47,55
2,2:24.0,,Turnover by W. Ellington (bad pass; steal by J. Green),47,55
2,2:15.0,J. Wall misses 2-pt jump shot from 16 ft,,47,55
2,2:15.0,Offensive rebound by Team,,47,55
2,2:15.0,,Loose ball foul by H. Whiteside (drawn by D. Howard),47,55
2,2:15.0,D. Howard makes free throw 1 of 2,,48,55
2,2:15.0,D. Howard makes free throw 2 of 2,,49,55
2,1:59.0,,Offensive foul by J. Richardson (drawn by J. Wall),49,55
2,1:59.0,,Turnover by J. Richardson (offensive foul),49,55
2,1:50.0,Personal foul by W. Ellington (drawn by J. Wall),,49,55
2,1:50.0,J. Wall misses free throw 1 of 2,,49,55
2,1:50.0,Offensive rebound by Team,,49,55
2,1:50.0,,G. Dragić enters the game for J. Richardson,49,55
2,1:50.0,J. Wall misses free throw 2 of 2,,49,55
2,1:47.0,Offensive rebound by J. Green,,49,55
2,1:44.0,O. Porter misses 3-pt jump shot from 26 ft,,49,55
2,1:39.0,Offensive rebound by J. Green,,49,55
2,1:38.0,J. Green makes 2-pt layup from 1 ft,,51,55
2,1:25.0,,T. Johnson misses 3-pt jump shot from 26 ft,51,55
2,1:25.0,,Offensive rebound by J. Winslow,51,55
2,1:20.0,,J. Winslow makes 2-pt layup from 2 ft,51,57
2,1:02.0,J. Green makes 2-pt jump shot from 16 ft,,53,57
2,0:43.0,,J. Winslow makes 2-pt layup from 2 ft (assist by T. Johnson),53,59
2,0:31.0,B. Beal makes 2-pt jump shot from 7 ft,,55,59
2,0:10.0,,Shooting foul by B. Beal (drawn by W. Ellington),55,59
2,0:10.0,,W. Ellington makes free throw 1 of 2,55,60
2,0:10.0,A. Rivers enters the game for B. Beal,,55,60
2,0:10.0,,D. Jones enters the game for G. Dragić,55,60
2,0:10.0,,W. Ellington makes free throw 2 of 2,55,61
2,0:00.0,O. Porter makes 2-pt jump shot from 8 ft (assist by J. Wall),,57,61
2,0:00.0,Shooting foul by W. Ellington (drawn by O. Porter),,57,61
2,0:00.0,I. Mahinmi enters the game for D. Howard,,57,61
2,0:00.0,O. Porter makes free throw 1 of 1,,58,61
3,11:49.0,,G. Dragić misses 2-pt jump shot from 4 ft,58,61
3,11:46.0,Defensive rebound by D. Howard,,58,61
3,11:37.0,B. Beal misses 3-pt jump shot from 28 ft,,58,61
3,11:32.0,Offensive rebound by O. Porter,,58,61
3,11:32.0,O. Porter makes 2-pt layup at rim,,60,61
3,11:15.0,,J. Richardson misses 2-pt jump shot from 8 ft (block by B. Beal),60,61
3,11:11.0,Defensive rebound by O. Porter,,60,61
3,11:07.0,O. Porter misses 2-pt jump shot from 12 ft,,60,61
3,11:04.0,Offensive rebound by D. Howard,,60,61
3,10:58.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,63,61
3,10:35.0,,H. Whiteside misses 2-pt hook shot from 7 ft,63,61
3,10:34.0,,Offensive rebound by Team,63,61
3,10:25.0,,Shooting foul by M. Morris (drawn by R. McGruder),63,61
3,10:25.0,J. Green enters the game for M. Morris,,63,61
3,10:25.0,,R. McGruder makes free throw 1 of 3,63,62
3,10:25.0,,R. McGruder makes free throw 2 of 3,63,63
3,10:25.0,,R. McGruder misses free throw 3 of 3,63,63
3,10:25.0,Defensive rebound by D. Howard,,63,63
3,10:13.0,Turnover by B. Beal (bad pass; steal by R. McGruder),,63,63
3,9:59.0,,H. Whiteside makes 2-pt jump shot from 11 ft (assist by R. McGruder),63,65
3,9:39.0,D. Howard misses 2-pt jump shot from 5 ft (block by H. Whiteside),,63,65
3,9:39.0,,Defensive rebound by Team,63,65
3,9:23.0,,J. Winslow misses 3-pt jump shot from 23 ft,63,65
3,9:20.0,Defensive rebound by J. Wall,,63,65
3,9:17.0,J. Wall misses 2-pt layup from 2 ft,,63,65
3,9:17.0,Offensive rebound by D. Howard,,63,65
3,9:09.0,D. Howard makes 2-pt layup at rim,,65,65
3,8:54.0,,G. Dragić misses 2-pt jump shot from 17 ft,65,65
3,8:51.0,Defensive rebound by D. Howard,,65,65
3,8:40.0,Personal foul by J. Winslow (drawn by D. Howard),,65,65
3,8:37.0,Personal foul by H. Whiteside (drawn by D. Howard),,65,65
3,8:30.0,D. Howard misses 2-pt hook shot from 5 ft (block by H. Whiteside),,65,65
3,8:28.0,,Defensive rebound by G. Dragić,65,65
3,8:27.0,,Shooting foul by J. Wall (drawn by J. Richardson),65,65
3,8:27.0,,J. Richardson makes free throw 1 of 2,65,66
3,8:27.0,,J. Richardson misses free throw 2 of 2,65,66
3,8:24.0,Defensive rebound by D. Howard,,65,66
3,8:20.0,B. Beal makes 3-pt jump shot from 30 ft (assist by J. Wall),,68,66
3,7:57.0,,R. McGruder makes 2-pt layup from 2 ft,68,68
3,7:42.0,O. Porter makes 2-pt layup from 2 ft,,70,68
3,7:29.0,,G. Dragić misses 2-pt jump shot from 4 ft,70,68
3,7:26.0,Defensive rebound by Team,,70,68
3,7:19.0,J. Wall makes 2-pt jump shot from 10 ft,,72,68
3,7:01.0,,R. McGruder makes 2-pt jump shot from 5 ft,72,70
3,6:50.0,Turnover by B. Beal (traveling),,72,70
3,6:50.0,,Miami full timeout,72,70
3,6:30.0,,R. McGruder misses 2-pt jump shot from 9 ft,72,70
3,6:29.0,,Offensive rebound by H. Whiteside,72,70
3,6:28.0,,H. Whiteside makes 2-pt dunk from 1 ft,72,72
3,6:15.0,Personal foul by G. Dragić (drawn by O. Porter),,72,72
3,6:09.0,O. Porter misses 2-pt hook shot from 2 ft,,72,72
3,6:08.0,Offensive rebound by D. Howard,,72,72
3,6:08.0,Shooting foul by G. Dragić (drawn by D. Howard),,72,72
3,6:08.0,D. Howard misses free throw 1 of 2,,72,72
3,6:08.0,Offensive rebound by Team,,72,72
3,6:08.0,,T. Johnson enters the game for G. Dragić,72,72
3,6:08.0,D. Howard makes free throw 2 of 2,,73,72
3,6:04.0,,Personal foul by B. Beal (drawn by T. Johnson),73,72
3,6:04.0,A. Rivers enters the game for B. Beal,,73,72
3,5:50.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by J. Richardson),73,75
3,5:32.0,J. Wall misses 3-pt jump shot from 25 ft,,73,75
3,5:32.0,,Defensive rebound by Team,73,75
3,5:19.0,,J. Winslow misses 2-pt jump shot from 8 ft,73,75
3,5:19.0,Defensive rebound by Team,,73,75
3,5:02.0,J. Wall misses 2-pt jump shot from 17 ft,,73,75
3,4:59.0,,Defensive rebound by T. Johnson,73,75
3,4:50.0,,J. Richardson makes 2-pt layup from 2 ft,73,77
3,4:35.0,O. Porter misses 2-pt layup from 1 ft,,73,77
3,4:32.0,,Defensive rebound by H. Whiteside,73,77
3,4:29.0,,R. McGruder makes 2-pt layup from 1 ft (assist by J. Winslow),73,79
3,4:29.0,Washington full timeout,,73,79
3,4:29.0,K. Oubre enters the game for O. Porter,,73,79
3,4:29.0,,W. Ellington enters the game for J. Richardson,73,79
3,4:09.0,J. Green makes 2-pt jump shot from 11 ft,,75,79
