QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
1,11:32.0,E. Freedom misses 2-pt hook shot from 19 ft,,0,0
1,11:29.0,,Defensive rebound by W. Chandler,0,0
1,11:27.0,,J. Redick misses 2-pt jump shot from 22 ft,0,0
1,11:27.0,Defensive rebound by N. Vonleh,,0,0
1,11:12.0,N. Vonleh makes 2-pt hook shot from 5 ft,,2,0
1,10:59.0,,J. Butler makes 2-pt jump shot from 19 ft (assist by B. Simmons),2,2
1,10:43.0,T. Hardaway misses 3-pt jump shot from 28 ft,,2,2
1,10:39.0,,Defensive rebound by B. Simmons,2,2
1,10:31.0,,Turnover by J. Redick (bad pass; steal by T. Hardaway),2,2
1,10:23.0,E. Mudiay makes 2-pt jump shot from 12 ft,,4,2
1,10:10.0,,J. Embiid makes 2-pt dunk at rim (assist by J. Redick),4,4
1,9:59.0,E. Mudiay makes 3-pt jump shot from 27 ft (assist by E. Freedom),,7,4
1,9:40.0,,J. Butler makes 2-pt jump shot from 12 ft,7,6
1,9:14.0,K. Knox misses 3-pt jump shot from 24 ft (block by B. Simmons),,7,6
1,9:14.0,Offensive rebound by Team,,7,6
1,9:12.0,Turnover by K. Knox (bad pass; steal by J. Butler),,7,6
1,9:06.0,,J. Butler makes 2-pt dunk at rim (assist by B. Simmons),7,8
1,8:51.0,E. Mudiay misses 2-pt jump shot from 8 ft,,7,8
1,8:50.0,Offensive rebound by Team,,7,8
1,8:37.0,Turnover by T. Hardaway (lost ball; steal by J. Butler),,7,8
1,8:32.0,,B. Simmons misses 2-pt jump shot from 11 ft,7,8
1,8:29.0,Defensive rebound by K. Knox,,7,8
1,8:22.0,Shooting foul by J. Embiid (drawn by E. Mudiay),,7,8
1,8:22.0,E. Mudiay misses free throw 1 of 2,,7,8
1,8:22.0,Offensive rebound by Team,,7,8
1,8:22.0,E. Mudiay misses free throw 2 of 2,,7,8
1,8:20.0,,Defensive rebound by B. Simmons,7,8
1,8:04.0,,J. Embiid makes 2-pt layup from 2 ft (assist by J. Redick),7,10
1,7:56.0,T. Hardaway makes 2-pt jump shot from 16 ft,,9,10
1,7:36.0,,B. Simmons makes 2-pt hook shot from 10 ft,9,12
1,7:23.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by N. Vonleh),,12,12
1,7:15.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),12,15
1,6:59.0,T. Hardaway misses 3-pt jump shot from 26 ft,,12,15
1,6:56.0,,Defensive rebound by W. Chandler,12,15
1,6:45.0,,Turnover by J. Embiid (traveling),12,15
1,6:45.0,,L. Shamet enters the game for J. Redick,12,15
1,6:45.0,,Philadelphia full timeout,12,15
