QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
1,11:43.0,,D. Mitchell misses 2-pt jump shot from 7 ft,0,0
1,11:40.0,Defensive rebound by D. DeRozan,,0,0
1,11:34.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),,2,0
1,11:16.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Ingles),2,3
1,10:56.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),,4,3
1,10:33.0,,Shooting foul by L. Aldridge (drawn by D. Favors),4,3
1,10:33.0,,D. Favors makes free throw 1 of 2,4,4
1,10:33.0,,D. Favors makes free throw 2 of 2,4,5
1,10:21.0,L. Aldridge misses 2-pt jump shot from 20 ft,,4,5
1,10:18.0,,Defensive rebound by R. Gobert,4,5
1,10:13.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by J. Ingles),4,8
1,9:59.0,D. DeRozan makes 2-pt jump shot from 10 ft,,6,8
1,9:45.0,,D. Mitchell misses 2-pt jump shot from 10 ft,6,8
1,9:43.0,Defensive rebound by L. Aldridge,,6,8
1,9:35.0,B. Forbes misses 2-pt jump shot from 15 ft,,6,8
1,9:32.0,,Defensive rebound by D. Favors,6,8
1,9:26.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),6,11
1,9:07.0,B. Forbes misses 3-pt jump shot from 25 ft,,6,11
1,9:05.0,,Defensive rebound by R. Rubio,6,11
1,9:01.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),6,13
1,9:01.0,San Antonio full timeout,,6,13
1,8:39.0,Turnover by B. Forbes (traveling),,6,13
1,8:28.0,,Personal foul by D. Bertāns (drawn by J. Ingles),6,13
1,8:17.0,,J. Ingles misses 2-pt jump shot from 9 ft (block by D. Bertāns),6,13
1,8:17.0,Defensive rebound by Team,,6,13
1,8:05.0,Turnover by R. Gay (bad pass; steal by D. Mitchell),,6,13
1,7:58.0,,Shooting foul by B. Forbes (drawn by R. Gobert),6,13
1,7:58.0,,R. Gobert makes free throw 1 of 2,6,14
1,7:58.0,,R. Gobert makes free throw 2 of 2,6,15
1,7:36.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,9,15
1,7:22.0,,D. Favors makes 2-pt layup from 3 ft (assist by R. Rubio),9,17
1,7:07.0,D. Bertāns makes 2-pt layup from 2 ft (assist by D. DeRozan),,11,17
1,6:59.0,,Turnover by D. Mitchell (offensive foul),11,17
1,6:59.0,,Offensive foul by D. Mitchell (drawn by D. DeRozan),11,17
1,6:59.0,,J. Crowder enters the game for D. Favors,11,17
1,6:44.0,R. Gay misses 2-pt jump shot from 11 ft,,11,17
1,6:39.0,,Defensive rebound by J. Ingles,11,17
1,6:29.0,,D. Mitchell misses 2-pt layup from 4 ft (block by L. Aldridge),11,17
1,6:27.0,,Offensive rebound by D. Mitchell,11,17
1,6:25.0,,Turnover by J. Ingles (traveling),11,17
1,6:25.0,P. Mills enters the game for B. Forbes,,11,17
1,6:15.0,L. Aldridge makes 2-pt jump shot from 10 ft (assist by D. DeRozan),,13,17
1,5:59.0,,Turnover by R. Rubio (bad pass; steal by L. Aldridge),13,17
1,5:54.0,Personal foul by D. Mitchell (drawn by D. DeRozan),,13,17
1,5:54.0,,R. O'Neale enters the game for D. Mitchell,13,17
1,5:49.0,D. DeRozan misses 2-pt jump shot from 20 ft,,13,17
1,5:45.0,,Defensive rebound by J. Ingles,13,17
1,5:25.0,,J. Crowder makes 3-pt jump shot from 26 ft,13,20
1,5:09.0,P. Mills misses 2-pt jump shot from 20 ft,,13,20
1,5:07.0,,Defensive rebound by R. Gobert,13,20
1,5:00.0,,R. Rubio misses 2-pt jump shot from 10 ft,13,20
1,4:57.0,,Offensive rebound by R. Gobert,13,20
1,4:56.0,,R. O'Neale misses 3-pt jump shot from 25 ft,13,20
1,4:52.0,Defensive rebound by D. Bertāns,,13,20
1,4:37.0,D. Bertāns misses 3-pt jump shot from 27 ft,,13,20
1,4:35.0,,Defensive rebound by Team,13,20
1,4:35.0,,Utah full timeout,13,20
1,4:35.0,M. Belinelli enters the game for D. Bertāns,,13,20
1,4:35.0,D. Cunningham enters the game for D. DeRozan,,13,20
1,4:35.0,D. White enters the game for R. Gay,,13,20
1,4:19.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Crowder),13,23
1,3:57.0,D. White misses 2-pt jump shot from 14 ft,,13,23
