QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
1,11:44.0,,M. Gortat misses 2-pt hook shot from 6 ft,0,0
1,11:41.0,Defensive rebound by J. Embiid,,0,0
1,11:36.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),,3,0
1,11:20.0,,T. Harris misses 2-pt jump shot from 14 ft,3,0
1,11:17.0,Defensive rebound by Team,,3,0
1,11:00.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Butler),,3,0
1,11:00.0,J. Butler makes free throw 1 of 2,,4,0
1,11:00.0,J. Butler misses free throw 2 of 2,,4,0
1,10:58.0,,Defensive rebound by M. Gortat,4,0
1,10:48.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,4,0
1,10:43.0,Defensive rebound by B. Simmons,,4,0
1,10:40.0,Turnover by B. Simmons (lost ball; steal by T. Harris),,4,0
1,10:35.0,,T. Harris makes 2-pt layup from 1 ft,4,2
1,10:17.0,J. Butler misses 2-pt jump shot from 4 ft,,4,2
1,10:12.0,Offensive rebound by J. Embiid,,4,2
1,10:12.0,J. Embiid makes 2-pt layup at rim,,6,2
1,9:59.0,,A. Bradley misses 2-pt jump shot from 18 ft,6,2
1,9:59.0,Defensive rebound by B. Simmons,,6,2
1,9:49.0,J. Butler misses 2-pt layup from 2 ft,,6,2
1,9:44.0,Offensive rebound by J. Butler,,6,2
1,9:44.0,J. Butler makes 2-pt layup at rim,,8,2
1,9:31.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,8,4
1,9:21.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,11,4
1,9:09.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by M. Gortat),11,6
1,8:58.0,B. Simmons makes 2-pt dunk at rim (assist by J. Redick),,13,6
1,8:43.0,,T. Harris makes 2-pt jump shot from 7 ft,13,8
1,8:37.0,W. Chandler makes 2-pt layup at rim (assist by B. Simmons),,15,8
1,8:26.0,,T. Harris misses 2-pt jump shot from 12 ft,15,8
1,8:24.0,Defensive rebound by J. Butler,,15,8
1,8:18.0,J. Embiid misses 3-pt jump shot from 26 ft,,15,8
1,8:14.0,,Defensive rebound by D. Gallinari,15,8
1,8:06.0,,D. Gallinari makes 2-pt jump shot from 19 ft,15,10
1,8:06.0,,Shooting foul by W. Chandler (drawn by D. Gallinari),15,10
1,8:06.0,,D. Gallinari makes free throw 1 of 1,15,11
1,7:51.0,Turnover by J. Butler (lost ball; steal by S. Gilgeous-Alexander),,15,11
1,7:47.0,,A. Bradley misses 2-pt layup from 2 ft (block by J. Embiid),15,11
1,7:47.0,Defensive rebound by Team,,15,11
1,7:33.0,Personal foul by M. Gortat (drawn by J. Embiid),,15,11
1,7:22.0,J. Embiid misses 2-pt jump shot from 8 ft,,15,11
1,7:20.0,,Defensive rebound by T. Harris,15,11
1,7:12.0,,T. Harris makes 3-pt jump shot from 24 ft,15,14
1,6:55.0,Personal foul by T. Harris (drawn by B. Simmons),,15,14
1,6:55.0,,LA Clippers full timeout,15,14
