QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,UTAH_ACTION,GOLDEN STATE_SCORE,UTAH_SCORE
1,11:40.0,,D. Mitchell makes 3-pt jump shot from 25 ft,0,3
1,11:16.0,K. Durant misses 2-pt jump shot from 13 ft,,0,3
1,11:14.0,,Defensive rebound by R. Gobert,0,3
1,11:08.0,,D. Mitchell misses 2-pt jump shot from 7 ft (block by K. Looney),0,3
1,11:08.0,,Offensive rebound by Team,0,3
1,10:56.0,,D. Mitchell misses 2-pt layup from 2 ft,0,3
1,10:54.0,Defensive rebound by D. Green,,0,3
1,10:49.0,K. Thompson misses 2-pt jump shot from 16 ft,,0,3
1,10:41.0,Offensive rebound by K. Looney,,0,3
1,10:41.0,K. Looney makes 2-pt dunk at rim,,2,3
1,10:25.0,,J. Ingles makes 2-pt layup from 3 ft (assist by D. Favors),2,5
1,10:16.0,S. Curry misses 2-pt jump shot from 16 ft,,2,5
1,10:14.0,,Defensive rebound by R. Gobert,2,5
1,10:07.0,,R. Rubio misses 2-pt layup from 3 ft,2,5
1,10:06.0,Defensive rebound by D. Green,,2,5
1,10:01.0,S. Curry misses 2-pt layup from 3 ft,,2,5
1,10:00.0,,Defensive rebound by J. Ingles,2,5
1,9:53.0,,D. Favors misses 3-pt jump shot from 23 ft,2,5
1,9:50.0,Defensive rebound by D. Green,,2,5
1,9:42.0,K. Durant misses 2-pt jump shot from 16 ft,,2,5
1,9:38.0,,Defensive rebound by R. Gobert,2,5
1,9:38.0,,Personal foul by S. Curry (drawn by R. Rubio),2,5
1,9:23.0,,R. Gobert misses 2-pt hook shot from 4 ft,2,5
1,9:21.0,,Offensive rebound by D. Favors,2,5
1,9:20.0,,J. Ingles misses 3-pt jump shot from 25 ft,2,5
1,9:18.0,Defensive rebound by D. Green,,2,5
1,9:00.0,K. Looney misses 3-pt jump shot from 23 ft,,2,5
1,8:57.0,,Defensive rebound by R. Gobert,2,5
1,8:50.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),2,7
1,8:43.0,D. Green makes 2-pt layup from 2 ft,,4,7
1,8:26.0,,J. Ingles makes 2-pt layup from 2 ft,4,9
1,8:14.0,Turnover by K. Durant (bad pass),,4,9
